Model	TCGA	GSE57303	GSE62254	All	GEO
CoxBoost + Ridge	0.712172518267688	0.581573896353167	0.588333232427196	0.62735988234935	0.584953564390182
CoxBoost + StepCox[both]	0.698494029584744	0.592450415866923	0.581612883695586	0.624185776382418	0.587031649781254
CoxBoost + StepCox[backward]	0.698494029584744	0.592450415866923	0.581612883695586	0.624185776382418	0.587031649781254
CoxBoost + StepCox[forward]	0.710969524148993	0.595009596928983	0.58872676636193	0.631568629146635	0.591868181645456
CoxBoost + SuperPC	0.594457315986455	0.564299424184261	0.509686989162681	0.556147909777799	0.536993206673471
CoxBoost + survival-SVM	0.683657102120834	0.576455534229047	0.576254767814979	0.612122468054953	0.576355151022013
plsRcox	0.714266619140973	0.584133077415227	0.58863595083853	0.62901188246491	0.586384514126879
SuperPC	0.60149705934771	0.569417786308381	0.511594115154084	0.560836320270058	0.540505950731233
GBM	0.83501158438781	0.487523992322457	0.546255373251801	0.622930316654023	0.516889682787129
survival - SVM	0.657948672250936	0.594369801663468	0.562027002482291	0.604781825465565	0.578198402072879
Ridge	0.719880591694885	0.591170825335892	0.589392746866864	0.633481387965881	0.590281786101378
Lasso	0.708385314560684	0.612923864363404	0.598292668160078	0.639867282361389	0.605608266261741
Lasso + CoxBoost	0.710033862056674	0.596289187460013	0.593963794878005	0.633428948131564	0.595126491169009
Lasso + GBM	0.853457494207806	0.535508637236084	0.564933099231095	0.651299743558329	0.55022086823359
Lasso + plsRcox	0.711682409552664	0.595009596928983	0.599442998123146	0.635378334868264	0.597226297526064
Lasso + RSF	0.924300481197647	0.511836212412028	0.565296361324696	0.66714435164479	0.538566286868362
Lasso + StepCox[both]	0.699429691677063	0.602687140115163	0.600623599927348	0.634246810573191	0.601655370021255
Lasso + StepCox[backward]	0.699429691677063	0.602687140115163	0.600623599927348	0.634246810573191	0.601655370021255
Lasso + StepCox[forward]	0.711682409552664	0.596928982725528	0.59974571653448	0.636119036270891	0.598337349630004
Lasso + SuperPC	0.604125824273748	0.582213691618682	0.551552945450142	0.579297487114191	0.566883318534412
Lasso + survival-SVM	0.691677062912137	0.585412667946257	0.582490767088454	0.619860165982283	0.583951717517356
