"","x"
"1","SNHG5"
"2","CHKB.AS1"
"3","NUTM2A.AS1"
"4","MIR181A2HG"
"5","DLG3.AS1"
"6","LINC01134"
"7","NIFK.AS1"
"8","RP11.443B7.1"
"9","LSAMP.AS1"
"10","HMGN3.AS1"
"11","LPP.AS2"
"12","RP11.710C12.1"
"13","RP11.155O18.6"
"14","CASC15"
"15","FLJ16779"
