	V1	V2
AC011997.1-ATP6V0E2-AS1	AC011997.1	ATP6V0E2-AS1
AC011997.1-BANCR	AC011997.1	BANCR
AC011997.1-BARX1-AS1	AC011997.1	BARX1-AS1
AC011997.1-BCAR4	AC011997.1	BCAR4
AC011997.1-BCDIN3D-AS1	AC011997.1	BCDIN3D-AS1
AC011997.1-BOLA3-AS1	AC011997.1	BOLA3-AS1
AC011997.1-BVES-AS1	AC011997.1	BVES-AS1
AC011997.1-C1QTNF1-AS1	AC011997.1	C1QTNF1-AS1
AC011997.1-C1RL-AS1	AC011997.1	C1RL-AS1
AC011997.1-CACNA1G-AS1	AC011997.1	CACNA1G-AS1
AC011997.1-CADM3-AS1	AC011997.1	CADM3-AS1
AC011997.1-CAHM	AC011997.1	CAHM
AC011997.1-CASC11	AC011997.1	CASC11
AC011997.1-CASC16	AC011997.1	CASC16
AC011997.1-CASC17	AC011997.1	CASC17
AC011997.1-CASC18	AC011997.1	CASC18
AC011997.1-CASC2	AC011997.1	CASC2
AC011997.1-CCDC13-AS1	AC011997.1	CCDC13-AS1
AC011997.1-CCNT2-AS1	AC011997.1	CCNT2-AS1
AC011997.1-CELF2-AS1	AC011997.1	CELF2-AS1
AC011997.1-CEP83-AS1	AC011997.1	CEP83-AS1
AC011997.1-CFLAR-AS1	AC011997.1	CFLAR-AS1
AC011997.1-CHL1-AS1	AC011997.1	CHL1-AS1
AC011997.1-CLDN10-AS1	AC011997.1	CLDN10-AS1
AC011997.1-CLRN1-AS1	AC011997.1	CLRN1-AS1
AC011997.1-CLSTN2-AS1	AC011997.1	CLSTN2-AS1
AC011997.1-CLYBL-AS2	AC011997.1	CLYBL-AS2
AC011997.1-CPEB2-AS1	AC011997.1	CPEB2-AS1
AC011997.1-CPS1-IT1	AC011997.1	CPS1-IT1
AC011997.1-CSMD2-AS1	AC011997.1	CSMD2-AS1
AC011997.1-CYB561D2	AC011997.1	CYB561D2
AC011997.1-CYP1B1-AS1	AC011997.1	CYP1B1-AS1
AC011997.1-DACT3-AS1	AC011997.1	DACT3-AS1
AC011997.1-DBET	AC011997.1	DBET
AC011997.1-DBH-AS1	AC011997.1	DBH-AS1
AC011997.1-DDC-AS1	AC011997.1	DDC-AS1
AC011997.1-DDR1-AS1	AC011997.1	DDR1-AS1
AC011997.1-DGCR9	AC011997.1	DGCR9
AC011997.1-DIAPH2-AS1	AC011997.1	DIAPH2-AS1
AC011997.1-DICER1-AS1	AC011997.1	DICER1-AS1
AC011997.1-DIO3OS	AC011997.1	DIO3OS
AC011997.1-DKFZP434A062	AC011997.1	DKFZP434A062
AC011997.1-DKFZP434H168	AC011997.1	DKFZP434H168
AC011997.1-DKFZP434K028	AC011997.1	DKFZP434K028
AC011997.1-DLG1-AS1	AC011997.1	DLG1-AS1
AC011997.1-DLGAP1-AS1	AC011997.1	DLGAP1-AS1
AC011997.1-DLGAP1-AS2	AC011997.1	DLGAP1-AS2
AC011997.1-DLGAP2-AS1	AC011997.1	DLGAP2-AS1
AC011997.1-DLX6-AS1	AC011997.1	DLX6-AS1
AC011997.1-DNAJB8-AS1	AC011997.1	DNAJB8-AS1
AC011997.1-DNAJC9-AS1	AC011997.1	DNAJC9-AS1
AC011997.1-DNM3OS	AC011997.1	DNM3OS
AC011997.1-DOCK9-AS2	AC011997.1	DOCK9-AS2
AC011997.1-DSCAM-AS1	AC011997.1	DSCAM-AS1
AC011997.1-EGFLAM-AS2	AC011997.1	EGFLAM-AS2
AC011997.1-EGFLAM-AS4	AC011997.1	EGFLAM-AS4
AC011997.1-ELFN1-AS1	AC011997.1	ELFN1-AS1
AC011997.1-ELFN2	AC011997.1	ELFN2
AC011997.1-EMX2OS	AC011997.1	EMX2OS
AC011997.1-ENTPD1-AS1	AC011997.1	ENTPD1-AS1
AC011997.1-ENTPD3-AS1	AC011997.1	ENTPD3-AS1
AC011997.1-EP300-AS1	AC011997.1	EP300-AS1
AC011997.1-EPB41L4A-AS1	AC011997.1	EPB41L4A-AS1
AC011997.1-EPB41L4A-AS2	AC011997.1	EPB41L4A-AS2
AC011997.1-ERC2-IT1	AC011997.1	ERC2-IT1
AC011997.1-ERICH3-AS1	AC011997.1	ERICH3-AS1
AC011997.1-ESRG	AC011997.1	ESRG
AC011997.1-EXTL3-AS1	AC011997.1	EXTL3-AS1
AC011997.1-FAM13A-AS1	AC011997.1	FAM13A-AS1
AC011997.1-FAM181A-AS1	AC011997.1	FAM181A-AS1
AC011997.1-FAM201A	AC011997.1	FAM201A
AC011997.1-FAM212B-AS1	AC011997.1	FAM212B-AS1
AC011997.1-FAM223A	AC011997.1	FAM223A
AC011997.1-FAM223B	AC011997.1	FAM223B
AC011997.1-FAM224A	AC011997.1	FAM224A
AC011997.1-FAM66C	AC011997.1	FAM66C
AC011997.1-FAM66D	AC011997.1	FAM66D
AC011997.1-FAM87A	AC011997.1	FAM87A
AC011997.1-FAM95B1	AC011997.1	FAM95B1
AC011997.1-FAM99B	AC011997.1	FAM99B
AC011997.1-FBXL19-AS1	AC011997.1	FBXL19-AS1
AC011997.1-FENDRR	AC011997.1	FENDRR
AC011997.1-FER1L6-AS1	AC011997.1	FER1L6-AS1
AC011997.1-FGD5-AS1	AC011997.1	FGD5-AS1
AC011997.1-FGF13-AS1	AC011997.1	FGF13-AS1
AC011997.1-FGF14-AS2	AC011997.1	FGF14-AS2
AC011997.1-FLJ21408	AC011997.1	FLJ21408
AC011997.1-FLJ27354	AC011997.1	FLJ27354
AC011997.1-FLJ37453	AC011997.1	FLJ37453
AC011997.1-FLJ40288	AC011997.1	FLJ40288
AC011997.1-FOXD2-AS1	AC011997.1	FOXD2-AS1
