	V1	V2
DDX11-AS1-LINC00284	DDX11-AS1	LINC00284
DDX11-AS1-LINC00299	DDX11-AS1	LINC00299
DDX11-AS1-LINC00304	DDX11-AS1	LINC00304
DDX11-AS1-LINC00308	DDX11-AS1	LINC00308
DDX11-AS1-LINC00310	DDX11-AS1	LINC00310
DDX11-AS1-LINC00311	DDX11-AS1	LINC00311
DDX11-AS1-LINC00313	DDX11-AS1	LINC00313
DDX11-AS1-LINC00317	DDX11-AS1	LINC00317
DDX11-AS1-LINC00319	DDX11-AS1	LINC00319
DDX11-AS1-LINC00326	DDX11-AS1	LINC00326
DDX11-AS1-LINC00327	DDX11-AS1	LINC00327
DDX11-AS1-LINC00334	DDX11-AS1	LINC00334
DDX11-AS1-LINC00347	DDX11-AS1	LINC00347
DDX11-AS1-LINC00382	DDX11-AS1	LINC00382
DDX11-AS1-LINC00410	DDX11-AS1	LINC00410
DDX11-AS1-LINC00415	DDX11-AS1	LINC00415
DDX11-AS1-LINC00423	DDX11-AS1	LINC00423
DDX11-AS1-LINC00424	DDX11-AS1	LINC00424
DDX11-AS1-LINC00427	DDX11-AS1	LINC00427
DDX11-AS1-LINC00441	DDX11-AS1	LINC00441
DDX11-AS1-LINC00445	DDX11-AS1	LINC00445
DDX11-AS1-LINC00452	DDX11-AS1	LINC00452
DDX11-AS1-LINC00459	DDX11-AS1	LINC00459
DDX11-AS1-LINC00463	DDX11-AS1	LINC00463
DDX11-AS1-LINC00470	DDX11-AS1	LINC00470
DDX11-AS1-LINC00472	DDX11-AS1	LINC00472
DDX11-AS1-LINC00475	DDX11-AS1	LINC00475
DDX11-AS1-LINC00479	DDX11-AS1	LINC00479
DDX11-AS1-LINC00482	DDX11-AS1	LINC00482
DDX11-AS1-LINC00494	DDX11-AS1	LINC00494
DDX11-AS1-LINC00523	DDX11-AS1	LINC00523
DDX11-AS1-LINC00528	DDX11-AS1	LINC00528
DDX11-AS1-LINC00535	DDX11-AS1	LINC00535
DDX11-AS1-LINC00540	DDX11-AS1	LINC00540
DDX11-AS1-LINC00544	DDX11-AS1	LINC00544
DDX11-AS1-LINC00551	DDX11-AS1	LINC00551
DDX11-AS1-LINC00555	DDX11-AS1	LINC00555
DDX11-AS1-LINC00556	DDX11-AS1	LINC00556
DDX11-AS1-LINC00560	DDX11-AS1	LINC00560
DDX11-AS1-LINC00572	DDX11-AS1	LINC00572
DDX11-AS1-LINC00587	DDX11-AS1	LINC00587
DDX11-AS1-LINC00589	DDX11-AS1	LINC00589
DDX11-AS1-LINC00595	DDX11-AS1	LINC00595
DDX11-AS1-LINC00598	DDX11-AS1	LINC00598
DDX11-AS1-LINC00599	DDX11-AS1	LINC00599
DDX11-AS1-LINC00607	DDX11-AS1	LINC00607
DDX11-AS1-LINC00622	DDX11-AS1	LINC00622
DDX11-AS1-LINC00628	DDX11-AS1	LINC00628
DDX11-AS1-LINC00636	DDX11-AS1	LINC00636
DDX11-AS1-LINC00639	DDX11-AS1	LINC00639
DDX11-AS1-LINC00642	DDX11-AS1	LINC00642
DDX11-AS1-LINC00656	DDX11-AS1	LINC00656
DDX11-AS1-LINC00658	DDX11-AS1	LINC00658
DDX11-AS1-LINC00662	DDX11-AS1	LINC00662
DDX11-AS1-LINC00663	DDX11-AS1	LINC00663
DDX11-AS1-LINC00687	DDX11-AS1	LINC00687
DDX11-AS1-LINC00700	DDX11-AS1	LINC00700
DDX11-AS1-LINC00702	DDX11-AS1	LINC00702
DDX11-AS1-LINC00708	DDX11-AS1	LINC00708
DDX11-AS1-LINC00838	DDX11-AS1	LINC00838
DDX11-AS1-LINC00839	DDX11-AS1	LINC00839
DDX11-AS1-LINC00841	DDX11-AS1	LINC00841
DDX11-AS1-LINC00844	DDX11-AS1	LINC00844
DDX11-AS1-LINC00845	DDX11-AS1	LINC00845
DDX11-AS1-LINC00851	DDX11-AS1	LINC00851
DDX11-AS1-LINC00852	DDX11-AS1	LINC00852
DDX11-AS1-LINC00867	DDX11-AS1	LINC00867
DDX11-AS1-LINC00869	DDX11-AS1	LINC00869
DDX11-AS1-LINC00870	DDX11-AS1	LINC00870
DDX11-AS1-LINC00877	DDX11-AS1	LINC00877
DDX11-AS1-LINC00879	DDX11-AS1	LINC00879
DDX11-AS1-LINC00881	DDX11-AS1	LINC00881
DDX11-AS1-LINC00887	DDX11-AS1	LINC00887
DDX11-AS1-LINC00893	DDX11-AS1	LINC00893
DDX11-AS1-LINC00894	DDX11-AS1	LINC00894
DDX11-AS1-LINC00896	DDX11-AS1	LINC00896
DDX11-AS1-LINC00906	DDX11-AS1	LINC00906
DDX11-AS1-LINC00907	DDX11-AS1	LINC00907
DDX11-AS1-LINC00908	DDX11-AS1	LINC00908
DDX11-AS1-LINC00910	DDX11-AS1	LINC00910
DDX11-AS1-LINC00911	DDX11-AS1	LINC00911
DDX11-AS1-LINC00919	DDX11-AS1	LINC00919
DDX11-AS1-LINC00923	DDX11-AS1	LINC00923
DDX11-AS1-LINC00927	DDX11-AS1	LINC00927
DDX11-AS1-LINC00928	DDX11-AS1	LINC00928
DDX11-AS1-LINC00937	DDX11-AS1	LINC00937
DDX11-AS1-LINC00942	DDX11-AS1	LINC00942
DDX11-AS1-LINC00951	DDX11-AS1	LINC00951
DDX11-AS1-LINC00964	DDX11-AS1	LINC00964
DDX11-AS1-LINC00967	DDX11-AS1	LINC00967
DDX11-AS1-LINC00968	DDX11-AS1	LINC00968
DDX11-AS1-LINC00970	DDX11-AS1	LINC00970
DDX11-AS1-LINC00992	DDX11-AS1	LINC00992
DDX11-AS1-LINC01013	DDX11-AS1	LINC01013
DDX11-AS1-LINC01015	DDX11-AS1	LINC01015
DDX11-AS1-LINC01016	DDX11-AS1	LINC01016
DDX11-AS1-LINC01019	DDX11-AS1	LINC01019
DDX11-AS1-LINC01056	DDX11-AS1	LINC01056
DDX11-AS1-LINC01069	DDX11-AS1	LINC01069
DDX11-AS1-LINC01082	DDX11-AS1	LINC01082
DDX11-AS1-LINC01088	DDX11-AS1	LINC01088
DDX11-AS1-LINC01091	DDX11-AS1	LINC01091
DDX11-AS1-LINC01097	DDX11-AS1	LINC01097
DDX11-AS1-LINC01103	DDX11-AS1	LINC01103
DDX11-AS1-LINC01104	DDX11-AS1	LINC01104
DDX11-AS1-LINC01107	DDX11-AS1	LINC01107
DDX11-AS1-LINC01118	DDX11-AS1	LINC01118
DDX11-AS1-LINC01120	DDX11-AS1	LINC01120
DDX11-AS1-LINC01126	DDX11-AS1	LINC01126
DDX11-AS1-LINC01136	DDX11-AS1	LINC01136
DDX11-AS1-LINC01140	DDX11-AS1	LINC01140
DDX11-AS1-LINC01149	DDX11-AS1	LINC01149
DDX11-AS1-LINC01165	DDX11-AS1	LINC01165
DDX11-AS1-LINC01169	DDX11-AS1	LINC01169
DDX11-AS1-LINC01187	DDX11-AS1	LINC01187
DDX11-AS1-LINC01191	DDX11-AS1	LINC01191
DDX11-AS1-LINC01192	DDX11-AS1	LINC01192
DDX11-AS1-LINC01206	DDX11-AS1	LINC01206
DDX11-AS1-LINC01209	DDX11-AS1	LINC01209
DDX11-AS1-LINC01220	DDX11-AS1	LINC01220
DDX11-AS1-LINC01222	DDX11-AS1	LINC01222
DDX11-AS1-LINC01231	DDX11-AS1	LINC01231
DDX11-AS1-LINC01241	DDX11-AS1	LINC01241
DDX11-AS1-LINC01252	DDX11-AS1	LINC01252
DDX11-AS1-LINC01255	DDX11-AS1	LINC01255
DDX11-AS1-LINC01260	DDX11-AS1	LINC01260
DDX11-AS1-LINC01267	DDX11-AS1	LINC01267
DDX11-AS1-LINC01268	DDX11-AS1	LINC01268
DDX11-AS1-LINC01270	DDX11-AS1	LINC01270
DDX11-AS1-LINC01271	DDX11-AS1	LINC01271
DDX11-AS1-LINC01281	DDX11-AS1	LINC01281
DDX11-AS1-LINC01312	DDX11-AS1	LINC01312
DDX11-AS1-LINC01350	DDX11-AS1	LINC01350
DDX11-AS1-LINC01351	DDX11-AS1	LINC01351
DDX11-AS1-LINC01354	DDX11-AS1	LINC01354
DDX11-AS1-LINC01356	DDX11-AS1	LINC01356
DDX11-AS1-LINC01362	DDX11-AS1	LINC01362
DDX11-AS1-LINC01365	DDX11-AS1	LINC01365
DDX11-AS1-LINC01395	DDX11-AS1	LINC01395
DDX11-AS1-LINC01405	DDX11-AS1	LINC01405
DDX11-AS1-LINC01432	DDX11-AS1	LINC01432
DDX11-AS1-LINC01442	DDX11-AS1	LINC01442
DDX11-AS1-LIPE-AS1	DDX11-AS1	LIPE-AS1
DDX11-AS1-LRRC2-AS1	DDX11-AS1	LRRC2-AS1
DDX11-AS1-LSAMP-AS1	DDX11-AS1	LSAMP-AS1
DDX11-AS1-LY86-AS1	DDX11-AS1	LY86-AS1
DDX11-AS1-MAGI1-IT1	DDX11-AS1	MAGI1-IT1
DDX11-AS1-MAGI2-AS2	DDX11-AS1	MAGI2-AS2
DDX11-AS1-MAN1B1-AS1	DDX11-AS1	MAN1B1-AS1
DDX11-AS1-MEG3	DDX11-AS1	MEG3
DDX11-AS1-MIAT	DDX11-AS1	MIAT
DDX11-AS1-MIR124-2HG	DDX11-AS1	MIR124-2HG
DDX11-AS1-MIR4500HG	DDX11-AS1	MIR4500HG
DDX11-AS1-MRGPRG-AS1	DDX11-AS1	MRGPRG-AS1
DDX11-AS1-MYLK-AS1	DDX11-AS1	MYLK-AS1
DDX11-AS1-N4BP2L2-IT2	DDX11-AS1	N4BP2L2-IT2
DDX11-AS1-NALCN-AS1	DDX11-AS1	NALCN-AS1
DDX11-AS1-NAPA-AS1	DDX11-AS1	NAPA-AS1
DDX11-AS1-NAV2-AS5	DDX11-AS1	NAV2-AS5
DDX11-AS1-NAV2-IT1	DDX11-AS1	NAV2-IT1
DDX11-AS1-NDUFV2-AS1	DDX11-AS1	NDUFV2-AS1
DDX11-AS1-NHEG1	DDX11-AS1	NHEG1
DDX11-AS1-NOP14-AS1	DDX11-AS1	NOP14-AS1
DDX11-AS1-NPTN-IT1	DDX11-AS1	NPTN-IT1
DDX11-AS1-NR2F1-AS1	DDX11-AS1	NR2F1-AS1
DDX11-AS1-NTRK3-AS1	DDX11-AS1	NTRK3-AS1
DDX11-AS1-NUP50-AS1	DDX11-AS1	NUP50-AS1
DDX11-AS1-OGFRP1	DDX11-AS1	OGFRP1
DDX11-AS1-OVCH1-AS1	DDX11-AS1	OVCH1-AS1
DDX11-AS1-OVOL1-AS1	DDX11-AS1	OVOL1-AS1
DDX11-AS1-PAN3-AS1	DDX11-AS1	PAN3-AS1
DDX11-AS1-PARD3-AS1	DDX11-AS1	PARD3-AS1
DDX11-AS1-PARD6G-AS1	DDX11-AS1	PARD6G-AS1
DDX11-AS1-PAXBP1-AS1	DDX11-AS1	PAXBP1-AS1
DDX11-AS1-PCAT18	DDX11-AS1	PCAT18
DDX11-AS1-PCAT19	DDX11-AS1	PCAT19
DDX11-AS1-PCAT4	DDX11-AS1	PCAT4
DDX11-AS1-PCGEM1	DDX11-AS1	PCGEM1
DDX11-AS1-PDZRN3-AS1	DDX11-AS1	PDZRN3-AS1
DDX11-AS1-PGM5-AS1	DDX11-AS1	PGM5-AS1
DDX11-AS1-PLCG1-AS1	DDX11-AS1	PLCG1-AS1
DDX11-AS1-PLCH1-AS1	DDX11-AS1	PLCH1-AS1
DDX11-AS1-PP12613	DDX11-AS1	PP12613
DDX11-AS1-PRICKLE2-AS3	DDX11-AS1	PRICKLE2-AS3
DDX11-AS1-PRKG1-AS1	DDX11-AS1	PRKG1-AS1
DDX11-AS1-PROSER2-AS1	DDX11-AS1	PROSER2-AS1
DDX11-AS1-PSMB8-AS1	DDX11-AS1	PSMB8-AS1
DDX11-AS1-PTOV1-AS1	DDX11-AS1	PTOV1-AS1
DDX11-AS1-PWAR6	DDX11-AS1	PWAR6
DDX11-AS1-RAB11B-AS1	DDX11-AS1	RAB11B-AS1
DDX11-AS1-RAMP2-AS1	DDX11-AS1	RAMP2-AS1
DDX11-AS1-RAPGEF4-AS1	DDX11-AS1	RAPGEF4-AS1
DDX11-AS1-RARA-AS1	DDX11-AS1	RARA-AS1
DDX11-AS1-RASSF8-AS1	DDX11-AS1	RASSF8-AS1
DDX11-AS1-RBFADN	DDX11-AS1	RBFADN
DDX11-AS1-RBM26-AS1	DDX11-AS1	RBM26-AS1
DDX11-AS1-RBMS3-AS3	DDX11-AS1	RBMS3-AS3
DDX11-AS1-RBPMS-AS1	DDX11-AS1	RBPMS-AS1
DDX11-AS1-RFPL1S	DDX11-AS1	RFPL1S
DDX11-AS1-SCOC-AS1	DDX11-AS1	SCOC-AS1
DDX11-AS1-SDCBP2-AS1	DDX11-AS1	SDCBP2-AS1
DDX11-AS1-SFTA1P	DDX11-AS1	SFTA1P
DDX11-AS1-SH3PXD2A-AS1	DDX11-AS1	SH3PXD2A-AS1
DDX11-AS1-SH3RF3-AS1	DDX11-AS1	SH3RF3-AS1
DDX11-AS1-SHANK2-AS2	DDX11-AS1	SHANK2-AS2
DDX11-AS1-SHANK2-AS3	DDX11-AS1	SHANK2-AS3
DDX11-AS1-SLC16A1-AS1	DDX11-AS1	SLC16A1-AS1
DDX11-AS1-SLC2A1-AS1	DDX11-AS1	SLC2A1-AS1
DDX11-AS1-SLIT2-IT1	DDX11-AS1	SLIT2-IT1
DDX11-AS1-SMAD5-AS1	DDX11-AS1	SMAD5-AS1
DDX11-AS1-SMC5-AS1	DDX11-AS1	SMC5-AS1
DDX11-AS1-SMCR5	DDX11-AS1	SMCR5
DDX11-AS1-SND1-IT1	DDX11-AS1	SND1-IT1
DDX11-AS1-SNHG8	DDX11-AS1	SNHG8
DDX11-AS1-SNRK-AS1	DDX11-AS1	SNRK-AS1
DDX11-AS1-SORCS3-AS1	DDX11-AS1	SORCS3-AS1
DDX11-AS1-SOS1-IT1	DDX11-AS1	SOS1-IT1
DDX11-AS1-SOX21-AS1	DDX11-AS1	SOX21-AS1
DDX11-AS1-SPANXA2-OT1	DDX11-AS1	SPANXA2-OT1
DDX11-AS1-SPATA13	DDX11-AS1	SPATA13
DDX11-AS1-SPATA3-AS1	DDX11-AS1	SPATA3-AS1
DDX11-AS1-SSBP3-AS1	DDX11-AS1	SSBP3-AS1
DDX11-AS1-ST7-AS1	DDX11-AS1	ST7-AS1
DDX11-AS1-ST8SIA6-AS1	DDX11-AS1	ST8SIA6-AS1
DDX11-AS1-STX18-AS1	DDX11-AS1	STX18-AS1
DDX11-AS1-TBX5-AS1	DDX11-AS1	TBX5-AS1
DDX11-AS1-TEX26-AS1	DDX11-AS1	TEX26-AS1
DDX11-AS1-THRB-IT1	DDX11-AS1	THRB-IT1
DDX11-AS1-TIPARP-AS1	DDX11-AS1	TIPARP-AS1
DDX11-AS1-TMEM108-AS1	DDX11-AS1	TMEM108-AS1
DDX11-AS1-TMEM72-AS1	DDX11-AS1	TMEM72-AS1
DDX11-AS1-TRAF3IP2-AS1	DDX11-AS1	TRAF3IP2-AS1
DDX11-AS1-TRPM2-AS	DDX11-AS1	TRPM2-AS
DDX11-AS1-TSC22D1-AS1	DDX11-AS1	TSC22D1-AS1
DDX11-AS1-TTLL7-IT1	DDX11-AS1	TTLL7-IT1
DDX11-AS1-TTTY15	DDX11-AS1	TTTY15
DDX11-AS1-TTTY6	DDX11-AS1	TTTY6
DDX11-AS1-TTTY7	DDX11-AS1	TTTY7
DDX11-AS1-TTTY8	DDX11-AS1	TTTY8
DDX11-AS1-TUSC8	DDX11-AS1	TUSC8
DDX11-AS1-USP2-AS1	DDX11-AS1	USP2-AS1
DDX11-AS1-USP30-AS1	DDX11-AS1	USP30-AS1
DDX11-AS1-USP46-AS1	DDX11-AS1	USP46-AS1
DDX11-AS1-VPS13A-AS1	DDX11-AS1	VPS13A-AS1
DDX11-AS1-WDR11-AS1	DDX11-AS1	WDR11-AS1
DDX11-AS1-WWC2-AS2	DDX11-AS1	WWC2-AS2
DDX11-AS1-XIST	DDX11-AS1	XIST
DDX11-AS1-ZMIZ1-AS1	DDX11-AS1	ZMIZ1-AS1
DDX11-AS1-ZNF295-AS1	DDX11-AS1	ZNF295-AS1
DDX11-AS1-ZNF503-AS1	DDX11-AS1	ZNF503-AS1
DDX11-AS1-ZNF503-AS2	DDX11-AS1	ZNF503-AS2
DDX11-AS1-ZNF571-AS1	DDX11-AS1	ZNF571-AS1
DDX11-AS1-ZNF582-AS1	DDX11-AS1	ZNF582-AS1
DDX11-AS1-ZRANB2-AS1	DDX11-AS1	ZRANB2-AS1
DDX11-AS1-ZSCAN16-AS1	DDX11-AS1	ZSCAN16-AS1
DEPDC1-AS1-DGCR10	DEPDC1-AS1	DGCR10
DEPDC1-AS1-DGCR11	DEPDC1-AS1	DGCR11
DEPDC1-AS1-DIAPH2-AS1	DEPDC1-AS1	DIAPH2-AS1
DEPDC1-AS1-DIO2-AS1	DEPDC1-AS1	DIO2-AS1
DEPDC1-AS1-DIO3OS	DEPDC1-AS1	DIO3OS
DEPDC1-AS1-DKFZP434A062	DEPDC1-AS1	DKFZP434A062
DEPDC1-AS1-DKFZP434H168	DEPDC1-AS1	DKFZP434H168
DEPDC1-AS1-DKFZP434K028	DEPDC1-AS1	DKFZP434K028
DEPDC1-AS1-DLG1-AS1	DEPDC1-AS1	DLG1-AS1
DEPDC1-AS1-DLGAP1-AS2	DEPDC1-AS1	DLGAP1-AS2
DEPDC1-AS1-DLGAP2-AS1	DEPDC1-AS1	DLGAP2-AS1
DEPDC1-AS1-DLX6-AS1	DEPDC1-AS1	DLX6-AS1
DEPDC1-AS1-DNAJC27-AS1	DEPDC1-AS1	DNAJC27-AS1
DEPDC1-AS1-DNAJC9-AS1	DEPDC1-AS1	DNAJC9-AS1
DEPDC1-AS1-DNM1P35	DEPDC1-AS1	DNM1P35
DEPDC1-AS1-DOCK9-AS2	DEPDC1-AS1	DOCK9-AS2
DEPDC1-AS1-DPP10-AS3	DEPDC1-AS1	DPP10-AS3
DEPDC1-AS1-DSCAM-AS1	DEPDC1-AS1	DSCAM-AS1
DEPDC1-AS1-EGFLAM-AS2	DEPDC1-AS1	EGFLAM-AS2
DEPDC1-AS1-EGFLAM-AS4	DEPDC1-AS1	EGFLAM-AS4
DEPDC1-AS1-ELFN1-AS1	DEPDC1-AS1	ELFN1-AS1
DEPDC1-AS1-ELFN2	DEPDC1-AS1	ELFN2
DEPDC1-AS1-EMX2OS	DEPDC1-AS1	EMX2OS
DEPDC1-AS1-ENTPD1-AS1	DEPDC1-AS1	ENTPD1-AS1
DEPDC1-AS1-EPB41L4A-AS1	DEPDC1-AS1	EPB41L4A-AS1
DEPDC1-AS1-EPB41L4A-AS2	DEPDC1-AS1	EPB41L4A-AS2
DEPDC1-AS1-ERC2-IT1	DEPDC1-AS1	ERC2-IT1
DEPDC1-AS1-ERICH3-AS1	DEPDC1-AS1	ERICH3-AS1
DEPDC1-AS1-ESRG	DEPDC1-AS1	ESRG
DEPDC1-AS1-EXTL3-AS1	DEPDC1-AS1	EXTL3-AS1
DEPDC1-AS1-FAM181A-AS1	DEPDC1-AS1	FAM181A-AS1
DEPDC1-AS1-FAM212B-AS1	DEPDC1-AS1	FAM212B-AS1
DEPDC1-AS1-FAM215A	DEPDC1-AS1	FAM215A
DEPDC1-AS1-FAM222A-AS1	DEPDC1-AS1	FAM222A-AS1
DEPDC1-AS1-FAM223A	DEPDC1-AS1	FAM223A
DEPDC1-AS1-FAM224A	DEPDC1-AS1	FAM224A
DEPDC1-AS1-FAM66B	DEPDC1-AS1	FAM66B
DEPDC1-AS1-FAM66C	DEPDC1-AS1	FAM66C
DEPDC1-AS1-FAM66D	DEPDC1-AS1	FAM66D
DEPDC1-AS1-FAM87A	DEPDC1-AS1	FAM87A
DEPDC1-AS1-FAM95B1	DEPDC1-AS1	FAM95B1
DEPDC1-AS1-FBXL19-AS1	DEPDC1-AS1	FBXL19-AS1
DEPDC1-AS1-FENDRR	DEPDC1-AS1	FENDRR
DEPDC1-AS1-FER1L6-AS1	DEPDC1-AS1	FER1L6-AS1
DEPDC1-AS1-FGF10-AS1	DEPDC1-AS1	FGF10-AS1
DEPDC1-AS1-FGF13-AS1	DEPDC1-AS1	FGF13-AS1
DEPDC1-AS1-FGF14-AS2	DEPDC1-AS1	FGF14-AS2
DEPDC1-AS1-FLJ21408	DEPDC1-AS1	FLJ21408
DEPDC1-AS1-FLJ27354	DEPDC1-AS1	FLJ27354
DEPDC1-AS1-FLJ31104	DEPDC1-AS1	FLJ31104
DEPDC1-AS1-FLJ37453	DEPDC1-AS1	FLJ37453
DEPDC1-AS1-FLJ40288	DEPDC1-AS1	FLJ40288
DEPDC1-AS1-FOXN3-AS2	DEPDC1-AS1	FOXN3-AS2
DEPDC1-AS1-FOXP1-IT1	DEPDC1-AS1	FOXP1-IT1
DEPDC1-AS1-GATA3-AS1	DEPDC1-AS1	GATA3-AS1
DEPDC1-AS1-GATA6-AS1	DEPDC1-AS1	GATA6-AS1
DEPDC1-AS1-GHRLOS	DEPDC1-AS1	GHRLOS
DEPDC1-AS1-GLIDR	DEPDC1-AS1	GLIDR
DEPDC1-AS1-GLIS3-AS1	DEPDC1-AS1	GLIS3-AS1
DEPDC1-AS1-GNA14-AS1	DEPDC1-AS1	GNA14-AS1
DEPDC1-AS1-GTF3C2-AS1	DEPDC1-AS1	GTF3C2-AS1
DEPDC1-AS1-GTSE1-AS1	DEPDC1-AS1	GTSE1-AS1
DEPDC1-AS1-H1FX-AS1	DEPDC1-AS1	H1FX-AS1
DEPDC1-AS1-HAND2-AS1	DEPDC1-AS1	HAND2-AS1
DEPDC1-AS1-HCG18	DEPDC1-AS1	HCG18
DEPDC1-AS1-HCG9	DEPDC1-AS1	HCG9
DEPDC1-AS1-HCP5B	DEPDC1-AS1	HCP5B
DEPDC1-AS1-HMGN3-AS1	DEPDC1-AS1	HMGN3-AS1
DEPDC1-AS1-HMMR-AS1	DEPDC1-AS1	HMMR-AS1
DEPDC1-AS1-HOTTIP	DEPDC1-AS1	HOTTIP
DEPDC1-AS1-HOXA-AS3	DEPDC1-AS1	HOXA-AS3
DEPDC1-AS1-HOXA10-AS	DEPDC1-AS1	HOXA10-AS
DEPDC1-AS1-HOXA11-AS	DEPDC1-AS1	HOXA11-AS
DEPDC1-AS1-HOXB-AS3	DEPDC1-AS1	HOXB-AS3
DEPDC1-AS1-HPYR1	DEPDC1-AS1	HPYR1
DEPDC1-AS1-IGF2-AS	DEPDC1-AS1	IGF2-AS
DEPDC1-AS1-IL10RB-AS1	DEPDC1-AS1	IL10RB-AS1
DEPDC1-AS1-IL12A-AS1	DEPDC1-AS1	IL12A-AS1
DEPDC1-AS1-IL21R-AS1	DEPDC1-AS1	IL21R-AS1
DEPDC1-AS1-INE1	DEPDC1-AS1	INE1
DEPDC1-AS1-INTS6-AS1	DEPDC1-AS1	INTS6-AS1
DEPDC1-AS1-IPO9-AS1	DEPDC1-AS1	IPO9-AS1
DEPDC1-AS1-IQCF5-AS1	DEPDC1-AS1	IQCF5-AS1
DEPDC1-AS1-IQCJ-SCHIP1-AS1	DEPDC1-AS1	IQCJ-SCHIP1-AS1
DEPDC1-AS1-ISM1-AS1	DEPDC1-AS1	ISM1-AS1
DEPDC1-AS1-JAKMIP2-AS1	DEPDC1-AS1	JAKMIP2-AS1
DEPDC1-AS1-JARID2-AS1	DEPDC1-AS1	JARID2-AS1
DEPDC1-AS1-KCNQ1-AS1	DEPDC1-AS1	KCNQ1-AS1
DEPDC1-AS1-KCNQ1OT1	DEPDC1-AS1	KCNQ1OT1
DEPDC1-AS1-KIF9-AS1	DEPDC1-AS1	KIF9-AS1
DEPDC1-AS1-KIRREL3-AS3	DEPDC1-AS1	KIRREL3-AS3
DEPDC1-AS1-KRBOX1-AS1	DEPDC1-AS1	KRBOX1-AS1
DEPDC1-AS1-LINC-PINT	DEPDC1-AS1	LINC-PINT
DEPDC1-AS1-LINC00028	DEPDC1-AS1	LINC00028
DEPDC1-AS1-LINC00029	DEPDC1-AS1	LINC00029
DEPDC1-AS1-LINC00052	DEPDC1-AS1	LINC00052
DEPDC1-AS1-LINC00092	DEPDC1-AS1	LINC00092
DEPDC1-AS1-LINC00106	DEPDC1-AS1	LINC00106
DEPDC1-AS1-LINC00112	DEPDC1-AS1	LINC00112
DEPDC1-AS1-LINC00158	DEPDC1-AS1	LINC00158
DEPDC1-AS1-LINC00163	DEPDC1-AS1	LINC00163
DEPDC1-AS1-LINC00167	DEPDC1-AS1	LINC00167
DEPDC1-AS1-LINC00189	DEPDC1-AS1	LINC00189
DEPDC1-AS1-LINC00205	DEPDC1-AS1	LINC00205
DEPDC1-AS1-LINC00208	DEPDC1-AS1	LINC00208
DEPDC1-AS1-LINC00221	DEPDC1-AS1	LINC00221
DEPDC1-AS1-LINC00265	DEPDC1-AS1	LINC00265
DEPDC1-AS1-LINC00266-1	DEPDC1-AS1	LINC00266-1
DEPDC1-AS1-LINC00269	DEPDC1-AS1	LINC00269
DEPDC1-AS1-LINC00280	DEPDC1-AS1	LINC00280
DEPDC1-AS1-LINC00284	DEPDC1-AS1	LINC00284
DEPDC1-AS1-LINC00293	DEPDC1-AS1	LINC00293
DEPDC1-AS1-LINC00294	DEPDC1-AS1	LINC00294
DEPDC1-AS1-LINC00299	DEPDC1-AS1	LINC00299
DEPDC1-AS1-LINC00304	DEPDC1-AS1	LINC00304
DEPDC1-AS1-LINC00308	DEPDC1-AS1	LINC00308
DEPDC1-AS1-LINC00310	DEPDC1-AS1	LINC00310
DEPDC1-AS1-LINC00311	DEPDC1-AS1	LINC00311
DEPDC1-AS1-LINC00313	DEPDC1-AS1	LINC00313
DEPDC1-AS1-LINC00315	DEPDC1-AS1	LINC00315
DEPDC1-AS1-LINC00326	DEPDC1-AS1	LINC00326
DEPDC1-AS1-LINC00327	DEPDC1-AS1	LINC00327
DEPDC1-AS1-LINC00334	DEPDC1-AS1	LINC00334
DEPDC1-AS1-LINC00347	DEPDC1-AS1	LINC00347
DEPDC1-AS1-LINC00354	DEPDC1-AS1	LINC00354
DEPDC1-AS1-LINC00382	DEPDC1-AS1	LINC00382
DEPDC1-AS1-LINC00396	DEPDC1-AS1	LINC00396
DEPDC1-AS1-LINC00410	DEPDC1-AS1	LINC00410
DEPDC1-AS1-LINC00423	DEPDC1-AS1	LINC00423
DEPDC1-AS1-LINC00424	DEPDC1-AS1	LINC00424
DEPDC1-AS1-LINC00427	DEPDC1-AS1	LINC00427
DEPDC1-AS1-LINC00441	DEPDC1-AS1	LINC00441
DEPDC1-AS1-LINC00452	DEPDC1-AS1	LINC00452
DEPDC1-AS1-LINC00458	DEPDC1-AS1	LINC00458
DEPDC1-AS1-LINC00460	DEPDC1-AS1	LINC00460
DEPDC1-AS1-LINC00463	DEPDC1-AS1	LINC00463
DEPDC1-AS1-LINC00470	DEPDC1-AS1	LINC00470
DEPDC1-AS1-LINC00472	DEPDC1-AS1	LINC00472
DEPDC1-AS1-LINC00482	DEPDC1-AS1	LINC00482
DEPDC1-AS1-LINC00520	DEPDC1-AS1	LINC00520
DEPDC1-AS1-LINC00523	DEPDC1-AS1	LINC00523
DEPDC1-AS1-LINC00528	DEPDC1-AS1	LINC00528
DEPDC1-AS1-LINC00540	DEPDC1-AS1	LINC00540
DEPDC1-AS1-LINC00544	DEPDC1-AS1	LINC00544
DEPDC1-AS1-LINC00551	DEPDC1-AS1	LINC00551
DEPDC1-AS1-LINC00555	DEPDC1-AS1	LINC00555
DEPDC1-AS1-LINC00556	DEPDC1-AS1	LINC00556
DEPDC1-AS1-LINC00559	DEPDC1-AS1	LINC00559
DEPDC1-AS1-LINC00560	DEPDC1-AS1	LINC00560
DEPDC1-AS1-LINC00567	DEPDC1-AS1	LINC00567
