	V1	V2	avg1	avg2	dirct	altb.N	agtb.N	altb.T	agtb.T	p	FDR
CLRN1-AS1-FENDRR	CLRN1-AS1	FENDRR	-119.76	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
CLRN1-AS1-LINC00472	CLRN1-AS1	LINC00472	-119.76	-894.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
CLRN1-AS1-LINC00702	CLRN1-AS1	LINC00702	-119.76	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
CLRN1-AS1-LINC00968	CLRN1-AS1	LINC00968	-119.76	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
CLRN1-AS1-PCAT19	CLRN1-AS1	PCAT19	-119.76	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
CLSTN2-AS1-FENDRR	CLSTN2-AS1	FENDRR	-22.16	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
CLSTN2-AS1-LINC00472	CLSTN2-AS1	LINC00472	-22.16	-894.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
CLSTN2-AS1-LINC00702	CLSTN2-AS1	LINC00702	-22.16	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
CLSTN2-AS1-LINC00968	CLSTN2-AS1	LINC00968	-22.16	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
CLSTN2-AS1-PCAT19	CLSTN2-AS1	PCAT19	-22.16	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
CLSTN2-AS1-TBX5-AS1	CLSTN2-AS1	TBX5-AS1	-22.16	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
CLYBL-AS2-EPB41L4A-AS2	CLYBL-AS2	EPB41L4A-AS2	-68.24	-714.44	same	25	0	8	17	2.19667579980118e-07	1.31489467053444e-06
CLYBL-AS2-FENDRR	CLYBL-AS2	FENDRR	-68.24	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
CLYBL-AS2-GATA6-AS1	CLYBL-AS2	GATA6-AS1	-68.24	-687.08	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
CLYBL-AS2-LINC00472	CLYBL-AS2	LINC00472	-68.24	-894.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
CLYBL-AS2-LINC00702	CLYBL-AS2	LINC00702	-68.24	-952.36	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
CLYBL-AS2-LINC00968	CLYBL-AS2	LINC00968	-68.24	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
CLYBL-AS2-PAN3-AS1	CLYBL-AS2	PAN3-AS1	-68.24	-749.2	same	25	0	8	17	2.19667579980118e-07	1.31489467053444e-06
CLYBL-AS2-PCAT19	CLYBL-AS2	PCAT19	-68.24	-1046.2	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
CLYBL-AS2-SPATA13	CLYBL-AS2	SPATA13	-68.24	-576.6	same	24	1	10	15	3.40240673880314e-05	0.000176320887271578
CLYBL-AS2-TBX5-AS1	CLYBL-AS2	TBX5-AS1	-68.24	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
CPEB2-AS1-EPB41L4A-AS2	CPEB2-AS1	EPB41L4A-AS2	-74.84	-714.44	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
CPEB2-AS1-FENDRR	CPEB2-AS1	FENDRR	-74.84	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
CPEB2-AS1-LINC00702	CPEB2-AS1	LINC00702	-74.84	-952.36	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
CPEB2-AS1-LINC00968	CPEB2-AS1	LINC00968	-74.84	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
CPEB2-AS1-PCAT19	CPEB2-AS1	PCAT19	-74.84	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
CPEB2-AS1-TBX5-AS1	CPEB2-AS1	TBX5-AS1	-74.84	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
CTBP1-AS-FENDRR	CTBP1-AS	FENDRR	-42.8000000000001	-960.32	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
CTBP1-AS-LINC00472	CTBP1-AS	LINC00472	-42.8000000000001	-894.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
CTBP1-AS-LINC00968	CTBP1-AS	LINC00968	-42.8000000000001	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
CTBP1-AS-PAN3-AS1	CTBP1-AS	PAN3-AS1	-42.8000000000001	-749.2	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
CTBP1-AS-PCAT19	CTBP1-AS	PCAT19	-42.8000000000001	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
CYP51A1-AS1-FENDRR	CYP51A1-AS1	FENDRR	-106.84	-960.32	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
CYP51A1-AS1-LINC00472	CYP51A1-AS1	LINC00472	-106.84	-894.16	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
CYP51A1-AS1-LINC00702	CYP51A1-AS1	LINC00702	-106.84	-952.36	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
CYP51A1-AS1-LINC00968	CYP51A1-AS1	LINC00968	-106.84	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
CYP51A1-AS1-LINC01268	CYP51A1-AS1	LINC01268	-106.84	-836.4	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
CYP51A1-AS1-PAN3-AS1	CYP51A1-AS1	PAN3-AS1	-106.84	-749.2	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
CYP51A1-AS1-PCAT19	CYP51A1-AS1	PCAT19	-106.84	-1046.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
DACT3-AS1-FENDRR	DACT3-AS1	FENDRR	-156.52	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
DACT3-AS1-LINC00968	DACT3-AS1	LINC00968	-156.52	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DACT3-AS1-PAN3-AS1	DACT3-AS1	PAN3-AS1	-156.52	-749.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
DACT3-AS1-PCAT19	DACT3-AS1	PCAT19	-156.52	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DBET-FENDRR	DBET	FENDRR	-2.27999999999997	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
DBET-LINC00968	DBET	LINC00968	-2.27999999999997	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DBET-PCAT19	DBET	PCAT19	-2.27999999999997	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DBET-TBX5-AS1	DBET	TBX5-AS1	-2.27999999999997	-888.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DBH-AS1-FENDRR	DBH-AS1	FENDRR	-39.48	-960.32	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DBH-AS1-LINC00702	DBH-AS1	LINC00702	-39.48	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
DBH-AS1-LINC00968	DBH-AS1	LINC00968	-39.48	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DBH-AS1-PCAT19	DBH-AS1	PCAT19	-39.48	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DDC-AS1-FENDRR	DDC-AS1	FENDRR	-126.68	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
DDC-AS1-LINC00968	DDC-AS1	LINC00968	-126.68	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DDC-AS1-PAN3-AS1	DDC-AS1	PAN3-AS1	-126.68	-749.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
DDC-AS1-PCAT19	DDC-AS1	PCAT19	-126.68	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DDX11-AS1-FAM222A-AS1	DDX11-AS1	FAM222A-AS1	155.36	13.96	same	25	0	19	6	0.022289766970618	0.083827089307486
DDX11-AS1-PTOV1-AS1	DDX11-AS1	PTOV1-AS1	155.36	67.48	same	25	0	19	6	0.022289766970618	0.083827089307486
DGCR11-EPB41L4A-AS2	DGCR11	EPB41L4A-AS2	-95.4000000000001	-714.44	same	25	0	6	19	1.1649038332279e-08	7.69099065436733e-08
DGCR11-FENDRR	DGCR11	FENDRR	-95.4000000000001	-960.32	same	25	0	5	20	2.25465258044109e-09	1.60169653181491e-08
DGCR11-LINC00968	DGCR11	LINC00968	-95.4000000000001	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DGCR11-PCAT19	DGCR11	PCAT19	-95.4000000000001	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DGCR11-TBX5-AS1	DGCR11	TBX5-AS1	-95.4000000000001	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
DIAPH3-AS1-EPB41L4A-AS2	DIAPH3-AS1	EPB41L4A-AS2	-3.84000000000003	-714.44	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
DIAPH3-AS1-FENDRR	DIAPH3-AS1	FENDRR	-3.84000000000003	-960.32	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DIAPH3-AS1-LINC00968	DIAPH3-AS1	LINC00968	-3.84000000000003	-1068.28	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
DIAPH3-AS1-PCAT19	DIAPH3-AS1	PCAT19	-3.84000000000003	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DIAPH3-AS1-TBX5-AS1	DIAPH3-AS1	TBX5-AS1	-3.84000000000003	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
DIO2-AS1-FENDRR	DIO2-AS1	FENDRR	-16.6	-960.32	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DIO2-AS1-LINC00968	DIO2-AS1	LINC00968	-16.6	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DIO2-AS1-LINC01268	DIO2-AS1	LINC01268	-16.6	-836.4	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
DIO2-AS1-PCAT19	DIO2-AS1	PCAT19	-16.6	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DIO3OS-FENDRR	DIO3OS	FENDRR	-317.28	-960.32	same	25	0	5	20	2.25465258044109e-09	1.60169653181491e-08
DIO3OS-LINC00472	DIO3OS	LINC00472	-317.28	-894.16	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
DIO3OS-LINC00968	DIO3OS	LINC00968	-317.28	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DKFZP434A062-EPB41L4A-AS2	DKFZP434A062	EPB41L4A-AS2	-23.76	-714.44	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
DKFZP434A062-FENDRR	DKFZP434A062	FENDRR	-23.76	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
DKFZP434A062-LINC00702	DKFZP434A062	LINC00702	-23.76	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
DKFZP434A062-LINC00968	DKFZP434A062	LINC00968	-23.76	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DKFZP434A062-PCAT19	DKFZP434A062	PCAT19	-23.76	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DKFZP434A062-TBX5-AS1	DKFZP434A062	TBX5-AS1	-23.76	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
DLGAP1-AS1-FENDRR	DLGAP1-AS1	FENDRR	-65.92	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
DLGAP1-AS1-LINC00968	DLGAP1-AS1	LINC00968	-65.92	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DLGAP1-AS1-PCAT19	DLGAP1-AS1	PCAT19	-65.92	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DLGAP1-AS2-FENDRR	DLGAP1-AS2	FENDRR	-119.72	-960.32	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
DNAJC27-AS1-FENDRR	DNAJC27-AS1	FENDRR	-98.88	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
DNAJC27-AS1-LINC00968	DNAJC27-AS1	LINC00968	-98.88	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DNAJC27-AS1-LINC01268	DNAJC27-AS1	LINC01268	-98.88	-836.4	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
DNAJC27-AS1-PCAT19	DNAJC27-AS1	PCAT19	-98.88	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DNAJC9-AS1-FENDRR	DNAJC9-AS1	FENDRR	-43.04	-960.32	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DNAJC9-AS1-LINC00472	DNAJC9-AS1	LINC00472	-43.04	-894.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
DNAJC9-AS1-LINC00968	DNAJC9-AS1	LINC00968	-43.04	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DNAJC9-AS1-LINC01268	DNAJC9-AS1	LINC01268	-43.04	-836.4	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
DNAJC9-AS1-TBX5-AS1	DNAJC9-AS1	TBX5-AS1	-43.04	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
DNM3OS-LINC00968	DNM3OS	LINC00968	-301.68	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DOCK9-AS2-EPB41L4A-AS2	DOCK9-AS2	EPB41L4A-AS2	-75.88	-714.44	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
DOCK9-AS2-FENDRR	DOCK9-AS2	FENDRR	-75.88	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
DOCK9-AS2-LINC00968	DOCK9-AS2	LINC00968	-75.88	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
DOCK9-AS2-PCAT19	DOCK9-AS2	PCAT19	-75.88	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DOCK9-AS2-TBX5-AS1	DOCK9-AS2	TBX5-AS1	-75.88	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
DPH6-AS1-EPB41L4A-AS1	DPH6-AS1	EPB41L4A-AS1	-156.16	-568	same	24	1	12	13	0.000286752727587379	0.00137969586207909
DPH6-AS1-EPB41L4A-AS2	DPH6-AS1	EPB41L4A-AS2	-156.16	-714.44	same	25	0	16	9	0.00163083541184905	0.00738606431437161
DPH6-AS1-FENDRR	DPH6-AS1	FENDRR	-156.16	-960.32	same	25	0	11	14	9.50561527913961e-06	5.19442506010126e-05
DPH6-AS1-GATA6-AS1	DPH6-AS1	GATA6-AS1	-156.16	-687.08	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
DPH6-AS1-HOXB-AS3	DPH6-AS1	HOXB-AS3	-156.16	-624.04	same	25	0	17	8	0.00402912278221531	0.0173806217932915
DPH6-AS1-LINC00092	DPH6-AS1	LINC00092	-156.16	-531.56	same	25	0	19	6	0.022289766970618	0.083827089307486
DPH6-AS1-LINC00472	DPH6-AS1	LINC00472	-156.16	-894.16	same	25	0	4	21	3.75775430073515e-10	3.06504298415304e-09
DPH6-AS1-LINC00622	DPH6-AS1	LINC00622	-156.16	-845.6	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
DPH6-AS1-LINC00702	DPH6-AS1	LINC00702	-156.16	-952.36	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
DPH6-AS1-LINC00844	DPH6-AS1	LINC00844	-156.16	-643.48	same	24	1	16	9	0.010580541940289	0.0414919913756488
DPH6-AS1-LINC00852	DPH6-AS1	LINC00852	-156.16	-563.08	same	24	1	17	8	0.0232154217451454	0.0838549592376684
DPH6-AS1-LINC00968	DPH6-AS1	LINC00968	-156.16	-1068.28	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
DPH6-AS1-LINC01082	DPH6-AS1	LINC01082	-156.16	-618.16	same	24	1	15	10	0.00461407092132902	0.0193249529931748
DPH6-AS1-LINC01140	DPH6-AS1	LINC01140	-156.16	-510.44	same	24	1	17	8	0.0232154217451454	0.0838549592376684
DPH6-AS1-LINC01268	DPH6-AS1	LINC01268	-156.16	-836.4	same	25	0	11	14	9.50561527913961e-06	5.19442506010126e-05
DPH6-AS1-NR2F1-AS1	DPH6-AS1	NR2F1-AS1	-156.16	-508.32	same	24	1	13	12	0.000762033491544358	0.00352573056259804
DPH6-AS1-PAN3-AS1	DPH6-AS1	PAN3-AS1	-156.16	-749.2	same	25	0	17	8	0.00402912278221531	0.0173806217932915
DPH6-AS1-PCAT19	DPH6-AS1	PCAT19	-156.16	-1046.2	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
DPH6-AS1-PGM5-AS1	DPH6-AS1	PGM5-AS1	-156.16	-871.4	same	25	0	4	21	3.75775430073515e-10	3.06504298415304e-09
DPH6-AS1-RARA-AS1	DPH6-AS1	RARA-AS1	-156.16	-608.4	same	25	0	16	9	0.00163083541184905	0.00738606431437161
DPH6-AS1-SFTA1P	DPH6-AS1	SFTA1P	-156.16	-810.56	same	25	0	6	19	1.1649038332279e-08	7.69099065436733e-08
DPH6-AS1-SPATA13	DPH6-AS1	SPATA13	-156.16	-576.6	same	24	1	16	9	0.010580541940289	0.0414919913756488
DPH6-AS1-TBX5-AS1	DPH6-AS1	TBX5-AS1	-156.16	-888.2	same	24	1	10	15	3.40240673880314e-05	0.000176320887271578
DPP10-AS1-FAM95B1	DPP10-AS1	FAM95B1	748.64	50.0799999999999	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
DPP10-AS1-LINC00482	DPP10-AS1	LINC00482	748.64	77.1199999999999	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
DPP10-AS1-LINC00659	DPP10-AS1	LINC00659	748.64	169.52	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
DPP10-AS1-LINC01091	DPP10-AS1	LINC01091	748.64	48.1600000000001	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
DPP10-AS1-LINC01204	DPP10-AS1	LINC01204	748.64	10.8399999999999	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
DPP10-AS1-LINC01213	DPP10-AS1	LINC01213	748.64	32.84	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
DPP10-AS1-LINC01448	DPP10-AS1	LINC01448	748.64	66.4	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
DPP10-AS1-NAV2-IT1	DPP10-AS1	NAV2-IT1	748.64	20.12	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
DPP10-AS1-TIPARP-AS1	DPP10-AS1	TIPARP-AS1	748.64	62.28	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
DPP10-AS1-WWTR1-AS1	DPP10-AS1	WWTR1-AS1	748.64	4.75999999999999	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
DPP10-AS3-FENDRR	DPP10-AS3	FENDRR	-52.48	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
DPP10-AS3-LINC00702	DPP10-AS3	LINC00702	-52.48	-952.36	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
DPP10-AS3-LINC00968	DPP10-AS3	LINC00968	-52.48	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
DPP10-AS3-PCAT19	DPP10-AS3	PCAT19	-52.48	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
EGFLAM-AS4-FENDRR	EGFLAM-AS4	FENDRR	-10.4000000000001	-960.32	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
EGFLAM-AS4-LINC00472	EGFLAM-AS4	LINC00472	-10.4000000000001	-894.16	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
EGFLAM-AS4-LINC00702	EGFLAM-AS4	LINC00702	-10.4000000000001	-952.36	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
EGFLAM-AS4-LINC00968	EGFLAM-AS4	LINC00968	-10.4000000000001	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
EGFLAM-AS4-PAN3-AS1	EGFLAM-AS4	PAN3-AS1	-10.4000000000001	-749.2	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
EGFLAM-AS4-PCAT19	EGFLAM-AS4	PCAT19	-10.4000000000001	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
EIF3J-AS1-FENDRR	EIF3J-AS1	FENDRR	-282.72	-960.32	same	25	0	5	20	2.25465258044109e-09	1.60169653181491e-08
EIF3J-AS1-LINC00622	EIF3J-AS1	LINC00622	-282.72	-845.6	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
EIF3J-AS1-LINC00968	EIF3J-AS1	LINC00968	-282.72	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
EIF3J-AS1-LINC01268	EIF3J-AS1	LINC01268	-282.72	-836.4	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
EIF3J-AS1-PCAT19	EIF3J-AS1	PCAT19	-282.72	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
EIF3J-AS1-TBX5-AS1	EIF3J-AS1	TBX5-AS1	-282.72	-888.2	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
ELFN1-AS1-FENDRR	ELFN1-AS1	FENDRR	-19.76	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
ELFN1-AS1-LINC00968	ELFN1-AS1	LINC00968	-19.76	-1068.28	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
ELFN1-AS1-PCAT19	ELFN1-AS1	PCAT19	-19.76	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
ELFN1-AS1-TBX5-AS1	ELFN1-AS1	TBX5-AS1	-19.76	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
ELOVL2-AS1-EPB41L4A-AS1	ELOVL2-AS1	EPB41L4A-AS1	-24.12	-568	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
ELOVL2-AS1-EPB41L4A-AS2	ELOVL2-AS1	EPB41L4A-AS2	-24.12	-714.44	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
ELOVL2-AS1-FENDRR	ELOVL2-AS1	FENDRR	-24.12	-960.32	same	25	0	4	21	3.75775430073515e-10	3.06504298415304e-09
ELOVL2-AS1-HOXB-AS3	ELOVL2-AS1	HOXB-AS3	-24.12	-624.04	same	24	1	9	16	1.0592858856819e-05	5.6830735785233e-05
ELOVL2-AS1-LINC00472	ELOVL2-AS1	LINC00472	-24.12	-894.16	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
ELOVL2-AS1-LINC00702	ELOVL2-AS1	LINC00702	-24.12	-952.36	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
ELOVL2-AS1-LINC00968	ELOVL2-AS1	LINC00968	-24.12	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
ELOVL2-AS1-LINC01268	ELOVL2-AS1	LINC01268	-24.12	-836.4	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
ELOVL2-AS1-PAN3-AS1	ELOVL2-AS1	PAN3-AS1	-24.12	-749.2	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
ELOVL2-AS1-PCAT19	ELOVL2-AS1	PCAT19	-24.12	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
ELOVL2-AS1-RARA-AS1	ELOVL2-AS1	RARA-AS1	-24.12	-608.4	same	24	1	9	16	1.0592858856819e-05	5.6830735785233e-05
ENTPD1-AS1-FENDRR	ENTPD1-AS1	FENDRR	-125.52	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
ENTPD1-AS1-LINC00472	ENTPD1-AS1	LINC00472	-125.52	-894.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
ENTPD1-AS1-LINC00702	ENTPD1-AS1	LINC00702	-125.52	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
ENTPD1-AS1-LINC00968	ENTPD1-AS1	LINC00968	-125.52	-1068.28	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
ENTPD1-AS1-LINC01268	ENTPD1-AS1	LINC01268	-125.52	-836.4	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
ENTPD1-AS1-PCAT19	ENTPD1-AS1	PCAT19	-125.52	-1046.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
ENTPD1-AS1-PGM5-AS1	ENTPD1-AS1	PGM5-AS1	-125.52	-871.4	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
ENTPD1-AS1-TBX5-AS1	ENTPD1-AS1	TBX5-AS1	-125.52	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
ENTPD3-AS1-FENDRR	ENTPD3-AS1	FENDRR	-202.68	-960.32	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
ENTPD3-AS1-LINC00968	ENTPD3-AS1	LINC00968	-202.68	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
ENTPD3-AS1-TBX5-AS1	ENTPD3-AS1	TBX5-AS1	-202.68	-888.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
EP300-AS1-FENDRR	EP300-AS1	FENDRR	-680	-960.32	same	25	0	16	9	0.00163083541184905	0.00738606431437161
EPB41L4A-AS1-FENDRR	EPB41L4A-AS1	FENDRR	-568	-960.32	same	25	0	12	13	2.93089804440138e-05	0.00015486991934592
EPB41L4A-AS1-LINC00968	EPB41L4A-AS1	LINC00968	-568	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
EPB41L4A-AS1-PCAT19	EPB41L4A-AS1	PCAT19	-568	-1046.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
EPHA1-AS1-FENDRR	EPHA1-AS1	FENDRR	-114.32	-960.32	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
EPHA1-AS1-LINC00472	EPHA1-AS1	LINC00472	-114.32	-894.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
EPHA1-AS1-LINC00702	EPHA1-AS1	LINC00702	-114.32	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
EPHA1-AS1-LINC00968	EPHA1-AS1	LINC00968	-114.32	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
EPHA1-AS1-LINC01268	EPHA1-AS1	LINC01268	-114.32	-836.4	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
EPHA1-AS1-PAN3-AS1	EPHA1-AS1	PAN3-AS1	-114.32	-749.2	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
