	V1	V2	avg1	avg2	dirct	altb.N	agtb.N	altb.T	agtb.T	p	FDR
AC067956.1-EPB41L4A-AS1	AC067956.1	EPB41L4A-AS1	-54.56	-568	same	24	1	12	13	0.000286752727587379	0.00137969586207909
AC067956.1-EPB41L4A-AS2	AC067956.1	EPB41L4A-AS2	-54.56	-714.44	same	25	0	12	13	2.93089804440138e-05	0.00015486991934592
AC067956.1-FAM223A	AC067956.1	FAM223A	-54.56	-359.16	same	24	1	15	10	0.00461407092132902	0.0193249529931748
AC067956.1-FENDRR	AC067956.1	FENDRR	-54.56	-960.32	same	25	0	8	17	2.19667579980118e-07	1.31489467053444e-06
AC067956.1-GATA6-AS1	AC067956.1	GATA6-AS1	-54.56	-687.08	same	25	0	10	15	2.90449355751488e-06	1.6450642300871e-05
AC067956.1-GLIDR	AC067956.1	GLIDR	-54.56	-427.04	same	24	1	17	8	0.0232154217451454	0.0838549592376684
AC067956.1-HOTAIRM1	AC067956.1	HOTAIRM1	-54.56	-481.28	same	24	1	11	14	0.000101921319381886	0.000509227963166369
AC067956.1-LINC00472	AC067956.1	LINC00472	-54.56	-894.16	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
AC067956.1-LINC00551	AC067956.1	LINC00551	-54.56	-546.6	same	24	1	16	9	0.010580541940289	0.0414919913756488
AC067956.1-LINC00702	AC067956.1	LINC00702	-54.56	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
AC067956.1-LINC00844	AC067956.1	LINC00844	-54.56	-643.48	same	25	0	11	14	9.50561527913961e-06	5.19442506010126e-05
AC067956.1-LINC00968	AC067956.1	LINC00968	-54.56	-1068.28	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
AC067956.1-LINC01268	AC067956.1	LINC01268	-54.56	-836.4	same	25	0	8	17	2.19667579980118e-07	1.31489467053444e-06
AC067956.1-PAN3-AS1	AC067956.1	PAN3-AS1	-54.56	-749.2	same	24	1	11	14	0.000101921319381886	0.000509227963166369
AC067956.1-PCAT19	AC067956.1	PCAT19	-54.56	-1046.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AC067956.1-PGM5-AS1	AC067956.1	PGM5-AS1	-54.56	-871.4	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
AC067956.1-RBMS3-AS3	AC067956.1	RBMS3-AS3	-54.56	-561.24	same	24	1	16	9	0.010580541940289	0.0414919913756488
AC067956.1-SFTA1P	AC067956.1	SFTA1P	-54.56	-810.56	same	25	0	4	21	3.75775430073515e-10	3.06504298415304e-09
AC067956.1-SH3RF3-AS1	AC067956.1	SH3RF3-AS1	-54.56	-469.04	same	24	1	17	8	0.0232154217451454	0.0838549592376684
AC067956.1-TBX5-AS1	AC067956.1	TBX5-AS1	-54.56	-888.2	same	24	1	8	17	3.04871974639072e-06	1.69066666397167e-05
AC067956.1-XIST	AC067956.1	XIST	-54.56	-204.16	same	25	0	17	8	0.00402912278221531	0.0173806217932915
AC078883.3-FENDRR	AC078883.3	FENDRR	-84.9200000000001	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
AC078883.3-LINC00702	AC078883.3	LINC00702	-84.9200000000001	-952.36	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AC078883.3-LINC00968	AC078883.3	LINC00968	-84.9200000000001	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AC078883.3-PCAT19	AC078883.3	PCAT19	-84.9200000000001	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AC083843.1-FENDRR	AC083843.1	FENDRR	-427.56	-960.32	same	25	0	9	16	8.29855302147108e-07	4.76448213445787e-06
AC083843.1-LINC00968	AC083843.1	LINC00968	-427.56	-1068.28	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AC083843.1-PCAT19	AC083843.1	PCAT19	-427.56	-1046.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AC091133.1-FENDRR	AC091133.1	FENDRR	-60.84	-960.32	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
AC091133.1-LINC00702	AC091133.1	LINC00702	-60.84	-952.36	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AC091133.1-LINC00968	AC091133.1	LINC00968	-60.84	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AC091133.1-PCAT19	AC091133.1	PCAT19	-60.84	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AC092660.1-EPB41L4A-AS2	AC092660.1	EPB41L4A-AS2	-63.48	-714.44	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
AC092660.1-FENDRR	AC092660.1	FENDRR	-63.48	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
AC092660.1-LINC00472	AC092660.1	LINC00472	-63.48	-894.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
AC092660.1-LINC00968	AC092660.1	LINC00968	-63.48	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AC092660.1-PCAT19	AC092660.1	PCAT19	-63.48	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AC092660.1-TBX5-AS1	AC092660.1	TBX5-AS1	-63.48	-888.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
AC099850.1-FENDRR	AC099850.1	FENDRR	-616.3	-960.32	same	24	1	6	19	1.90142367617198e-07	1.15380073278459e-06
AC141928.1-FENDRR	AC141928.1	FENDRR	-74	-960.32	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AC141928.1-LINC00702	AC141928.1	LINC00702	-74	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
AC141928.1-LINC00968	AC141928.1	LINC00968	-74	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AC141928.1-PCAT19	AC141928.1	PCAT19	-74	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AC144652.1-FENDRR	AC144652.1	FENDRR	-48.12	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AC144652.1-LINC00968	AC144652.1	LINC00968	-48.12	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AC144652.1-PCAT19	AC144652.1	PCAT19	-48.12	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AC144652.1-TBX5-AS1	AC144652.1	TBX5-AS1	-48.12	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
ACVR2B-AS1-FENDRR	ACVR2B-AS1	FENDRR	-282.48	-960.32	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
ACVR2B-AS1-LINC00702	ACVR2B-AS1	LINC00702	-282.48	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
ACVR2B-AS1-LINC00968	ACVR2B-AS1	LINC00968	-282.48	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
ACVR2B-AS1-PCAT19	ACVR2B-AS1	PCAT19	-282.48	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
ADAMTS9-AS2-FENDRR	ADAMTS9-AS2	FENDRR	-464.18	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
ADAMTS9-AS2-LINC00702	ADAMTS9-AS2	LINC00702	-464.18	-952.36	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
ADAMTS9-AS2-LINC00968	ADAMTS9-AS2	LINC00968	-464.18	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
ADAMTS9-AS2-PCAT19	ADAMTS9-AS2	PCAT19	-464.18	-1046.2	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
ADARB2-AS1-FENDRR	ADARB2-AS1	FENDRR	-331.8	-960.32	same	25	0	4	21	3.75775430073515e-10	3.06504298415304e-09
ADARB2-AS1-LINC00968	ADARB2-AS1	LINC00968	-331.8	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
ADARB2-AS1-PCAT19	ADARB2-AS1	PCAT19	-331.8	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
ADORA2A-AS1-EPB41L4A-AS2	ADORA2A-AS1	EPB41L4A-AS2	-130.32	-714.44	same	24	1	4	21	7.17860649174925e-09	4.82509334116031e-08
ADORA2A-AS1-FENDRR	ADORA2A-AS1	FENDRR	-130.32	-960.32	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
ADORA2A-AS1-LINC00968	ADORA2A-AS1	LINC00968	-130.32	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
ADORA2A-AS1-PCAT19	ADORA2A-AS1	PCAT19	-130.32	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
ADORA2A-AS1-TBX5-AS1	ADORA2A-AS1	TBX5-AS1	-130.32	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AF067845.1-FENDRR	AF067845.1	FENDRR	-115.12	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AF067845.1-LINC00968	AF067845.1	LINC00968	-115.12	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AF067845.1-PCAT19	AF067845.1	PCAT19	-115.12	-1046.2	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AF067845.1-TBX5-AS1	AF067845.1	TBX5-AS1	-115.12	-888.2	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AF131215.3-FENDRR	AF131215.3	FENDRR	-24.12	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AF131215.3-LINC00472	AF131215.3	LINC00472	-24.12	-894.16	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AF131215.3-LINC00968	AF131215.3	LINC00968	-24.12	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AF131215.3-PAN3-AS1	AF131215.3	PAN3-AS1	-24.12	-749.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
AF131215.3-PCAT19	AF131215.3	PCAT19	-24.12	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AF131215.3-TBX5-AS1	AF131215.3	TBX5-AS1	-24.12	-888.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AF186192.1-FENDRR	AF186192.1	FENDRR	-5.08000000000004	-960.32	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AF186192.1-LINC00472	AF186192.1	LINC00472	-5.08000000000004	-894.16	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
AF186192.1-LINC00968	AF186192.1	LINC00968	-5.08000000000004	-1068.28	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AF186192.1-PCAT19	AF186192.1	PCAT19	-5.08000000000004	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-ALKBH3-AS1	AFAP1-AS1	ALKBH3-AS1	968.28	4	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-ANKRD10-IT1	AFAP1-AS1	ANKRD10-IT1	968.28	307.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
AFAP1-AS1-AP000265.1	AFAP1-AS1	AP000265.1	968.28	183.6	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-AP000462.1	AFAP1-AS1	AP000462.1	968.28	88.36	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-AP001171.1	AFAP1-AS1	AP001171.1	968.28	93.88	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-AP001189.4	AFAP1-AS1	AP001189.4	968.28	10	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-ARHGAP22-IT1	AFAP1-AS1	ARHGAP22-IT1	968.28	18.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-ASH1L-AS1	AFAP1-AS1	ASH1L-AS1	968.28	255.72	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AFAP1-AS1-ATXN8OS	AFAP1-AS1	ATXN8OS	968.28	31.52	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-BARX1-AS1	AFAP1-AS1	BARX1-AS1	968.28	70.92	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AFAP1-AS1-BGLT3	AFAP1-AS1	BGLT3	968.28	17.04	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-C1RL-AS1	AFAP1-AS1	C1RL-AS1	968.28	81.3599999999999	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
