,TCGA.06.0238.01A,TCGA.06.0171.02A,TCGA.28.5218.01A,TCGA.06.0130.01A,TCGA.06.2557.01A,TCGA.27.2526.01A,TCGA.06.0152.02A,TCGA.06.0139.01A,TCGA.06.0190.01A,TCGA.02.2486.01A
CD74.3,16.8010112076511,18.2515465495735,16.1272908956522,18.3554020586967,17.7064051369771,16.6584234245391,16.68402964706,18.0324530142588,17.1269594044,17.3692739224642
HLA-DRA.3,16.2367243560299,16.5296693863855,14.6983615690883,17.2498382185446,16.180382580517,15.7670978163017,15.2446340817972,17.5379912343017,15.9988724932218,15.9633899841025
HLA-DPA1.3,14.6967299337241,15.5775365314246,13.4570199283282,16.0034847643067,15.2309534520847,14.2912842074636,14.2679868975692,15.3143846304306,14.8166532545228,15.2474925585401
HLA-DRB1.3,14.17700847509,15.5429782139665,13.8163672815942,16.0621196789051,15.0213860920119,14.1302467598435,14.0073594148886,15.8725211166605,14.4942696696256,15.6517391837892
HLA-DPB1.3,13.8573816460066,14.7057213630469,13.3880473282614,15.3136007752578,14.8212464097425,13.6658417654216,13.4189106618109,15.1531265620932,14.0314738657878,13.6446744439869
GPNMB.3,12.7371958312855,14.6249772385683,12.3875999903788,14.4979475233164,14.4607868528298,11.6447272742979,11.0005669329066,14.4898564769673,14.1076651429377,14.0724730911598
HLA-DQB1.3,11.9056835667144,13.4831344735606,12.7574369012515,14.8689818820665,13.7739040508302,12.2035105464553,11.5811441004058,15.1167942899178,11.891948812524,14.1874988036393
HLA-DQA1.3,12.0361046230654,13.8039643858036,11.9011150295798,14.7975146038185,13.9239817029497,11.7481129867578,12.4278033817651,14.1415356535994,12.4984807083278,13.3529772046281
CD4.3,11.9922548782107,14.3294542099219,12.4123299100101,13.3351993190702,13.0278732975448,11.3788644471724,12.5800594820501,13.8857487201361,12.4117523741109,13.0307755019465
HLA-DMB.3,12.6745345861722,13.3808692566466,11.318457309048,13.5689633901458,12.9907364279966,11.8635003278803,11.779172088311,14.6356269399832,12.134865331741,12.6042334802477
TGFB1.3,11.45884,12.83142,13.1169,13.74442,12.09626,11.81524,12.32695,13.10602,13.18262,12.2955
CORO1A.3,11.9152493549996,13.1773808878625,12.1059042046375,12.6291627490821,12.3812304721015,11.5608558070188,12.1424109981083,13.0614275636789,11.778789229758,12.9646368698177
LGALS9.3,12.0318768585081,13.0556750422228,12.0490196242132,12.8822590375573,12.5497420229572,11.3191234967736,11.2305224921373,13.1474231268615,11.246216674806,12.8193971971592
HAVCR2.3,11.8805838444071,13.1587841162482,10.7775245572991,12.2860009488976,12.1330519117651,11.0510066178372,10.910828325838,13.8497171213749,11.3326438987098,12.9901161837177
NCKAP1L.3,10.9608849032505,13.6781834345922,11.6955791480552,12.4140917683278,12.2555543494007,10.2450219568105,11.6007402496939,13.0435957440535,11.4086881389759,12.1111214040814
