,TCGA.06.0238.01A,TCGA.06.0171.02A,TCGA.28.5218.01A,TCGA.06.0130.01A,TCGA.06.2557.01A,TCGA.27.2526.01A,TCGA.06.0152.02A,TCGA.06.0139.01A,TCGA.06.0190.01A,TCGA.02.2486.01A
HLA-DRA.4,16.2367243560299,16.5296693863855,14.6983615690883,17.2498382185446,16.180382580517,15.7670978163017,15.2446340817972,17.5379912343017,15.9988724932218,15.9633899841025
HLA-DPA1.4,14.6967299337241,15.5775365314246,13.4570199283282,16.0034847643067,15.2309534520847,14.2912842074636,14.2679868975692,15.3143846304306,14.8166532545228,15.2474925585401
HLA-DRB1.4,14.17700847509,15.5429782139665,13.8163672815942,16.0621196789051,15.0213860920119,14.1302467598435,14.0073594148886,15.8725211166605,14.4942696696256,15.6517391837892
HLA-DPB1.4,13.8573816460066,14.7057213630469,13.3880473282614,15.3136007752578,14.8212464097425,13.6658417654216,13.4189106618109,15.1531265620932,14.0314738657878,13.6446744439869
HLA-DQB1.4,11.9056835667144,13.4831344735606,12.7574369012515,14.8689818820665,13.7739040508302,12.2035105464553,11.5811441004058,15.1167942899178,11.891948812524,14.1874988036393
HLA-DQA1.4,12.0361046230654,13.8039643858036,11.9011150295798,14.7975146038185,13.9239817029497,11.7481129867578,12.4278033817651,14.1415356535994,12.4984807083278,13.3529772046281
HCK.4,10.5012984453187,12.8791161432881,11.1265959582397,11.8731105565376,11.2480763766855,9.8217303265884,10.7482172750178,12.7899634675746,10.995374912732,11.3080474457125
PTAFR.4,10.5594192285481,12.814598447658,10.5163784608622,12.0544001917725,11.8607305774508,9.61362205998185,11.0540048033771,12.7481657613987,10.5669325938086,11.1920527331165
IRF8.4,10.6074369105772,12.2427189240495,10.2871681891413,12.1178004274523,11.7358126599528,9.24842270478469,10.3420240728598,12.2551978258885,9.9378896323261,9.98063529539627
PRKCD.4,10.0036214486351,11.9514383031286,11.2671510855804,11.3158938370789,10.7142510953689,9.49948115692004,10.2787890702707,11.2260457527268,10.4482110222453,10.2977430144724
IRF5.4,9.9889167277181,11.1965924006771,9.40268099670461,11.1297498998063,10.821811136489,9.12167520627879,9.3646065152411,11.3516153881633,10.0083543342772,10.1752569726901
HLA-DQB2.4,9.41539755838714,9.6956658143995,6.41861252497976,10.5798021799643,9.59414822358274,9.52352343582212,9.89203488090529,6.65485985342708,9.71122396901009,6.07783022315147
PPARG.4,7.98563310198056,9.37349462842514,8.72841714097053,9.12857415566905,8.67487918673581,8.0340060850807,7.62652577306332,10.1530972151121,8.37694463426847,9.09388178831362
IFI30.4,7.127862,8.419187,7.297461,8.559288,7.748437,6.798665,7.280497,9.456125,7.635683,7.326017
IRF4.4,6.19452390557895,7.44377760683755,7.46318870091081,7.44680874904749,7.92846357964724,5.88393097098843,7.65348281037191,6.71653366816188,6.46474409903515,6.1097746415062
