TCGA.06.0238.01A TCGA.06.0171.02A TCGA.28.5218.01A TCGA.06.0130.01A TCGA.06.2557.01A TCGA.27.2526.01A TCGA.06.0152.02A TCGA.06.0139.01A TCGA.06.0190.01A TCGA.02.2486.01A
PDCD1 8.20355169414848 7.58365448948739 7.44357278165967 7.34478178396608 7.24496202586759 7.23478482751134 7.23009045177344 7.20375945720928 7.13615185267113 7.13384624921756
OR4F5 5.13377474470661 5.13377474470661 5.13377474470661 5.13377474470661 5.34224815034 5.13377474470661 5.13377474470661 5.13377474470661 5.13377474470661 5.13377474470661
SAMD11 7.79791398990623 6.6670356497033 8.18057866580948 7.16106863217392 6.75502357540607 5.78522376794444 6.33994411849276 7.35588196862639 7.3797943720604 6.51089194475199
NOC2L 11.5684347898283 10.8372966854716 11.5540256404316 11.4624761084788 12.0079462845885 11.2050754153058 11.7266302206946 10.3765190512541 11.6248778118604 11.3796950808267
KLHL17 8.87153575940458 8.06560674931311 6.80481790891112 8.69771363420483 9.67558829529643 7.59769078360597 9.15133686672699 8.8587654730883 8.93434959252653 8.41551552053398
PLEKHN1 5.37023374038452 6.21061502066814 6.24137536048484 6.3270127058056 5.81933602885378 5.51200837220405 5.84344006448837 6.58962385158971 6.80765383591832 5.85275110462055
PERM1 5.79746276825513 5.68148571725701 5.71213825812611 6.13309395552904 5.90526431080331 5.51200837220405 5.63808688336185 6.0772026554405 6.24037648569861 5.97368878628756
HES4 9.25899124080163 7.06112902943361 7.22948380958114 9.11718862278691 10.4996674495849 8.33292523523036 8.40782091545601 8.77103424417482 9.94619848082379 8.6351431586405
ISG15 13.1401008966988 11.1111944227631 9.21769832273959 12.4260900686859 12.527302556167 12.8699570688885 11.0102016685749 11.1216119546562 10.2354408522246 15.2467082731056
AGRN 12.7907192758959 12.8478862487228 12.9402753403091 13.3833303313385 13.8852245370162 12.5382641135424 14.3695493841155 12.7416264845461 13.6801479388185 13.0759085718823
RNF223 5.13377474470661 5.52222049450261 5.13377474470661 5.36148695559501 5.42834528318612 5.40160813670084 5.42592476409774 5.6117496801526 5.13377474470661 5.13377474470661
C1orf159 9.20668500528881 7.97877297940699 8.5312511289761 9.36242810585151 9.44672336542602 8.72405377520509 9.24221541078283 9.25899416735038 9.13726948783373 8.70656494620222
TTLL10 6.1188602928039 5.58186608797648 5.76650806754228 5.58779617487886 5.59833149438656 5.66716794817179 5.4912802428959 5.13377474470661 5.60456442059193 6.17029586622713
TNFRSF18 6.7959029054516 6.88014526426527 8.20914339093163 7.01157483015023 6.53823892598419 6.78107148361157 7.96273273879686 7.03119873786957 8.20083477282586 6.25402026507405
TNFRSF4 7.05283805901066 7.09050188497544 10.3403574483366 7.6497003682593 6.76594060237528 7.78099689887935 7.97545912042337 7.39130268054202 7.07270758529439 6.62831190789434
SDF4 12.1251963021378 12.503731040297 13.0139386400454 12.9356906980699 12.8868538555444 13.0867050125994 12.9471339836609 12.9776512368691 13.2046875268213 12.8838963019231
