,TCGA.06.0238.01A,TCGA.06.0171.02A,TCGA.28.5218.01A,TCGA.06.0130.01A,TCGA.06.2557.01A,TCGA.27.2526.01A,TCGA.06.0152.02A,TCGA.06.0139.01A,TCGA.06.0190.01A,TCGA.02.2486.01A
CD74.1,16.8010112076511,18.2515465495735,16.1272908956522,18.3554020586967,17.7064051369771,16.6584234245391,16.68402964706,18.0324530142588,17.1269594044,17.3692739224642
HLA-DRA.1,16.2367243560299,16.5296693863855,14.6983615690883,17.2498382185446,16.180382580517,15.7670978163017,15.2446340817972,17.5379912343017,15.9988724932218,15.9633899841025
HLA-DPA1.1,14.6967299337241,15.5775365314246,13.4570199283282,16.0034847643067,15.2309534520847,14.2912842074636,14.2679868975692,15.3143846304306,14.8166532545228,15.2474925585401
HLA-DRB1.1,14.17700847509,15.5429782139665,13.8163672815942,16.0621196789051,15.0213860920119,14.1302467598435,14.0073594148886,15.8725211166605,14.4942696696256,15.6517391837892
HLA-DPB1.1,13.8573816460066,14.7057213630469,13.3880473282614,15.3136007752578,14.8212464097425,13.6658417654216,13.4189106618109,15.1531265620932,14.0314738657878,13.6446744439869
GPNMB.1,12.7371958312855,14.6249772385683,12.3875999903788,14.4979475233164,14.4607868528298,11.6447272742979,11.0005669329066,14.4898564769673,14.1076651429377,14.0724730911598
HLA-DQB1.1,11.9056835667144,13.4831344735606,12.7574369012515,14.8689818820665,13.7739040508302,12.2035105464553,11.5811441004058,15.1167942899178,11.891948812524,14.1874988036393
HLA-DQA1.1,12.0361046230654,13.8039643858036,11.9011150295798,14.7975146038185,13.9239817029497,11.7481129867578,12.4278033817651,14.1415356535994,12.4984807083278,13.3529772046281
CD4.1,11.9922548782107,14.3294542099219,12.4123299100101,13.3351993190702,13.0278732975448,11.3788644471724,12.5800594820501,13.8857487201361,12.4117523741109,13.0307755019465
FCER1G.1,12.5238257362904,13.5121990501747,13.5805537341901,13.0340986636806,12.2337211242391,11.9367881204654,11.4468361162026,14.2288702698174,11.9925390927178,13.5205322143184
MAFB.1,11.35279,14.57767,13.62381,13.18891,12.9474,10.19058,11.7343,14.6152,12.45213,12.55999
HLA-DMB.1,12.6745345861722,13.3808692566466,11.318457309048,13.5689633901458,12.9907364279966,11.8635003278803,11.779172088311,14.6356269399832,12.134865331741,12.6042334802477
LCP1.1,11.5544451117548,14.2395597707139,12.8240300826886,13.4126166627113,12.1760451613265,11.1320497289239,12.7058076811146,14.0062352531446,11.8457496745629,12.4231704761398
TGFB1.1,11.45884,12.83142,13.1169,13.74442,12.09626,11.81524,12.32695,13.10602,13.18262,12.2955
CORO1A.1,11.9152493549996,13.1773808878625,12.1059042046375,12.6291627490821,12.3812304721015,11.5608558070188,12.1424109981083,13.0614275636789,11.778789229758,12.9646368698177
LGALS9.1,12.0318768585081,13.0556750422228,12.0490196242132,12.8822590375573,12.5497420229572,11.3191234967736,11.2305224921373,13.1474231268615,11.246216674806,12.8193971971592
SLC11A1.1,10.9185202425157,13.7949820938861,11.0686066152217,12.0635875620185,11.5521743259735,10.0767359988861,10.7935614411645,14.5607563360619,12.5695861756914,13.2343881842516
HAVCR2.1,11.8805838444071,13.1587841162482,10.7775245572991,12.2860009488976,12.1330519117651,11.0510066178372,10.910828325838,13.8497171213749,11.3326438987098,12.9901161837177
NCKAP1L.1,10.9608849032505,13.6781834345922,11.6955791480552,12.4140917683278,12.2555543494007,10.2450219568105,11.6007402496939,13.0435957440535,11.4086881389759,12.1111214040814
LILRB4.1,11.52327,12.89084,10.79249,12.6397,12.45083,10.90247,10.94401,13.09002,11.55786,12.12628
HLA-DOA.1,11.1528405630191,13.1729874786622,10.3365314500318,12.8987457463306,12.7900948546906,10.4442754058469,11.0907926395309,12.4976292811977,12.1421076674828,12.0932294428393
PTPRC.1,10.6178936781388,13.4927810487398,11.2611119426171,12.3350408673106,11.7423222833542,9.85240093814877,11.5671292482895,12.7740304194335,11.0630886119509,11.5942908869745
CEBPB.1,10.20209,12.31435,11.56005,11.68005,10.10449,10.65666,10.87464,12.45029,11.85606,11.88955
SYK.1,10.6479662804379,12.9904392802284,11.0785621084138,11.8878684532952,11.5200614440462,9.5887765031735,10.6202672073324,12.5072992061225,10.858412443084,11.0424959478154
SASH3.1,10.409972033894,12.3449676871186,10.9774099159732,11.6877345965613,11.429990131275,10.0204734291928,10.4994226418879,12.7489810907316,10.8257916543302,11.7051908100441
PTPN6.1,10.4937474228056,12.3555806209829,10.5899867036214,11.6625982382936,11.085439302425,10.3277860108332,10.7342087415502,12.2802308905248,10.8708208538563,11.4485257092024
IL4R.1,9.46073040454655,12.4011440050441,11.6105312190469,12.0149167782303,10.4489957181385,9.00674108406497,10.8696356739465,12.2355521093671,11.3737333544906,11.0310310727836
DOCK2.1,9.85525040960121,12.735730093782,10.6487507831562,11.7404309743686,11.60483686314,8.94382684480551,10.9054035006214,12.0796544495,10.6522937575459,10.8064572975954
RAC2.1,9.811843,11.37413,11.89116,11.30444,10.16856,10.25939,10.80234,11.32123,10.20807,11.08747
CD86.1,10.5457920631269,11.7014959389518,9.65120132062583,11.356011709692,10.8667767199786,10.2084652667499,9.56822873110787,12.3366438953306,10.3091959034572,11.5596062757669
CD300A.1,10.5889529975415,11.5234282941132,9.9902917762303,11.0908460951498,10.5365351402955,9.80614623782249,9.86990027719287,12.6131848836073,10.6335663375341,11.4053751842034
WAS.1,9.92433792825352,12.0418328804075,10.3081592605946,11.1654306204451,10.7958131883244,9.31886667307504,10.1078446812795,11.8960366920106,10.2489313997809,11.1817214313508
ITGAL.1,9.38912668163251,11.923177145749,10.2097986742399,11.4485156481938,11.3339166649051,9.07354395256746,10.6222529833358,10.8868853638407,9.33833786170361,10.8832841478811
LILRB1.1,9.178617,11.97243,9.839761,11.25303,10.83869,8.360134,10.05881,12.10153,9.876896,10.60981
IL18.1,10.0494341491733,10.7275104645199,9.26690114816644,11.0436911941678,10.4745543112309,10.0322380404454,9.47883589771852,12.3015061886848,9.82526719157105,10.540324485833
VAV1.1,9.356119,11.79145,10.03033,10.91531,10.82474,8.75702,9.745322,10.93928,9.799506,10.60878
CLEC7A.1,9.46073040454655,11.2039209551037,9.20653106140429,11.2493933710981,10.3822482705603,8.31077329782303,9.68445814858084,12.3268476146033,10.1300203495172,10.059560825285
PYCARD.1,9.63929357613801,10.5048055281384,10.5963986901267,10.5962406478694,9.82112639698646,9.74819467352115,9.09887607833626,11.6282452488837,9.44200340237352,9.79224793778838
CCL5.1,8.34197448559275,10.4661308354154,11.56278027961,10.8774839019386,9.84208720101818,10.7632965076545,9.31459989013819,9.92365823865268,9.39617711002386,9.8595546445117
CD55.1,9.73378171766704,11.2672549902,9.63673708732043,9.12630428294971,8.49111129905294,8.22445101606327,9.42361832317388,11.6906898743871,10.34836374913,10.084936132138
LILRB2.1,8.700646,11.16797,9.508667,10.93999,9.614606,8.034006,9.304716,11.45518,9.644673,9.357216
MAP3K8.1,9.15959523536019,11.5141944264155,9.91185762954549,9.89944059345697,8.63246558503778,7.99957568396856,9.21607965373098,12.4198931546965,9.45760608564636,9.27383333793428
GPR183.1,10.1869453125917,10.3377563837053,9.23977506628502,9.72934718208158,8.79981375093749,8.3973658200063,9.76585024982755,10.4344684548653,10.3462735758459,9.32494471296086
PTGER4.1,8.09630961732922,10.5686659351675,11.7791806190763,11.0615554826809,9.59963230756227,7.17181614394652,9.05429636513504,10.196817606739,9.60321036411998,8.29660124820837
RASAL3.1,8.479628,10.18627,9.370547,10.14505,10.00685,7.905842,9.490501,10.06671,9.21055,9.492961
EBI3.1,9.183334,10.30501,8.866438,10.11226,9.374939,8.646961,8.670341,10.04028,8.841975,9.688888
IL7R.1,8.91479406885247,11.2925173780463,10.102723144495,8.15489413053487,8.09169091493684,7.81328614277362,10.6607606594943,10.6027597749756,8.93434959252653,8.25462218751488
NLRP3.1,8.45629017024628,10.7562850580911,8.54468845897411,9.54659930580489,9.53955180969714,7.95710015266514,8.97537570910823,9.6575380425525,9.25814437377529,9.37914005725216
CARD11.1,8.7072327830521,10.4582697555318,8.503987980884,10.2223058516903,9.98712298349193,7.83701459217375,8.98160367695781,9.44809434874744,9.05747163236733,8.76717353632687
SPN.1,8.38799436500254,9.72073595687566,8.91536503077279,10.0201816090305,9.8965339392585,8.2538181503802,9.66529916469531,9.19319053513082,8.52232838260309,9.0580366037306
CD2.1,7.94103876681142,9.11510371193715,9.991915011288,9.96044174858777,8.78538773542358,9.3754773325089,9.47737112098094,9.77124757213855,8.17718378085696,8.50303198962016
CD3E.1,7.7725428693949,9.42828764769159,10.1072224848149,9.83435170520283,8.91246219082619,8.96158274346375,9.61824793388332,8.69127974612764,8.34767303344359,8.887994020728
CD8A.1,7.52004279585345,9.18685292358219,10.2496812416761,10.3797140994046,8.53213173579016,9.24263474204034,8.24353520230028,9.39058564816912,7.82029993643305,9.11728919482709
IL2RA.1,9.65632611322887,10.0510594400574,10.0080474620107,9.17762191848204,6.93765306636687,6.47829023172167,9.1272189694947,11.0859104027583,8.62668242091182,8.49407056401591
JAML.1,8.66386014861633,10.6712038355175,9.49497911780472,10.2180618645317,8.58874629219596,7.37451171999621,8.27114372231117,9.43189708423836,8.71087058104497,7.2391263364138
HLA-DQB2.1,9.41539755838714,9.6956658143995,6.41861252497976,10.5798021799643,9.59414822358274,9.52352343582212,9.89203488090529,6.65485985342708,9.71122396901009,6.07783022315147
IL12RB1.1,8.281142,9.402978,8.041102,9.441145,9.063362,7.661577,8.831002,9.698706,8.026206,8.891397
TNFSF8.1,7.74669307550929,9.70308487737989,7.90026764959005,9.18853866821358,8.80459014642598,7.62544018715636,7.66411744063939,10.2622938801513,8.51858930412423,8.94804207948641
NOD2.1,7.15870440983209,10.3127825787498,8.2315835575019,9.39669392372589,8.46409916600799,7.00662962651627,8.39222766431049,9.79041270907234,8.11375349891285,8.44839190778224
CR1.1,7.67297533781537,12.4501618183475,9.15517211240483,7.89300031676602,8.11518758552259,5.59635813926022,7.54805547057332,11.370814228422,8.20551746236622,6.71752611593958
LCK.1,7.05283805901066,8.90406217298244,9.40512328843381,9.16441101525524,8.32070242342041,8.23037378620334,9.16050586085411,8.66366930776242,7.71787904890723,7.91234496208439
RIPK3.1,7.87133222792896,9.14161223076134,7.70327878626524,8.97803559109974,8.3538514482778,7.09192168016896,7.74632997291455,9.85251259237322,7.89239647155348,8.75973709237318
CD1D.1,7.30271143471436,8.53768942220456,10.9316672123818,8.67296063684536,7.712535170653,7.55013541437385,7.2227267141718,9.71885549001911,7.89239647155348,7.65888535385145
RHOH.1,7.76612603256899,8.60621972144678,8.25913859596359,8.3945187871302,7.90607680083288,7.72259233896569,8.46257311055517,9.11408734544672,8.06292316154594,8.47597569063755
CCR2.1,6.91270530473799,9.46892308789989,9.6634844172904,9.82041274888745,8.05973364633988,7.13249580223623,8.87631401957879,8.43745497371757,7.80166984351261,6.59054927820771
