SYMBOL,GSM431121,GSM431122,GSM431123,GSM431124,GSM431125,GSM431126
ADORA3,23.14573259,25.63541688,21.69798446,23.38068839,27.04003207,24.74158347
ALDH1A2,25.58632299,24.08548484,23.50253354,26.063487,23.41969997,22.91454745
ADCYAP1,22.93332035,25.70846619,22.17981619,22.63917423,26.82664058,25.2607348
EPHB6,24.0217699,26.54446264,23.6240181,21.79738996,24.20689512,25.35016224
XRCC3,25.13964569,24.4006857,25.35197707,21.83384414,24.4006857,24.4006857
CPLX3,22.68257718,24.514268,24.514268,26.28544064,23.33661765,24.16291692
LOC286526,26.86830048,24.5649486,22.84365081,24.5649486,22.04912968,24.5649486
CLGN,30.05430382,22.88662155,22.61685367,24.49466492,22.02597043,23.37282889
MBL1P1,22.88560958,26.61935853,23.90633454,24.11600731,23.76653044,24.11600731
TM6SF2,22.96839148,23.28523407,23.56988488,27.54487611,24.75068046,23.28523407
GPR77,29.78919548,23.78293076,22.48179686,24.42994252,24.2671734,20.64132493
CACNA1D,21.80073041,21.54019453,25.22276568,25.83911634,24.16973827,26.77356517
CYP2B6,28.02921948,23.57309326,23.43874417,23.40319222,23.43874417,23.43874417
OR2S2,23.56159857,23.87209274,23.30069187,26.44553399,22.02597043,26.11227143
AMELY,23.61125227,24.930383,23.54808806,24.65921503,23.61125227,24.95770248
OR2J3,24.56338131,23.88162597,21.14201103,23.45542846,25.53551521,26.70951806
GPR65,30.57397642,32.07415723,19.77922827,19.99641474,21.68284112,21.14427978
MAN1C1,26.34177842,30.41610289,22.5431461,22.05035964,21.96774358,21.92492127
DUSP26,23.7742404,21.73908652,23.80216337,27.82186625,25.14035153,22.95508338
MAGEC3,23.59593237,24.75453713,25.69421231,21.68511792,22.87290152,26.58712595
DCX,24.34751905,22.65237657,24.02932183,26.26513626,24.34751905,23.51714248
SLC5A7,23.88557265,23.99287575,22.16440792,23.69424059,26.23738215,25.17371639
ST8SIA5,24.0687889,25.44102013,24.14679331,24.88724349,24.14679331,22.43441597
ADAMTS12,28.97590166,26.61618452,20.99955558,22.46080053,22.94173142,23.07308194
NSMCE2,23.65893198,23.133288,22.80760968,23.65893198,27.57706876,24.23010063
SV2C,22.6759478,24.46365055,27.08294252,23.48738532,23.36678542,23.97862012
ZNF221,22.85978995,23.90046774,23.17287897,24.03092487,28.93784698,22.13095343
FLJ22184,22.0768091,25.79505429,23.51491481,28.38036223,21.992144,23.26424749
CXCR6,23.41184776,20.97083926,23.81445878,25.59586701,23.41184776,27.81491994
ORM1,25.26170852,22.8455524,23.13863725,27.33877162,22.03846535,24.38815418
HSU79275,22.52858913,23.98774929,26.50703201,23.98774929,23.98774929,23.98774929
TACR1,22.447712,22.94173142,23.35768283,24.54819455,28.63588015,23.05355188
CCL2,25.5743081,26.97292343,22.66189507,21.17023946,22.92345334,25.67984661
