id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRAJ60,0.0193321972018419,-1.34773756087556,3.65691640821881,-0.368544809459292,0.712467039542277,NA
MTCO1P24,0.472136933019886,-2.63600325633167,1.51554579057638,-1.73930954295294,0.0819803296363397,NA
AC021491.1,0.712700186605353,-0.503891747431385,0.906408589781361,-0.555921196149444,0.578264727502504,NA
AC092834.1,1.15379292098004,0.638757759482484,1.28474777329172,0.497185340781632,0.619058357906409,0.743827431131722
GZMAP1,0.499512814669231,-0.337520791414123,1.17024351036345,-0.288419280624164,0.773025810703541,NA
AL731577.2,1.56690924565059,-1.24575320478441,0.711709472302722,-1.75036760541321,0.0800549021090218,0.178587412766675
AC096711.1,0.4639371441475,0.0515806408977638,2.49551687133359,0.0206693216504681,0.983509441566269,NA
RBMXP4,6.59446090590164,-0.60228369944827,0.391906488846482,-1.53680461178635,0.124341163755514,0.246930182650637
AL592156.1,0.05099266176838,-1.18286033261812,3.65691640821881,-0.323458400623999,0.746348107114304,NA
AC147055.2,2.57453970568672,-2.02756596879281,0.718224248580294,-2.82302633585635,0.00475726636191567,0.0189104848495959
AC010307.3,0.195923864753451,-0.770665676056241,2.78587720709773,-0.276633038273466,0.78206189343789,NA
USP17L14P,0.0340391870904721,-1.26529894674684,3.65691640821881,-0.346001605041646,0.729341508507155,NA
AC026726.1,0.299490129835652,-0.670758844184639,1.51288438397984,-0.443364245997515,0.657502292792286,NA
RBBP4P1,6.33675832425875,-0.231519067366101,0.373123072277076,-0.620489818421569,0.534935355176432,0.673995703182851
NACAP5,0.251341142409368,-1.97977253713421,2.00340620854212,-0.988203255382187,0.323053114180701,NA
GAPDHP70,1.53927352436832,1.5490707601875,0.853062563635444,1.81589349506315,0.0693867113561944,0.160123180052756
ANKRD20A18P,0.549973133713903,0.74492803186734,1.35241597219089,0.550812802558499,0.581762006944772,NA
LINC02075,0.153540316647569,-1.74161042439878,2.8480442284973,-0.611511017621275,0.540861326663259,NA
LINC01179,0.0155782042297068,-1.34773756087556,3.65691640821881,-0.368544809459292,0.712467039542277,NA
HMGN1P16,0.0174337678740835,-1.34773756087556,3.65691640821881,-0.368544809459292,0.712467039542277,NA
AC108673.1,0.212381980684522,-0.348976518662351,1.93856037966781,-0.1800183901015,0.857138130834462,NA
ZEB2P1,0.949086733204912,0.810555737378432,0.887298993336145,0.913509136678757,0.360974830498543,0.520215808043084
AC023886.1,0.0583846587993566,-1.18286033261812,3.65691640821881,-0.323458400623999,0.746348107114304,NA
AP003478.1,0.196308251177675,-0.520421153550135,1.87415298936892,-0.277683388977426,0.781255412986553,NA
AC110751.1,0.0164299551062174,-1.34773756087556,3.65691640821881,-0.368544809459292,0.712467039542277,NA
PRELID3BP6,0.237037095430688,-0.520195769474455,2.4003417132085,-0.216717380951197,0.828428601856817,NA
AC011352.2,0.200657008171901,-0.604893692194104,1.85065773598196,-0.326853356205894,0.743778801373128,NA
LINC02114,0.0174337678740835,-1.34773756087556,3.65691640821881,-0.368544809459292,0.712467039542277,NA
