,TCGA-3X-AAV9-01,TCGA-3X-AAVA-01,TCGA-3X-AAVB-01,TCGA-3X-AAVC-01,TCGA-3X-AAVE-01,TCGA-4G-AAZO-01,TCGA-4G-AAZT-01,TCGA-W5-AA2G-01,TCGA-W5-AA2H-01,TCGA-W5-AA2I-01,TCGA-W5-AA2O-01,TCGA-W5-AA2Q-01,TCGA-W5-AA2T-01,TCGA-W5-AA2U-01,TCGA-W5-AA2W-01,TCGA-W5-AA2X-01,TCGA-W5-AA2Z-01,TCGA-W5-AA30-01,TCGA-W5-AA31-01,TCGA-W5-AA33-01,TCGA-W5-AA34-01,TCGA-W5-AA36-01,TCGA-W5-AA38-01,TCGA-W5-AA39-01,TCGA-W6-AA0S-01,TCGA-WD-A7RX-01,TCGA-YR-A95A-01,TCGA-ZD-A8I3-01,TCGA-ZH-A8Y1-01,TCGA-ZH-A8Y2-01,TCGA-ZH-A8Y4-01,TCGA-ZH-A8Y5-01,TCGA-ZH-A8Y6-01,TCGA-ZH-A8Y8-01,TCGA-ZU-A8S4-01,TCGA-W5-AA2I-11,TCGA-W5-AA2Q-11,TCGA-W5-AA2R-11,TCGA-W5-AA2U-11,TCGA-W5-AA2X-11,TCGA-W5-AA30-11,TCGA-W5-AA31-11,TCGA-W5-AA34-11,TCGA-ZU-A8S4-11
AC006023.1,0,2,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,3,2,2,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
AP000787.2,10,0,2,2,4,22,0,13,1,1,3,2,9,45,10,1,6,2,0,5,2,8,15,1,2,0,13,1,9,5,12,3,2,13,4,0,0,1,0,1,0,0,2,0
PKD1P6-NPIPP1,24,4,5,14,5,6,3,5,13,16,6,27,12,7,5,24,11,36,15,22,7,5,11,4,13,23,12,5,21,17,6,18,14,21,23,1,5,1,2,4,1,3,1,0
AL365400.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC093813.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL445435.1,0,0,0,3,0,0,0,2,2,1,1,7,2,4,5,6,2,7,6,0,0,0,0,1,2,0,2,1,3,0,2,2,4,4,0,0,0,0,1,0,0,3,4,0
AC046185.2,19,24,8,23,30,26,8,16,29,25,31,23,47,29,13,20,14,35,34,23,24,41,34,5,11,37,35,30,16,42,39,22,19,25,12,26,20,16,24,17,14,29,33,19
AL158163.1,16,19,3,11,14,13,5,7,74,12,6,66,33,17,8,40,17,14,14,22,10,13,24,36,29,25,22,38,5,22,15,91,69,21,6,3,11,8,5,3,9,5,7,8
AL049840.6,0,0,4,4,0,0,4,0,0,0,1,1,1,0,1,5,1,1,3,1,0,0,0,0,1,0,4,2,3,1,0,0,3,1,0,0,0,3,0,1,2,0,0,0
AC073333.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL512343.1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,11,1,0,0,0,0,0,0,1,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCG17,4,0,3,3,3,2,10,0,2,3,0,9,7,0,1,8,1,0,1,4,2,5,0,1,1,2,0,2,4,22,4,3,2,4,4,3,1,0,1,1,0,0,1,1
AL353622.1,49,79,64,127,63,308,117,57,814,265,178,5,291,136,62,111,80,179,107,131,87,130,341,189,48,40,13,171,0,8,7,113,16,104,39,89,31,15,33,25,48,53,28,11
AC025518.2,0,0,0,3,1,1,1,2,0,0,0,2,3,0,0,3,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0
AC009549.1,147,63,125,39,365,24,6,313,12,7,224,23,12,189,213,5,427,10,24,14,171,76,1099,18,832,18,14,133,88,23,507,28,14,307,309,14,7,34,5,7,3,3,4,11
AL160191.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC112191.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AC011451.2,5,4,4,0,6,5,0,2,6,3,4,7,3,1,9,13,4,2,8,15,7,0,2,0,6,2,6,10,6,0,0,4,10,4,5,1,0,0,1,4,2,2,0,1
SGO1P1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL160237.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL034555.1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPCS2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008555.4,0,0,5,1,1,0,1,0,0,0,0,2,4,0,0,2,4,0,1,0,0,2,0,0,0,1,1,5,3,0,0,9,0,0,0,0,0,1,0,1,0,0,1,0
AC004835.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL356575.1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AL023806.1,3,3,3,3,5,3,0,6,12,2,5,5,9,1,5,6,3,4,1,3,1,6,2,6,3,7,4,4,2,5,6,4,4,1,3,4,3,3,4,1,3,3,1,2
