"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
2.71322804618293e-68,0.346721092680903,0.39,0.084,7.49637776879883e-64,"0","AT5G15160"
1.98619200438537e-58,0.417974937355637,0.356,0.08,5.48764988891634e-54,"0","AT1G71140"
7.34613969957944e-53,0.553646593478244,0.368,0.097,2.0296649375968e-48,"0","AT2G43000"
1.15634041477945e-50,0.726079144728598,0.328,0.084,3.19485293199415e-46,"0","AT1G21120"
1.17068646672314e-49,0.285907463033781,0.29,0.08,3.23448963890937e-45,"0","AT5G39090"
5.47568116018035e-48,0.27780697525796,0.341,0.097,1.51287594774623e-43,"0","AT1G21340"
3.61280064501401e-34,0.314444236598,0.213,0.05,9.98180690210921e-30,"0","AT1G22880"
1.66247092956498e-22,0.293772836229224,0.162,0.042,4.59324093129508e-18,"0","AT3G51600"
7.49448675192692e-18,0.402197538903501,0.173,0.055,2.07065174468989e-13,"0","AT4G14630"
2.06908472920099e-12,0.35448056732122,0.173,0.072,5.71667419830942e-08,"0","AT1G02920"
3.84993951023133e-307,1.28312064743241,0.737,0.062,1.06369978728181e-302,"1","AT5G28640"
3.47090010447436e-255,1.29009556743468,0.637,0.043,9.58974989865222e-251,"1","AT1G73620"
4.25910861169819e-227,1.77995645302797,0.555,0.067,1.17674911832609e-222,"1","AT4G23800"
4.8084052437726e-221,1.97978152981986,0.546,0.039,1.32851428480193e-216,"1","AT4G31840"
2.39408069693896e-194,1.70480175787906,0.502,0.03,6.61460555757265e-190,"1","AT5G16250"
3.34291893387477e-185,0.955972978354061,0.456,0.023,9.23615072240259e-181,"1","AT1G08560"
5.52378761265267e-173,1.19198437893512,0.412,0.022,1.52616727949981e-168,"1","AT2G25060"
2.75494732193903e-150,1.0398106993817,0.383,0.017,7.61164395578535e-146,"1","AT3G02640"
8.26081469556041e-137,0.882704271283139,0.473,0.055,2.28238049223638e-132,"1","AT5G63660"
2.76924735778682e-123,0.979088438195648,0.385,0.028,7.65115352482921e-119,"1","AT3G02120"
1.56405196941343e-206,1.05171934435817,0.693,0.082,4.32131918629236e-202,"2","AT2G43480"
1.90600546431486e-100,0.407354916518973,0.489,0.081,5.26610249735552e-96,"2","AT1G44180"
5.87612751362486e-99,0.465083466892529,0.418,0.044,1.62351527073941e-94,"2","AT1G26870"
3.4314217695098e-89,0.495645143312736,0.359,0.032,9.48067520697864e-85,"2","AT5G39820"
7.34815827724642e-85,0.384017345292925,0.388,0.048,2.03022265042041e-80,"2","AT4G35030"
2.1848330102376e-79,0.364564825823603,0.463,0.09,6.03647512398546e-75,"2","AT2G46850"
1.30568749382544e-65,0.457678510429199,0.402,0.077,3.60748397669031e-61,"2","AT1G19115"
3.08915472741898e-61,0.451260624378068,0.395,0.083,8.53502559638591e-57,"2","AT5G51470"
9.03091188608345e-46,0.422531819538192,0.303,0.065,2.495150645006e-41,"2","AT4G37770"
1.12112533637629e-37,0.329843821080625,0.26,0.055,3.09755719187407e-33,"2","AT3G10780"
6.25730388859582e-191,0.501643285835787,0.763,0.081,1.72883049138014e-186,"3","AT3G56000"
1.10069501639375e-180,0.472510340214675,0.704,0.066,3.0411102607943e-176,"3","AT4G00460"
1.87797492416059e-170,0.427898870591298,0.68,0.067,5.1886569179633e-166,"3","AT3G46490"
2.58777401046921e-168,0.452101563582491,0.734,0.094,7.14976081352539e-164,"3","AT1G03550"
8.23853175876095e-153,0.493933151189567,0.685,0.087,2.27622393962806e-148,"3","AT1G27740"
5.49657262730778e-151,0.42994581093781,0.605,0.056,1.51864805119887e-146,"3","AT1G33090"
4.86253898442177e-149,0.417857827553841,0.543,0.036,1.34347089600589e-144,"3","AT5G15890"
1.34296688056901e-115,0.593275598834137,0.511,0.049,3.71048319432413e-111,"3","AT5G49270"
6.58769149395254e-109,0.682335389880389,0.586,0.093,1.82011328286415e-104,"3","AT3G54580"
4.8726392360932e-87,0.581325498399031,0.457,0.059,1.34626149454019e-82,"3","AT2G45750"
4.27419601551627e-181,0.574330372515655,0.756,0.082,1.18091761712699e-176,"4","AT1G64220"
2.16624938508273e-128,0.295768493911487,0.601,0.066,5.98513042604508e-124,"4","AT5G57980"
2.68990580545958e-20,0.329868181853344,0.284,0.097,7.43194074990428e-16,"4","AT4G27670"
0,2.89534731656188,0.968,0.098,0,"5","AT1G52050"
8.3995663310282e-262,1.66063732215248,0.877,0.089,2.32071618159978e-257,"5","AT5G20045"
3.89879923203871e-239,1.8500165871741,0.816,0.087,1.07719923981997e-234,"5","AT3G04330"
1.20691609394357e-206,1.65334196731339,0.687,0.039,3.33458847595669e-202,"5","AT1G55240"
5.74379908449002e-198,2.0023800553513,0.699,0.087,1.58695424905375e-193,"5","AT3G22740"
3.38090493815502e-192,2.49730983232998,0.614,0.036,9.3411022536285e-188,"5","AT1G06090"
1.25195109135691e-174,1.9504095581795,0.475,0.011,3.45901567031e-170,"5","AT3G06460"
2.35740488021697e-133,3.19348435059258,0.259,0.043,6.51327394355148e-129,"5","AT1G47600"
1.0373453082027e-91,2.65422951953445,0.13,0.026,2.86608135203323e-87,"5","AT1G51470"
3.16860480138818e-54,1.65040093247032,0.247,0.023,8.7545382057554e-50,"5","AT1G50060"
1.41208048391166e-137,0.39076428851009,0.593,0.042,3.90143716899954e-133,"6","AT3G20360"
1.79413561313182e-130,0.575205441220187,0.628,0.06,4.9570172855219e-126,"6","AT5G09978"
1.00465288721166e-122,1.40123966892007,0.474,0.062,2.7757554620771e-118,"6","AT1G65310"
4.18261996002324e-98,0.428686725526173,0.554,0.07,1.15561606875482e-93,"6","AT1G23060"
5.63023695087875e-97,0.448094593476563,0.449,0.036,1.55557816715829e-92,"6","AT3G16370"
3.07898777527531e-73,0.300189263155676,0.484,0.074,8.50693532430815e-69,"6","AT3G59710"
8.81078105530353e-69,0.303075666760652,0.484,0.092,2.43433069776981e-64,"6","AT5G11420"
1.40998587891077e-55,0.492327566703363,0.253,0.03,3.89564998484257e-51,"6","AT1G06120"
8.95907050270623e-52,0.449909062526351,0.397,0.082,2.4753015891927e-47,"6","AT4G25830"
1.9962679023059e-40,0.534300949618305,0.212,0.033,5.51548858728097e-36,"6","AT1G05650"
3.63519280995533e-115,0.885343671182604,0.594,0.089,1.00436742146256e-110,"7","AT3G14740"
8.54521317319532e-109,0.599716960372656,0.598,0.071,2.36095694762213e-104,"7","AT5G61000"
1.71857790541382e-100,0.338366468681173,0.483,0.036,4.74825889486784e-96,"7","AT5G13060"
1.6841039306223e-96,0.369691349266378,0.598,0.077,4.65301074991636e-92,"7","AT5G49160"
5.85939381946114e-92,0.537742828854896,0.487,0.053,1.61889191837892e-87,"7","AT1G04020"
1.42325283418262e-84,0.40274630522269,0.583,0.099,3.93230525556317e-80,"7","AT1G01370"
4.0208100504905e-74,0.414360181090576,0.554,0.096,1.11090960885002e-69,"7","AT4G26960"
2.1658597203616e-72,0.317509699468366,0.524,0.093,5.98405382138706e-68,"7","AT1G26840"
2.77802234626923e-72,0.32119188797978,0.465,0.058,7.67539794050727e-68,"7","AT5G08020"
