,score,Group,ID
S08_P03_LCP26,14.6773897097295,High,C26
S09_P04_LCP25,35.2078556402867,High,C25
S10_P05_LCP23,8.36726661601111,Low,H23
S11_P06_LCP29,12.2567059326484,Low,C29
S12_P07_LCP30,11.8632502692109,Low,H30
S15_P09_LCP38,5.98866452705505,Low,H38
S19_P11_LCP39,22.194924113572,High,C39
S21_P13_LCP37,12.3532505093203,High,H37
