"CellType","AffymetrixID","Symbol","Gene.Symbol","ENTREZ_GENE_ID"
"Th1 cells","205692_s_at","CD38","CD38",952
"Th1 cells","206508_at","CD70","CD70",970
"Th1 cells","206806_at","DGKI","DGKI",9162
"Th1 cells","206975_at","LTA","LTA",4049
"Th1 cells","206999_at","IL12RB2","IL12RB2",3595
"Th1 cells","209457_at","DUSP5","DUSP5",1847
"Th1 cells","209840_s_at","LRRN3","LRRN3",54674
"Th1 cells","210229_s_at","CSF2","CSF2",1437
"Th1 cells","210354_at","IFNG","IFNG",3458
"Th1 cells","210571_s_at","CMAH","CMAHP",8418
"Th1 cells","211478_s_at","DPP4","DPP4",1803
"Th1 cells","212062_at","ATP9A","ATP9A",10079
"Th1 cells","213419_at","APBB2","APBB2",323
"Th1 cells","214844_s_at","DOK5","DOK5",55816
"Th1 cells","219454_at","EGFL6","EGFL6",25975
"Th1 cells","220118_at","ZBTB32","ZBTB32",27033
"Th1 cells","221165_s_at","IL22","IL22",50616
"Th1 cells","221331_x_at","CTLA4","CTLA4",1493
"Th1 cells","38037_at","HBEGF","HBEGF",1839
"Th1 cells","40148_at","APBB2","APBB2",323
"Th17 cells","205707_at","IL17RA","IL17RA",23765
"Th17 cells","206419_at","RORC","RORC",6097
"Th17 cells","208402_at","IL17A","IL17A",3605
"Th17 cells","216876_s_at","IL17A","IL17A",3605
"Th2 cells","202534_x_at","DHFR","DHFR",1719
"Th2 cells","202691_at","SNRPD1","SNRPD1",6632
"Th2 cells","202967_at","GSTA4","GSTA4",2941
"Th2 cells","203076_s_at","SMAD2","SMAD2",4087
"Th2 cells","203077_s_at","SMAD2","SMAD2",4087
"Th2 cells","204179_at","MB","MB",4151
"Th2 cells","204510_at","CDC7","CDC7",8317
"Th2 cells","204728_s_at","WDHD1","WDHD1",11169
"Th2 cells","205167_s_at","CDC25C","CDC25C",995
"Th2 cells","206942_s_at","PMCH","PMCH",5367
"Th2 cells","206974_at","CXCR6","CXCR6",10663
"Th2 cells","207509_s_at","LAIR2","LAIR2",3904
"Th2 cells","208131_s_at","PTGIS","PTGIS",5740
"Th2 cells","208353_x_at","ANK1","ANK1",286
"Th2 cells","209172_s_at","CENPF","CENPF",1063
"Th2 cells","209602_s_at","GATA3","GATA3",2625
"Th2 cells","209717_at","EVI5","EVI5",7813
"Th2 cells","210334_x_at","BIRC5","BIRC5",332
"Th2 cells","210617_at","PHEX","PHEX",5251
"Th2 cells","211469_s_at","CXCR6","CXCR6",10663
"Th2 cells","212110_at","SLC39A14","SLC39A14",23516
"Th2 cells","212472_at","MICAL2","MICAL2",9645
"Th2 cells","213245_at","ADCY1","ADCY1",107
"Th2 cells","217892_s_at","LIMA1","LIMA1",51474
"Th2 cells","219502_at","NEIL3","NEIL3",55247
"Th2 cells","220085_at","HELLS","HELLS",3070
"Th2 cells","220841_s_at","AHI1","AHI1",54806
"Th2 cells","220842_at","AHI1","AHI1",54806
"Th2 cells","221111_at","IL26","IL26",55801
"Th2 cells","221569_at","AHI1","AHI1",54806
"Th2 cells","48808_at","DHFR","DHFR",1719
"TReg","221333_at","FOXP3","FOXP3",50943
"TReg","221334_s_at","FOXP3","FOXP3",50943
