	TCGA-18-3408-01	TCGA-18-3416-01	TCGA-21-1082-01	TCGA-22-4596-01	TCGA-22-5472-01	TCGA-22-5482-01	TCGA-22-A5C4-01	TCGA-34-5239-01	TCGA-37-3792-01	TCGA-37-4130-01	TCGA-37-4135-01	TCGA-39-5011-01	TCGA-39-5022-01	TCGA-39-5030-01	TCGA-43-5668-01	TCGA-52-7812-01	TCGA-56-5898-01	TCGA-56-7580-01	TCGA-56-7582-01	TCGA-56-8622-01	TCGA-58-A46M-01	TCGA-60-2721-01	TCGA-63-A5MG-01	TCGA-63-A5MI-01	TCGA-63-A5MN-01	TCGA-66-2777-01	TCGA-66-2778-01	TCGA-66-2782-01	TCGA-66-2783-01	TCGA-66-2787-01	TCGA-77-8128-01	TCGA-77-8131-01	TCGA-77-8136-01	TCGA-77-8140-01	TCGA-85-7950-01	TCGA-85-8070-01	TCGA-85-8287-01	TCGA-85-8351-01	TCGA-85-A511-01	TCGA-90-7769-01	TCGA-92-8064-01	TCGA-94-8490-01	TCGA-94-A5I4-01	TCGA-98-A53A-01	TCGA-98-A53H-01	TCGA-NC-A5HG-01	TCGA-NC-A5HH-01	TCGA-NC-A5HI-01	TCGA-NK-A7XE-01	TCGA-XC-AA0X-01
CCDC172	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
STK32C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM171A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PITRM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARD3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CTNNA3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH23	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
AP000889.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIXDC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLB1L2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
