signature	importance
AL031777.1	1.47475557683275
KRT8P12	1.20899350434611
GPC1	1.20490068914094
SEPT5	1.13628064186799
TLE6	1.01338492091401
PANX2	0.948266168126834
NMRAL2P	0.942618489469359
WFDC10B	0.935504468677562
ANKRD24	0.920282249925361
MIR210HG	0.917214043191434
CRACR2B	0.910458862754708
MAN1B1	0.843570627374934
NPM1P25	0.821458178721068
CCDC68	0.813812775470512
ST6GALNAC4P1	0.795742777450425
LRRN4	0.789697665462398
ENO3	0.776758303247467
QRFP	0.772562177019798
AC016876.1	0.769575622163268
INMT	0.748961471784458
TSPYL2	0.7276113084071
AC084125.2	0.723314544037621
