"gene","cancer","value","type"
"ZNF667-AS1","PAAD",0,"EA"
"LINC00461","PAAD",0,"EA"
"SNHG18","PAAD",0,"EA"
"DNM3OS","PAAD",0,"EA"
"BC070363","PAAD",0,"EA"
"MIR4666A","SKCM",0,"EA"
"LOC284930","SKCM",0.877786952931462,"EA"
"LINC00898","SKCM",0.877786952931462,"EA"
"LINC00941","SKCM",0.870322019147084,"EA"
"RP11-539E17.5","SKCM",0,"EA"
"LINC00668","SKCM",0.591784338896021,"EA"
"RP11-608O21.1","SKCM",0.943946188340807,"EA"
"LINC00884","SKCM",0.234672304439746,"EA"
"BC005081","SKCM",0,"EA"
"LINC00944","SKCM",0.974149659863946,"EA"
"LINC00460","SKCM",0,"EA"
"AK023033","SKCM",0,"EA"
"CTD-3010D24.3","SKCM",0,"EA"
"LOC102724297","SKCM",0.778210116731518,"EA"
"MINCR","SKCM",0,"EA"
"RP11-3J1.1","SKCM",0.943946188340807,"EA"
"RP11-278L15.2","SKCM",0,"EA"
"SNHG12","SKCM",0.742911153119093,"EA"
"RP11-96L14.7","SKCM",0,"EA"
"AC098973.2","SKCM",0,"EA"
"AF186192.1","SKCM",0,"EA"
"RP11-259O2.1","SKCM",0,"EA"
"CTB-41I6.2","SKCM",0,"EA"
"ZNF667-AS1","SKCM",0,"EA"
"LINC00461","SKCM",0,"EA"
"SNHG18","SKCM",0.0679405520169851,"EA"
"DNM3OS","SKCM",0,"EA"
"BC070363","SKCM",0,"EA"
"MIR4666A","PRAD",0.698795180722892,"EA"
"LOC284930","PRAD",0.794117647058823,"EA"
"LINC00898","PRAD",0.794117647058823,"EA"
"LINC00941","PRAD",0,"EA"
"RP11-539E17.5","PRAD",0,"EA"
"LINC00668","PRAD",0.0763052208835341,"EA"
"RP11-608O21.1","PRAD",0,"EA"
"LINC00884","PRAD",0,"EA"
"BC005081","PRAD",0,"EA"
"LINC00944","PRAD",0,"EA"
"LINC00460","PRAD",0,"EA"
"AK023033","PRAD",0,"EA"
"CTD-3010D24.3","PRAD",0,"EA"
"LOC102724297","PRAD",0,"EA"
"MINCR","PRAD",0,"EA"
"RP11-3J1.1","PRAD",0,"EA"
"RP11-278L15.2","PRAD",0,"EA"
"SNHG12","PRAD",0,"EA"
"RP11-96L14.7","PRAD",0,"EA"
"AC098973.2","PRAD",0,"EA"
"AF186192.1","PRAD",0.0843373493975904,"EA"
"RP11-259O2.1","PRAD",0,"EA"
"CTB-41I6.2","PRAD",0,"EA"
"ZNF667-AS1","PRAD",0,"EA"
"LINC00461","PRAD",0,"EA"
"SNHG18","PRAD",0.00200803212851406,"EA"
"DNM3OS","PRAD",0,"EA"
"BC070363","PRAD",0.152610441767068,"EA"
"MIR4666A","LIHC",0.161803713527851,"EA"
"LOC284930","LIHC",0.831858407079646,"EA"
"LINC00898","LIHC",0.747508305647841,"EA"
"LINC00941","LIHC",0,"EA"
"RP11-539E17.5","LIHC",0,"EA"
"LINC00668","LIHC",0.71606648199446,"EA"
"RP11-608O21.1","LIHC",0.477453580901857,"EA"
"LINC00884","LIHC",0,"EA"
"BC005081","LIHC",0.668435013262599,"EA"
"LINC00944","LIHC",0.887323943661972,"EA"
"LINC00460","LIHC",0.832402234636871,"EA"
"AK023033","LIHC",0.84321223709369,"EA"
"CTD-3010D24.3","LIHC",0,"EA"
"LOC102724297","LIHC",0,"EA"
"MINCR","LIHC",0,"EA"
"RP11-3J1.1","LIHC",0,"EA"
"RP11-278L15.2","LIHC",0.0795755968169761,"EA"
"SNHG12","LIHC",0,"EA"
"RP11-96L14.7","LIHC",0,"EA"
"AC098973.2","LIHC",0.787781350482315,"EA"
"AF186192.1","LIHC",0,"EA"
"RP11-259O2.1","LIHC",0,"EA"
"CTB-41I6.2","LIHC",0,"EA"
"ZNF667-AS1","LIHC",0,"EA"
"LINC00461","LIHC",0,"EA"
"SNHG18","LIHC",0.0689655172413793,"EA"
"DNM3OS","LIHC",0,"EA"
"BC070363","LIHC",0,"EA"
"MIR4666A","BRCA",0.564935064935065,"EA"
"LOC284930","BRCA",0.766103814884303,"EA"
"LINC00898","BRCA",0.766103814884303,"EA"
"LINC00941","BRCA",0,"EA"
"RP11-539E17.5","BRCA",0.736503856041131,"EA"
"LINC00668","BRCA",0,"EA"
"RP11-608O21.1","BRCA",0.172727272727273,"EA"
"LINC00884","BRCA",0.846887268648346,"EA"
"BC005081","BRCA",0.342857142857143,"EA"
"LINC00944","BRCA",0,"EA"
"LINC00460","BRCA",0,"EA"
"AK023033","BRCA",0,"EA"
"CTD-3010D24.3","BRCA",0,"EA"
"LOC102724297","BRCA",0,"EA"
"MINCR","BRCA",0,"EA"
"RP11-3J1.1","BRCA",0,"EA"
"RP11-278L15.2","BRCA",0,"EA"
"SNHG12","BRCA",0.601271571298819,"EA"
"RP11-96L14.7","BRCA",0,"EA"
"AC098973.2","BRCA",0,"EA"
"AF186192.1","BRCA",0,"EA"
"RP11-259O2.1","BRCA",0,"EA"
"CTB-41I6.2","BRCA",0,"EA"
"ZNF667-AS1","BRCA",0,"EA"
"LINC00461","BRCA",0,"EA"
"SNHG18","BRCA",0,"EA"
"DNM3OS","BRCA",0,"EA"
"BC070363","BRCA",0.263636363636364,"EA"
"MIR4666A","LUSC",0.694594594594595,"EA"
"LOC284930","LUSC",0.866959064327485,"EA"
"LINC00898","LUSC",0.866959064327485,"EA"
"LINC00941","LUSC",0.0432432432432432,"EA"
"RP11-539E17.5","LUSC",0.904270986745214,"EA"
"LINC00668","LUSC",0.869318181818182,"EA"
"RP11-608O21.1","LUSC",0.932539682539683,"EA"
"LINC00884","LUSC",0.0162162162162162,"EA"
"BC005081","LUSC",0.513513513513513,"EA"
"LINC00944","LUSC",0,"EA"
"LINC00460","LUSC",0.62708719851577,"EA"
"AK023033","LUSC",0.870292887029289,"EA"
"CTD-3010D24.3","LUSC",0.688046647230321,"EA"
"LOC102724297","LUSC",0.690265486725664,"EA"
"MINCR","LUSC",0.855670103092783,"EA"
"RP11-3J1.1","LUSC",0.898809523809524,"EA"
"RP11-278L15.2","LUSC",0.815068493150685,"EA"
"SNHG12","LUSC",0.72192513368984,"EA"
"RP11-96L14.7","LUSC",0.764607679465776,"EA"
"AC098973.2","LUSC",0.747395833333333,"EA"
"AF186192.1","LUSC",0,"EA"
"RP11-259O2.1","LUSC",0,"EA"
"CTB-41I6.2","LUSC",0,"EA"
"ZNF667-AS1","LUSC",0,"EA"
"LINC00461","LUSC",0,"EA"
"SNHG18","LUSC",0.0162162162162162,"EA"
"DNM3OS","LUSC",0,"EA"
"BC070363","LUSC",0,"EA"
"MIR4666A","COAD",0,"EA"
"LOC284930","COAD",0,"EA"
"LINC00898","COAD",0,"EA"
"LINC00941","COAD",0.756578947368421,"EA"
"RP11-539E17.5","COAD",0.8109375,"EA"
"LINC00668","COAD",0.927272727272727,"EA"
"RP11-608O21.1","COAD",0,"EA"
"LINC00884","COAD",0,"EA"
"BC005081","COAD",0,"EA"
"LINC00944","COAD",0,"EA"
"LINC00460","COAD",0.894179894179894,"EA"
"AK023033","COAD",0.674074074074074,"EA"
"CTD-3010D24.3","COAD",0,"EA"
"LOC102724297","COAD",0.0612244897959184,"EA"
"MINCR","COAD",0.80244399185336,"EA"
"RP11-3J1.1","COAD",0,"EA"
"RP11-278L15.2","COAD",0.862903225806452,"EA"
"SNHG12","COAD",0,"EA"
"RP11-96L14.7","COAD",0.786184210526316,"EA"
"AC098973.2","COAD",0,"EA"
"AF186192.1","COAD",0,"EA"
"RP11-259O2.1","COAD",0,"EA"
"CTB-41I6.2","COAD",0.00680272108843537,"EA"
"ZNF667-AS1","COAD",0.00680272108843537,"EA"
"LINC00461","COAD",0,"EA"
"SNHG18","COAD",0,"EA"
"DNM3OS","COAD",0,"EA"
"BC070363","COAD",0,"EA"
"MIR4666A","LGG",0.955375253549696,"EA"
"LOC284930","LGG",0,"EA"
