SYMBOL,log2fc
Atrn,-0.308724
Cacna1e,-0.352114
Cacna1g,-0.30002
Capn2,-0.199424
Cdh11,-0.206564
Cdh4,-0.500161
Cdh9,-0.255698
Cfh,-0.126088
Col4a1,-0.274203
Cxadr,-0.200243
Dffa,-0.173224
Sparcl1,-0.385248
Epha3,-0.681811
Epm2a,-0.683109
Erbb4,-0.301868
Eya3,-0.301149
Flt1,-0.183248
Flt3,-0.594008
Fmn1,-0.155192
Gabra4,-0.114078
Nr6a1,-0.168891
Ggta1,-0.607202
Glrb,-0.174511
Gna12,-0.448062
Ednra,-0.330758
Gpr37,-0.175975
Gtf2i,-0.297848
Hipk1,-0.119693
Hs3st1,-0.478937
Igf1r,-0.213881
Ilf3,-0.487481
Inpp5d,-0.155608
Insr,-0.182849
Itga4,-0.474924
Kdr,-0.150017
Kif13a,-0.436406
Uhmk1,-0.332171
Klf12,-0.22064
Sspn,-0.341787
Lama3,-0.509532
Lamc1,-0.24746
Phyh,-0.114562
Lyn,-0.338056
Lyst,-0.274495
Mxd1,-0.148569
Mbd2,-0.168101
Msn,-0.249639
Myoc,-0.696409
Nck2,-0.166508
Nedd4,-0.296286
Nfe2l2,-0.272285
Nid1,-0.233388
Ncam2,-0.203
Pdcd11,-0.141523
Abcb1b,-0.526892
Phf2,-0.428349
Prkca,-0.176666
Prkdc,-0.393514
Pros1,-0.184725
Ptgfrn,-0.157235
Ptpn13,-0.412307
Ptpn3,-0.22087
Ptpre,-0.219399
Ptpru,-0.278136
Ptprr,-0.182522
Rasgrf1,-0.297082
Rfx3,-0.409545
Xpr1,-0.193331
Uri1,-0.113614
Rnaseh1,-0.584858
Rps6ka2,-0.23424
Spi1,-0.329504
Itsn2,-0.337482
Cyfip1,-0.283938
St6galnac3,-0.23792
Slit3,-0.440409
Sorl1,-0.382176
Stxbp4,-0.529448
Zeb1,-0.279856
Tfpi,-0.10515
Tgfbr3,-0.2035
Tjp2,-0.254751
Nr2c2,-0.418629
Utrn,-0.272405
Wrn,-0.317546
Map3k19,-0.197594
Zfp39,-0.415782
Ikzf4,-0.18994
Cdh20,-0.255506
Ets2,-0.110564
Fbln5,-0.355222
Grem2,-0.340669
Mmp17,-0.128575
Tenm2,-0.413577
Tenm3,-0.135807
Papss1,-0.36803
Rnasel,-0.739968
42616,-0.260048
Map2k6,-0.161428
Map3k1,-0.263009
Arhgef28,-0.240182
Vsnl1,0.103535
Fkbp9,0.134085
Cadps,0.12658
Abca1,0.220797
Cpt1a,0.376801
Hapln1,0.107167
Gfpt2,0.513408
Eif2ak1,0.103025
Myh11,0.512143
Pam,0.161565
Sema5b,0.189717
Sp100,0.355935
Eif2ak4,0.51598
Syn3,0.448511
Pla2g7,0.265661
Add3,0.467661
Plcb4,0.342793
Pstpip2,0.387073
Abca8b,0.445783
Bcar3,0.429221
Tnfrsf19,0.239646
Pde7b,0.312963
Zeb2,0.156519
Hunk,0.397411
Fbxl17,0.257386
Crim1,0.255027
Atp8a2,0.28355
Dkk3,0.188363
Hs6st3,0.547332
Gne,0.10475
Sntb1,0.167336
Uba2,0.195465
Park2,0.242359
Auh,0.435574
Matn2,0.368185
Dmp1,0.366896
Nfatc1,0.460141
Rgl1,0.309703
Stk39,0.145487
Insm1,0.502814
Slc7a8,0.302621
Celsr2,0.173034
Gucy1b3,0.33553
Copg2,0.200552
Scn3a,0.269376
Igtp,0.348413
Ctnnal1,0.393207
Chst2,0.117922
Plxnc1,0.210132
Abhd2,0.185562
Slc23a2,0.344779
Samhd1,0.163753
Pdzrn3,0.276098
Robo1,0.405576
Atf7ip,0.476915
Cacng4,0.487488
Hpgds,0.206321
Apbb1ip,0.675236
Myo10,0.288241
Trpc3,0.189776
Gas6,0.178274
Plek,0.145489
Tspan7,0.177673
Stk3,0.227219
Stam2,0.126766
Plcb1,0.24322
Rapgef4,0.247995
Mbtps1,0.386739
Mmp16,0.175939
Usp8,0.261069
Tmeff2,0.344366
Tspan3,0.238004
Cyp2d22,0.333708
Pde4b,0.294965
Pex3,0.164181
Stat2,0.345679
Pdgfc,0.372667
Ick,0.225703
Aldh9a1,0.645734
Med20,0.109963
Rbms1,0.295314
Ank,0.166971
Kit,0.348014
Jmy,0.174414
Cdon,0.460353
Sall1,0.371517
Pard6b,0.826941
Gpr180,0.18625
Tmeff1,0.267352
Chst11,0.120993
Rbfox1,0.151616
Dennd5a,0.183183
Moxd1,0.28044
Slc4a8,0.231709
Agrn,0.408629
Nek7,0.183215
Wbp11,0.329974
Tmod1,0.126335
Sav1,0.264338
Tnr,0.45134
