"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",1,1,0.846986089644513,0.849358974358974,0.827371695178849,0.838187702265372,1,1,1,0.940809968847352,0.839116719242902,0.833855799373041,0.84775641025641,0.847512038523275,0.852986217457887,0.8384,0.847328244274809,0.847133757961783,0.20516717325228,1,1,1,1,0.115740740740741,0.836734693877551,1,0.837539432176656,0.15962441314554,0.578294573643411,0.181114551083591,0.488673139158576,0.18341307814992,0.885400313971743,0.37403400309119,0.41321044546851,0.306729264475743,0.422047244094488,0.823712948517941,0.996969696969697,0.820433436532508,0.825347758887172,0.175824175824176,0.303174603174603,0.827956989247312,0.965625,0.82018927444795,0.424242424242424,0.859375,0.167682926829268,0.299382716049383,0.996899224806202,0.977564102564103,1,1,0.968701095461659,0.836220472440945,0.417721518987342,0.113178294573643,0.348228043143297,0.832307692307692
"2",1,1,0.83147853736089,0.840909090909091,0.81687898089172,0.833060556464812,1,1,1,0.948470209339775,0.833594976452119,0.824367088607595,0.834426229508197,0.832528180354267,0.851393188854489,0.821428571428571,0.837209302325581,0.834437086092715,0.207751937984496,0.998447204968944,1,1,1,0.118858954041204,0.829383886255924,1,0.833065810593901,0.168557536466775,0.5625,0.191222570532915,0.484652665589661,0.200317965023847,0.892405063291139,0.367762128325509,0.408450704225352,0.315286624203822,0.429268292682927,0.817152103559871,0.996918335901387,0.810126582278481,0.81377151799687,0.185897435897436,0.315955766192733,0.816745655608215,0.9552,0.814516129032258,0.43125,0.851030110935024,0.163522012578616,0.308917197452229,0.995169082125604,0.969305331179321,1,1,0.959742351046699,0.82670906200318,0.418152350081037,0.116169544740973,0.362385321100917,0.826086956521739
"3",0.846986089644513,0.83147853736089,1,0.996894409937888,0.998420221169036,0.99837925445705,0.853810264385692,0.853269537480064,0.852307692307692,0.909375,0.998430141287284,1,0.998402555910543,1,1,1,1,1,0.302891933028919,0.882442748091603,0.8832,0.825878594249201,0.841772151898734,0.0858895705521472,1,0.831029185867896,0.998432601880878,0.00460829493087558,0.716923076923077,0.0169753086419753,0.63884430176565,0.0189873417721519,0.789968652037618,0.285053929121726,0.513975155279503,0.1953125,0.549689440993789,0.996879875195008,0.862745098039216,0.993827160493827,0.996960486322188,0.00625,0.249221183800623,0.998442367601246,0.799072642967543,0.998425196850394,0.386153846153846,0.996955859969559,0.00459418070444104,0.451863354037267,0.848062015503876,0.825320512820513,0.842105263157895,0.858034321372855,0.780063291139241,0.998449612403101,0.541925465838509,0.0062402496099844,0.333333333333333,0.998496240601504
"4",0.849358974358974,0.840909090909091,0.996894409937888,1,0.996820349761526,0.99670510708402,0.85423197492163,0.855048859934853,0.851162790697674,0.913112164296998,1,0.996774193548387,0.996732026143791,1,0.996946564885496,0.998366013071895,0.996889580093313,0.998384491114701,0.287250384024578,0.890795631825273,0.885245901639344,0.8288,0.844517184942717,0.0860719874804382,0.995245641838352,0.830218068535826,0.996825396825397,0.00625,0.690140845070423,0.0141732283464567,0.617363344051447,0.0176848874598071,0.7953125,0.261146496815287,0.505426356589147,0.209702660406886,0.564308681672026,0.995222929936306,0.865325077399381,0.992199687987519,0.993798449612403,0.00479233226837061,0.250788643533123,0.995297805642633,0.800316957210777,0.996825396825397,0.375776397515528,0.998459167950693,0.0062992125984252,0.43312101910828,0.854632587859425,0.835218093699515,0.846153846153846,0.859649122807018,0.782747603833866,0.996789727126806,0.546474358974359,0.00625,0.336405529953917,0.995341614906832
"5",0.827371695178849,0.81687898089172,0.998420221169036,0.996820349761526,1,1,0.832025117739403,0.835236541598695,0.830218068535826,0.900943396226415,1,1,1,1,1,1,0.998452012383901,1,0.310502283105023,0.872699386503067,0.863563402889246,0.807324840764331,0.821766561514196,0.0875576036866359,0.998422712933754,0.808346213292117,1,0,0.671850699844479,0.0122887864823349,0.594594594594595,0.0141065830721003,0.780715396578538,0.267295597484277,0.504601226993865,0.195956454121306,0.541139240506329,1,0.844410876132931,0.998444790046656,0.996894409937888,0.0047244094488189,0.236760124610592,0.998473282442748,0.791021671826625,1,0.38,0.998430141287284,0.00155038759689922,0.461778471138846,0.835703001579779,0.819905213270142,0.824427480916031,0.84384858044164,0.766192733017378,1,0.514423076923077,0.00157232704402516,0.327718223583461,1
"6",0.838187702265372,0.833060556464812,0.99837925445705,0.99670510708402,1,1,0.839228295819936,0.845771144278607,0.848484848484849,0.9072,1,1,1,1,1,1,0.998427672955975,1,0.299524564183835,0.882352941176471,0.872881355932203,0.820598006644518,0.834983498349835,0.0803858520900322,0.998363338788871,0.830188679245283,1,0.00161290322580645,0.694668820678514,0.0112540192926045,0.618887015177066,0.0146103896103896,0.789727126805779,0.27479674796748,0.508744038155803,0.192245557350565,0.564227642276423,1,0.851393188854489,0.9967585089141,0.9967585089141,0.00480769230769231,0.244663382594417,0.998376623376623,0.798333333333333,1,0.383386581469649,0.998402555910543,0.0032,0.453808752025932,0.852941176470588,0.832504145936982,0.835443037974684,0.852272727272727,0.777049180327869,1,0.538205980066445,0.00319488817891374,0.33652312599681,1
"7",1,1,0.853810264385692,0.85423197492163,0.832025117739403,0.839228295819936,1,1,1,0.943307086614173,0.8484375,0.846275752773376,0.854864433811802,0.844551282051282,0.859541984732824,0.841346153846154,0.849230769230769,0.8512,0.191198786039454,1,1,1,1,0.119309262166405,0.839622641509434,1,0.85062893081761,0.158227848101266,0.575471698113208,0.179566563467492,0.486223662884927,0.186413902053712,0.8887171561051,0.354489164086687,0.41358024691358,0.308892355694228,0.429477020602219,0.829153605015674,0.998496240601504,0.823161189358372,0.829787234042553,0.168486739469579,0.313572542901716,0.835164835164835,0.956112852664577,0.821150855365474,0.398773006134969,0.856481481481482,0.160990712074303,0.300469483568075,0.995297805642633,0.972886762360447,1,1,0.960567823343849,0.84,0.411214953271028,0.115384615384615,0.355725190839695,0.835889570552147
"8",1,1,0.853269537480064,0.855048859934853,0.835236541598695,0.845771144278607,1,1,1,0.937704918032787,0.852272727272727,0.843548387096774,0.857142857142857,0.850746268656716,0.865293185419968,0.84474123539232,0.851968503937008,0.850819672131148,0.2125,1,1,1,1,0.107890499194847,0.846029173419773,1,0.845024469820555,0.155228758169935,0.578861788617886,0.177033492822967,0.502446982055465,0.183028286189684,0.884176182707993,0.373996789727127,0.418789808917197,0.295934959349594,0.429276315789474,0.829307568438003,0.998439937597504,0.824104234527687,0.8336,0.168831168831169,0.304838709677419,0.83968253968254,0.980769230769231,0.826229508196721,0.434991974317817,0.87075928917609,0.150234741784038,0.309294871794872,1,0.991666666666667,1,1,0.988617886178862,0.844771241830065,0.412645590682196,0.11216429699842,0.351437699680511,0.837320574162679
"9",1,1,0.852307692307692,0.851162790697674,0.830218068535826,0.848484848484849,1,1,1,0.928125,0.842857142857143,0.844339622641509,0.856459330143541,0.849270664505673,0.861654135338346,0.847619047619048,0.852807283763278,0.84887459807074,0.207890743550835,0.998475609756098,1,1,1,0.102719033232628,0.844961240310077,1,0.84748427672956,0.15968992248062,0.572755417956656,0.178899082568807,0.493589743589744,0.186813186813187,0.883614088820827,0.341049382716049,0.414483821263482,0.307332293291732,0.435736677115987,0.827315541601256,1,0.824159021406728,0.827426810477658,0.173775671406003,0.311424100156495,0.839449541284404,0.964285714285714,0.830721003134796,0.402777777777778,0.861586314152411,0.151145038167939,0.306853582554517,0.995319812792512,0.973312401883831,1,1,0.966666666666667,0.841614906832298,0.416403785488959,0.11854103343465,0.353658536585366,0.837920489296636
"10",0.940809968847352,0.948470209339775,0.909375,0.913112164296998,0.900943396226415,0.9072,0.943307086614173,0.937704918032787,0.928125,1,0.909235668789809,0.908082408874802,0.909967845659164,0.905073649754501,0.922958397534669,0.901639344262295,0.916158536585366,0.912337662337662,0.242424242424242,0.949618320610687,0.952153110047847,0.9312,0.932258064516129,0.0981308411214953,0.903426791277259,0.924409448818898,0.911532385466035,0.081377151799687,0.630841121495327,0.105426356589147,0.546042003231018,0.114285714285714,0.862559241706161,0.34488188976378,0.468944099378882,0.261146496815287,0.491056910569106,0.89171974522293,0.928895612708018,0.901253918495298,0.902173913043478,0.0979462875197472,0.296411856474259,0.90527950310559,0.884858044164038,0.893481717011129,0.418604651162791,0.908385093167702,0.0907668231611894,0.364500792393027,0.938095238095238,0.903846153846154,0.927692307692308,0.937402190923318,0.878548895899054,0.908805031446541,0.4832,0.0579937304075235,0.362790697674419,0.920367534456355
"11",0.839116719242902,0.833594976452119,0.998430141287284,1,1,1,0.8484375,0.852272727272727,0.842857142857143,0.909235668789809,1,1,1,1,1,1,0.998468606431853,1,0.305426356589147,0.87906976744186,0.875404530744337,0.825320512820513,0.833333333333333,0.0802469135802469,0.998415213946117,0.8234375,1,0,0.712962962962963,0.0124223602484472,0.6336,0.0143312101910828,0.796557120500782,0.271293375394322,0.516923076923077,0.209048361934477,0.562599049128368,1,0.859516616314199,0.998425196850394,0.996904024767802,0.00471698113207547,0.253588516746411,0.998447204968944,0.8,1,0.380434782608696,1,0.0015552099533437,0.463949843260188,0.847962382445141,0.833065810593901,0.838905775075988,0.849529780564263,0.776190476190476,1,0.54281098546042,0.00154559505409583,0.345679012345679,1
"12",0.833855799373041,0.824367088607595,1,0.996774193548387,1,1,0.846275752773376,0.843548387096774,0.844339622641509,0.908082408874802,1,1,1,1,1,1,1,1,0.302611367127496,0.878315132605304,0.873581847649919,0.818923327895595,0.827140549273021,0.0796875,1,0.820710973724884,1,0.00313479623824451,0.699367088607595,0.0139751552795031,0.616613418530351,0.0173775671406003,0.784251968503937,0.266770670826833,0.514637904468413,0.205246913580247,0.551446945337621,0.998422712933754,0.848575712143928,0.995348837209302,0.99685534591195,0.00480769230769231,0.247634069400631,0.998447204968944,0.788216560509554,1,0.365740740740741,0.998425196850394,0.0046875,0.457547169811321,0.848726114649682,0.825806451612903,0.836391437308868,0.850793650793651,0.774091627172196,1,0.5312,0.00469483568075117,0.345736434108527,0.998461538461539
"13",0.84775641025641,0.834426229508197,0.998402555910543,0.996732026143791,1,1,0.854864433811802,0.857142857142857,0.856459330143541,0.909967845659164,1,1,1,1,1,1,0.998444790046656,1,0.301109350237718,0.8875,0.883223684210526,0.826446280991736,0.847933884297521,0.0660225442834139,0.998366013071895,0.835987261146497,1,0.00327868852459016,0.710610932475884,0.0127591706539075,0.615384615384615,0.016260162601626,0.795161290322581,0.265472312703583,0.503937007874016,0.198051948051948,0.553191489361702,0.998371335504886,0.865533230293663,0.995161290322581,0.998392282958199,0.00483870967741936,0.251207729468599,0.998397435897436,0.806709265175719,1,0.3728,0.998402555910543,0.00470219435736677,0.450726978998384,0.860353130016051,0.833602584814216,0.847244094488189,0.867430441898527,0.786885245901639,1,0.533112582781457,0.00316957210776545,0.338557993730408,0.998454404945904
"14",0.847512038523275,0.832528180354267,1,1,1,1,0.844551282051282,0.850746268656716,0.849270664505673,0.905073649754501,1,1,1,1,1,1,1,1,0.30298273155416,0.877165354330709,0.882747068676717,0.821603927986907,0.839669421487603,0.0848,1,0.825878594249201,1,0.00322061191626409,0.720447284345048,0.0125984251968504,0.63562091503268,0.0163398692810458,0.797101449275362,0.279620853080569,0.510301109350238,0.196747967479675,0.547967479674797,0.998371335504886,0.855140186915888,0.995169082125604,0.996850393700787,0.00482315112540193,0.263754045307443,0.998410174880763,0.799679487179487,1,0.379365079365079,1,0.0048,0.456591639871383,0.846787479406919,0.832225913621262,0.8421875,0.854166666666667,0.779411764705882,1,0.539087947882736,0.0048,0.344827586206897,0.998432601880878
"15",0.852986217457887,0.851393188854489,1,0.996946564885496,1,1,0.859541984732824,0.865293185419968,0.861654135338346,0.922958397534669,1,1,1,1,1,1,1,1,0.278614457831325,0.897321428571429,0.889415481832543,0.841444270015699,0.8464,0.0755287009063444,1,0.841463414634146,1,0.00306278713629403,0.690548780487805,0.013677811550152,0.607535321821036,0.0170278637770898,0.798151001540832,0.262672811059908,0.490990990990991,0.189312977099237,0.538341158059468,0.998449612403101,0.867153284671533,0.996955859969559,0.995488721804511,0.00459418070444104,0.240428790199081,1,0.811550151975684,1,0.368815592203898,0.998475609756098,0.00458715596330275,0.429892141756549,0.862385321100917,0.841444270015699,0.853949329359165,0.863705972434916,0.7953125,1,0.521739130434783,0.00448430493273543,0.326865671641791,0.998518518518518
"16",0.8384,0.821428571428571,1,0.998366013071895,1,1,0.841346153846154,0.84474123539232,0.847619047619048,0.901639344262295,1,1,1,1,1,1,1,1,0.306853582554517,0.875195007800312,0.871287128712871,0.821717990275527,0.830618892508143,0.0847723704866562,1,0.820919175911252,1,0.00160513643659711,0.709470304975923,0.0113085621970921,0.627090301003345,0.0147299509001637,0.789644012944984,0.273752012882448,0.508661417322835,0.207516339869281,0.548701298701299,1,0.854714064914992,0.996845425867508,0.996794871794872,0.00325732899022801,0.25974025974026,0.998407643312102,0.798076923076923,1,0.376996805111821,1,0.00162074554294976,0.463815789473684,0.84185303514377,0.832781456953642,0.834375,0.851791530944625,0.779411764705882,1,0.543973941368078,0.00158982511923688,0.346273291925466,1
"17",0.847328244274809,0.837209302325581,1,0.996889580093313,0.998452012383901,0.998427672955975,0.849230769230769,0.851968503937008,0.852807283763278,0.916158536585366,0.998468606431853,1,0.998444790046656,1,1,1,1,1,0.285925925925926,0.885885885885886,0.890625,0.829457364341085,0.836734693877551,0.0743550834597876,1,0.829007633587786,0.998459167950693,0.00467289719626168,0.711450381679389,0.0166414523449319,0.616954474097331,0.0186625194401244,0.782874617737003,0.268702290076336,0.500754147812971,0.2,0.540625,0.996908809891808,0.863173216885007,0.995447647951442,0.993939393939394,0.00618238021638331,0.251552795031056,1,0.797256097560976,0.998447204968944,0.370820668693009,0.996978851963746,0.00451127819548872,0.437596302003082,0.853658536585366,0.831496062992126,0.843517138599106,0.853846153846154,0.781201848998459,0.998463901689708,0.531782945736434,0.00611620795107034,0.334332833583208,0.998491704374057
"18",0.847133757961783,0.834437086092715,1,0.998384491114701,1,1,0.8512,0.850819672131148,0.84887459807074,0.912337662337662,1,1,1,1,1,1,1,1,0.304615384615385,0.886255924170616,0.884678747940692,0.830618892508143,0.844517184942717,0.0733652312599681,1,0.834130781499203,1,0.00158982511923688,0.692307692307692,0.014308426073132,0.606851549755302,0.0161290322580645,0.803858520900322,0.271544715447154,0.48811410459588,0.185185185185185,0.530179445350734,0.998392282958199,0.862068965517241,0.996794871794872,0.995230524642289,0.00484652665589661,0.239870340356564,0.998430141287284,0.813099041533546,1,0.386837881219904,0.998397435897436,0.00317460317460317,0.446774193548387,0.853932584269663,0.826955074875208,0.839813374805599,0.864,0.786173633440514,1,0.526829268292683,0.00158478605388273,0.316535433070866,0.998420221169036
"19",0.20516717325228,0.207751937984496,0.302891933028919,0.287250384024578,0.310502283105023,0.299524564183835,0.191198786039454,0.2125,0.207890743550835,0.242424242424242,0.305426356589147,0.302611367127496,0.301109350237718,0.30298273155416,0.278614457831325,0.306853582554517,0.285925925925926,0.304615384615385,1,0.200296735905045,0.189792663476874,0.20404984423676,0.192546583850932,0.777777777777778,0.312024353120244,0.206060606060606,0.2782874617737,0.72239263803681,0.63719512195122,0.696646341463415,0.729770992366412,0.671802773497689,0.290571870170015,0.786259541984733,0.800898203592814,0.814701378254211,0.744582043343653,0.293394777265745,0.187227866473149,0.307692307692308,0.316742081447964,0.678461538461538,0.832049306625578,0.307458143074581,0.243531202435312,0.326594090202177,0.817771084337349,0.279699248120301,0.692537313432836,1,0.208083832335329,0.235202492211838,0.198507462686567,0.2,0.255417956656347,0.304281345565749,0.763888888888889,0.72972972972973,0.84984984984985,0.28422619047619
"20",1,0.998447204968944,0.882442748091603,0.890795631825273,0.872699386503067,0.882352941176471,1,1,0.998475609756098,0.949618320610687,0.87906976744186,0.878315132605304,0.8875,0.877165354330709,0.897321428571429,0.875195007800312,0.885885885885886,0.886255924170616,0.200296735905045,1,1,0.998461538461539,0.998417721518987,0.0892586989409985,0.876352395672334,0.998498498498498,0.880434782608696,0.122670807453416,0.591185410334346,0.145616641901932,0.496845425867508,0.146604938271605,0.887345679012346,0.347626339969372,0.423312883435583,0.275914634146341,0.440438871473354,0.865740740740741,0.995575221238938,0.861491628614916,0.868181818181818,0.136503067484663,0.282407407407407,0.874809160305344,0.967840735068913,0.865718799368088,0.416282642089094,0.890718562874252,0.117021276595745,0.308641975308642,0.995440729483283,0.976489028213166,0.998525073746313,0.998470948012232,0.970724191063174,0.873846153846154,0.415503875968992,0.0706605222734255,0.3397341211226,0.873493975903614
"21",1,1,0.8832,0.885245901639344,0.863563402889246,0.872881355932203,1,1,1,0.952153110047847,0.875404530744337,0.873581847649919,0.883223684210526,0.882747068676717,0.889415481832543,0.871287128712871,0.890625,0.884678747940692,0.189792663476874,1,1,1,1,0.0890302066772655,0.875,1,0.879032258064516,0.128,0.600644122383253,0.143769968051118,0.51063829787234,0.157723577235772,0.883830455259027,0.346709470304976,0.4224,0.272870662460568,0.435483870967742,0.863636363636364,0.996889580093313,0.854199683042789,0.866771159874608,0.136363636363636,0.27741935483871,0.87244094488189,0.960380348652932,0.85996705107084,0.4144,0.895475819032761,0.127186009538951,0.311183144246353,0.995137763371151,0.973684210526316,1,1,0.963934426229508,0.870340356564019,0.418300653594771,0.0853080568720379,0.332278481012658,0.875993640699523
"22",1,1,0.825878594249201,0.8288,0.807324840764331,0.820598006644518,1,1,1,0.9312,0.825320512820513,0.818923327895595,0.826446280991736,0.821603927986907,0.841444270015699,0.821717990275527,0.829457364341085,0.830618892508143,0.20404984423676,0.998461538461539,1,1,1,0.123809523809524,0.819488817891374,1,0.82484076433121,0.179487179487179,0.553968253968254,0.200310559006211,0.477198697068404,0.209415584415584,0.892455858747994,0.375806451612903,0.40809968847352,0.318471337579618,0.418152350081037,0.805422647527911,0.998447204968944,0.796502384737679,0.803459119496855,0.19175911251981,0.322632423756019,0.814352574102964,0.974193548387097,0.804173354735153,0.436708860759494,0.837245696400626,0.177952755905512,0.304838709677419,0.996825396825397,0.982113821138211,1,1,0.974317817014446,0.816,0.4,0.131329113924051,0.3625,0.813479623824451
