,y0,y1,y2,y3,y4,y5,y6
y0,100%,72%,64%,61%,56%,49%,44%
y1,,100%,89%,85%,78%,68%,61%
y2,,,100%,96%,87%,77%,68%
y3,,,,100%,91%,80%,71%
y4,,,,,100%,88%,78%
y5,,,,,,100%,89%
