est.ic50,DNAmAge
-2.17213878325298,DNAmAge-DCC
-2.71690381105896,DNAmAge-ACC
-3.03042782044906,DNAmAge-ACC
-2.57551391929782,DNAmAge-ACC
-3.52666970215567,DNAmAge-DCC
-3.38782320564584,DNAmAge-ACC
-3.46865657458314,DNAmAge-ACC
-2.56585464096699,DNAmAge-DCC
-2.54701496128556,DNAmAge-ACC
-2.34446252870868,DNAmAge-DCC
-2.76051177046111,DNAmAge-DCC
-2.46617565264091,DNAmAge-DCC
-2.77043482341957,DNAmAge-ACC
-2.49559014050026,DNAmAge-ACC
-2.13575518026643,DNAmAge-DCC
-2.92077445369267,DNAmAge-ACC
-3.34845001453753,DNAmAge-DCC
-2.72217910425154,DNAmAge-ACC
-2.63275440634585,DNAmAge-DCC
-2.51900130833929,DNAmAge-DCC
-2.45411884907953,DNAmAge-DCC
-2.65172762738713,DNAmAge-ACC
-2.75014866657864,DNAmAge-DCC
-2.75177287205429,DNAmAge-ACC
-2.91819797914102,DNAmAge-DCC
-2.45728049223644,DNAmAge-ACC
-3.05046138176993,DNAmAge-ACC
-3.21692886008724,DNAmAge-DCC
-3.37249261617303,DNAmAge-DCC
-2.97775613954125,DNAmAge-ACC
-3.64694129455659,DNAmAge-ACC
-2.66727982040641,DNAmAge-ACC
-2.51759250134314,DNAmAge-ACC
-3.58537771389484,DNAmAge-DCC
-3.07497167052823,DNAmAge-ACC
-2.62591944179344,DNAmAge-ACC
-3.50159725295566,DNAmAge-DCC
-2.77638902327038,DNAmAge-ACC
-3.5474691697357,DNAmAge-DCC
-2.73952648000853,DNAmAge-ACC
-1.24591962039437,DNAmAge-DCC
-2.92946238674706,DNAmAge-ACC
-3.00032509412141,DNAmAge-DCC
-1.65883475316606,DNAmAge-DCC
-2.80528422643529,DNAmAge-DCC
-2.61013544198442,DNAmAge-DCC
-2.28156852032386,DNAmAge-DCC
-2.94284802902669,DNAmAge-ACC
-2.50015207548766,DNAmAge-ACC
-2.89875715015672,DNAmAge-DCC
-2.65594996379994,DNAmAge-ACC
-2.42934421924759,DNAmAge-ACC
-3.45351340499313,DNAmAge-ACC
-3.1262077631455,DNAmAge-ACC
-2.70626491596498,DNAmAge-ACC
-3.41541762145877,DNAmAge-ACC
-2.63583756901879,DNAmAge-DCC
-2.59294786982294,DNAmAge-ACC
-2.65469874619715,DNAmAge-DCC
-3.29717473453916,DNAmAge-DCC
-2.89117089354346,DNAmAge-ACC
-3.0857023611261,DNAmAge-ACC
-2.86487411979026,DNAmAge-DCC
-3.43339469625363,DNAmAge-ACC
-3.18181537461091,DNAmAge-ACC
-1.80136641065418,DNAmAge-DCC
-3.44079358391545,DNAmAge-ACC
-2.88898762840134,DNAmAge-ACC
