,logFC,AveExpr,t,P.Value,adj.P.Val,B
KLK10,8.77804925804675,10.5067503201512,111.575473149318,3.80222884620736e-11,1.76031492645911e-07,15.4176397029454
FXYD3,7.74897113701092,10.4595781806295,107.272172065335,4.80904434008161e-11,1.76031492645911e-07,15.2979138719217
KLK7,9.13892437018136,10.59637995366,102.658320721775,6.25298293485193e-11,1.76031492645911e-07,15.157791375786
SPRR1B,9.64635676831598,10.5709845422298,101.278376898172,6.77934824252854e-11,1.76031492645911e-07,15.1133107373575
KLK8,7.41924762670562,8.59242514876449,100.428904126208,7.12908483830961e-11,1.76031492645911e-07,15.0853058605908
SPRR1A,9.0015591897057,10.6923749576999,98.4598388570983,8.02398947558077e-11,1.76031492645911e-07,15.0184984433262
RAB25,7.19097609253624,8.66965359085087,95.9229561818879,9.37756960313963e-11,1.76031492645911e-07,14.9283450999489
CDH1,8.20451928344356,9.14144758873015,94.0464078702102,1.05518652867323e-10,1.76031492645911e-07,14.8585347138446
KRT13,7.45928573612349,8.56496905277706,85.1157966947887,1.91458414707486e-10,2.612793706371e-07,14.4853118200487
AQP3,6.3236713315844,8.76848742694229,84.7986664862899,1.95773543111869e-10,2.612793706371e-07,14.4706831253281
CLDN1,6.14003742052768,8.80282963104311,81.2123984502653,2.53397463451724e-10,3.04421857142699e-07,14.2978831034813
SPRR3,7.01794203205164,8.73204564835971,80.1697707377408,2.73719637772545e-10,3.04421857142699e-07,14.2449837678527
RBM35B,6.24727400759745,8.56979594675581,76.9319938029396,3.50099874740112e-10,3.59417917560118e-07,14.0724776378825
ANXA3,5.63197722564425,10.3420323431582,74.7571172813498,4.15471511789492e-10,3.9053524573897e-07,13.9491603610414
KRT16,6.55674367763311,11.1915777272768,73.8307559187178,4.47576558358417e-10,3.9053524573897e-07,13.8947038369384
IVL,6.23914750486153,9.03144134709413,72.7963577728318,4.8690623215357e-10,3.9053524573897e-07,13.8324763698364
RBM35A,7.31614479075607,8.82446648319498,71.8275041600642,5.27447368545409e-10,3.9053524573897e-07,13.7727928694687
KRT81,7.07416627458703,9.82316403974828,71.7194076491113,5.32210443012259e-10,3.9053524573897e-07,13.7660481792907
SLPI,7.66267553312917,10.5860086611618,71.1962393542152,5.5598453986516e-10,3.9053524573897e-07,13.7331579559165
LCN2,8.7676374335912,10.6404271966613,70.3982873386124,5.94675792967207e-10,3.91314978899985e-07,13.6821925375993
ZNF750,5.30015159307092,7.1117031377758,69.9890115231512,6.15736142432165e-10,3.91314978899985e-07,13.6556702472654
KLK5,7.56717356050436,10.6517202095174,67.8803148559507,7.39082650144337e-10,4.48354411310287e-07,13.5147759342353
ERBB3,5.75311105547772,7.64399794263879,66.7400909173063,8.17714473504674e-10,4.74487711451886e-07,13.4355150867893
TMPRSS11E ,6.90996376653018,8.4921750113908,64.2838442508439,1.02279345352116e-09,5.68758392945557e-07,13.2569853214563
TACSTD1,7.52971286259506,8.88286420428497,62.9623542447991,1.15776213676417e-09,5.98556312151986e-07,13.1562959323864
NCF2,5.2867669330445,7.4297538575503,62.8868921243614,1.16607703551264e-09,5.98556312151986e-07,13.1504441077718
MAP7,4.47390466148198,7.65640353758724,61.5788896605172,1.32189315907271e-09,6.5340689262905e-07,13.0472082063206
SERPINB2,7.46494008161172,8.98587582632362,60.8182266037062,1.42365825522555e-09,6.78576538365723e-07,12.9855646866383
GPRC5A,6.49186130287956,9.51414559860601,57.9696559835071,1.89540246506686e-09,8.72277286164907e-07,12.7436212590051
TRIM29,4.23969852896102,10.7727349108323,57.4473888586678,2.00055023788942e-09,8.89978115829073e-07,12.6972708670545
S100A14,7.68679821672577,10.2024177754221,56.5578975418624,2.19572573432759e-09,9.45295343559226e-07,12.6168380875647
ATAD4,5.66105215607204,8.24645057703324,55.1359833310563,2.55588487663599e-09,1.065963736362e-06,12.4842236703505
CD24,8.26531087481377,10.7278543956212,54.7629506873993,2.66150462403241e-09,1.07637699128292e-06,12.4485838605502
SPINT1,5.44610483904982,8.70815366464342,54.4104297010744,2.76602584561749e-09,1.08574649810621e-06,12.4145709950656
ITGB6,5.05886397423088,8.02521207581808,54.1072305741151,2.85977113920487e-09,1.09047158925223e-06,12.385055044281
PCOLCE,-5.62072071794641,7.20276175124444,-53.3834560381703,3.09894887573669e-09,1.11662978321139e-06,12.3136010547881
C1orf116,6.40734927642869,8.18563244017385,53.2761476086356,3.13636311648332e-09,1.11662978321139e-06,12.3028859942583
LYPD3,6.19950369716257,8.97974812080861,52.943945610645,3.2555758259177e-09,1.11662978321139e-06,12.2695134870955
IGSF3,4.21911770853471,8.95420526380261,52.7232734780654,3.33769052772556e-09,1.11662978321139e-06,12.2471756279427
PRRX1,-4.30526855607881,6.12726780432338,-52.6994217037611,3.34670997515778e-09,1.11662978321139e-06,12.2447530376872
SPINT2,4.38712942146536,10.1981394982627,52.0982291868483,3.58372689216628e-09,1.12478246397695e-06,12.1831595059849
CEACAM6,5.56332686139166,8.35437413287498,51.9391102428889,3.64970113399478e-09,1.12478246397695e-06,12.1666846830594
