id,GSH1,GSH2,GSH3,GSH4,GSH5,GSL6,GSL7,GSL8,GSL9,GSL10
K18151,0,0,2.54E-07,1.00E-06,2.34E-07,0,2.16E-07,3.15E-06,4.84E-06,3.07E-06
K18199,6.39E-06,1.72E-05,4.94E-05,1.79E-05,2.88E-05,3.27E-05,2.56E-05,3.13E-05,3.71E-05,3.50E-05
K18223,6.84E-08,1.59E-06,1.77E-07,6.02E-08,0,1.64E-06,2.38E-06,5.94E-07,1.34E-07,3.41E-06
K18224,2.16E-07,1.28E-06,1.61E-07,1.64E-07,0,4.20E-07,1.59E-06,0,0,3.21E-06
K18225,3.04E-07,1.79E-06,4.25E-08,0,0,6.24E-07,1.09E-06,0,0,3.82E-06
K18226,2.07E-07,4.81E-07,1.34E-07,0,0,2.66E-07,2.41E-06,0,2.84E-07,3.05E-06
K18230,2.42E-06,3.32E-06,1.23E-06,2.04E-05,9.67E-07,4.61E-06,1.46E-06,1.59E-05,2.05E-06,1.01E-06
K18231,0,0,0,1.66E-07,0,1.73E-07,1.21E-07,2.09E-06,5.54E-07,2.67E-07
K18232,4.67E-06,6.29E-06,1.98E-06,4.14E-06,1.39E-06,2.65E-06,2.50E-06,8.47E-06,1.12E-05,2.82E-06
K18233,9.48E-07,8.04E-06,2.19E-06,1.10E-06,4.82E-08,2.48E-06,7.30E-06,5.44E-06,1.13E-05,3.03E-06
K18240,3.85E-06,1.62E-07,8.18E-06,3.32E-05,6.04E-07,7.13E-06,9.27E-06,8.06E-05,1.86E-05,1.24E-05
K18242,6.28E-05,4.12E-05,9.52E-05,1.00E-05,2.27E-05,1.76E-05,2.95E-05,1.44E-05,1.33E-05,2.70E-05
K18243,0.000104485,4.63E-05,5.61E-05,1.06E-05,2.65E-05,8.17E-06,2.23E-05,9.39E-06,1.06E-05,4.44E-05
K18248,2.40E-06,8.45E-06,5.56E-07,4.87E-07,0,1.77E-06,0,0,8.14E-07,5.88E-07
K18249,0,0,0,1.95E-06,0,0,0,0,0,0
K18277,9.19E-07,1.37E-06,2.44E-06,1.56E-06,1.58E-06,5.29E-06,2.70E-07,2.13E-07,4.00E-06,3.91E-06
K18285,1.51E-05,9.12E-06,9.71E-06,1.66E-05,6.41E-06,1.95E-05,1.61E-05,3.69E-05,5.11E-05,2.38E-05
K18286,5.92E-06,6.70E-06,3.33E-06,4.77E-06,1.36E-06,2.99E-06,3.79E-06,2.34E-05,4.57E-06,5.48E-06
K18288,6.64E-07,1.46E-06,2.17E-06,4.38E-06,1.72E-06,2.18E-06,9.32E-06,2.94E-06,8.35E-06,6.80E-06
K18289,2.15E-06,2.65E-06,4.64E-06,6.80E-07,1.23E-06,1.37E-06,1.15E-06,8.19E-06,4.73E-06,5.30E-06
K18290,0,0,0,0,0,0,6.53E-07,3.76E-06,0,1.81E-07
K18291,3.23E-06,1.59E-06,6.25E-06,1.46E-06,4.13E-06,1.66E-06,1.25E-06,7.31E-06,5.21E-06,5.24E-06
K18292,2.68E-06,7.60E-07,3.34E-06,4.09E-06,1.38E-06,2.73E-06,9.89E-07,8.87E-06,9.30E-07,5.55E-06
K18304,3.83E-07,1.27E-06,2.74E-05,6.90E-06,8.36E-08,5.30E-06,5.28E-06,2.72E-06,5.03E-06,8.20E-06
K18306,2.67E-05,6.22E-05,3.53E-05,1.83E-05,3.94E-05,3.91E-05,1.39E-05,1.13E-05,2.91E-05,1.06E-05
K18307,0.000190912,0.000146076,0.000180558,4.36E-05,0.000145271,0.00010163,4.79E-05,1.64E-05,6.87E-05,2.58E-05
K18321,1.87E-05,4.37E-06,4.34E-06,8.09E-07,2.16E-05,2.70E-07,2.58E-06,9.87E-07,5.44E-07,1.04E-07
K18322,5.12E-05,3.01E-05,1.65E-05,1.62E-06,6.33E-05,2.68E-06,7.01E-06,2.24E-06,9.39E-07,6.42E-07
K18323,1.96E-05,5.35E-06,4.00E-06,1.16E-06,2.71E-05,1.17E-06,1.60E-06,1.61E-06,6.63E-06,2.77E-07
K18324,2.74E-07,8.45E-07,2.57E-06,1.73E-06,3.33E-06,3.12E-06,6.34E-07,3.16E-07,7.23E-06,5.38E-06
K18326,0,2.87E-07,2.06E-07,5.22E-07,6.18E-07,1.36E-07,9.51E-08,0,8.73E-07,0
K18333,5.52E-05,3.59E-05,0.000107269,1.71E-05,3.01E-05,2.08E-05,1.56E-05,1.57E-06,3.20E-06,2.33E-05
K18334,0.000144421,0.000109372,0.000187429,0.000113017,0.000158986,0.000123601,0.000176028,0.000156484,0.000115592,0.000169438
K18335,5.87E-05,0.000124104,6.84E-05,8.70E-05,9.53E-05,9.67E-05,6.41E-05,6.79E-05,8.84E-05,9.95E-05
K18336,5.31E-06,1.37E-05,1.03E-05,1.41E-05,1.21E-05,3.48E-05,9.45E-06,3.89E-05,2.49E-05,1.57E-05
K18337,1.82E-05,2.00E-05,2.01E-05,3.32E-05,6.53E-06,4.14E-05,4.96E-05,4.39E-05,8.66E-05,4.06E-05
K18346,2.71E-07,4.80E-07,5.80E-07,6.12E-07,6.03E-06,2.95E-06,2.87E-06,1.02E-05,9.42E-06,5.48E-06
K18347,7.60E-06,8.54E-06,8.59E-06,5.72E-06,1.56E-06,1.77E-06,2.40E-06,3.97E-06,1.76E-06,1.27E-06
K18351,1.24E-05,7.05E-06,1.49E-05,3.19E-05,1.57E-05,1.89E-05,3.03E-05,4.28E-05,1.03E-05,3.41E-05
K18352,1.44E-05,9.20E-06,1.63E-05,4.69E-05,2.08E-05,2.19E-05,2.65E-05,3.50E-05,1.66E-05,2.00E-05
K18353,1.33E-05,8.71E-06,5.32E-06,4.96E-06,2.65E-06,3.33E-07,3.20E-06,7.70E-07,3.95E-07,2.29E-07
K18360,3.22E-07,9.70E-08,6.67E-08,0,9.99E-08,1.32E-07,3.21E-07,2.52E-06,2.64E-06,1.02E-07
K18361,4.25E-07,1.93E-07,8.46E-07,1.47E-06,6.10E-08,2.26E-06,7.71E-07,4.34E-06,2.31E-06,7.09E-07
K18362,1.44E-07,2.78E-07,3.34E-07,7.59E-07,0,1.71E-06,5.53E-07,3.51E-06,1.41E-06,1.22E-06
K18364,7.66E-05,4.25E-05,4.63E-05,3.98E-05,0.000119033,3.67E-05,5.06E-05,3.59E-05,3.09E-05,1.88E-05
K18365,8.31E-05,4.03E-06,3.73E-06,2.15E-06,2.80E-05,7.24E-06,4.61E-06,1.08E-05,2.97E-06,2.44E-06
K18366,7.61E-05,3.46E-06,3.51E-06,2.67E-06,4.16E-05,4.38E-06,3.96E-06,9.67E-06,2.27E-06,3.55E-06
K18369,1.32E-05,1.55E-05,6.81E-05,3.09E-05,2.49E-05,5.14E-05,2.93E-05,4.29E-05,6.14E-05,5.69E-05
K18372,0,0,0,3.24E-06,0,3.32E-06,0,0,4.84E-07,1.17E-07
K18382,9.15E-07,1.33E-06,1.08E-06,2.03E-06,2.50E-07,9.37E-07,2.88E-07,1.68E-06,3.36E-07,4.11E-06
K18383,1.90E-05,3.53E-05,3.24E-05,3.21E-05,4.35E-05,3.11E-05,4.00E-05,3.97E-05,6.20E-05,3.14E-05
K18384,4.25E-06,5.39E-06,1.28E-05,3.27E-06,1.86E-05,2.10E-06,8.50E-06,9.36E-06,6.81E-06,5.38E-06
K18429,2.48E-06,2.22E-06,4.89E-06,6.84E-06,1.02E-06,2.08E-06,6.23E-06,2.44E-06,1.17E-05,4.50E-06
K18430,5.56E-07,2.41E-06,3.01E-06,2.83E-06,0,5.26E-07,2.73E-07,3.93E-07,7.17E-06,4.23E-06
K18431,0,1.24E-07,0,3.09E-06,0,2.34E-06,4.10E-07,2.36E-07,0,2.27E-07
K18441,8.43E-08,0,1.02E-06,1.88E-05,0,3.09E-07,1.08E-07,3.74E-07,4.97E-07,9.58E-07
K18445,1.08E-07,1.68E-07,6.03E-07,0,0,1.99E-07,0,0,6.59E-06,4.77E-06
K18461,5.46E-07,5.64E-07,3.38E-07,9.62E-07,2.53E-07,1.00E-06,8.03E-07,2.15E-06,7.16E-07,1.29E-06
K18472,1.84E-07,2.22E-06,7.79E-07,1.73E-06,1.02E-07,1.93E-06,8.78E-07,1.42E-05,1.63E-06,4.04E-06
K18473,0,6.78E-08,1.20E-06,0,8.82E-07,0,0,0,2.56E-07,6.09E-08
K18491,1.43E-06,2.21E-07,2.65E-07,2.51E-07,1.98E-07,0,2.03E-06,0,0,0
