"Var1","value"
"HSP90B1",0.549729024156447
"LSP1",0.761551048847023
"ARHGAP4",0.616369207537171
"AHNAK",0.685276586496285
"FLII",0.65318909972534
"CWF19L1",0.425800422733468
"SIPA1",0.62122459706615
"FMNL1",0.549729024156447
"LSP1",0.490413091179263
"ARHGAP4",0.497095564252992
"AHNAK",0.630604471915637
"FLII",0.532746656488804
"CWF19L1",0.533366665625065
"SIPA1",0.534765369110603
"FMNL1",0.761551048847023
"HSP90B1",0.490413091179263
"ARHGAP4",0.53869379057123
"AHNAK",0.696792652085253
"FLII",0.672733230931846
"CWF19L1",0.41526617969683
"SIPA1",0.51958252472538
"FMNL1",0.616369207537171
"HSP90B1",0.497095564252992
"LSP1",0.53869379057123
"AHNAK",0.594205351709323
"FLII",0.656119653721789
"CWF19L1",0.578660522240804
"SIPA1",0.822403793765569
"FMNL1",0.685276586496285
"HSP90B1",0.630604471915637
"LSP1",0.696792652085253
"ARHGAP4",0.594205351709323
"FLII",0.647998456788286
"CWF19L1",0.62542785355307
"SIPA1",0.593179568090473
"FMNL1",0.65318909972534
"HSP90B1",0.532746656488804
"LSP1",0.672733230931846
"ARHGAP4",0.656119653721789
"AHNAK",0.647998456788286
"CWF19L1",0.617251974480439
"SIPA1",0.635145652586869
"FMNL1",0.425800422733468
"HSP90B1",0.533366665625065
"LSP1",0.41526617969683
"ARHGAP4",0.578660522240804
"AHNAK",0.62542785355307
"FLII",0.617251974480439
"SIPA1",0.696063933845161
"FMNL1",0.62122459706615
"HSP90B1",0.534765369110603
"LSP1",0.51958252472538
"ARHGAP4",0.822403793765569
"AHNAK",0.593179568090473
"FLII",0.635145652586869
"CWF19L1",0.696063933845161
