genes,cor.rho,p.value
OR4F5,NA,NA
FO538757.3,-0.0250428093195623,0.525832784113561
FO538757.2,-0.254169030978552,5.93584589402162e-11
SAMD11,0.200132906937959,3.04189864449578e-07
NOC2L,-0.138914068409254,0.00040692572106087
KLHL17,0.0518024113419995,0.189208043687025
PLEKHN1,0.0818202671980667,0.0379112296998698
PERM1,0.00705297893582136,0.85822113523886
HES4,0.113227173340742,0.00401401164729907
ISG15,0.224380503909382,8.58063214620207e-09
AGRN,0.0597074472836866,0.130124251689734
RNF223,-0.159905867745316,4.57519245780288e-05
C1orf159,-0.137053438803899,0.000487120780158243
TTLL10,-0.00674757322477795,0.864299647738207
TNFRSF18,0.427380036177384,5.57931962016725e-30
TNFRSF4,0.449738887711056,2.18291368433262e-33
SDF4,0.0599765184711269,0.128399057335816
B3GALT6,-0.0142491532879439,0.718160149516412
FAM132A,-0.086058986587601,0.0289812091903636
UBE2J2,0.03377701523833,0.392139670776778
SCNN1D,0.0857768991249644,0.0295135963241042
ACAP3,-0.0264365664318748,0.503049976784231
PUSL1,0.0439032798775472,0.265917931185551
CPSF3L,-0.0825598101040172,0.0362030293872309
CPTP,-0.137906469643183,0.000448684275809934
TAS1R3,0.0228439418919032,0.562816220200379
DVL1,-0.0627933732557253,0.111386340155319
MXRA8,0.39486906903683,1.84863287464576e-25
AURKAIP1,-0.0892259683438044,0.0235482750557135
CCNL2,-0.19726299188641,4.51364889530897e-07
MRPL20,-0.196260327174008,5.17383206171014e-07
ANKRD65,0.357271575857285,8.00515453247983e-21
TMEM88B,0.11634866628492,0.00310738719054884
VWA1,0.174221613736518,8.71951556886377e-06
ATAD3C,-0.0430438145328968,0.275399186431493
ATAD3B,-0.119415991271177,0.00240201750485768
ATAD3A,-0.065803788442014,0.0952209825813279
TMEM240,0.0467990116736645,0.235634778126158
SSU72,-0.226170446807373,6.48359885005041e-09
C1orf233,0.00388507411568166,0.921613910942996
MIB2,-0.0200970276076479,0.610705964081927
