genes,cor.rho,p.value
MMP23B,0.191970116808171,9.20520181826556e-07
CDK11B,-0.157673633893057,5.85204165413852e-05
SLC35E2B,-0.146334450200566,0.000194222210440509
CDK11A,-0.211962122054802,5.62384028593352e-08
SLC35E2,0.0138119690024504,0.726455607540794
NADK,-0.014102724099734,0.720934972040888
GNB1,0.171360376784281,1.22790382404567e-05
CALML6,-0.122024587992536,0.00192074477885761
TMEM52,-0.119148185958125,0.00245720072670817
CFAP74,-0.0552076254975335,0.161705642038524
GABRD,0.0624994229084518,0.113074162037119
PRKCZ,-0.162537028146613,3.40848813499051e-05
C1orf86,-0.031834352872791,0.419954455301319
SKI,0.196396698509125,5.07886967474953e-07
MORN1,-0.0494471069573971,0.210149028314392
RER1,0.103970279252715,0.00827829456488673
PEX10,-0.129766988073108,0.000964489390034274
PLCH2,-0.00899854399318788,0.819709659203415
PANK4,0.0953639584366085,0.0154828226744763
HES5,-0.115530749494444,0.00332493013216832
TNFRSF14,-0.0197721842557334,0.616486575653661
FAM213B,-0.144441544110116,0.000235349115849579
MMEL1,-0.119389587409751,0.0024074074809922
TTC34,-0.032560870596581,0.409419439241954
ACTRT2,-0.00396750961265319,0.919956194561004
PRDM16,0.0900173600944204,0.0223371013539778
ARHGEF16,-0.129159988361092,0.00101940675172654
MEGF6,0.13286848571903,0.000724141316607544
TPRG1L,-0.121658185515798,0.0019825358742911
WRAP73,-0.0249257712994035,0.527769600602541
TP73,0.0985423750748443,0.0123508273978382
CCDC27,0.0665768302922502,0.0913878980256887
SMIM1,0.00736169388230365,0.85208527094395
LRRC47,-0.116653015952107,0.00302980140941885
CEP104,-0.085175526850122,0.0306766475835618
DFFB,-0.0831978662433933,0.0347822731809518
C1orf174,-0.019645593905681,0.618745726535854
AJAP1,0.240473021375719,6.34553565215512e-10
NPHP4,0.114534029183445,0.00360869244681036
KCNAB2,0.204071719539517,1.75318466881423e-07
CHD5,0.0214161085741776,0.587483547405345
RPL22,-0.338163868461733,1.08190279631167e-18
RNF207,0.0212834694069348,0.589800138207436
ICMT,0.0796176156024419,0.0434092749771719
HES3,0.00652049517805623,0.868824418480931
GPR153,-0.111379473253098,0.00465753062322806
ACOT7,0.052371967212703,0.184382818399411
HES2,-0.053442904548145,0.175557074142374
ESPN,-0.139604091811709,0.000380449794746477
TNFRSF25,-0.0895730555195091,0.0230102524982837
PLEKHG5,-0.0468494694679356,0.235129617047994
NOL9,0.112869638388313,0.00413186404937094
TAS1R1,0.00702924182039823,0.858693281183662
ZBTB48,-0.0849478490336945,0.0311271105993633
KLHL21,0.156912007441784,6.3599320152255e-05
PHF13,-0.0704514380585391,0.0740014884376316
THAP3,0.000948339842755352,0.980837119368319
DNAJC11,-0.0867946322961103,0.0276314580300964
CAMTA1,-0.169509074552487,1.52784691278262e-05
VAMP3,0.122470116163392,0.00184798859234084
PER3,0.0735230761319821,0.06222261918219
UTS2,-0.0201659118590083,0.609483252540457
TNFRSF9,0.521390965815234,3.56636437764197e-46
PARK7,-0.130504113764725,0.000901477584882162
ERRFI1,0.0353679590303545,0.370212777979204
SLC45A1,0.252798539191536,7.5725061500749e-11
RERE,-0.0441306984621056,0.263447109306811
ENO1,0.0814766517951818,0.0387278985231775
CA6,-0.0487804095540613,0.216369693048711
SLC2A7,0.0686805113165137,0.0815807650834623
SLC2A5,0.425025370852438,1.23271328729974e-29
GPR157,-0.143117680563828,0.000268812748179886
H6PD,-0.0491393773156927,0.21300408402154
SPSB1,0.242452781146151,4.54505664409152e-10
SLC25A33,-0.173923839122077,9.03809992514355e-06
TMEM201,-0.0840123605049173,0.0330379038631463
PIK3CD,0.494768904038194,4.57224694447343e-41
CLSTN1,-0.0544815191226622,0.167301801066882
AL357140.1,0.0212229378264353,0.590858737948568
CTNNBIP1,-0.0770145109715268,0.0507586736180992
LZIC,-0.0224543347911831,0.569497418498581
NMNAT1,-0.141957371885903,0.000301750752090313
RBP7,0.162278100123909,3.50939162608611e-05
UBE4B,-0.0897398615234685,0.0227554970019664
KIF1B,-0.0122925244585506,0.755530736566878
PGD,-0.037155812164419,0.346498849142719
APITD1-CORT,-0.039799867535832,0.313240961771698
APITD1,-0.207305708539176,1.10603354030861e-07
CORT,-0.03219205674509,0.414747768360679
DFFA,-0.109245424131724,0.00551571447366917
PEX14,-0.0281289237714947,0.476101801023214
CASZ1,-0.0554324359214996,0.160001916238559
C1orf127,0.0333286017713766,0.398459020331975
TARDBP,-0.267555385731285,5.09731177582441e-12
MASP2,0.0137640893472113,0.727366079512004
SRM,0.014745303374267,0.708785871552848
EXOSC10,-0.163075514347353,3.20737719893647e-05
MTOR,0.0709938829158779,0.0717983045473479
ANGPTL7,0.150868381918921,0.000121444788773107
UBIAD1,-0.229911754094465,3.58209846930125e-09
PTCHD2,-0.000101066904400292,0.99795757109345
FBXO2,0.0599694180916868,0.128444353599955
FBXO44,-0.00418952216972235,0.915493433092415
FBXO6,0.203835831640895,1.81256655992955e-07
MAD2L2,0.123743373303756,0.00165376254500171
DRAXIN,0.183380866299369,2.80746967142565e-06
AGTRAP,0.158259815161823,5.4875061755718e-05
C1orf167,0.00477289973190845,0.90377974964116
MTHFR,0.0395638469002959,0.316121543571103
CLCN6,0.0244911843744965,0.534993020556607
NPPA,-0.0553131984560471,0.160903863312832
NPPB,0.0951952302521602,0.015667039828396
KIAA2013,-0.0759953016151279,0.0539066330746947
PLOD1,0.234566806459628,1.68758226936664e-09
MFN2,0.0112824043965498,0.775055674511976
MIIP,-0.0848611233931467,0.0313001816030105
TNFRSF8,0.44054519609274,5.90139693159877e-32
TNFRSF1B,0.266388909029403,6.34826816390635e-12
VPS13D,-0.0399337759248654,0.311614327348733
DHRS3,-0.16219528938993,3.54225558489051e-05
AADACL4,0.0589193275814164,0.135280756672723
AADACL3,0.034079554020309,0.387910552010576
C1orf158,0.00632020662347855,0.872818945618164
PRAMEF12,0.0433803553411234,0.271659549365087
PRAMEF1,0.0340760011768248,0.387960054914601
PRAMEF11,NA,NA
HNRNPCL1,0.101157299575251,0.0102083991055477
PRAMEF2,0.0665768302922502,0.0913878980256887
PRAMEF4,0.0433803553411234,0.271659549365087
PRAMEF10,0.0671387895621788,0.0886799059076028
PRAMEF7,NA,NA
PRAMEF6,0.0433803553411234,0.271659549365087
WI2-3308P17.2,NA,NA
PRAMEF25,NA,NA
PRAMEF26,NA,NA
HNRNPCL3,NA,NA
HNRNPCL2,0.044138639750607,0.263361116557052
HNRNPCL4,NA,NA
PRAMEF18,0.00477289973190845,0.90377974964116
PRAMEF5,NA,NA
PRAMEF8,0.00477289973190845,0.90377974964116
PRAMEF9,0.0782096767098049,0.0472644356052229
PRAMEF14,NA,NA
PRAMEF19,0.0875204646281332,0.0263530802410294
PRAMEF17,0.0341183835911489,0.387369777551942
PRAMEF20,0.0433803553411234,0.271659549365087
LRRC38,0.0863868839283289,0.0283727491090323
PDPN,0.59134063830577,5.46913877749849e-62
PRDM2,-0.00576047954433357,0.883998913634948
KAZN,-0.000870054839517463,0.98241873911683
TMEM51,0.0174804729383479,0.657927257626719
C1orf195,0.00920213897540308,0.815702881239622
FHAD1,0.162201308851816,3.53985693110751e-05
EFHD2,-0.0506760932085973,0.199022320333455
CTRC,-0.0163816641728234,0.678185647714229
CELA2A,0.0764475466844333,0.0524903015376867
CELA2B,-0.000800784720209506,0.983818285654243
CASP9,-0.032990414423173,0.40326522005042
DNAJC16,-0.135532324261032,0.000563359202224449
AGMAT,-0.203217424126579,1.97759719481889e-07
DDI2,-0.101789819783854,0.0097425777579883
RSC1A1,NA,NA
PLEKHM2,0.20644418386521,1.25134984246052e-07
SLC25A34,0.0612739406083701,0.12032825350424
TMEM82,-0.0538348453615602,0.172406879778232
FBLIM1,-0.0138312742006588,0.726088611878787
UQCRHL,-0.128689629726139,0.00106393184975754
SPEN,-0.030035831698111,0.446707930281108
ZBTB17,-0.0010182947855049,0.979423858185525
C1orf64,-0.00795607075934676,0.840297161241343
HSPB7,0.246254196081817,2.37498358148608e-10
CLCNKA,0.00643773608350999,0.87047455546326
CLCNKB,0.0237368675476692,0.547647753865929
FAM131C,0.0536511315251598,0.173878173389432
EPHA2,-0.00408662054188429,0.917561577296392
ARHGEF19,-0.206518726640972,1.23808139939832e-07
RSG1,0.0495928581390159,0.208806462636092
FBXO42,0.0321570415122755,0.415255757705866
SZRD1,0.161019174801419,4.04164442979194e-05
SPATA21,0.0824704797190278,0.0364058262464561
NECAP2,0.251749146352833,9.1158257455047e-11
NBPF1,-0.0750942265987644,0.0568235576632226
CROCC,-0.110737822181845,0.00490193045614862
MFAP2,0.308616216029571,1.11945283440519e-15
ATP13A2,0.000681700886298353,0.986224391586232
SDHB,-0.0489726254586038,0.214562796344317
PADI2,-0.107091129244764,0.00652394888708457
PADI1,-0.0648038111546773,0.100368689175659
PADI3,-0.05697236763388,0.148693702786255
PADI4,0.491442628551893,1.85040243521621e-40
PADI6,0.0340335363435765,0.388552028236671
RCC2,-0.181548460845904,3.5381185226398e-06
ARHGEF10L,-0.204813476632014,1.57843375318405e-07
ACTL8,-0.0170699762646112,0.665467160974557
IGSF21,0.443829926957438,1.83811746560436e-32
KLHDC7A,-0.0742626609441968,0.0596305763825929
PAX7,-0.0400900398707805,0.309723169514782
TAS1R2,-0.0217092746268422,0.582378257759941
RP13-279N23.2,0.00477289973190845,0.90377974964116
ALDH4A1,-0.153932658747556,8.77499733886681e-05
IFFO2,-0.0543362936473153,0.168438281221766
UBR4,-0.00684062051164309,0.862446854699175
EMC1,0.0323192487929465,0.412905594910042
MRTO4,-0.160421739059169,4.3201703344403e-05
AKR7A3,-0.0309210765279561,0.433420531472625
AKR7A2,0.0631906940193175,0.109136579463182
PQLC2,-0.0115371638807196,0.770117404359707
CAPZB,0.098718947753764,0.0121945476517911
MINOS1,-0.308957795749005,1.03760496950306e-15
MINOS1-NBL1,0.0227509255854595,0.564407881297049
NBL1,-0.0633522625422131,0.108232042495295
HTR6,0.0520267159686718,0.187296787225314
TMCO4,-0.0997336864254281,0.0113298680758746
RNF186,-0.17091470304434,1.29451053743291e-05
OTUD3,-0.125643769680817,0.00139851942435889
PLA2G2E,-0.00810012839962691,0.83744537287729
PLA2G2A,0.238063961114135,9.48642789032798e-10
PLA2G5,0.280735109658257,3.96202573199462e-13
PLA2G2D,0.347678323185379,9.80567260142408e-20
PLA2G2F,0.103095356151487,0.00884044028224563
PLA2G2C,0.0541593068616016,0.169831117199135
UBXN10,0.0453338295856954,0.25063875044761
VWA5B1,-0.0327136881825398,0.40722360999972
CAMK2N1,-0.181690658223279,3.47546189292305e-06
MUL1,0.0918989320656347,0.0196722806601727
FAM43B,0.264954210745181,8.30329931734454e-12
CDA,0.234920066377768,1.59284937080728e-09
PINK1,0.160369444664058,4.34539607034057e-05
DDOST,0.0295120781535759,0.45467705031142
KIF17,0.416981280178493,1.76482696432006e-28
SH2D5,0.0881436320379125,0.0252965255659776
HP1BP3,-0.105033054789261,0.00763851508158059
EIF4G3,-0.11276349788458,0.00416744867562874
ECE1,0.0385884997612032,0.328208832124311
NBPF3,0.0227516635279603,0.564395245393013
ALPL,0.60987515356218,7.38389660893352e-67
RAP1GAP,-0.0420506187322838,0.286639200615851
USP48,-0.0421914820954543,0.285026507068802
LDLRAD2,0.190313782810548,1.14590111176852e-06
HSPG2,0.265243260940484,7.86713105611956e-12
CELA3B,0.0227353516073236,0.564674588624347
CELA3A,0.0554515425923371,0.159857743009002
CDC42,0.012080085825035,0.759624581976628
WNT4,-0.0110437370017015,0.779690268653122
ZBTB40,0.030629901369641,0.437765666229882
EPHA8,0.0059976455511263,0.879258821751111
C1QA,0.540593550399056,3.77269602670171e-50
C1QC,0.603616325344239,3.53576241331653e-65
C1QB,0.606244928010181,7.03684664500373e-66
EPHB2,-0.225753768452671,6.92210535311408e-09
LACTBL1,0.0433803553411234,0.271659549365087
C1orf234,-0.101228251902799,0.0101551789663198
KDM1A,-0.141707915086691,0.000309308026639257
LUZP1,0.0374057173827643,0.343262724385578
HTR1D,-0.0282541334687951,0.474139882627803
HNRNPR,-0.0703062166510835,0.0746005823152556
ZNF436,0.151556504535666,0.000112958538255766
TCEA3,-0.265862349241533,7.00695268138979e-12
ASAP3,0.100786794605562,0.0104903526520861
E2F2,-0.0781585087557972,0.0474097854103166
ID3,-0.0915259519971867,0.0201773502915655
MDS2,-0.10385026854268,0.00835346497691672
RPL11,-0.394621985346226,1.99219355089578e-25
TCEB3,-0.0427746161825526,0.278415633316063
PITHD1,-0.160720995407056,4.17846032289126e-05
LYPLA2,-0.210282616226568,7.19043395502338e-08
GALE,-0.257066617910751,3.53037548975081e-11
HMGCL,-0.15189631880894,0.000108976676903394
FUCA1,-0.0742901544740107,0.0595359684716826
CNR2,0.100728458249132,0.0105353707575766
PNRC2,-0.196038114563648,5.33224014943112e-07
SRSF10,-0.141221996633876,0.000324539102133922
MYOM3,-0.139506469068342,0.000384095400440717
IL22RA1,-0.134440770955697,0.000624746703461493
IFNLR1,-0.21398915160276,4.1692523627719e-08
GRHL3,-0.0542923458970367,0.168783336688763
STPG1,-0.13139206396929,0.00083063311051953
NIPAL3,-0.0902556726672752,0.0219831304612277
RCAN3,-0.249175832997449,1.43149475766054e-10
NCMAP,-0.15799459396639,5.64970065101891e-05
SRRM1,-0.101387663589081,0.0100365049107399
CLIC4,0.253178368962931,7.07932522703264e-11
RUNX3,0.36633315787043,6.93308454430282e-22
SYF2,-0.283255485249543,2.39271155097014e-13
RSRP1,-0.169727109062124,1.48920134227658e-05
RHD,0.0104768498349726,0.79072952259213
TMEM50A,-0.0122350257114355,0.756638108426468
RHCE,0.0499037352210531,0.205963604832139
TMEM57,-0.178715292835971,5.03649742353649e-06
LDLRAP1,-0.172161605885545,1.11628291201485e-05
MAN1C1,0.25186710054783,8.92811012425914e-11
SEPN1,0.0594880671682929,0.131544081012201
RP1-317E23.6,-0.0193489180212787,0.624054324133485
MTFR1L,-0.0948038742304718,0.0161017446939839
AUNIP,-0.121223736522247,0.0020581587833474
PAQR7,-0.023990282823019,0.543379929455656
STMN1,-0.211630743468685,5.90417863074248e-08
PAFAH2,-0.152751460740362,9.95329722257894e-05
EXTL1,0.142347543596465,0.000290275640784764
SLC30A2,-0.0880936585891987,0.0253798833239081
TRIM63,0.0222085202195407,0.573732120828199
PDIK1L,-0.161521830137945,3.82056074699437e-05
FAM110D,0.414112692250079,4.48104108220787e-28
ZNF593,-0.182191776140326,3.26300750147583e-06
CNKSR1,-0.253440960473602,6.75684014552809e-11
CATSPER4,0.0341854435495119,0.386436922691552
CEP85,-0.0547793750310735,0.164988890572265
SH3BGRL3,-0.0396224419996968,0.31540478906656
UBXN11,-0.069544759878827,0.0778069003567091
CD52,0.453806178309744,4.91448123077445e-34
AIM1L,-0.0162466016077233,0.680692219984774
ZNF683,0.303294453212881,3.60737871187538e-15
LIN28A,-0.0233080975902234,0.554906217483464
DHDDS,0.0484577900109422,0.219426944981158
HMGN2,-0.116339524213615,0.00310974542707984
RPS6KA1,-0.117306821356881,0.00286905955882371
ARID1A,-0.0163544659826144,0.6786901235724
PIGV,-0.186672868349591,1.84213183487841e-06
ZDHHC18,0.193567601425856,7.43898591059268e-07
SFN,-0.021681603572239,0.58285924625906
GPN2,-0.0228145170248477,0.563319494045982
GPATCH3,-0.0256724444206676,0.515475778266193
NUDC,-0.187651865706511,1.62283600512114e-06
NR0B2,-0.170382562243425,1.37854684932102e-05
KDF1,-0.145301382502883,0.00021574858798576
TRNP1,0.195414360692408,5.80221791536646e-07
FAM46B,0.233019624090253,2.17109793792212e-09
SLC9A1,-0.0225242368560224,0.568295923614663
WDTC1,-0.111348332547159,0.00466913289334722
TMEM222,-0.0500050127505796,0.205043544293256
SYTL1,-0.0145704365088538,0.712084879919877
MAP3K6,0.188115400801651,1.52795693062296e-06
FCN3,0.367324273955457,5.28016959601574e-22
CD164L2,0.035786842695308,0.36456843711611
GPR3,0.0934237283493163,0.0177203192845637
WASF2,0.0100963272121558,0.798163328045451
AHDC1,0.112724756873615,0.00418050591756599
FGR,0.747001282662575,6.32783183019199e-116
IFI6,0.221754421956902,1.28894461440894e-08
FAM76A,-0.0473503058476998,0.230156911883315
STX12,0.174531795656345,8.39905548868486e-06
PPP1R8,-0.0393746938715587,0.318442599722616
THEMIS2,0.637463438578696,9.85342656244911e-75
RPA2,0.0234851480502859,0.551903325686008
SMPDL3B,-0.156597406806418,6.58163936137362e-05
XKR8,0.0715328459877877,0.0696626510139044
EYA3,-0.017406045110259,0.659291784221759
PTAFR,0.61169675869284,2.3560924357229e-67
DNAJC8,-0.00600367090214491,0.879138452225276
ATPIF1,-0.278160601202253,6.59714928053981e-13
SESN2,-0.0471488459493329,0.232148123075576
MED18,0.00304686313130575,0.93848776280381
PHACTR4,-0.0957353378787236,0.0150840376651504
RCC1,-0.116944671647226,0.00295710988106984
TRNAU1AP,0.127247033403897,0.00121192832134848
TAF12,-0.106994846349727,0.00657264566958826
RAB42,0.468563352410599,1.85077553433217e-36
GMEB1,0.0654156755072804,0.0971932905886443
YTHDF2,-0.17181393020661,1.16347676867495e-05
OPRD1,-0.0901385066211735,0.0221565466881235
EPB41,-0.176202882529557,6.85697377995087e-06
TMEM200B,0.391043017526974,5.84444458003242e-25
SRSF4,-0.190770851891025,1.07890436478453e-06
MECR,-0.208956266778776,8.71800757411216e-08
PTPRU,0.329399264090705,9.18866728546357e-18
MATN1,0.0257894437854469,0.513562936131555
LAPTM5,0.679971714708923,1.41947977374482e-88
SDC3,0.0298987285937289,0.44878631267013
PUM1,-0.0890865288930569,0.0237674685630004
NKAIN1,0.0575885069101388,0.144343682178118
SNRNP40,0.0396180316553045,0.315458700753453
ZCCHC17,-0.107287155411811,0.00642580450610088
FABP3,0.18804089819376,1.54283914566738e-06
SERINC2,-0.169453985993886,1.5377609944035e-05
TINAGL1,-0.0819321692140877,0.0376484472153471
HCRTR1,0.0567156337747012,0.150535476146074
PEF1,-0.0291794673758667,0.459779063603714
COL16A1,0.214551748197747,3.83492356112598e-08
BAI2,0.315411349508261,2.42617904965743e-16
SPOCD1,0.432855947573982,8.61728939851157e-31
PTP4A2,-0.0693200447787302,0.0787742348827535
KHDRBS1,-0.24417535195747,3.39153201326599e-10
TMEM39B,-0.0262649447732863,0.505826992725382
KPNA6,-0.0185590652815603,0.638282296864607
TXLNA,0.0258655026230847,0.512321417493474
CCDC28B,0.0408141606318182,0.301058542710581
IQCC,-0.236693055503514,1.19025342732815e-09
DCDC2B,-0.0216220089390405,0.583895769593659
TMEM234,-0.221462346152556,1.34819846415906e-08
EIF3I,-0.18997561814984,1.1980206753979e-06
FAM167B,0.313256701107927,3.95688494419011e-16
LCK,0.295968873977065,1.73716251229592e-14
HDAC1,-0.259243394979113,2.37928145096735e-11
MARCKSL1,-0.285521614452016,1.51374893463625e-13
TSSK3,-0.0288813616406449,0.464378835722936
FAM229A,-0.0816447838638012,0.0383264554602649
BSDC1,-0.180573044181165,3.9979713786965e-06
RP1-27O5.3,NA,NA
ZBTB8B,0.0666676559570994,0.0909457844483852
ZBTB8A,-0.0528313549629769,0.180557618407083
ZBTB8OS,-0.240723243523593,6.08444912917639e-10
RBBP4,-0.0564297114323037,0.152607008775599
SYNC,0.406903081334932,4.48042303438829e-27
KIAA1522,-0.181868252667155,3.39869805043944e-06
YARS,-0.147419821004082,0.000173785492270911
S100PBP,0.0683620118295481,0.0830083640343831
FNDC5,0.00656400363761605,0.867957129604474
HPCA,-0.0260597151245526,0.509158358868751
TMEM54,-0.156211999965961,6.86319487303047e-05
RNF19B,0.271784892817006,2.27951564259021e-12
FKSG48,0.0893124644147578,0.0234131878724233
AK2,-0.120918167325347,0.00211291973381596
AZIN2,0.0824411841130673,0.0364725427675427
TRIM62,0.127738082168773,0.00115954490310512
ZNF362,0.0370014969964916,0.348506786228673
A3GALT2,0.00366443750512037,0.926052400973784
PHC2,0.0157851083892429,0.689283328337147
ZSCAN20,-0.0536938869690429,0.173534928765448
CSMD2,0.32425533543467,3.12394207079391e-17
HMGB4,0.1172560707416,0.00288125308829219
C1orf94,0.0136719518161873,0.729119232196402
SMIM12,0.156136282159697,6.91982971616569e-05
GJB5,0.0762412734718904,0.0531324062788078
GJB4,0.0952074813450806,0.0156535996278123
GJB3,0.0450242464353177,0.253892316185109
GJA4,0.436336624610208,2.58209564697279e-31
DLGAP3,0.110449037378016,0.00501565603906612
RP11-244H3.4,0.0619127465767229,0.116502830460461
ZMYM6NB,-0.119953292790051,0.00229470148339311
ZMYM6,-0.173101594604171,9.97644700866959e-06
ZMYM1,-0.0604901062389884,0.125155402838593
SFPQ,-0.208902271792122,8.78641127513706e-08
ZMYM4,-0.0146553579848693,0.71048208985324
KIAA0319L,-0.223251206068439,1.02277475144493e-08
NCDN,0.0622286063433381,0.114646886946636
TFAP2E,0.012953147877175,0.742844216235194
PSMB2,-0.0496765760292547,0.208038116862828
C1orf216,0.285602018369481,1.48924367460652e-13
CLSPN,0.0641380560777925,0.103916913772968
AGO4,0.0186299454515413,0.636999955268265
AGO1,0.0506686226442977,0.199088632084604
AGO3,-0.0164787535496103,0.676385995121146
TEKT2,0.000241459977784204,0.995120437182809
ADPRHL2,-0.0123182639123732,0.755035181036486
COL8A2,0.338270896276571,1.05355661781986e-18
TRAPPC3,-0.0550005725857235,0.163286847654182
MAP7D1,0.369285491264124,3.07172348694667e-22
THRAP3,-0.0631110034841711,0.109584915703859
SH3D21,-0.00360321976349974,0.92728431554502
EVA1B,0.369043158143508,3.28503397143356e-22
STK40,-0.132043975436331,0.00078194032904275
LSM10,0.107640895554744,0.00625204577182395
OSCP1,-0.124611331417927,0.00153230125755202
MRPS15,-0.167264740059614,1.98519094277176e-05
CSF3R,0.850885000910338,1.25032186528464e-181
GRIK3,0.0450098064394112,0.254044786025123
ZC3H12A,0.0995036833645184,0.0115209512789578
MEAF6,-0.203209708016034,1.97974515023147e-07
SNIP1,0.0373528326791575,0.343945938031809
DNALI1,0.111789801372221,0.00450706603137572
GNL2,-0.269133469576569,3.78142171207115e-12
RSPO1,0.256305230677908,4.04938423217152e-11
C1orf109,-0.129011735172348,0.00103325147501833
CDCA8,-0.0964867828360365,0.0143046552268799
EPHA10,-0.11001025511644,0.00519301103799037
MANEAL,-0.100739984465871,0.0105264624214193
YRDC,-0.109426656567068,0.00543765645102391
C1orf122,0.0865429892990417,0.0280869525940102
MTF1,0.062255549570178,0.114489653223315
INPP5B,0.145366627743107,0.000214325494227235
SF3A3,-0.129087900710923,0.00102611716737013
FHL3,0.238655113103066,8.59853231637087e-10
UTP11L,-0.0760759714995793,0.0536516858012753
POU3F1,0.128283796334551,0.00110378412539294
RRAGC,0.0466253160448006,0.237379598530208
MYCBP,-0.159309979544592,4.88749019427073e-05
RP5-864K19.6,-0.0369779545342647,0.348813766209704
GJA9,0.0359931333828704,0.361808551333696
RHBDL2,-0.103440786918038,0.00861455585175261
AKIRIN1,-0.0255509126672909,0.51746662092653
NDUFS5,-0.205411704070854,1.44985799290728e-07
MACF1,0.0540835982071644,0.170429546522443
BMP8A,0.352696340917538,2.6728065370256e-20
PABPC4,-0.254343677682186,5.75387832664842e-11
HEYL,0.236823827979493,1.16483970466663e-09
NT5C1A,-0.000834320829552685,0.98314070931466
HPCAL4,0.0476034321332378,0.227672250834102
PPIE,-0.160951228218496,4.07244257443945e-05
BMP8B,0.0668806195563073,0.0899158657528305
OXCT2,-0.0541601752583359,0.169824262197057
TRIT1,-0.167920815999724,1.8395449096468e-05
MYCL,-0.217129278556068,2.60720812137223e-08
MFSD2A,-0.0881901679436373,0.0252191144365375
CAP1,0.0806839881139097,0.0406688539372027
PPT1,0.311450515330446,5.9442371830863e-16
RLF,0.0659114712974344,0.0946794663844351
TMCO2,0.0285060187275069,0.470206538800936
ZMPSTE24,-0.0838296759348361,0.0334225132106408
COL9A2,-0.117173071454795,0.00290129654578038
SMAP2,0.369465123902512,2.92248685432986e-22
ZFP69B,-0.155139365147977,7.7078517071205e-05
ZFP69,-0.203374012795505,1.93448959496062e-07
EXO5,-0.193265216879991,7.74614842135188e-07
ZNF684,-0.079387317299263,0.0440211135893893
RIMS3,0.0665247322846684,0.0916422732098245
NFYC,-0.0794886167972339,0.0437510999710357
KCNQ4,-0.0946227539961654,0.0163064824402124
CITED4,-0.0358493027498476,0.363731425425194
CTPS1,-0.0326855715425778,0.407627089966603
SLFNL1,-0.0224220608115653,0.570052559896105
SCMH1,-0.259915107489418,2.10494745461971e-11
FOXO6,-0.0864653086682728,0.028228858775315
EDN2,-0.0555908877450926,0.158809248478657
HIVEP3,0.371364406856099,1.72276394341029e-22
GUCA2B,0.142719902984027,0.000279705877935723
GUCA2A,0.0165061441950824,0.675878613814165
FOXJ3,-0.136717356007207,0.000503088704439866
RIMKLA,-0.102242501925598,0.00942090042127538
ZMYND12,0.0313469009195074,0.427111079702053
PPCS,-0.217040317602071,2.64237398158385e-08
CCDC30,-0.0598029059328043,0.129510160108719
PPIH,-0.278728366525304,5.89820880855727e-13
YBX1,-0.116823425060761,0.00298713405063537
CLDN19,0.0101850395548976,0.796428603654617
P3H1,0.471324945670395,6.31573157505106e-37
C1orf50,-0.149718684155965,0.000136974734828251
CCDC23,-0.248043302587218,1.74322567505711e-10
ERMAP,0.00164388418225392,0.96678880498143
ZNF691,-0.0881066239665973,0.0253582337943006
SLC2A1,0.100192165744816,0.0109573266854583
FAM183A,-0.146426406036308,0.000192407030563977
EBNA1BP2,-0.169924742583097,1.45497676019491e-05
CFAP57,0.0734845438383805,0.0623601741495267
TMEM125,-0.0531557604487939,0.177892019225586
C1orf210,-0.160673332606224,4.20073210116835e-05
TIE1,0.485176462806708,2.47195872154743e-39
MPL,0.0347589463351131,0.378515060067378
