aging,cluster_short,gene,expression
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,2.44420923976216
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,1.92713976791175
Y,M,DDX4,0
Y,EC,DDX4,1.67044159820316
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,2.48167951605902
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,4.33782011861493
Y,SC,DDX4,5.66218667316666
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,1.57690935651323
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,3.31052753428623
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,4.81574198184111
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,1.60716095141335
Y,SMC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SMC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,1.79346152986439
Y,GC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,NKT,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,EC,DDX4,0
Y,SMC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SMC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,EC,DDX4,0
Y,EC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,OO,DDX4,4.38205875996005
Y,OO,DDX4,4.80940767088355
Y,OO,DDX4,5.15263253904872
Y,OO,DDX4,4.36573027667896
Y,OO,DDX4,4.74613146574667
Y,OO,DDX4,5.26901328529796
Y,OO,DDX4,5.20363119192116
Y,OO,DDX4,4.88717861572594
Y,OO,DDX4,4.88230078623926
Y,OO,DDX4,4.75199565380813
Y,OO,DDX4,4.68845251641271
Y,OO,DDX4,4.92480980456297
Y,OO,DDX4,4.93697416767503
Y,OO,DDX4,3.74551644628909
Y,OO,DDX4,4.68462784186558
Y,OO,DDX4,4.72027764355855
Y,OO,DDX4,4.87338447300677
Y,OO,DDX4,5.13500414166385
Y,OO,DDX4,4.9582850381137
Y,OO,DDX4,4.985644609449
Y,OO,DDX4,5.00560374509312
Y,OO,DDX4,4.87032173828115
Y,OO,DDX4,4.32862673262514
Y,OO,DDX4,4.7021928144354
Y,OO,DDX4,4.99417090933508
Y,OO,DDX4,5.02414756239485
Y,OO,DDX4,5.27004244674688
Y,OO,DDX4,5.16269686681858
Y,OO,DDX4,4.8175939783955
Y,OO,DDX4,5.02236501642249
Y,OO,DDX4,5.11829912731323
Y,OO,DDX4,5.13578978971929
Y,OO,DDX4,4.7418852953433
Y,OO,DDX4,4.93378117103489
Y,OO,DDX4,4.91666301910395
Y,OO,DDX4,5.13640868699423
Y,OO,DDX4,4.64651802360335
Y,OO,DDX4,4.8759770887559
Y,OO,DDX4,4.79768448300567
Y,OO,DDX4,5.36347374125467
Y,OO,DDX4,4.28650805909908
Y,OO,DDX4,4.8673616296655
Y,OO,DDX4,5.02476382484639
Y,OO,DDX4,5.14175346712941
Y,OO,DDX4,4.55450095344486
Y,M,DDX4,0
Y,EC,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,GC,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,M,DDX4,0
Y,SC,DDX4,0
Y,M,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,M,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,M,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,NKT,DDX4,0
Y,M,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,M,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,NKT,DDX4,0
Y,SC,DDX4,0
Y,NKT,DDX4,0
Y,GC,DDX4,0
Y,EC,DDX4,0
Y,SMC,DDX4,0
Y,EC,DDX4,0
Y,GC,DDX4,2.8090380004598
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,M,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,NKT,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,NKT,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,M,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SMC,DDX4,0
Y,NKT,DDX4,0
Y,NKT,DDX4,0
Y,EC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,NKT,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,M,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SMC,DDX4,0
Y,NKT,DDX4,0
Y,SC,DDX4,0.954600063822627
Y,NKT,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,NKT,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,GC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,NKT,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0.959757608385113
Y,EC,DDX4,0
Y,M,DDX4,0
Y,EC,DDX4,0
Y,GC,DDX4,0
Y,OO,DDX4,3.86870504296314
Y,OO,DDX4,4.04862707128424
Y,OO,DDX4,0
Y,OO,DDX4,4.74125813831049
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,M,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,EC,DDX4,0
Y,SMC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,EC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
Y,SC,DDX4,0
Y,GC,DDX4,0
Y,GC,DDX4,0
