	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
ACSL4	1735.98	1799.89	1983.23	2185.58	1864.91	605.67	258.241	1069.22	651.685	273.438	1290.1	5263.47	951.544	913.317	1174.75	1596.79	1116.98	5923.39	994.134999999999	1255.58	738.016	2507.7	1744.24	888.129	17955.8	5192.08	781.597	236.447	2700.97	2052.04	879.046	895.833	454.76	532.133	778.601	2874.24	135.22	400.826	1893.34	432.04	426.282	1661.3	1502.72	1893	213.956
ALOX15	3.8106	1.1435	0.4862	280.147	1.5498	0.8591	0.6076	0	19.3508	0	1.0764	0	0.4626	30.5085	5.4011	0	2.5513	2.6726	19.0616	3.7027	36.5449	1.54	0.576	0	5.8207	0	0.5228	0.5767	0	4.4976	0.5242	1.4535	1.9546	4.5032	0.4115	0	1.0482	2.7548	0.9481	1.1164	3.2051	5.454	0.9074	1.609	0
ATP5G3	2510.07	9968.55	2078.52	4466	3518.02	4018.9	5244.42	5844.78	2526.84	3542.07	4737.35	3035.21	4083.73	2999.03	7075.05	5926.67	3577.5	2511.8	2383.19	2685.92	1704.32	4836.24	16655.5	7251.59	7505.24	7373.86	3584.37	6468.86	2462.14	2667.65	2634.52	9597.38	2738.01	5945.02	3069.14	3541.82	6970.65	5389.81	5725.53	5318.45	4922.01	5766.02	6254.99	7440.87	6302.47
CARS	1385.38	1204.11	1791.18	1006.68	953.119	1134.88	1157.53	1321.45	1031.84	635.216	1349.3	611.37	1096.8	479.419	1330.93	791.999	964.919	954.561	1628.54	755.346	723.778	1204.83	1266.71	1822.18	1019.79	1958.51	877.271	638.408	995.146000000001	1031.64	870.135	1161.34	1102.04	495.731	1587.24	1585.94	1847.98	661.157	1113.06	637.455	853.633	881.374	934.664	1623.48	799.348000000001
CDKN1A	4101.8	4201.26	5223.78	2229.73	3503.55	6312.71	2120.01	6875.2	1584.27	707.933	908.504	3681.37	1559.85	6070.22	3138.97	4498.3	1550.2	4156.79	2796.19	4312.51	3636.92	3183.26	5381.91	14216.4	8727.59	3716.08	2450.4	3655.13	10122.8	3620.58	2647.1	5779.07	4334.88	3239.7	5093.83	6952.51	3397.27	2250.69	15381.8	5121.96	3982.91	3655.3	6598	3795.66	6979.09
CISD1	413.718	771.298	289.291	709.088	246.416	178.694	342.701	289.984	255.306	384.615	710.441	50.4879	678.617	244.068	573.422	240.371	247.991	405.345	263.93	218.828	195.064	431.725	1467.74	423.547	731.083000000001	1083.07	425.565	852.365	267.961	217.572	231.686	725.291	336.184	433.061	326.337	618.223	767.296	593.664	458.877	606.196	461.538	486.501	607.078	698.311	579.962
CS	3287.97	9122.93	1576.76	3016.21	4846.18	4781.79	3089.78	3020.45	2410.74	2724.76	4386.44	3577.43	3791.84	2714.29	4656.24	6485.76	2733.51	6156.79	3730.21	3649.36	2487.42	6504.62	9546.08	3590.13	4195.58	8241.26	3056.33	3580.16	2807.28	3501.39	3422.88	13148.3	3041.29	3694.16	3192.59	5145.71	1561.84	1435.26	1216.4	1217.97	2018.16	1718.03	1897.46	1576.03	1341.3
DPP4	785.52	35.4488	358.818	6150.16	44.4272	27.4914	32.8118	432.617	279.65	56.4904	1651.78	539.669	163.294	30.0242	169.686	108.727	10.7157	123.831	294.721	3963.71	324.632	149.897	55.8756	18.5638	833.527	104.752	416.155	136.678	185.922	322.142	835.539	131.783	15.3107	112.581	337.037	52.8481	2632.08	1723.14	1251.48	1424.5	1917.73	593.401	3402	2258.25	2710.83
FANCD2	113.772	192.681	286.374	402.235	332.688	109.966	103.296	402.727	1096.75	296.274	453.175	201.527	160.055	399.031	222.347	266.487	545.988	131.403	260.02	199.204	179.402	143.737	139.977	172.936	246.799	128.451	298	98.6159	316.019	290.659	229.59	158.43	228.032	105.451	148.56	343.014	29.3501	23.416	20.858	18.9785	30.9829	35.9967	17.2414	31.3757	16.2911
FDFT1	1991.29	2218.41	3097.12	1418.72	3768.57	1024.91	1375.66	961.72	2302.12	2170.67	2351.45	1621.13	2860.65	1813.56	2714.98	2667.53	2236.51	3327.84	2965.79	1074.89	904.603999999999	2245.38	1469.47	1521.25	2108.27	2230.12	1670.37	2263.55	1310.68	2127.37	853.361	1711.72	1887.45	1973.54	1793.83	3017.82	3293.5	2476.58	2445.13	2767.51	3657.05	4983.91	4010.89	1932.42	1895.19
GLS2	37.0169	37.1641	28.686	6.5404	31.5123	15.4639	29.7737	233.351	137.953	27.6442	125.404	23.3347	19.8913	121.065	322.269	50.0995	22.4518	91.7595	26.393	358.419	185.572	21.0472	43.2028	326.82	4246.8	127.503	172.526	325.26	239.806	55.658	35.6441	40.2132	89.9096	31.8979	367.078	10.4699	11579.7	4169.42	6344.63	9224.66999999999	4127.14	8381.78	9748.64	8896.22	5020.91
GPX4	3505.72	5214.41	4845.51	2691.92	3286.58	4813.57	16518.9	3145.78	5875.16	13426.1	6017.22	2431.48	3573.03	3678.45	3903.68	1897.92	2209.98	2670.38	3972.63	2981.02	2767.92	5872.18	8218.32	6703.47	5189.76	6076.08	4628.41	5377.16	3988.35	1259.33	5445.16	6123.55	3037.38	2036.96	1893	4175.5	11521	9263.09	6182.51	10974	5261.75	8363.24	7554.45	6688.66	7221.29
HSPA5	14061.5	14586.6	21701.2	11758	9357.61	20654.6	12259.5	17941.3	5164.17	8551.08	21940.3	17366.1	13081.5	7017.92	13518.2	20211.4	22175.8	13032.5	8238.03	29473.3	7585.19	23617	23213.7	21052.3	34111.8	38241	16153.7	14654.6	13105.3	15472.9	7466.91	11871.1	16450.5	18377.7	14284	18568.6	12148.8	9345.73	21906.6	15447.4	15816.2	11763.3	19262.3	17962.2	29890.8
