	TCGA-KL-8323-01	TCGA-KL-8324-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8327-01	TCGA-KL-8328-01	TCGA-KL-8329-01	TCGA-KL-8330-01	TCGA-KL-8331-01	TCGA-KL-8332-01	TCGA-KL-8333-01	TCGA-KL-8334-01	TCGA-KL-8335-01	TCGA-KL-8336-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KL-8339-01	TCGA-KL-8340-01	TCGA-KL-8341-01	TCGA-KL-8342-01	TCGA-KL-8343-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KM-8438-01	TCGA-KM-8439-01	TCGA-KM-8440-01	TCGA-KM-8441-01	TCGA-KM-8442-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8418-01	TCGA-KN-8419-01	TCGA-KN-8421-01	TCGA-KN-8422-01	TCGA-KN-8423-01	TCGA-KN-8424-01	TCGA-KN-8425-01	TCGA-KN-8426-01	TCGA-KN-8427-01	TCGA-KN-8428-01	TCGA-KN-8429-01	TCGA-KN-8430-01	TCGA-KN-8431-01	TCGA-KN-8432-01	TCGA-KN-8433-01	TCGA-KN-8434-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8437-01	TCGA-KO-8403-01	TCGA-KO-8404-01	TCGA-KO-8405-01	TCGA-KO-8406-01	TCGA-KO-8407-01	TCGA-KO-8408-01	TCGA-KO-8409-01	TCGA-KO-8410-01	TCGA-KO-8411-01	TCGA-KO-8413-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KO-8416-01	TCGA-KO-8417-01	TCGA-KL-8324-11	TCGA-KL-8326-11	TCGA-KL-8329-11	TCGA-KL-8332-11	TCGA-KL-8336-11	TCGA-KL-8339-11	TCGA-KN-8419-11	TCGA-KN-8422-11	TCGA-KN-8423-11	TCGA-KN-8424-11	TCGA-KN-8425-11	TCGA-KN-8426-11	TCGA-KN-8427-11	TCGA-KN-8428-11	TCGA-KN-8429-11	TCGA-KN-8430-11	TCGA-KN-8431-11	TCGA-KN-8432-11	TCGA-KN-8433-11	TCGA-KN-8434-11	TCGA-KN-8435-11	TCGA-KN-8436-11	TCGA-KN-8437-11	TCGA-KO-8403-11	TCGA-KO-8415-11
LPCAT3	8484.24	5680.45	4572.78	3632.18	4832.08	7851.84	6644.05	7517.48	8403.96	5909.11	2551.1	6886.15	3461.02	3985.1	5734.9	6453.01	2976.65	6513.07	4077.65	5285.14	2838.3	2150.45	7562.4	7807.13	3398.46	3723.81	5196.73	2673.18	4629.47	5821.99	4574.49	3948.26	3519.09	3638.71	2896.74	7378.33	5253.05	5534.12	4903.9	4088.93	3094.72	850.758	5441.69	3844.36	3092.84	3698.18	4751.27	2080.66	6056.23	6589.17	2715.51	3195.19	5393.46	1325.66	2761.4	5350.91	4961.08	2989.85	4693.91	5037.69	3230.94	3730.69	8787.25	8671.68	4850.19	4940.51	1722.3	1233.6	2038.02	1628.72	2156.95	1835.55	1472.59	1603.22	1197.49	1598.17	1539.7	1296.54	1843.42	1714.69	1448.94	1818.15	1876.87	1525.31	1552.82	1527.08	1542.91	1454.48	953.433000000001	1515.33	1332.82
MT1G	28.3207	74.718	76.1073	10.8763	89.6226	38.5138	109.906	9.1473	23.7933	86.6824	5.6184	20.4847	470.352	11.4602	5.6913	15.5075	59.2672	18.0615	13.7351	35.0247	17.8885	30.7206	3.1008	37.4041	2.4257	228.559	14.4459	64.5949	16.1834	3.7344	104.516	8.0981	433.894	9.1681	20.9302	5.6243	10.845	19.8122	11.3154	3.4874	21.9512	15.1217	184.894	2.9575	6.544	2.7273	0	190.164	10.6014	30.8813	9.2895	38.1443	64.3268	116.776	31.6851	8.7888	2.6235	59.8291	240.997	6.853	6.4151	3.1212	13.3983	41.3756	20.5182	10.2691	37258.1	17496	23777.9	85060.7	7568.42	16331.2	3845.46	6958.32	911.513	4301.44	429.089	738.403	1655.42	24719.3	564.555	335.066	1633.37	4022.77	15617.6	16346.7	8180.1	496.057	176.071	448.242	5021.64
NCOA4	3931.39	3480.26	5059.8	4396.49	1713.21	2451.74	4923.94	3264.29	2672.23	4391.91	4876.15	4350.07	3784.09	6096.46	3277.03	2922.93	5226.29	3268.3	4934.55	3564.44	3626.1	7188.06	5588.37	1946.3	4232.91	4410.36	4676.68	6000.94	3335.47	3233.2	2427.41	7272.07	5782.9	3777.25	5930.23	2433.45	3944.87	5099.43	4583.41	4968.09	2836.99	5690.34	1964.95	3842.51	4509.2	5352.73	4285.39	2631.48	3714.96	4188.06	10287.9	6691.75	3628.38	1215.46	4267.4	3951.3	3185.83	2180.02	1860.11	5957.8	5010.57	3829.23	2662.61	2938.74	3384.45	4126.06	6187.54	5761.37	6968.01	10773.7	4775.6	9448.96999999999	8356.04	6465.42	5434.48	6720.44	9095.01	7116.56	4836.02	5602.32	4979.58	5305.16	7407.81	7664.52	5564.59	7359.09	7059.17	6132.01	4254.25	6395.25	6501.48
NFE2L2	3280.42	1886.24	2422.12	5037.54	1634.91	4120.49	3158.94	3057.32	3059.01	4033.62	6971.52	4232.51	2887.04	2505.03	4596.4	2732.5	2922.03	2069.47	3864.3	3284.69	4803.78	8250.77	4368.82	1969.76	2551.57	2874.2	4272.6	3669.55	6155.96	7246.54	3098.81	7112.74	2264.46	2642.51	5099.66	6548.34	3728.83	2287.81	3268.33	3059.71	2736.3	2609.47	1618.3	3421.18	3392.36	1818.45	4278.34	1462.3	2722.19	3816.23	3168.7	3099.62	3426.98	1331.69	2745.44	3333.71	3136.99	1758.49	1891.27	10837	4063.92	3513.76	2524.92	2645.26	4019.26	2835.23	3744.83	4246.7	3849.86	3209.19	4714	3311.38	5169.59	3537.08	3986.94	3804.52	2776.95	4426.62	5322.92	4861.81	4918.47	3075.4	3212.42	4089.9	3936.3	3716.8	3625.02	3163.47	4030.07	2835.85	4235.92
RPL8	27545.7	53146.6	20404.4	43752.3	31630.2	64026.3	45482.1	42844.2	60632.7	22852.6	19364.1	40685.9	48872.1	37171.2	20922.6	47612.3	80693.6	42254.3	20909.6	37840.1	28275.7	23514.2	31839.5	54317.6	59261.2	17644.9	37714.5	17560.8	24923.1	37696.7	39388.1	21764	9771.22	45502.5	28438.1	32969.6	23620	40172.1	28438.3	22619.4	102912	101741	53788.2	48226.2	34675.3	32654.5	14615.3	38815.7	30674.6	30216.9	29341.1	12789.7	42599.6	20396.9	34082.6	36185.7	49383	78572.6	85872.6	30926.2	18782.6	32028.5	25449	60124.7	21750.9	22012.4	19914.7	21314.1	17960.8	43249	26586.4	31123.7	22813.6	17912.1	21241.9	23084.5	19282.3	15583.7	22070.9	21113.1	31112.5	22952.5	21826	47387.4	18220.1	21436.7	14031.5	18762.6	18439.8	16718.2	26774.6
SAT1	4594.73	12661.2	8244.29	4126.07	4900.94	14194.8	10775.8	13643.6	7765.64	16210.1	6471.12	6797.26	10277.5	11891.1	6649.68	5746.71	14194.3	9055.97	6793.83	9519.08000000001	2595.93	7129.77	4991.86	9364.35	10431.6	8123.24	8877.4	3766.78	6861.77	4668.88	5592.66	5847.71	9871.09	10884.9	8966.98	6172.85	12265.3	16288.3	12305.8	12075	7424.39	2570.35	8638.97	11537.2	15570.1	12040	6705.58	5973.11	8951.62	2743.23	6385.6	3471.48	10269.3	4665.57	19179.5	6239.31	5702.23	6819.98	14466.8	12358.5	4686.42	8529.71	6804.71	9040.3	7270.29	4199.36	8236.41	10618.3	8704.28	14577.1	9887.76	10703.1	10876.1	4447.65	3022.05	6179.21	7005.57	6137.11	9852.16	9803.1	10279.3	5817.13	6537.45	10964.1	7421.42	7065.54	6111.97	6358.51	4191.71	4820.13	6671.93
SLC1A5	410.451	593.045	228.656	76.134	205.66	2360.67	1391.71	531.199	953.373000000001	544.261	593.572	640.512	3741.95	667.367	243.586	400.846	1959.77	6138.4	111.563	488.101	125.57	375.538	227.519	420.903	817.473	4040.64	698.346	4613.65	523.938	1465.15	367.538	148.465	2838.13	2974.87	245.116	731.534	5112.97	153.767	3264.83	190.41	7449.59	2582.52	5921.45	2352.68	889.162	204.546	6201.35	514.754	1869.1	989.591	1219.53	4399.66	2398.35	4592.65	497.36	225.945	638.828	1450.85	778.393	318.124	90.1887	407.981	6062.12	2061.79	236.222	334.278	3266.69	1474.7	2256.49	1923.34	1581.31	2047.6	1767.63	1229.97	627.985	645.45	332.683	965.355	1883.45	1597.75	671.859	354.495	277.85	392.989	3479.94	2035.87	1829.48	926.971	2530.25	720.92	1445.39
SLC7A11	617.467	63.9098	100.475	9.8875	14.1509	139.103	120.5	70.5652	79.5845	53.5855	56.1844	101.692	116.777	397.662	86.1279	85.9962	288.434	69.7259	1103.85	32.3305	32.2694	76.9452	68.6047	153.916	22.3168	106.632	23.9498	631.298	304.45	17.0124	53.9886	29.6929	11.3697	155.518	79.0698	86.9891	498.414	189.837	263.916	88.2302	1626.42	141.683	565.858	609.981	213.497	32.7273	23.6887	80	172.884	499.653	600.094	557.045	169.51	52.6316	92.1747	21.6058	36.7293	336.004	53.3241	62.3986	28.3019	145.357	226.553	346.588	102.06	25.8499	8.2588	11.0109	15.691	3.3908	24.8389	6.8401	6.2852	4.5555	19.5958	6.4689	22.2903	21.1392	13.5297	14.4417	13.8456	4.4312	8.8937	16.9249	34.965	5.1742	14.5295	14.9753	15.9755	8.1658	13.7831
TFRC	7998.8	859.492	7166.1	285.255	1166.98	10302.2	2816.52	5415.22	1882.54	7348.04	7148.97	2416.83	11022.8	4088.63	5649.91	2686.09	16691.8	9894.36	7420.32	2828.02	1333.57	1147.57	5887.6	6961.46	1489.89	471.539	4551.61	1426.72	6086.99	11613.3	1505.45	976.718	2722.9	3820.37	3750.7	3212.97	2097.61	2823.39	7323.74	1508.63	5927.24	1283.7	25243.2	2017.74	5385.28	2457.27	5125.78	872.131	3356.96	9401.46	1051.94	840.894	3818.32	3809.76	3506	9079.56	1524.27	10582.8	419.668	2943.19	4022.64	1666.26	2000.81	1937.13	1595.69	4528.68	1570.54	905.933	1479.78	1259.5	1653.03	2038.02	2491.17	2186.01	711.268	1898.26	2116.75	1874.63	1212.88	1155.69	2545.86	1973.58	1787.32	1652.04	1528.16	1473.61	1752.19	1330.56	773.284	1071.46	3625.87
TTC35	1420.02	798.872	1170.32	818.193	487.736	1319.44	1011.67	1305.13	1114.59	975.045999999999	1284.64	1342.48	1380.96	1176.58	537.635	996.711	1549.93	1124.86	4526.42	918.276	1169.77	1113.98	1169.77	801.823	1306.5	649.405	1197.11	685.382	1225.22	960.166	768.991	1510.74	501.498	1681.15	1404.19	1328.08	1029.37	966.955	1227.06	999.477	2130.89	1048.98	1134.14	1383.73	1406.54	1199.09	729.272	596.066	875.835	1570.44	667.358	647.423	1416.93	328.399	1162.75	1248.74	1000.87	1108.97	1142.66	1224.17	820.755	976.48	453.106	1060.72	606.603	677.408	825.878	937.067	775.498	997.275	707.599	967.538	831.87	686.053	767.912	798.187	803.567	773.048	724.403	811.201	882.658	770.004	825.884	993.205	836.585	718.524	662.792	656.293	614.548	632.264	900.495
