fact,AMDA.score,AMDA.padj,up%,down%
danio-brain.txt,0.0400860741525175,8.14776909726849e-08,0.993774088348651,0.994554313556893
danio-liver.txt,-0.104317463914897,1.31391502287385e-06,0.995505617977528,0.995901639344262
danio-skin.txt,-0.0369706221142709,0.000472680805070184,0.991969768540387,0.996091568955891
fibroblasts.txt,-0.102006769092854,1.15069384091485e-101,0.961293066780094,0.970086139389193
go.txt,-0.0475804325676303,8.27205541466354e-16,0.873788368336026,0.936649460347255
human-blood-cross-cohort.txt,-0.0860167630758048,6.12879152618815e-10,0.957983193277311,0.96400449943757
human-blood-SAFHS.txt,-0.0680425924996648,1.62350485959052e-11,0.965310206804536,0.977344573234984
human-blood.txt,0.00659615051153113,0.708290492538544,0.941176470588235,0.969283276450512
human-brain.txt,-0.0711201614382682,7.96587263696005e-06,0.974402730375427,0.98330550918197
human-breast.txt,-0.281373414240312,2.81400905822881e-38,0.995642701525055,0.966887417218543
human-daa.txt,-0.0208632031711225,0.0481716335419776,0.680459770114943,0.908872901678657
human-muscle.txt,-0.0592897576172023,0.0127369008090882,1,1
human-skin.txt,-0.25113364985799,6.63509174592346e-99,0.981444665341286,0.979838709677419
kegg.txt,-0.0611992146996437,0.00457331498772431,0.805383022774327,0.96551724137931
metabolic.txt,0.00234828822148065,0.801982081503076,0.970588235294118,0.992
mouse-blood.txt,-0.0389487630800178,5.98934426227355e-05,0.992942214380238,0.992982456140351
mouse-brain.txt,-0.0613091364221728,1.40627205825982e-05,0.987204724409449,0.990666666666667
mouse-liver.txt,-0.0902611221924422,4.46662823090797e-13,0.989086731763354,0.99618320610687
mouse-longitudinal.txt,-0.00377840614299056,0.860125447655744,0.995934959349594,0.997663551401869
mouse-skin.txt,-0.172047198208742,4.19569086774428e-136,0.987431517885917,0.99049331963001
notho-brain.txt,-0.104031016560443,2.40172655341625e-50,0.993070866141732,0.994519757715604
notho-liver.txt,-0.16344827104631,3.64945748028456e-46,0.99290780141844,0.9958071278826
notho-longitudinal.txt,-0.0743642371939831,8.11450710229197e-07,1,1
notho-skin.txt,-0.0384536378321072,2.36618153835955e-09,0.990856192851205,0.994591671173607
