,TCGA-K4-A54R-11,TCGA-BL-A13J-11,TCGA-GD-A3OP-11,TCGA-CU-A0YN-11,TCGA-BT-A20R-11,TCGA-BT-A20Q-11,TCGA-K4-A3WV-11,TCGA-GD-A3OQ-11,TCGA-BT-A2LA-11,TCGA-BT-A2LB-11,TCGA-CU-A0YR-11,TCGA-BT-A20W-11,TCGA-GD-A2C5-11,TCGA-BT-A20U-11,TCGA-GC-A3WC-11,TCGA-BT-A20N-11,TCGA-GC-A3BM-11
ENSG00000130561,0,1,0,1,0,0,2,1,0,2,2,4,1,0,0,1,0
ENSG00000130584,449,172,477,250,391,140,355,740,436,457,421,488,430,98,357,131,458
ENSG00000130589,3865,417,6996,454,2898,324,2869,4333,3103,3262,885,1748,3339,574,1225,564,3409
ENSG00000130590,435,11,963,26,26,20,910,855,767,596,127,384,968,448,249,32,396
ENSG00000130592,3208,1530,8850,2229,9306,1956,1101,12515,4040,4867,4874,8205,19355,3982,4582,2426,5841
ENSG00000130595,5714,302,3160,235,244,171,2747,5749,8127,65,635,594,1367,89,1030,105,2251
ENSG00000130598,3071,16,958,8,17,6,724,2155,1391,44,28,235,882,53,534,7,459
ENSG00000130600,4488,4254,4325,4363,20783,2828,230,3827,6922,1223,4620,1935,273081,3928,2999,4724,1296
ENSG00000130612,3,1,3,0,1,1,0,5,2,5,4,0,0,1,2,0,0
ENSG00000130635,5254,4570,13072,34993,15716,6970,1774,33887,4335,4272,7117,21419,5537,1224,7853,6106,8165
ENSG00000130638,4423,2312,9319,2691,5657,2215,6767,8196,9924,5920,4204,4953,8529,3700,3697,2120,5560
ENSG00000130640,3207,1990,5786,2091,3468,1850,3177,4685,4944,4069,2658,2686,3440,1806,2692,1716,2998
ENSG00000130643,6,0,0,0,3,2,3,8,13,1,0,8,9,0,4,1,9
ENSG00000130649,94,31,134,13,71,37,55,64,63,204,43,20,22,120,77,26,95
ENSG00000130653,917,330,972,103,593,268,542,780,546,349,591,226,292,209,1101,259,1065
ENSG00000130656,0,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,0
ENSG00000130669,2464,644,6714,1359,1183,611,5767,5040,6561,4166,1391,2848,4315,2762,1982,569,2885
ENSG00000130675,6,1,3,0,0,0,3,4,17,1,0,11,4,13,0,0,5
ENSG00000130684,197,82,185,64,89,67,185,383,49,83,109,80,127,42,117,56,188
ENSG00000130695,377,184,863,535,196,117,310,965,529,603,305,618,960,391,329,182,741
ENSG00000130699,867,653,1015,579,729,501,985,1313,650,815,605,800,1892,419,744,441,746
ENSG00000130700,59,1487,287,1417,1345,1640,162,736,69,46,1136,314,135,255,1588,622,89
ENSG00000130701,56,0,641,0,0,1,828,844,236,110,17,299,407,475,97,0,173
ENSG00000130702,15963,5603,23470,7230,13915,7682,12477,21077,9924,6946,7563,6726,16365,4337,9387,5076,16114
ENSG00000130703,4899,2026,6416,1601,3073,2045,4836,6766,5143,5731,2278,2349,5006,2902,2725,1611,2840
ENSG00000130706,5015,2237,7176,2276,4264,2235,4357,4028,8181,6258,3205,3654,5854,3513,3334,1933,3822
ENSG00000130707,16001,2388,83422,1961,4553,1468,20052,15704,38705,3626,5390,7010,8050,7704,17421,1627,7574
ENSG00000130711,3,0,4,2,1,0,1,6,4,0,0,2,2,3,0,0,1
ENSG00000130713,805,502,1331,512,1074,465,1118,1328,986,1072,786,814,664,555,867,384,761
ENSG00000130714,754,588,1624,778,906,588,1063,1378,1291,991,860,638,1134,849,1228,449,912
ENSG00000130717,535,1110,1308,1119,1599,1086,1234,1307,932,887,1205,929,949,917,1477,662,552
ENSG00000130720,2,240,360,312,183,99,3,34,18,140,142,25,4,30,101,66,2
ENSG00000130723,6294,5597,7097,6557,12638,4614,6295,16844,3755,5148,6936,5607,5344,2792,5347,5434,8108
ENSG00000130724,3154,2400,9284,2450,4674,2618,5855,5430,9529,6654,3829,3663,7447,5037,4186,2041,3971
ENSG00000130725,2202,2015,3675,1753,3308,1654,2410,2664,5409,3106,2474,2202,4220,2270,2662,1467,1968
ENSG00000130726,10720,8708,17427,9621,12784,6629,12089,14170,18335,12751,12014,13239,19362,8067,12160,5633,10519
ENSG00000130731,833,697,1672,702,1255,688,1650,1503,2315,1251,957,998,1873,977,1048,577,1031
ENSG00000130733,1290,474,2930,709,867,526,1918,2441,2039,1617,980,1279,3400,1516,901,413,1355
ENSG00000130734,1199,289,2538,260,444,246,1216,1246,2230,2034,403,605,1540,1253,721,260,1146
ENSG00000130741,5445,5734,11120,5442,15681,4165,10393,10976,11879,9118,8118,7704,9060,5673,10426,4133,7211
ENSG00000130748,62,52,214,76,146,82,144,103,312,197,81,132,707,111,123,50,114
ENSG00000130749,1224,1682,3492,1940,3018,1631,2562,3771,1820,1886,2121,1979,2538,1528,2298,1245,1661
ENSG00000130751,84,0,90,4,7,1,67,51,148,42,5,25,146,19,25,0,87
ENSG00000130755,1312,363,1150,306,665,135,1247,1343,3166,1064,988,1118,1633,329,1222,317,1891
ENSG00000130758,667,363,1021,407,822,398,482,779,1544,546,382,482,1196,308,710,427,592
ENSG00000130762,1909,8,4592,19,46,14,2811,2362,3449,2056,237,807,1912,1368,596,21,1388
ENSG00000130764,1767,2791,4670,2377,3409,2482,3742,4404,5491,2943,3601,3088,3594,1616,2850,1901,2179
ENSG00000130766,842,420,1542,387,737,320,845,1449,1604,4501,610,868,994,1111,851,386,992
ENSG00000130768,110,1,123,4,7,0,93,285,217,118,25,182,1244,74,80,2,68
ENSG00000130770,1734,975,5256,1241,2386,831,3682,3711,6996,3768,1829,2831,5609,3008,2032,805,2776
ENSG00000130772,450,405,1121,385,156,310,815,929,893,1090,297,409,1153,505,463,146,366
ENSG00000130775,953,576,1048,292,617,141,395,811,736,1429,686,834,1554,254,1082,551,500
ENSG00000130779,11725,11539,8836,6652,21455,9150,4129,8598,3376,16677,6479,4224,5053,6227,7281,8283,4446
ENSG00000130783,12,10,10,1,9,1,13,14,2,1,4,15,9,6,6,3,3
ENSG00000130787,4985,301,6087,200,387,226,4186,4315,3577,3092,936,1369,3654,1304,1551,143,2900
ENSG00000130803,1615,1105,1662,902,1358,853,1737,2020,1748,1743,1160,1014,1788,670,1191,700,1074
ENSG00000130810,526,116,518,65,381,124,378,303,546,499,124,210,392,245,181,123,238
ENSG00000130811,6523,4082,9537,3091,7451,3249,9595,7105,14315,6939,6102,5187,9441,3619,6131,3036,6184
ENSG00000130812,38,2,25,3,6,6,28,31,6,38,15,17,27,23,43,5,16
ENSG00000130813,906,508,2322,520,953,418,1513,1600,1144,718,890,801,1725,538,988,427,874
ENSG00000130816,1760,1069,2829,3111,2032,946,1075,3346,1164,2385,1906,3410,4015,1683,1514,1006,1639
ENSG00000130818,702,897,1366,872,1270,687,1077,1603,1168,3513,872,772,1416,1152,1009,543,936
ENSG00000130821,5459,3094,4125,2423,4091,2588,2563,4030,4299,2989,2955,2025,1126,3467,3023,2135,5733
ENSG00000130822,574,1652,328,2441,1551,2169,419,1345,206,17,1126,181,97,192,1244,1228,1269
ENSG00000130826,2238,1084,3630,1105,3313,946,3210,3513,3396,4118,1756,3043,3704,1993,1738,984,2065
ENSG00000130827,2612,997,3173,731,1821,1007,1742,3303,1459,1432,1426,888,2388,602,1620,565,1897
