,TCGA-GD-A2C5-01,TCGA-CU-A0YN-01,TCGA-BT-A20R-01,TCGA-GC-A3BM-01,TCGA-BL-A13J-01,TCGA-BT-A2LB-01,TCGA-CU-A0YR-01,TCGA-BT-A20W-01,TCGA-GC-A3WC-01,TCGA-BT-A20Q-01,TCGA-GD-A3OP-01,TCGA-BT-A20U-01,TCGA-K4-A3WV-01,TCGA-BT-A2LA-01,TCGA-GD-A3OQ-01,TCGA-BT-A20N-01,TCGA-K4-A54R-01
ENSG00000000003,11377,3704,10227,7342,1987,6724,4597,4818,1455,5415,28388,2426,4864,2874,8531,3804,2174
ENSG00000000005,2,0,99,0,1,1,0,4,4,3,3,2,0,11,0,1,0
ENSG00000000419,2798,2984,2201,3108,1360,2575,2800,1965,1527,2624,2485,1381,1407,3873,2439,2236,2269
ENSG00000000457,1598,666,528,1319,963,1243,430,448,1316,800,2171,538,615,1428,1657,882,400
ENSG00000000460,1261,976,480,632,986,761,434,501,805,248,727,510,1131,1507,999,791,453
ENSG00000000938,320,510,825,542,110,1074,878,252,1009,382,478,153,116,181,297,104,487
ENSG00000000971,1045,2355,4057,5205,1344,2270,1784,2210,9961,2091,6596,3767,136,621,10413,1483,4153
ENSG00000001036,11522,4076,7584,4717,1822,3295,3025,2498,3366,1724,4285,2904,4375,5938,5024,4158,1990
ENSG00000001084,4222,1363,1479,5639,856,2708,4583,5513,23618,4299,11342,15942,8911,2336,3054,6804,1494
ENSG00000001167,2974,1423,1371,2498,1068,2282,996,1915,1622,2652,2672,1438,1647,2655,3740,1893,2402
ENSG00000001460,1627,697,2406,723,634,1479,1262,1473,643,942,1192,346,960,928,1348,593,689
ENSG00000001461,2497,1033,865,2164,1439,2340,1121,1575,3062,1251,3393,1097,734,1553,3680,2807,898
ENSG00000001497,5043,2055,2692,3852,1269,5112,2541,3475,2572,1775,3229,1861,3674,3345,3177,1436,2086
ENSG00000001561,1217,178,3700,1314,832,597,993,546,178,741,3066,30,598,649,203,395,612
ENSG00000001617,13942,2841,2082,1160,4929,5935,3078,6657,2351,19652,10885,8995,16486,1860,12351,6578,8428
ENSG00000001626,5,5,11,9,2,3,6,7,39,4,14,23,103,39,37,1,26
ENSG00000001629,3872,3562,3491,5487,2539,2635,2237,2287,2627,3245,4942,2323,3644,3649,4715,3654,1836
ENSG00000001630,369,257,188,394,230,205,133,94,17,129,475,184,327,164,305,760,173
ENSG00000001631,2772,1422,945,3059,1259,1146,864,1045,1923,1364,2495,953,2833,2348,1731,1608,1166
ENSG00000002016,800,341,227,432,235,474,373,692,513,331,827,241,481,577,342,351,195
ENSG00000002079,25,3734,60,17,6,13,6,17,24,9,8,6,19,45,506,8,24
ENSG00000002330,2424,761,1571,1973,1206,3495,1511,1298,1277,1932,2881,797,2444,6838,2116,1646,1654
ENSG00000002549,2941,3092,3332,6061,1338,7357,4006,1915,7428,6173,6867,2962,1768,4327,6848,1260,5856
ENSG00000002586,8147,9262,31479,5091,6339,14843,5289,4671,4548,6454,14527,3133,16107,6861,14171,8405,19837
ENSG00000002587,869,1081,338,2957,849,3033,450,643,811,993,3906,405,1209,296,5366,1937,555
ENSG00000002726,82,396,8,12,94,39,129,73,259,576,56,1201,177,33,54,1,8
ENSG00000002745,40,16,22,15,7,4,1,3,15,0,3,3,9,169,12,6,0
ENSG00000002746,63,66,72,38,40,99,48,61,606,157,113,186,12,358,45,32,42
ENSG00000002822,1947,2480,1910,1926,836,2858,903,1339,964,1542,2218,834,3169,4016,2017,1253,1308
ENSG00000002834,12163,11348,14272,13292,7378,21589,28876,12291,14673,15221,19391,9536,13596,11149,31496,7505,13968
ENSG00000002919,1540,1106,1405,1370,883,1430,741,796,1217,1616,2232,870,2438,1061,2012,504,842
ENSG00000002933,733,1384,1947,261,726,1702,1586,638,1624,1584,2456,501,2376,3081,312,404,1616
ENSG00000003056,3112,5217,3986,6360,2184,4760,6796,1885,4017,5386,7561,3130,4565,6270,6573,7479,2493
ENSG00000003096,65,61,83,105,45,56,9,28,443,122,665,146,1727,1994,550,44,9
ENSG00000003137,146,1130,282,20,24,77,112,65,212,108,224,565,39,1465,283,174,101
ENSG00000003147,5399,116,2583,4778,1675,4308,775,2329,156,1022,5071,846,1862,3395,1577,1266,1402
ENSG00000003249,1102,152,4143,172,2655,2049,363,1233,69,265,1060,90,1363,9187,262,1715,2635
ENSG00000003393,1223,1075,875,1351,467,1705,1484,873,1526,1321,1632,967,2342,1366,2403,989,546
ENSG00000003400,1581,687,1035,1170,350,1781,273,368,901,1232,1551,758,1325,221,2492,489,545
ENSG00000003402,3550,4326,3718,4871,1499,7538,3345,2860,8784,3629,7429,2503,2250,1015,7556,1631,1883
ENSG00000003436,595,1008,1308,590,1269,897,1144,987,470,443,1922,609,553,784,2761,1001,225
ENSG00000003509,1157,552,733,715,468,897,409,669,843,543,983,391,1312,961,502,514,606
ENSG00000003756,5552,3262,2114,249,2372,5588,1267,2206,2887,3663,9172,2171,3432,6332,5805,2538,2650
ENSG00000003987,35,59,66,162,20,84,22,43,41,86,115,35,37,181,86,123,41
ENSG00000003989,316,142,684,160,337,3360,1820,896,212,180,9187,281,15,2049,324,2279,615
ENSG00000004059,12482,5665,6616,9092,4982,11320,4371,4501,5569,5924,9740,4878,12509,15676,15116,3582,9510
ENSG00000004139,721,102,246,510,118,520,173,389,142,287,920,147,371,2214,158,86,156
ENSG00000004142,13359,5216,6212,7417,3712,8331,5953,4437,5175,6731,9906,4433,7521,11917,7452,4283,5049
ENSG00000004399,4086,5079,4865,2692,1303,3475,4878,3629,2530,3060,5428,1709,4901,6012,2389,2214,2880
