SAMPLE	MHC	EC	SC	CP	AZ	IPS
COAD-A6-2671-01A-01R-1410-07	3.30612894168873	1.01256635286465	-1.36525013011537	-0.269477764381842	2.68396740005617	9
COAD-CM-5863-01A-21R-1839-07	3.33945546724036	1.06277297747793	-1.38152876132367	-0.143930991568419	2.8767686918262	10
COAD-A6-2676-01A-01R-0826-07	4.22593662298721	1.38728787162529	-1.71056087581546	-0.85864805433191	3.04401556446512	10
COAD-A6-2682-01A-01R-1410-07	3.27315626169889	1.04572192451742	-1.39176014868661	-0.0953468405336082	2.83177119699609	9
COAD-AA-3553-01A-01R-0821-07	3.52416576830084	1.21381155739921	-1.37623102180054	-0.428970706715277	2.93277559718424	10
COAD-CM-6677-01A-11R-1839-07	3.34321863940376	1.14468565276929	-1.18711949713281	-0.305796313993403	2.99498848104683	10
COAD-F4-6461-01A-11R-1774-07	3.44017436188604	1.11882886359476	-1.25323680298192	-0.20536619756215	3.10040022493672	10
COAD-CA-6716-01A-11R-1839-07	2.66686945197279	0.852522370536663	-0.860338887057176	0.15590841530077	2.81496135075305	9
COAD-AA-3989-01A-01R-1022-07	3.50333536621902	1.11039515160814	-1.38245756907674	-0.304437549427315	2.9268353993231	10
COAD-CK-4948-01B-11R-1653-07	3.09525592867805	1.07162060640703	-1.31287269853786	-0.119349788625405	2.73465404792182	9
COAD-DM-A1HA-01A-11R-A155-07	3.67295042472835	0.848867223423593	-0.594739280488966	-0.231254407053447	3.69582396060953	10
COAD-A6-2679-01A-02R-1410-07	4.0153127760711	0.939602703666768	-1.119431403813	-0.0164518884184873	3.81903218750638	10
COAD-G4-6626-01A-11R-1774-07	3.28458234905665	0.977958926157171	-0.742587873643926	-0.0633111562938202	3.45664224527608	10
COAD-D5-6541-01A-11R-1723-07	3.51254802067156	1.22792878729559	-1.56898102607849	-0.542202543934456	2.6292932379542	9
COAD-CA-6719-01A-11R-1839-07	3.37579815114098	1.15235815859136	-1.40886596249806	-0.324256134100097	2.79503421313418	9
COAD-CA-5256-01A-01R-1410-07	3.21224934082759	1.10047261238529	-0.944199284021463	-0.11113884507382	3.2573838241176	10
COAD-DM-A1DB-01A-11R-A155-07	3.03704486498037	1.06244456943364	-0.765348540856267	-0.0244539444284024	3.30968694912934	10
COAD-CA-6715-01A-21R-1839-07	2.73381572181805	0.85937840586283	-0.748071561184735	0.241970258808771	3.08709282530492	10
COAD-AA-A01C-01A-01R-A00A-07	3.36799490390218	0.984199595007746	-1.05089154338869	-0.237558445851062	3.06374450967018	10
COAD-AA-3848-01A-01R-0905-07	3.36802291534219	0.845999274235813	-1.04661859129652	0.0267800638922131	3.19418366217369	10
COAD-AA-3972-01A-01R-1022-07	3.17108739809458	0.928872126748775	-1.06618108925007	0.0136379493087738	3.04741638490205	10
COAD-AA-3697-01A-01R-1723-07	3.42276508987084	1.1110318457442	-1.21204427464089	-0.221741376941238	3.10001128403291	10
COAD-AA-3675-01A-02R-0905-07	3.18407794186531	1.02748917682702	-1.08855521572643	-0.0518801872516775	3.07113171571423	10
COAD-CA-5797-01A-01R-1653-07	3.37611743302064	1.05955151369142	-1.1037774132724	-0.313586439825056	3.01830509361461	10
COAD-AZ-4315-01A-01R-1410-07	3.21170581434335	1.09396539498899	-1.12121378033221	-0.341466054891644	2.84299137410849	9
COAD-D5-6531-01A-11R-1723-07	3.67108934635174	1.1931067278702	-1.37363506376958	-0.603760205760867	2.88680080469148	10
COAD-F4-6809-01A-11R-1839-07	3.29985923766767	1.23286097961441	-1.30988568846411	-0.255992198394694	2.96684233042327	10
COAD-AA-A02R-01A-01R-A00A-07	4.15637557327619	1.46782732184091	-1.69715667675259	-1.09657798385908	2.83046823450542	9
