group,cor,p.value,fdr
group1,-0.523695169746979,0.182833664422549,0.626858278020169
group2,0.169123770043735,0.688887821847015,0.874648502514093
group3,0.576356474915425,0.134804183626544,0.539216734506177
group4,-0.251397574152334,0.548113627292201,0.825536399532618
group5,-0.675893923447038,0.0657657233644883,0.526125786915907
group6,0.919190868431944,0.00124057014520633,0.0297736834849518
group7,0.590810849308346,0.123018931634153,0.539216734506177
group8,0.744819606052662,0.0339968066868585,0.407961680242302
group9,0.167123069649351,0.692430064490324,0.874648502514093
group10,0.109053850447783,0.797139432978709,0.901939230406594
group11,-0.368177355948227,0.369515631811929,0.758342647531063
group12,0.310221671128691,0.454575621385981,0.779272493804538
group13,-0.361325780583812,0.379171323765532,0.758342647531063
group14,0.49480182635345,0.212551652485321,0.637654957455962
group15,-0.0929187129532062,0.826777627872711,0.901939230406594
group16,-0.00282997174482212,0.994693831309026,0.994693831309026
group17,-0.310594457669707,0.454004854262055,0.779272493804538
group18,-0.143067483268929,0.73538642805707,0.882463713668484
group19,-0.202325444774975,0.630865538789921,0.874648502514093
group20,-0.250034855711134,0.550357599688412,0.825536399532618
group21,-0.416807681186206,0.304282411388997,0.730277787333592
group22,0.453636048922477,0.258918230174356,0.690448613798282
group23,-0.0377062513159316,0.929367761815543,0.969775055807523
group24,0.637260731024401,0.0892156313986686,0.535293788392012
