,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.7,Signature.8,Signature.9,Signature.10,Signature.11,Signature.12,Signature.13,Signature.14,Signature.15,Signature.16,Signature.17,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.26,Signature.27,Signature.28,Signature.29,Signature.30,unknown
TCGA-2F-A9KO-01A,0,0.368206966463353,0,0,0,0,0,0.0708810715431447,0,0.0248523994049124,0.00628298038026164,0,0.508119049080235,0.0111822361639667,0,0,0,0,0,0,0,0,0,0.0104752969641269,0,0,0,0,0,0,0
TCGA-2F-A9KP-01A,0.0909723878610447,0.287859093502516,0,0,0,0,0,0,0,0.01320956234822,0,0,0.209885525869509,0,0.0266348981378423,0.371438532280868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022302462516e-16
TCGA-2F-A9KQ-01A,0.183634990037513,0.10972346696489,0,0,0,0,0,0,0,0.0181519414228128,0,0,0.147120612638105,0,0,0.504946591728483,0,0,0,0,0.0223200442291534,0,0,0,0,0.0141023529790432,0,0,0,0,0
TCGA-2F-A9KR-01A,0.0587666552106347,0.414681785478293,0,0,0.150997525192892,0,0.015608834919767,0,0,0.0320200974560585,0,0,0.305009370531505,0,0,0,0,0.00607386338654053,0,0,0,0,0,0.0168418678243102,0,0,0,0,0,0,0
TCGA-2F-A9KT-01A,0.0175577524873875,0.345988274562348,0,0,0.064466720053448,0,0.0572927122808309,0,0,0.0182402885229843,0,0,0.483165352003651,0,0,0,0,0,0,0,0,0,0,0.0132889000893498,0,0,0,0,0,0,1.11022302462516e-16
TCGA-2F-A9KW-01A,0.104441717449557,0.173883321705668,0.213643565044149,0,0,0,0.0167947062937765,0.0391159960328153,0,0.0332377585011137,0.119711767971164,0,0.128982862367472,0,0,0,0.0772455520593584,0.0584698587399649,0,0,0,0,0,0,0,0,0,0,0.0344728938349619,0,0
TCGA-4Z-AA7M-01A,0.0234226722421262,0.398154817144137,0,0,0.148560135677516,0,0.0206767903588754,0,0,0,0,0,0.409185584577346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-4Z-AA7N-01A,0,0.723199106302835,0,0,0,0,0,0,0,0,0,0,0.276800893697165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-4Z-AA7O-01A,0.0793378797025394,0.213177302210144,0,0,0,0,0.0552244873955805,0.0441034867781368,0,0.0212748910380209,0,0,0.287798038949131,0,0,0.0703550795327913,0,0.0169553532054642,0,0,0.0115736845322152,0,0,0,0,0.0733454034324912,0,0,0,0.126854393223486,0
TCGA-4Z-AA7Q-01A,0.046404503702961,0.11478528320537,0,0.0687421990401605,0,0,0,0,0,0.0449514143898119,0,0.0750586139077473,0.586998902756564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630590829973854,1.11022302462516e-16
TCGA-4Z-AA7R-01A,0.0132945140362382,0.337586318302426,0,0,0.169138633667146,0,0.0316336951411632,0,0.00457760435666123,0.0223750045776208,0,0,0.421394229918744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-4Z-AA7S-01A,0.473214586400835,0.121763822663831,0,0,0,0,0,0.229127266383714,0,0,0,0,0,0,0,0,0,0.163461541596087,0,0,0,0,0,0,0,0,0,0,0.0124327829555325,0,-2.22044604925031e-16
TCGA-4Z-AA7W-01A,0,0.292357917330328,0,0,0.122391347447639,0,0,0,0,0.0112846416262899,0,0,0.568408611616317,0,0,0,0,0,0,0,0,0,0,0.00555748197942674,0,0,0,0,0,0,0
TCGA-4Z-AA7Y-01A,0,0.462081193021687,0,0,0,0,0.00468194568768302,0,0,0.0386733394877734,0,0,0.358643077841796,0,0,0,0,0.0252202616345557,0,0,0,0,0,0,0,0,0,0,0,0.110700182326504,0
TCGA-4Z-AA80-01A,0.0540518476091487,0.319425757069438,0.0808388989611622,0.0148770663285379,0,0,0,0,0,0.0545937349949677,0.0197682511025987,0,0.33105815922448,0,0,0.0635576557147124,0,0,0,0.0134569073792003,0,0,0,0,0,0.0483717216157547,0,0,0,0,0
TCGA-4Z-AA81-01A,0.0244273290772231,0.457242608966802,0,0,0.0478177382965268,0,0,0,0,0.0524425866587558,0,0,0.367926071931357,0,0,0,0,0.0277457356882712,0,0,0,0,0.0223979293810634,0,0,0,0,0,0,0,0
TCGA-4Z-AA82-01A,0.122901206131744,0.227478504752616,0.148609313764918,0,0,0,0,0,0,0,0,0,0.194472275908898,0,0,0,0,0.0695377580431761,0,0,0.0128731544297307,0,0.0376656563254972,0,0,0,0,0,0.110454949696054,0.0760071809473673,0
TCGA-4Z-AA83-01A,0.155111718838714,0.314823623396461,0,0,0,0,0,0,0,0,0,0,0.185418312662051,0,0,0.0494541945319341,0,0,0.0686137967517137,0,0,0,0,0,0,0.154780072708296,0,0,0.0717982656961054,1.5414724725826e-08,0
TCGA-4Z-AA84-01A,0.0171639205411383,0.578672117156885,0,0,0,0.00864959198798636,0,0,0,0,0,0.0232151072033234,0,0,0,0.354644249823468,0,0,0,0,0.010235640612388,0,0,0,0,0.00741937267481065,0,0,0,0,0
TCGA-4Z-AA86-01A,0.00366443486810736,0.297149927744852,0,0.00850618555372978,0.110216793124483,0,0,0,0,0.0453204868924588,0.0168876967473895,0,0.493100917983893,0,0,0,0,0,0,0,0.012011816131994,0,0,0,0,0.0131417409530921,0,0,0,0,1.11022302462516e-16
TCGA-4Z-AA87-01A,0.0358271359716248,0.280297483014079,0.0876313943193889,0,0,0.0706448675350716,0.0341003622063648,0,0,0.0310251474835619,0,0,0.398475779040814,0,0,0,0.0405106300866163,0,0,0.0214872003424791,0,0,0,0,0,0,0,0,0,0,0
TCGA-4Z-AA89-01A,0.061103315623691,0.332342684806843,0,0,0,0,0,0,0,0,0,0,0.485717355613003,0,0,0,0,0,0,0,0,0.0942775992256024,0,0,0,0.018232739521138,0.00832630520972233,0,0,0,1.11022302462516e-16
TCGA-5N-A9KI-01A,0.0649812062687131,0.349340180349108,0,0,0,0,0.0322500652096758,0,0,0.0261646181721204,0,0.0178780029365007,0.136721355142491,0,0,0.198474543815138,0,0.02529783842887,0,0,0,0,0,0,0,0,0,0.024502370339639,0.0278266832014476,0.0965631361362968,0
TCGA-5N-A9KM-01A,0,0.0798026810307752,0,0,0,0,0.00872002832614103,0,0,0,0,0,0.0107721965763572,0,0,0.571577380241054,0,0,0.0787899868413247,0.0114972046895567,0,0,0.0344732402767609,0,0,0.111240004521791,0.0196879428272288,0,0,0.0734393346690101,1.11022302462516e-16
TCGA-BL-A0C8-01A,0.162058202547888,0.178979603281192,1.86656200785505e-08,0,0,0,0.0336599400502679,0,0,0,0,0,0.337020899770477,0,0,0.216174825736836,0,0,0,0,0,0,0,0,0,0.0721065099477186,0,0,0,0,0
TCGA-BL-A13I-01A,0.0453576824299386,0.164931221670745,0.105091380773118,0,0,0,0.0140861861548724,0,0,0,0.0534459162043034,0,0.334456833114083,0,0,0.0393020713597832,0,0,0,0,0,0,0,0,0,0.123362578769092,0,0.0664852041121368,0.00620013290706237,0.0472807925048645,0
TCGA-BL-A13J-01A,0.133612236039864,0.171657533609604,1.97246481834456e-08,0.0225865075500405,0,0,0,0,0,0,0.0104113826318056,0,0.277405587835476,0,0,0.315763861111826,0,0,0,0,0,0.0351166875617758,0,0,0,0,0.0154981043137738,0,0.0179480796211861,0,0
TCGA-BL-A3JM-01A,0.0627627910322183,0.261679662718087,0.0743384214154974,0.0523153048372065,0,0,0.00971477749347796,0,0,0,0.0855382066210564,0.0488647389704593,0.250134064999715,0,0,0,0.0561665584801449,0,0,0.0597004365096337,0,0,0,0,0,0.038785036922504,0,0,0,0,0
TCGA-BL-A5ZZ-01A,0.094527778813984,0.283255014184177,0,0,0,0,0.0394152686628972,0,0,0,0.0464997425750523,0,0.0994456561115203,0,0,0.436856515651995,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40003741132071e-08,1.11022302462516e-16
TCGA-BT-A0S7-01A,0.18995408773518,0,0,0,1.84416829666753e-08,0,0,0,0,0,0.0359691599789992,0,0,0,0,0.67786983742207,0,0,0,0,0,0,0,0,0,0,0,0,0.096206896422068,0,0
TCGA-BT-A0YX-01A,0.0114529579075206,0.420076104462239,0,0,0,0,0,0,0,0,0.0363090979352905,0,0.522569358056249,0,0,0,0,0,0,0,0,0,0,0,0,0.00959248163870045,0,0,0,0,0
TCGA-BT-A20J-01A,0.0433275992746021,0.378384631529845,0,0,0,0,0.0760233859012717,0,0,0.023106304226689,0,0,0.479158079067592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
