"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"LDHAL6A",1,6.03648547249035,1,9.24134791497177,1,0.038,"OO","LDHAL6A"
"ENSMFAG00000001960",0.999,5.85031168587779,0.998,8.73262909745963,1,0.023,"OO","ENSMFAG00000001960"
"ENSMFAG00000032710",0.999,5.90976631814974,0.998,8.95130102879048,1,0.017,"OO","ENSMFAG00000032710"
"ZP4",0.999,6.0066841563696,0.998,8.9080230031709,1,0.044,"OO","ZP4"
"ZP3",0.999,5.96906632940999,0.998,8.68718411696065,1,0.081,"OO","ZP3"
"SYCP2",0.999,5.59156561941091,0.998,8.56148180612485,1,0.028,"OO","SYCP2"
"PADI6",0.999,5.8547796797892,0.998,8.98815723598678,1,0.024,"OO","PADI6"
"OOEP",0.999,6.21816466115258,0.998,9.44964515953219,1,0.029,"OO","OOEP"
"NPM2",0.999,5.02956086877637,0.998,8.31452249043816,1,0.018,"OO","NPM2"
"NLRP2",0.999,6.03867616956895,0.998,10.3535864164022,0.998,0.023,"OO","NLRP2"
"NLRP14",0.999,5.17092533544761,0.998,9.30029713561375,1,0.012,"OO","NLRP14"
"LMOD3",0.999,5.33323143860582,0.998,9.85889786293546,0.998,0.015,"OO","LMOD3"
"KPNA7",0.999,5.93247015951207,0.998,8.91520056472466,1,0.04,"OO","KPNA7"
"GTSF1",0.999,5.80102607343885,0.998,8.82977098719236,1,0.061,"OO","GTSF1"
"GINS2",0.999,4.89490240850842,0.998,7.29355414216363,1,0.048,"OO","GINS2"
"DLGAP5",0.999,5.92698157901892,0.998,9.23068779130755,1,0.038,"OO","DLGAP5"
"CENPE",0.999,5.20884046636425,0.998,8.19788246977655,1,0.029,"OO","CENPE"
"ENSMFAG00000044379",0.998,4.32274125930156,0.996,6.24653466860352,1,0.601,"OO","ENSMFAG00000044379"
"ZP2",0.998,5.52875743852288,0.996,8.48881838795217,1,0.025,"OO","ZP2"
"NLRP7",0.998,5.4995624123743,0.996,9.61195365204236,0.998,0.017,"OO","NLRP7"
"NLRP13",0.998,5.78483579242513,0.996,11.7744448553701,0.995,0.008,"OO","NLRP13"
"MYOCOS",0.998,6.03219607285382,0.996,11.161229914844,0.998,0.007,"OO","MYOCOS"
"GDF9",0.998,5.16610680308003,0.996,7.8704403781136,1,0.047,"OO","GDF9"
"DCDC2",0.998,5.22158397072722,0.996,8.53872796690983,0.998,0.017,"OO","DCDC2"
"BRDT",0.998,3.22494471020734,0.996,4.81007902699874,0.998,0.012,"OO","BRDT"
"BCL2L10",0.998,6.3968615085649,0.996,9.81713593756551,0.998,0.029,"OO","BCL2L10"
"ZAR1",0.997,5.16477395948857,0.994,9.91820085977464,0.995,0.01,"OO","ZAR1"
"RBM46",0.997,5.16236035980666,0.994,9.00204175756058,0.995,0.01,"OO","RBM46"
"NLRP5",0.997,4.92316839181412,0.994,9.67005749454369,0.995,0.005,"OO","NLRP5"
"UPB1",0.996,4.62139786173346,0.992,7.77249619989975,0.995,0.032,"OO","UPB1"
"NLRP4",0.996,5.61110978996316,0.992,9.27986599057185,0.995,0.015,"OO","NLRP4"
"FAM228A",0.996,3.18956494915525,0.992,4.70624555656101,0.998,0.035,"OO","FAM228A"
"CLDN10",0.996,5.1446400379251,0.992,10.3868731654414,0.993,0.009,"OO","CLDN10"
"CCDC146",0.996,4.30255763891316,0.992,6.33803831301122,1,0.039,"OO","CCDC146"
"C6orf52",0.996,4.14255687339528,0.992,6.04005574098209,1,0.279,"OO","C6orf52"
"AURKA",0.996,5.38158718880603,0.992,8.42332251329889,0.995,0.036,"OO","AURKA"
"ENSMFAG00000046178",0.995,5.58737384173629,0.99,8.51880279807091,0.993,0.017,"OO","ENSMFAG00000046178"
"RBMX2",0.995,4.03096248017367,0.99,5.88917258556799,0.998,0.148,"OO","RBMX2"
"OTX2",0.995,3.97233093587583,0.99,6.06364587944503,0.993,0.024,"OO","OTX2"
"KHDC3L",0.995,5.57566302772562,0.99,8.99423744567171,0.993,0.02,"OO","KHDC3L"
"ESRP1",0.995,4.65786327790479,0.99,8.63974824726206,0.993,0.011,"OO","ESRP1"
"ACE2",0.995,4.92132302057538,0.99,8.8028451565586,0.993,0.017,"OO","ACE2"
"UHRF1",0.994,5.4864446515808,0.988,8.92984229688075,0.993,0.043,"OO","UHRF1"
"TDRD1",0.994,4.88913383347669,0.988,8.99846108393302,0.99,0.011,"OO","TDRD1"
"PHACTR3",0.994,3.75093001001953,0.988,5.9007673358333,0.998,0.032,"OO","PHACTR3"
