source,target,Loc,score
CD274,XPO6,Nucleus,0.768
CD274,XPO6,Membrane,0.768
CD274,COG3,Cytosol,0.768
CD274,COG3,Nucleus,0.768
CD274,COG3,Secretory-pathway,0.768
CD274,COG3,Extracellular,0.768
CD274,COG3,Membrane,0.768
CD274,EXOC1,Membrane,0.7448
CD274,EXOC1,Cytosol,0.7448
CD274,EXOC1,Extracellular,0.7448
CD274,PDCD1,Extracellular,0.7176
CD274,PDCD1,Membrane,0.7176
CD274,MTOR,Cytosol,0.688
CD274,MTOR,Mitochondrion,0.688
CD274,MTOR,Nucleus,0.688
CD274,MTOR,Secretory-pathway,0.688
CD274,MTOR,Membrane,0.688
CD274,MTOR,Extracellular,0.688
CD274,INTS2,Cytosol,0.6212
CD274,INTS2,Nucleus,0.6212
CD274,INTS2,Extracellular,0.6212
CD274,INTS2,Membrane,0.6212
CD274,COG2,Cytosol,0.64
CD274,COG2,Nucleus,0.64
CD274,COG2,Secretory-pathway,0.64
CD274,COG2,Extracellular,0.64
CD274,COG2,Membrane,0.64
CD274,DOLK,Nucleus,0.64
CD274,DOLK,Secretory-pathway,0.64
CD274,DOLK,Extracellular,0.64
CD274,DOLK,Membrane,0.64
CD274,SAAL1,Cytosol,0.64
CD274,SAAL1,Nucleus,0.64
CD274,SAAL1,Extracellular,0.64
CD274,SAAL1,Membrane,0.64
CD274,TMEM160,Cytosol,0.632
CD274,TMEM160,Extracellular,0.632
CD274,TMEM160,Membrane,0.632
CD274,HEATR1,Cytosol,0.24
CD274,HEATR1,Mitochondrion,0.24
CD274,HEATR1,Nucleus,0.24
CD274,HEATR1,Extracellular,0.24
CD274,HEATR1,Membrane,0.24
CD274,NUP85,Cytosol,0.24
CD274,NUP85,Nucleus,0.24
CD274,NUP85,Extracellular,0.24
CD274,NUP85,Membrane,0.24
CD274,CDK5RAP3,Cytosol,0.24
CD274,CDK5RAP3,Nucleus,0.24
CD274,CDK5RAP3,Extracellular,0.24
CD274,CDK5RAP3,Membrane,0.24
CD274,GCN1,Cytosol,0.24
CD274,GCN1,Extracellular,0.24
CD274,GCN1,Membrane,0.24
CD274,COG5,Cytosol,0.24
CD274,COG5,Nucleus,0.24
CD274,COG5,Secretory-pathway,0.24
CD274,COG5,Extracellular,0.24
CD274,COG5,Membrane,0.24
CD274,TNPO1,Cytosol,0.24
CD274,TNPO1,Nucleus,0.24
CD274,TNPO1,Membrane,0.24
CD274,COG8,Nucleus,0.24
CD274,COG8,Secretory-pathway,0.24
CD274,COG8,Extracellular,0.24
CD274,COG8,Membrane,0.24
CD274,IPO7,Cytosol,0.24
CD274,IPO7,Mitochondrion,0.24
CD274,IPO7,Nucleus,0.24
CD274,IPO7,Extracellular,0.24
CD274,IPO7,Membrane,0.24
CD274,COG4,Cytosol,0
CD274,COG4,Secretory-pathway,0
CD274,ATR,Nucleus,0
CD274,ATR,Secretory-pathway,0
CD274,FAM114A2,Cytosol,0
CD274,XPO4,Cytosol,0
CD274,XPO4,Nucleus,0
CD274,TNPO3,Cytosol,0
CD274,TNPO3,Nucleus,0
CD274,USP22,Cytosol,0
CD274,USP22,Nucleus,0
CD274,COG4,Extracellular,0
CD274,FAM114A2,Secretory-pathway,0
CD274,VAC14,Cytosol,0
CD274,VAC14,Nucleus,0
CD274,VAC14,Secretory-pathway,0
CD274,VAC14,Extracellular,0
CD274,TNPO2,Cytosol,0
CD274,TNPO2,Nucleus,0
CD274,MINPP1,Secretory-pathway,0
CD274,MINPP1,Cytosol,0
CD274,MINPP1,Nucleus,0
CD274,MINPP1,Extracellular,0
