Protein	Count	Glycan
Q9R1V7	5	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q9R1V6-17	1	HexNAc(2)Hex(5)
Q9R1V6-16	12	HexNAc(2)Hex(5);HexNAc(6)Hex(3);HexNAc(2)Hex(10);HexNAc(3)Hex(6)Fuc(1);HexNAc(2)Hex(7);HexNAc(3)Hex(5);HexNAc(2)Hex(6);HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(4);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1)
Q9R1V6-12	1	HexNAc(2)Hex(5)
Q9R1V6-11	13	HexNAc(2)Hex(9);HexNAc(3)Hex(6)Fuc(1);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(3)Hex(5);HexNAc(2)Hex(4);HexNAc(1);HexNAc(3)Hex(6)NeuAc(1)
Q9R1V6-10	9	HexNAc(2)Hex(7);HexNAc(3)Hex(5);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(1);HexNAc(3)Hex(6)NeuAc(1);HexNAc(2)Hex(8)
Q9R1V6	6	HexNAc(2)Hex(5);HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(6)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(4)
Q9R1Q9	7	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(6)Hex(7)NeuAc(4);HexNAc(6)Hex(7)Fuc(3)NeuAc(1);HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q9R1E6	5	HexNAc(2)Hex(5);HexNAc(6)Hex(4);HexNAc(6)Hex(3);HexNAc(8)Hex(3);HexNAc(2)Hex(9)
Q9R0Q6	1	HexNAc(2)Hex(6)
Q9R0M0	4	HexNAc(2)Hex(5);HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(7)
Q9R0E2	4	HexNAc(2)Hex(6);HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(5)
Q9R0E1	4	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6)
Q9R0B9	1	HexNAc(2)Hex(8)
Q9R0B6	1	HexNAc(2)Hex(5)
Q9R0A1	1	HexNAc(2)Hex(5)
Q9R013	4	HexNAc(2)Hex(6)Phospho(1);HexNAc(2)Hex(6);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(5)
Q9QZC2	12	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(7);HexNAc(3)Hex(5);HexNAc(2)Hex(9);HexNAc(2)Hex(6);HexNAc(2)Hex(8);HexNAc(6)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(6)Phospho(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(6)Hex(3)
Q9QZ15	1	HexNAc(2)Hex(7)
Q9QYS2	12	HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(5)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3)Fuc(1);HexNAc(4)Hex(4)Fuc(2);HexNAc(3)Hex(4)Fuc(1);HexNAc(2)Hex(4)Fuc(1);HexNAc(2)Hex(3);HexNAc(3)Hex(6)Fuc(1)NeuAc(1)
Q9QYK5	2	HexNAc(2)Hex(9);HexNAc(2)Hex(8)
Q9QY81	5	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(9)
Q9QY40	1	HexNAc(2)Hex(5)
Q9QY33	13	HexNAc(2)Hex(5)Fuc(1);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(3)Hex(6)NeuAc(1);HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(3)Hex(5);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(2);HexNAc(2)Hex(1)
Q9QXX0	1	HexNAc(2)Hex(5)
Q9QWR8	1	HexNAc(2)Hex(6)Phospho(1)
