Protein	Count	Glycan
Q8R2Y2	1	HexNAc(2)Hex(5)
Q8R2R1	3	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6)
Q8R2E9	1	HexNAc(2)Hex(8)
Q8R1V4	6	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(4)Hex(3)Fuc(1);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(3)Hex(3)Fuc(1)
Q8R180	3	HexNAc(2)Hex(6);HexNAc(2)Hex(9);HexNAc(2)Hex(7)
Q8R0F3	2	HexNAc(2)Hex(6);HexNAc(2)Hex(7)
Q8K4Z0-2	2	HexNAc(5)Hex(3)Fuc(1)NeuAc(1);HexNAc(5)Hex(3)Fuc(2)
Q8K4Q8	1	HexNAc(2)Hex(3)Fuc(1)
Q8K394	1	HexNAc(2)Hex(3)Fuc(1)
Q8K385	1	HexNAc(2)Hex(3)Fuc(1)
Q8K2C7	5	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(9);HexNAc(2)Hex(6)Fuc(1)
Q8K2B0	1	HexNAc(2)Hex(8)
Q8K298	1	HexNAc(2)Hex(5)
Q8K297	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8K209	3	HexNAc(2)Hex(7);HexNAc(2)Hex(5);HexNAc(2)Hex(4)Fuc(1)
Q8K135-2	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8K135	3	HexNAc(2)Hex(5);HexNAc(2)Hex(7);HexNAc(2)Hex(6)
Q8K0S5	3	HexNAc(2)Hex(6)Phospho(1);HexNAc(2)Hex(8);HexNAc(2)Hex(5)
Q8K0E8	1	HexNAc(4)Hex(7)NeuAc(1)
Q8JZZ7-2	4	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8JZM4	4	HexNAc(2)Hex(5);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(8);HexNAc(2)Hex(7)
Q8HW98	3	HexNAc(2)Hex(5);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1)
Q8CJH3	18	HexNAc(2)Hex(5);HexNAc(4)Hex(6);HexNAc(4)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(9);HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(8);HexNAc(5)Hex(3)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(6);HexNAc(2)Hex(5)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(5)Hex(8);HexNAc(4)Hex(4)Fuc(2);HexNAc(2)Hex(7);HexNAc(3)Hex(5);HexNAc(2)Hex(3)
Q8CIV2	5	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(5);HexNAc(2)Hex(9);HexNAc(2)Hex(6)
Q8CIF4	1	HexNAc(2)Hex(6)
Q8CGM1	8	HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(2);HexNAc(2)Hex(1);HexNAc(6)Hex(4);HexNAc(3)Hex(5)
Q8CFX1	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8CFG0	2	HexNAc(2)Hex(5);HexNAc(6)Hex(3)
Q8CBC6	1	HexNAc(2)Hex(8)
Q8C8T7	2	HexNAc(2)Hex(5);HexNAc(2)Hex(4)
Q8C7X2	3	HexNAc(2)Hex(9);HexNAc(2)Hex(7);HexNAc(2)Hex(8)
Q8C7K6	1	HexNAc(2)Hex(6)
Q8C419	5	HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1);HexNAc(4)Hex(6)Fuc(1)NeuAc(1);HexNAc(6)Hex(4);HexNAc(6)Hex(3)
Q8C3Q5	1	HexNAc(2)Hex(5)
Q8C341	6	HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(6)Hex(3);HexNAc(2)Hex(7);HexNAc(8)Hex(5)
Q8C172	5	HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(8);HexNAc(2)Hex(5)Fuc(1)
Q8C165	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8C145	2	HexNAc(2)Hex(5);HexNAc(3)Hex(3)Fuc(1)
Q8C129	16	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(9);HexNAc(2)Hex(7);HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(6);HexNAc(2)Hex(3);HexNAc(2)Hex(2);HexNAc(6)Hex(4);HexNAc(6)Hex(3);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(8);HexNAc(3)Hex(6)Fuc(1);HexNAc(4)Hex(5);HexNAc(3)Hex(5);HexNAc(2)Hex(1)
Q8C0Z1	1	HexNAc(6)Hex(3)
Q8C031	1	HexNAc(2)Hex(5)
Q8BYW9	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8BYU6	1	HexNAc(2)Hex(8)
Q8BYI9	9	HexNAc(2)Hex(8);HexNAc(2)Hex(3)Fuc(1);HexNAc(6)Hex(3);HexNAc(3)Hex(3)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(6)Phospho(1);HexNAc(2)Hex(6)
Q8BYI8	5	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8BYB9	6	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4)
Q8BY89	3	HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4)
Q8BXZ1	10	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(4)Hex(3)Fuc(1);HexNAc(2)Hex(6);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(5);HexNAc(4)Hex(6)Fuc(1)NeuAc(1);HexNAc(3)Hex(6);HexNAc(2)Hex(4)
Q8BXQ2	1	HexNAc(2)Hex(5)
Q8BXJ9	2	HexNAc(2)Hex(6);HexNAc(2)Hex(7)
Q8BXA5	7	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(6)Hex(3)
Q8BXA0-2	3	HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8BW41	4	HexNAc(2)Hex(5);HexNAc(2)Hex(9);HexNAc(6)Hex(3);HexNAc(2)Hex(6)
Q8BU25	1	HexNAc(2)Hex(8)
Q8BTV1	2	HexNAc(6)Hex(3);HexNAc(2)Hex(8)
Q8BTM8	1	HexNAc(2)Hex(5)
Q8BTJ4	5	HexNAc(6)Hex(4);HexNAc(2)Hex(9);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(6)Hex(3);HexNAc(4)Hex(4)Fuc(1)NeuAc(1)
Q8BS35	2	HexNAc(2)Hex(8);HexNAc(2)Hex(6)
Q8BRH0	1	HexNAc(2)Hex(6)
Q8BR86	1	HexNAc(2)Hex(5)
Q8BR76	1	HexNAc(2)Hex(5)
Q8BQ86	2	HexNAc(2)Hex(10);HexNAc(2)Hex(9)
Q8BNA6	2	HexNAc(2)Hex(5);HexNAc(2)Hex(6)
Q8BMI0	1	HexNAc(3)Hex(5)
Q8BME9	2	HexNAc(2)Hex(8);HexNAc(2)Hex(3)Fuc(1)
Q8BM72	4	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(6);HexNAc(2)Hex(7)
Q8BM13	2	HexNAc(2)Hex(5);HexNAc(2)Hex(6)
Q8BLQ9-2	9	HexNAc(4)Hex(4)Fuc(2);HexNAc(2)Hex(5);HexNAc(6)Hex(4)Fuc(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(5)Hex(3)Fuc(1);HexNAc(4)Hex(6)Fuc(2);HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(6);HexNAc(4)Hex(5)Fuc(1)
Q8BLF1	5	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(6)Hex(3);HexNAc(7)Hex(3);HexNAc(2)Hex(6)
Q8BKG3	1	HexNAc(2)Hex(5)
Q8BJS4	3	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(4)
Q8BJI1	3	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(6)
Q8BJD1	3	HexNAc(2)Hex(5);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(6)
Q8BJ83	7	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(2)
Q8BI84	4	HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(7)
Q8BHT6	3	HexNAc(2)Hex(5);HexNAc(2)Hex(6)Phospho(1);HexNAc(2)Hex(6)
Q8BHJ7	6	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(9)
Q8BHE5	1	HexNAc(2)Hex(5)
Q8BHC9	2	HexNAc(2)Hex(9);HexNAc(2)Hex(6)
Q8BHA1	1	HexNAc(2)Hex(9)
Q8BH97	2	HexNAc(2)Hex(5);HexNAc(4)Hex(3)Fuc(1)
Q8BH32-2	1	HexNAc(2)Hex(8)
Q8BH27	2	HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1)
Q8BGY3	3	HexNAc(2)Hex(7);HexNAc(2)Hex(8);HexNAc(2)Hex(6)
Q8BGU2	8	HexNAc(2)Hex(8);HexNAc(5)Hex(3)Fuc(2);HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(7)
Q8BGT0	5	HexNAc(2)Hex(5);HexNAc(2)Hex(6);HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(3)Fuc(1)
Q8BGQ4-2	1	HexNAc(6)Hex(3)
Q8BGN3	5	HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(7)
Q8BGC9	1	HexNAc(6)Hex(3)
Q8BG58	4	HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(8);HexNAc(2)Hex(5)
Q8BG19	4	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6)
Q8BG07	4	HexNAc(3)Hex(6)NeuAc(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4)
Q8BFZ9	2	HexNAc(2)Hex(9);HexNAc(2)Hex(8)
Q8BFW6	3	HexNAc(2)Hex(5);HexNAc(2)Hex(8);HexNAc(6)Hex(3)
Q8BFR4	6	HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(8);HexNAc(2)Hex(4);HexNAc(2)Hex(3)Fuc(1)
Q812C9	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q810U4	30	HexNAc(2)Hex(5);HexNAc(2)Hex(6);HexNAc(6)Hex(3);HexNAc(2)Hex(8);HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(6)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(5)Fuc(1);HexNAc(2)Hex(7);HexNAc(2)Hex(9);HexNAc(3)Hex(5);HexNAc(6)Hex(7);HexNAc(3)Hex(6);HexNAc(2)Hex(2);HexNAc(2)Hex(1);HexNAc(1);HexNAc(4)Hex(4)Fuc(1)NeuAc(1);HexNAc(2);HexNAc(6)Hex(4);HexNAc(3)Hex(5)Fuc(1);HexNAc(6)Hex(5);HexNAc(2)Hex(10);HexNAc(4)Hex(5)Fuc(2);HexNAc(4)Hex(4)Fuc(2);HexNAc(3)Hex(3);HexNAc(7)Hex(4);HexNAc(4)Hex(5)
Q810U3	6	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(6)Hex(3);HexNAc(2)Hex(4)
Q80ZF8	1	HexNAc(2)Hex(5)
Q80ZD8	1	HexNAc(4)Hex(6)Fuc(2)
Q80Z24	7	HexNAc(5)Hex(8)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(7)Hex(8)Fuc(1)NeuAc(1);HexNAc(2)Hex(7);HexNAc(2)Hex(3);HexNAc(2)Hex(1)
Q80Z10	1	HexNAc(2)Hex(8)
Q80YX1	3	HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(4)
Q80YS4	1	HexNAc(2)Hex(5)
Q80X71	6	HexNAc(2)Hex(4);HexNAc(2)Hex(5);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(9);HexNAc(2)Hex(8)
Q80WQ6	1	HexNAc(2)Hex(5)
Q80WM4	2	HexNAc(2)Hex(6)Phospho(1);HexNAc(6)Hex(3)Fuc(1)NeuAc(2)
Q80VX2	4	HexNAc(2)Hex(6);HexNAc(2)Hex(8);HexNAc(2)Hex(5);HexNAc(6)Hex(7)Fuc(3)NeuAc(1)
Q80VP8	3	HexNAc(2)Hex(4);HexNAc(2)Hex(5);HexNAc(2)Hex(7)
Q80VM5	11	HexNAc(2)Hex(5);HexNAc(6)Hex(3);HexNAc(6)Hex(4);HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(4)Hex(6)Fuc(2);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(4);HexNAc(2)Hex(7)
Q80V42	10	HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1);HexNAc(6)Hex(3);HexNAc(3)Hex(4)Fuc(1);HexNAc(2)Hex(8);HexNAc(2)Hex(5)Fuc(1);HexNAc(2)Hex(9)
Q80UG2	12	HexNAc(2);HexNAc(2)Hex(4);HexNAc(2)Hex(5);HexNAc(2)Hex(3);HexNAc(2)Hex(6);HexNAc(2)Hex(8);HexNAc(2)Hex(1);HexNAc(2)Hex(7);HexNAc(2)Hex(9);HexNAc(2)Hex(2);HexNAc(6)Hex(3);HexNAc(8)Hex(5)
Q80TS3-2	9	HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(4);HexNAc(2)Hex(7);HexNAc(2)Hex(3);HexNAc(2)Hex(2)
Q80TS3	1	HexNAc(2)Hex(5)
Q80TR1	4	HexNAc(2)Hex(5);HexNAc(2)Hex(6);HexNAc(5)Hex(5)Fuc(2)NeuAc(1);HexNAc(2)Hex(7)
Q80TF3	3	HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(6)
Q80T79	6	HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(7);HexNAc(2)Hex(4);HexNAc(1)
Q80T41	3	HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1)
Q80T14	1	HexNAc(2)Hex(5)
Q7TT36	2	HexNAc(2)Hex(5);HexNAc(2)Hex(6)
Q7TT15	1	HexNAc(2)Hex(8)
Q7TSK2	1	HexNAc(2)Hex(5)
Q7TQA1	1	HexNAc(2)Hex(5)
Q7TPD3	12	HexNAc(3)Hex(5)Fuc(1);HexNAc(3)Hex(5);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(2);HexNAc(2)Hex(1);HexNAc(2);HexNAc(4)Hex(5);HexNAc(3)Hex(4);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(6)Fuc(1)
Q7TNR6	6	HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(2);HexNAc(2)Hex(1);HexNAc(2)Hex(5);HexNAc(2)Hex(6)
Q7M729	8	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(6)Hex(3);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(2)
Q76M80	1	HexNAc(2)Hex(6)
Q765H6	1	HexNAc(2)Hex(8)
Q75N73	1	HexNAc(4)Hex(4)Fuc(2)
Q71M36	5	HexNAc(2)Hex(3)Fuc(1);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(3)Hex(4)Fuc(2);HexNAc(2)Hex(5)Fuc(1);HexNAc(2)Hex(5)
Q6ZWR6	1	HexNAc(2)Hex(5)
Q6ZQA6	3	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3)
Q6V4S5	4	HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(4);HexNAc(2)Hex(3)
Q6S5C2	2	HexNAc(2)Hex(9);HexNAc(2)Hex(6)
Q6RKD8	1	HexNAc(2)Hex(5)
Q6PIX5	1	HexNAc(2)Hex(5)
Q6PIE5	1	HexNAc(2)Hex(5)
Q6PHU5	6	HexNAc(2)Hex(9);HexNAc(2)Hex(5);HexNAc(2)Hex(7);HexNAc(2)Hex(10);HexNAc(2)Hex(8);HexNAc(7)Hex(3)
Q6PHS9-2	2	HexNAc(2)Hex(6);HexNAc(6)Hex(6)Fuc(2)
Q6PHS9	10	HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(7);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(8);HexNAc(2)Hex(9);HexNAc(3)Hex(5)Fuc(1)NeuAc(1);HexNAc(2)Hex(4);HexNAc(2)Hex(6);HexNAc(2)Hex(10)
Q6PHP6	4	HexNAc(2)Hex(10);HexNAc(2)Hex(5);HexNAc(2)Hex(9);HexNAc(2)Hex(8)
Q6PFV6	1	HexNAc(2)Hex(5)
Q6PFE7-2	1	HexNAc(2)Hex(3)Fuc(1)
Q6PE70	1	HexNAc(2)Hex(5)
Q6PDJ1	1	HexNAc(2)Hex(6)
Q6PDI5	2	HexNAc(2)Hex(4);HexNAc(2)Hex(5)
Q6PD26	5	HexNAc(2)Hex(4);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(8);HexNAc(2)Hex(3)
Q6PCQ6	1	HexNAc(2)Hex(5)
Q6P9K9	3	HexNAc(2)Hex(3)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(3)Hex(5)Fuc(1)
Q6P6J9	5	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(6)Hex(3);HexNAc(2)Hex(6)
Q6P6I8	29	HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(1);HexNAc(2)Hex(3);HexNAc(2)Hex(6);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(3)Hex(5);HexNAc(4)Hex(5);HexNAc(3)Hex(6);HexNAc(2)Hex(7);HexNAc(2)Hex(2);HexNAc(1);HexNAc(4)Hex(6)Fuc(2);HexNAc(4)Hex(6)Fuc(1);HexNAc(3)Hex(6)Fuc(1);HexNAc(2)Hex(4)Fuc(1);HexNAc(2);HexNAc(3)Hex(4);HexNAc(4)Hex(6);HexNAc(2)Hex(5)Fuc(1);HexNAc(3)Hex(6)NeuAc(1);HexNAc(6)Hex(7)Fuc(3)NeuAc(1);HexNAc(6)Hex(7)NeuAc(3);HexNAc(3)Hex(3);HexNAc(8)Hex(5)
Q6P5F7	2	HexNAc(2)Hex(5);HexNAc(4)Hex(5)Fuc(1)
Q6P5F6	8	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(3)Hex(5);HexNAc(2)Hex(5);HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(5)
Q6P5E4	1	HexNAc(2)Hex(5)
Q6P4U0	3	HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q6P1D5	2	HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1)
Q6NZL8	4	HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(7)
Q6NXK8-2	1	HexNAc(6)Hex(5)
Q6NXK7	8	HexNAc(2)Hex(5);HexNAc(2)Hex(2);HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(4);HexNAc(8)Hex(3);HexNAc(4)Hex(5);HexNAc(2)Hex(7)
Q6KAS7	5	HexNAc(2)Hex(5);HexNAc(2)Hex(3);HexNAc(3)Hex(5);HexNAc(2)Hex(7);HexNAc(2)Hex(4)
Q6IMP4	1	HexNAc(2)Hex(5)
Q6GQU6	3	HexNAc(6)Hex(4);HexNAc(2)Hex(8);HexNAc(2)Hex(9)
Q6GQT9	4	HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(9)
Q6GQT6	3	HexNAc(4)Hex(3)Fuc(1);HexNAc(2)Hex(8);HexNAc(2)Hex(7)
Q6DFY8	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q6AXF6	5	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1)
Q6A4J8	2	HexNAc(2)Hex(5);HexNAc(2)Hex(6)
Q69ZU6	10	HexNAc(3)Hex(6)NeuAc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(5)Fuc(1);HexNAc(4)Hex(5)Fuc(1)NeuAc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(6)Fuc(1)NeuAc(1)
Q69ZS6	1	HexNAc(2)Hex(5)
Q69ZQ1	4	HexNAc(2)Hex(5);HexNAc(2)Hex(6);HexNAc(2)Hex(8);HexNAc(2)Hex(7)
Q69ZF7	5	HexNAc(2)Hex(3);HexNAc(2)Hex(4);HexNAc(2)Hex(7);HexNAc(2)Hex(9);HexNAc(2)Hex(8)
Q69Z26	5	HexNAc(2)Hex(5);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(4);HexNAc(5)Hex(3)Fuc(1)NeuAc(1)
Q68FM6	5	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(2);HexNAc(3)Hex(6)Fuc(1);HexNAc(2)Hex(3)
Q68FD9	1	HexNAc(2)Hex(5)
Q68EF4	2	HexNAc(4)Hex(6)Fuc(2);HexNAc(2)Hex(5)
Q66PY1	1	HexNAc(2)Hex(5)
Q64689	5	HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(7);HexNAc(2)Hex(9);HexNAc(2)Hex(8)
Q64687	1	HexNAc(2)Hex(5)
Q64676	10	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(5);HexNAc(4)Hex(6);HexNAc(4)Hex(5);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(4);HexNAc(3)Hex(4);HexNAc(2)Hex(3)
Q64487-10	4	HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4)
Q64487	7	HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(6);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(3)Hex(5)
Q64455	5	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(1);HexNAc(2)Hex(2)
Q64449	3	HexNAc(2)Hex(7);HexNAc(2)Hex(5);HexNAc(2)Hex(6)
Q64444	4	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q64299	3	HexNAc(6)Hex(3);HexNAc(2)Hex(8);HexNAc(2)Hex(7)
Q64237	1	HexNAc(2)Hex(7)
Q640R3	19	HexNAc(4)Hex(6)Fuc(1)NeuAc(1);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(4)Hex(4)Fuc(1)NeuAc(1);HexNAc(3)Hex(6)NeuAc(1);HexNAc(3)Hex(6)Fuc(1);HexNAc(4)Hex(6)Fuc(2);HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(3)Hex(5)Fuc(1);HexNAc(3)Hex(4)Fuc(2);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3)Fuc(1);HexNAc(4)Hex(4)Fuc(2);HexNAc(3)Hex(5)
Q63953	1	HexNAc(4)Hex(5)Fuc(1)
Q63912	16	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(4)Hex(6)Fuc(2);HexNAc(4)Hex(6);HexNAc(3)Hex(6);HexNAc(2)Hex(6);HexNAc(3)Hex(5)Fuc(1);HexNAc(3)Hex(5);HexNAc(2)Hex(5)Fuc(1);HexNAc(4)Hex(5);HexNAc(2)
Q62470-2	6	HexNAc(2)Hex(6);HexNAc(2)Hex(7);HexNAc(2)Hex(5);HexNAc(2)Hex(8);HexNAc(6)Hex(3);HexNAc(2)Hex(9)
Q62470	1	HexNAc(2)Hex(7)
Q62469	1	HexNAc(2)Hex(5)
Q62443	11	HexNAc(4)Hex(5)Fuc(1);HexNAc(2)Hex(8);HexNAc(5)Hex(3)Fuc(1);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(5);HexNAc(4)Hex(4)Fuc(1)NeuAc(1);HexNAc(2)Hex(9);HexNAc(4)Hex(4)Fuc(2);HexNAc(4)Hex(3)Fuc(1)
Q62351	3	HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(7)
Q62313	1	HexNAc(2)Hex(8)
Q62192	1	HexNAc(2)Hex(9)
Q62179	2	HexNAc(2)Hex(6);HexNAc(2)Hex(3)Fuc(1)
