Node	Glycan	Gly.clu
45	HexNAc(7)Hex(8)Fuc(1)NeuAc(1)	Sialylated
46	HexNAc(3)Hex(3)	Complex/Hybrid
47	HexNAc(3)Hex(4)	Complex/Hybrid
48	HexNAc(3)Hex(5)	Complex/Hybrid
49	HexNAc(3)Hex(6)	Complex/Hybrid
50	HexNAc(4)Hex(3)	Complex/Hybrid
51	HexNAc(4)Hex(4)	Complex/Hybrid
52	HexNAc(4)Hex(5)	Complex/Hybrid
53	HexNAc(4)Hex(6)	Complex/Hybrid
54	HexNAc(4)Hex(7)	Complex/Hybrid
55	HexNAc(5)Hex(3)	Complex/Hybrid
56	HexNAc(5)Hex(4)	Complex/Hybrid
57	HexNAc(5)Hex(6)	Complex/Hybrid
58	HexNAc(5)Hex(8)	Complex/Hybrid
59	HexNAc(6)Hex(3)	Complex/Hybrid
60	HexNAc(6)Hex(4)	Complex/Hybrid
61	HexNAc(6)Hex(5)	Complex/Hybrid
62	HexNAc(6)Hex(7)	Complex/Hybrid
63	HexNAc(6)Hex(9)	Complex/Hybrid
64	HexNAc(7)Hex(3)	Complex/Hybrid
65	HexNAc(7)Hex(4)	Complex/Hybrid
66	HexNAc(7)Hex(6)	Complex/Hybrid
67	HexNAc(8)Hex(3)	Complex/Hybrid
68	HexNAc(8)Hex(4)	Complex/Hybrid
69	HexNAc(8)Hex(5)	Complex/Hybrid
70	HexNAc(8)Hex(8)	Complex/Hybrid
71	HexNAc(9)Hex(10)	Complex/Hybrid
72	HexNAc(9)Hex(3)	Complex/Hybrid
73	HexNAc(9)Hex(6)	Complex/Hybrid
74	HexNAc(2)Hex(4)Fuc(1)	Fucosylated
75	HexNAc(2)Hex(5)Fuc(1)	Fucosylated
76	HexNAc(2)Hex(6)Fuc(1)	Fucosylated
77	HexNAc(3)Hex(3)Fuc(1)	Fucosylated
78	HexNAc(3)Hex(4)Fuc(1)	Fucosylated
79	HexNAc(3)Hex(4)Fuc(2)	Fucosylated
80	HexNAc(3)Hex(5)Fuc(1)	Fucosylated
81	HexNAc(3)Hex(6)Fuc(1)	Fucosylated
82	HexNAc(4)Hex(3)Fuc(1)	Fucosylated
83	HexNAc(4)Hex(4)Fuc(1)	Fucosylated
84	HexNAc(4)Hex(4)Fuc(2)	Fucosylated
85	HexNAc(4)Hex(5)Fuc(1)	Fucosylated
86	HexNAc(4)Hex(5)Fuc(2)	Fucosylated
87	HexNAc(4)Hex(6)Fuc(1)	Fucosylated
88	HexNAc(4)Hex(6)Fuc(2)	Fucosylated
89	HexNAc(4)Hex(7)Fuc(1)	Fucosylated
90	HexNAc(5)Hex(3)Fuc(1)	Fucosylated
91	HexNAc(5)Hex(3)Fuc(2)	Fucosylated
92	HexNAc(5)Hex(4)Fuc(1)	Fucosylated
93	HexNAc(5)Hex(4)Fuc(2)	Fucosylated
94	HexNAc(5)Hex(5)Fuc(1)	Fucosylated
95	HexNAc(5)Hex(6)Fuc(4)	Fucosylated
96	HexNAc(5)Hex(8)Fuc(1)	Fucosylated
97	HexNAc(6)Hex(4)Fuc(1)	Fucosylated
98	HexNAc(6)Hex(4)Fuc(2)	Fucosylated
99	HexNAc(6)Hex(6)Fuc(2)	Fucosylated
100	HexNAc(6)Hex(7)Fuc(3)	Fucosylated
101	HexNAc(7)Hex(3)Fuc(1)	Fucosylated
102	HexNAc(7)Hex(7)Fuc(1)	Fucosylated
103	HexNAc(8)Hex(5)Fuc(1)	Fucosylated
104	HexNAc(8)Hex(9)Fuc(1)	Fucosylated
105	HexNAc(9)Hex(3)Fuc(1)	Fucosylated
106	HexNAc(9)Hex(6)Fuc(1)	Fucosylated
107	HexNAc(9)Hex(9)Fuc(1)	Fucosylated
108	HexNAc(2)Hex(12)	High Mannose
109	HexNAc(2)Hex(11)	High Mannose
110	HexNAc(2)Hex(10)	High Mannose
111	HexNAc(2)Hex(9)	High Mannose
112	HexNAc(2)Hex(8)	High Mannose
113	HexNAc(2)Hex(7)	High Mannose
114	HexNAc(2)Hex(6)	High Mannose
115	HexNAc(2)Hex(5)	High Mannose
116	HexNAc(2)Hex(4)	High Mannose
117	HexNAc(2)Hex(6)Phospho(1)	High Mannose
