module X TPM_BALB_notx_rep1 TPM_BALB_notx_rep2 TPM_BALB_KLA_rep1 TPM_BALB_KLA_rep2 TPM_C57_notx_rep1 TPM_C57_notx_rep2 TPM_C57_KLA_rep1 TPM_C57_KLA_rep2 TPM_NOD_notx_rep1 TPM_NOD_notx_rep2 TPM_NOD_KLA_rep1 TPM_NOD_KLA_rep2 TPM_PWK_notx_rep1 TPM_PWK_notx_rep2 TPM_PWK_KLA_rep1 TPM_PWK_KLA_rep2 TPM_SPRET_notx_rep1 TPM_SPRET_notx_rep2 TPM_SPRET_KLA_rep1 TPM_SPRET_KLA_rep2
turquoise NM_010106 2246.403 2800.08 2159.732 2570.316 2985.532 3635.329 2716.738 3109.482 2933.037 2976.407 2843.572 3091.498 3656.545 3421.222 3335.19 3243.978 1971.644 1636.788 1740.163 1392.39
turquoise NM_007907 2680.737 2888.432 2196.923 2474.195 2946.857 2956.163 2520.092 2558.451 2315.433 2340.656 2190.923 2285.415 3534.909 3217.803 3050.831 2874.815 3697.784 4097.999 3176.918 3401.395
turquoise NM_008302 952.671 1223.138 801.427 1070.987 1299.719 1418.053 1187.016 1233.549 1384.1 1336.17 1385.019 1299.763 1405.535 1673.922 1288.232 1547.098 1774.99 1787.827 1510.81 1488.847
turquoise NM_010740 1142.714 1412.645 1064.838 1273.79 1025.108 1237.8 963.953 1082.443 1005.341 942.195 1046.494 999.736 1152.621 657.146 1376.63 635.249 1622.767 1953.539 1486.939 1626.373
turquoise NM_010185 907.213 975.641 802.852 793.034 908.651 995.168 754.434 861.08 1093.886 1040.508 983.712 971.496 916.103 945.551 739.353 861.837 567.282 676.896 469.491 536.868
turquoise NM_033617 999.451 980.954 1006.8 932.456 889.498 928.57 797.212 871.662 850.202 900.852 769.814 821.407 927.408 1160.718 804.111 1019.224 1364.299 1124.823 1177.013 1099.747
turquoise NM_030694 820.937 935.674 776.488 763.467 747.737 904.754 658.175 762.974 1142.358 1173.247 969.815 995.256 724.542 482.93 687.235 448.614 177.925 269.188 161.757 211.495
turquoise NR_038063 961.659 556.998 815.826 457.555 946.133 627.889 916.387 590.03 776.084 1012.329 736.236 674.687 881.08 614.589 641.45 657.025 357.017 345.897 409.716 251.894
turquoise NM_008211 689.308 730.767 875.024 1241.967 728.054 811.66 872.754 1194.909 611.718 700.8 765.38 760.132 655.623 665.681 1030.363 1121.241 484.158 525.486 443.235 622.37
turquoise NM_013706 503.583 439.639 477.98 404.699 730.907 792.961 669.337 718.332 404.119 620.501 339.542 525.573 1053.99 638.613 850.078 583.061 2035.511 1761.123 1625.742 1497.189
turquoise NM_007806 726.672 729.667 670.78 678.548 640.558 634.764 588.751 561.342 556.194 594.527 517.487 522.734 874.053 899.016 690.078 804.896 888.417 925.736 797.464 843.586
turquoise NM_007505 602.03 645.527 539.287 563.671 603.429 600.867 531.768 529.476 563.998 556.907 502.903 508.929 485.374 477.603 452.777 436.177 836.947 777.685 746.976 694.399
turquoise NM_016921 694.389 741.376 611.866 719.422 581.362 617.922 512.17 568.13 590.259 533.619 533.005 514.935 779.762 709.721 668.364 636.45 810.202 710.936 679.229 662.956
turquoise NM_018796 509.735 426.072 425.453 364.778 502.53 471.319 426.358 414.014 411.371 504.387 404.742 461.996 566.984 558.516 458.965 508.021 730.714 592.743 605.197 541.665
