,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_130863,122.732,107.071,100.7,97.419,138.766,125.691,131.943,117.503,139.625,144.627,131.719,137.453,105.414,89.551,91.885,86.945,97.674,92.112,91.913,84.307
NM_133655,84.752,55.639,71.65,45.942,133.546,125.437,112.655,111.523,107.709,118.683,99.594,112.185,38.115,39.422,32.948,33.158,28.911,50.233,25.685,39.615
NM_001313986,108.04,108.939,82.939,80.6,119.921,130.721,85.234,103.562,116.067,99.473,79.461,72.911,84.305,72.083,55.816,63.402,58.96,69.991,44.395,54.959
NM_009663,96.798,93.282,83.497,82.278,121.039,128.874,99.502,105.163,95.889,90.83,82.624,78.189,65.353,43.373,52.714,37.967,53.908,59.698,42.002,46.817
NM_178647,86.919,117.556,100.63,118.896,100.358,142.369,112.927,133.808,127.765,122.743,135.061,131.151,136.106,157.98,170.833,164.116,168.1,200.099,217.751,239.134
NR_028142,104.97,140.543,89.669,123.434,110.091,131.598,101.014,101.551,83.567,66.59,67.389,69.883,309.586,371.679,255.351,317.227,315.358,363.267,258.467,283.398
NM_026933,100.776,126.501,71.512,76.911,118.11,121.862,65.491,76.196,125.352,98.757,81.986,91.486,84.023,82.003,47.889,52.265,67.737,71.096,51.714,48.347
NM_001185182,109.469,96.147,92.64,64.956,124.497,112.535,113.097,83.08,107.93,126.468,86.401,124.79,85.152,101.896,79.523,90.957,96.826,73.574,90.199,53.692
NM_172134,106.381,137.266,79.369,118.92,110.673,124.59,76.97,100.182,145.478,109.182,107.218,91.77,56.531,57.599,44.942,45.521,31.831,30.129,24.997,26.16
NR_015476,166.888,116.054,125.83,107.697,124.133,110.92,98.595,80.612,114.627,169.844,102.926,130.851,125.813,112.565,91.741,90.875,95.201,71.324,61.144,43.259
NM_001083880,119.97,121.94,92.123,100.866,104.425,129.402,92.639,98.369,93.942,101.108,68.158,79.442,74.716,75.254,48.694,51.695,48.446,65.958,42.243,55.605
NR_110571,146.339,108.952,129.056,111.384,123.123,110.427,118.356,111.593,117.867,141.22,105.587,130.5,86.926,76.124,89.009,75.942,94.511,97.577,87.275,108.36
