gene,raw.importance,rel.importance
KRT15,0.0176100628930818,1
DNAJB2,0.00691823899371069,0.392857142857143
AL031777.1,0.00641509433962262,0.364285714285713
IGFBP3,0.00553459119496846,0.314285714285709
NCLP1,0.0050314465408805,0.285714285714286
LANCL3,0.0049056603773584,0.278571428571424
URGCP-MRPS24,0.00427672955974834,0.242857142857138
AC034213.1,0.00377358490566038,0.214285714285714
GJA3,0.0032704402515723,0.185714285714284
FOXH1,0.00314465408805031,0.178571428571429
MIR574,0.00314465408805031,0.178571428571429
RABGGTA,0.00289308176100622,0.164285714285711
AC010973.2,0.00264150943396224,0.149999999999999
AC128689.1,0.00226415094339616,0.128571428571425
MIR103A2,0.00213836477987417,0.121428571428569
ELK2BP,0.00213836477987417,0.121428571428569
LINC00261,0.00213836477987417,0.121428571428569
GRN,0.00188679245283019,0.107142857142857
EVA1B,0.00188679245283019,0.107142857142857
LINC01507,0.00188679245283019,0.107142857142857
AL158847.1,0.00188679245283019,0.107142857142857
DLX1,0.00176100628930809,0.099999999999995
GABRD,0.00176100628930809,0.099999999999995
KHDC1L,0.00176100628930809,0.099999999999995
TIMP1,0.0016352201257861,0.0928571428571391
NPM1P25,0.0016352201257861,0.0928571428571391
NARF,0.00150943396226411,0.0857142857142832
AC116614.1,0.00150943396226411,0.0857142857142832
LINC02303,0.00150943396226411,0.0857142857142832
NECAB3,0.00138364779874212,0.0785714285714273
MIR210,0.00138364779874212,0.0785714285714273
PPARGC1A,0.00125786163522013,0.0714285714285714
CCKBR,0.00125786163522013,0.0714285714285714
NMRAL2P,0.00125786163522013,0.0714285714285714
AC113367.2,0.00125786163522013,0.0714285714285714
AC093668.1,0.00125786163522013,0.0714285714285714
HPCAL1,0.00113207547169802,0.0642857142857092
LAMP5,0.00113207547169802,0.0642857142857092
JAG2,0.00113207547169802,0.0642857142857092
CRYBA4,0.00113207547169802,0.0642857142857092
PADI1,0.00100628930817603,0.0571428571428534
CDC42SE2,0.00100628930817603,0.0571428571428534
MAGEA1,0.00100628930817603,0.0571428571428534
ANKRD30BP3,0.00100628930817603,0.0571428571428534
TMEM250,0.00100628930817603,0.0571428571428534
AC106886.1,0.00100628930817603,0.0571428571428534
AC069148.1,0.00100628930817603,0.0571428571428534
SLC30A9,0.000880503144654043,0.0499999999999975
TMEM101,0.000880503144654043,0.0499999999999975
PHF1,0.000880503144654043,0.0499999999999975
KCP,0.000880503144654043,0.0499999999999975
DYNC1I1,0.000880503144654043,0.0499999999999975
MAGEA12,0.000880503144654043,0.0499999999999975
AL133467.2,0.000880503144654043,0.0499999999999975
AL161752.1,0.000880503144654043,0.0499999999999975
AL512324.3,0.000880503144654043,0.0499999999999975
IFIT5,0.000754716981132053,0.0428571428571416
RAB3IL1,0.000754716981132053,0.0428571428571416
TPRXL,0.000754716981132053,0.0428571428571416
MIR503HG,0.000754716981132053,0.0428571428571416
AC004951.2,0.000754716981132053,0.0428571428571416
BGLAP,0.000754716981132053,0.0428571428571416
AC005841.1,0.000754716981132053,0.0428571428571416
AL049870.2,0.000754716981132053,0.0428571428571416
TTC21A,0.000628930817610063,0.0357142857142857
ITLN1,0.000628930817610063,0.0357142857142857
LINC02474,0.000628930817610063,0.0357142857142857
AC093157.1,0.000628930817610063,0.0357142857142857
AL365356.5,0.000628930817610063,0.0357142857142857
AC132812.1,0.000628930817610063,0.0357142857142857
IKBKGP1,0.000628930817610063,0.0357142857142857
MIR6846,0.000628930817610063,0.0357142857142857
MMAA,0.000503144654087961,0.0285714285714235
TRAPPC8,0.000503144654087961,0.0285714285714235
KRT4,0.000503144654087961,0.0285714285714235
SOCS6,0.000503144654087961,0.0285714285714235
C22ORF34,0.000503144654087961,0.0285714285714235
S1PR3,0.000503144654087961,0.0285714285714235
AL358394.1,0.000503144654087961,0.0285714285714235
SAPCD2P3,0.000503144654087961,0.0285714285714235
TMSB4XP1,0.000503144654087961,0.0285714285714235
AC010997.4,0.000503144654087961,0.0285714285714235
AP006621.5,0.000503144654087961,0.0285714285714235
GPC1,0.000377358490565971,0.0214285714285676
TXNL1,0.000377358490565971,0.0214285714285676
FSD1,0.000377358490565971,0.0214285714285676
CCR6,0.000377358490565971,0.0214285714285676
RTL8C,0.000377358490565971,0.0214285714285676
RNF138,0.000377358490565971,0.0214285714285676
TRPM2,0.000377358490565971,0.0214285714285676
B4GALT3,0.000377358490565971,0.0214285714285676
GJB7,0.000377358490565971,0.0214285714285676
FASTK,0.000377358490565971,0.0214285714285676
SEPT5,0.000377358490565971,0.0214285714285676
CCDC151,0.000377358490565971,0.0214285714285676
TMEM213,0.000377358490565971,0.0214285714285676
ZBTB46-AS1,0.000377358490565971,0.0214285714285676
LINC00899,0.000377358490565971,0.0214285714285676
LINC01143,0.000377358490565971,0.0214285714285676
AC004951.3,0.000377358490565971,0.0214285714285676
PGAM5P1,0.000377358490565971,0.0214285714285676
AC017100.1,0.000377358490565971,0.0214285714285676
AL133367.1,0.000377358490565971,0.0214285714285676
AC126696.3,0.000377358490565971,0.0214285714285676
LINC01989,0.000377358490565971,0.0214285714285676
AC009097.4,0.000377358490565971,0.0214285714285676
MAN1B1-AS1,0.000377358490565971,0.0214285714285676
AL512324.1,0.000377358490565971,0.0214285714285676
AC003101.2,0.000377358490565971,0.0214285714285676
ATP6AP1,0.000251572327043981,0.0142857142857118
C3ORF18,0.000251572327043981,0.0142857142857118
BLNK,0.000251572327043981,0.0142857142857118
HDAC10,0.000251572327043981,0.0142857142857118
CLEC11A,0.000251572327043981,0.0142857142857118
