Regulator	Target	MI
4299	55322	0.3967237040867122
4299	55320	0.46694640345587857
4299	10658	0.5279842337123988
4299	147429	0.16713778189328732
4299	29028	0.3619197010444699
4299	343990	0.22465699273267958
4299	27098	0.2206461536021278
4299	1	0.2504009567994361
4299	805	0.2616190855682978
4299	10423	0.4002134435960576
4299	55102	0.7849653014898275
4299	56676	0.24709604127100615
4299	56672	0.22211140497790804
4299	56673	0.1921444777371315
4299	54014	0.33779155490391766
4299	55109	0.45739816809599976
4299	767846	0.28175055370610913
4299	246184	0.3003486610723787
4299	387103	0.3240522422701293
4299	92747	0.33017706297008154
4299	829	0.22709548718189154
4299	91452	0.47091059242955513
4299	134553	0.5228809006307644
4299	161931	0.37500876702722685
4299	221927	0.5292443053976275
4299	1020	0.39407459695839364
4299	116969	0.18544880656586216
4299	203259	0.18593586555138675
4299	79575	0.4021395150948619
4299	80325	0.37416857367670886
4299	832	0.3542465542677382
4299	835	0.1824656691537383
4299	836	0.21771588671813547
4299	64073	0.17500660833347936
4299	339210	0.19449003460150482
4299	339453	0.3098633484826703
4299	842	0.21262610564865447
4299	1040	0.21653405304819096
4299	83605	0.5043921678490078
4299	389337	0.16657096563773344
4299	617	0.3615855850576599
4299	121053	0.4164832029268446
4299	1051	0.31064649545475564
4299	10845	0.5338841795903608
4299	126731	0.30541609161562544
4299	8913	0.16702212255055038
4299	868	0.4042013986606907
4299	157695	0.2062449474315633
4299	64430	0.3774634474417242
4299	64431	0.20385680240836468
4299	1066	0.16722688718040413
4299	10018	0.3591063998885149
4299	873	0.24778077377245022
4299	636	0.41002060577547095
4299	128989	0.4091302455425865
4299	84270	0.5679096545133682
4299	64682	0.6894729071184269
4299	54882	0.4396833621829854
4299	1069	0.27949415290073354
4299	402	0.45198453777755354
4299	644	0.32452529404387587
4299	51134	0.3262737537452107
4299	645	0.349045600569184
4299	128977	0.21523263171829843
4299	153733	0.22705509156233905
4299	115416	0.37801095253298644
4299	51142	0.4042735703365512
4299	55501	0.5993662917050973
4299	23780	0.29994048482391467
4299	8945	0.247474496951952
4299	8702	0.14681786184544787
4299	8707	0.1588515273109916
4299	199920	0.14553454436365332
4299	55749	0.3892380443608232
4299	284029	0.2814774095231627
4299	1089	0.17029855087064583
4299	3267	0.35754605568171716
4299	79701	0.37540987921027824
4299	10485	0.15613525296239583
4299	11332	0.4308123477586161
4299	10005	0.35878058818174363
4299	129880	0.1443032420645034
4299	84081	0.46821095914644584
4299	6310	0.28363232514430425
4299	266675	0.2867577434842623
4299	116328	0.15140816777189592
4299	23523	0.2615013598897429
4299	672	0.26498398587899796
4299	675	0.38956595845702413
4299	23774	0.45899870752734273
4299	6314	0.5649287357514261
4299	196883	0.1719031378876137
4299	126353	0.2613536347362464
4299	215	0.40477362646461046
4299	216	0.23953341203191325
4299	54454	0.48408414887250384
4299	92714	0.39925308573201335
4299	10435	0.19303457761209053
4299	55791	0.2675330294940981
4299	56882	0.19214621877491478
4299	226	0.36662684392974043
4299	57730	0.3014889259954989
4299	9607	0.1502560244395168
4299	389084	0.499242864549152
4299	472	0.4980335807709988
4299	478	0.16503297446300014
4299	84446	0.15357769901759077
