""	"Signature.1"	"Signature.2"	"Signature.3"	"Signature.4"	"Signature.5"	"Signature.6"	"Signature.7"	"Signature.8"	"Signature.9"	"Signature.10"	"Signature.11"	"Signature.12"	"Signature.13"	"Signature.14"	"Signature.15"	"Signature.16"	"Signature.17"	"Signature.18"	"Signature.19"	"Signature.20"	"Signature.21"	"Signature.22"	"Signature.23"	"Signature.24"	"Signature.25"	"Signature.26"	"Signature.27"	"Signature.28"	"Signature.29"	"Signature.30"	"unknown"
"TCGA-2F-A9KO-01"	0	0.355781105186455	0	0	0	0	0	0.0637127171211841	0	0	0	0	0.50615298693225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074353190760111
"TCGA-2F-A9KP-01"	0.0943761150834676	0.337289928930141	0	0	0	0	0	0	0	0	0	0	0.178319957875642	0	0	0.339030151094604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0509838470161459
"TCGA-2F-A9KQ-01"	0.15995447027351	0.119901015955426	0	0	0	0	0	0	0	0	0	0	0.154520877133285	0	0	0.482857175637392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0827664610003869
"TCGA-2F-A9KR-01"	0	0.422228499406058	0	0	0.142548081523021	0	0	0	0	0	0	0	0.300071763859676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135151655211245
"TCGA-2F-A9KT-01"	0	0.357324492502509	0	0	0.0939183524905676	0	0	0	0	0	0	0	0.469762298324719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0789948566822044
"TCGA-2F-A9KW-01"	0.083484059278351	0.15029547927121	0	0	0	0	0.115543660860661	0.245401774587491	0	0	0.0637676616947234	0	0.175700042136567	0	0	0	0.0661043654744121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997029566965844
"TCGA-4Z-AA7M-01"	0	0.357685667519641	0	0	0.151120362913434	0	0	0	0	0	0	0	0.426005512485259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065188457081666
"TCGA-4Z-AA7O-01"	0.089556512953919	0.21011121186683	0	0	0	0	0	0	0	0	0	0	0.318365865758852	0	0	0	0	0	0	0	0	0	0	0	0	0.0765676710942768	0	0	0	0.141533203882247	0.163865534443876
"TCGA-4Z-AA7Q-01"	0	0.126643354287975	0	0	0	0	0	0	0	0	0	0	0.59264147815042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0950391790545512	0.185675988507054
"TCGA-4Z-AA7R-01"	0	0.347020595452395	0	0	0.192309200712157	0	0	0	0	0	0	0	0.393077276280143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0675929275553047
"TCGA-4Z-AA7S-01"	0.442710162839114	0.0876927061446957	0	0	0	0	0	0.298900265996416	0	0	0	0	0	0	0	0	0	0.116253251744988	0	0	0	0	0	0	0	0	0	0	0	0	0.0544436132747871
"TCGA-4Z-AA7W-01"	0	0.294318299464854	0	0	0.134890328621794	0	0	0	0	0	0	0	0.559599666057219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111917058561326
"TCGA-4Z-AA7Y-01"	0	0.467956317860358	0	0	0	0	0	0	0	0	0	0	0.34076618576057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123449931215137	0.0678275651639346
"TCGA-4Z-AA80-01"	0.0668704208140846	0.314633281585155	0	0	0	0	0	0	0	0	0	0	0.316113387563893	0	0	0.126724582521632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175658327515236
"TCGA-4Z-AA81-01"	0	0.474959198050137	0	0	0	0	0	0.0798949020557658	0	0.0615466112996883	0	0	0.33588832265213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0477109659422797
"TCGA-4Z-AA82-01"	0.159810495701297	0.240976922522207	0.214376838075094	0	0	0	0	0	0	0	0	0	0.18807345384644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0607099915964203	0	0.136052298258541
"TCGA-4Z-AA83-01"	0.190225803539315	0.268692329293812	0	0	0.2040015180436	0	0	0	0	0	0	0	0.186514055974003	0	0	0.0792923542171255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071273938932144
"TCGA-4Z-AA84-01"	0	0.540231829904208	0	0	0	0	0	0	0	0	0	0	0	0	0	0.407573505298849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0521946647969422
"TCGA-4Z-AA86-01"	0	0.306294635916289	0	0	0.107689377334371	0	0	0	0	0	0	0	0.463353537634872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122662449114469
"TCGA-4Z-AA89-01"	0.0744472278076227	0.297284168978566	0	0	0	0	0	0	0	0	0	0	0.462104212304193	0	0	0.0604959817329214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105668409176697
"TCGA-5N-A9KI-01"	0.0628550489964861	0.344769659605221	0	0	0	0	0.10815984845132	0	0	0	0	0	0.163974117986256	0	0	0.134778425808742	0	0	0	0	0	0	0	0	0	0.0737286929324075	0	0	0	0.0610442199260702	0.0506899862934977
"TCGA-5N-A9KM-01"	0	0.0813382868607933	0	0	0	0	0	0	0	0	0	0	0	0	0	0.618033878160216	0	0	0	0	0	0	0.100388882624114	0	0	0.145276629357744	0	0	0	0	0.054962322997133
"TCGA-BL-A0C8-01"	0.132666480090599	0.143236856970919	0	0	0	0	0	0	0	0	0	0	0.248910167055862	0	0	0.259075401632805	0	0	0	0	0	0	0	0	0	0.10630005354353	0	0	0	0	0.109811040706285
"TCGA-BL-A13I-01"	0	0.153514668343072	0.136980401621815	0	0	0	0.0773306422223268	0	0	0	0	0	0.377771548509286	0	0	0	0	0	0	0	0	0	0	0	0	0.0662182329911476	0	0.0739661260121586	0	0	0.114218380300194
"TCGA-BL-A13J-01"	0.179009839641369	0.133627633287894	0	0	0	0	0	0	0	0	0	0	0.342493606768592	0	0	0.110551396087064	0	0	0	0	0	0	0	0	0	0.0738370591298529	0	0	0	0	0.160480465085229
"TCGA-BL-A3JM-01"	0	0.267550894588339	0.163268197682915	0	0	0	0	0	0	0	0.0765342391785962	0	0.240630537293792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252016131256357
"TCGA-BL-A5ZZ-01"	0.122772978035636	0.252864017551523	0	0	0	0	0	0	0	0	0.0641265672149145	0	0.158340539080399	0	0	0.369061272095628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0328346260218995
"TCGA-BT-A0S7-01"	0.0796771248288549	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125504295690081	0.755428459998265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393901194827994
"TCGA-BT-A0YX-01"	0	0.447442877767538	0	0	0	0	0	0	0	0	0	0	0.514523047866524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0380340743659373
"TCGA-BT-A20J-01"	0	0.360485794094331	0	0	0	0	0.0974064467648996	0	0	0	0	0	0.479451438899932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0626563202408372
"TCGA-BT-A20N-01"	0	0.141361318721495	0.176764618827535	0.0610733306136401	0	0	0	0	0	0	0	0	0.156359042446096	0	0	0.307388896674486	0	0	0	0	0	0	0	0.119265699123632	0	0	0	0	0	0	0.0377870935931151
"TCGA-BT-A20O-01"	0	0.247514185071447	0.0962463939480264	0	0	0	0	0	0	0	0.0777724461382756	0	0.147093497326984	0	0	0.313744489544258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117628987971009
"TCGA-BT-A20P-01"	0.11234300544498	0	0	0.0883355706818821	0.118402561014758	0	0	0	0	0.0715391845799629	0	0	0.550567945286497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0588117329919198
"TCGA-BT-A20Q-01"	0.100365062193656	0.260220133844609	0	0	0	0	0	0	0	0.0718629356172158	0	0	0.384225758433561	0	0	0	0	0	0	0	0	0	0	0	0	0.163732491885582	0	0	0	0	0.0195936180253761
"TCGA-BT-A20R-01"	0.0875301770018505	0.322519579716127	0	0	0	0	0	0	0	0	0	0	0.525376414112949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0645738291690739
"TCGA-BT-A20T-01"	0	0.476888185376142	0	0	0.140123931437681	0	0	0	0	0	0	0	0.314242812050955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0687450711352222
"TCGA-BT-A20U-01"	0.102622448950904	0.33334407056601	0	0	0	0	0	0	0	0	0	0	0.513628873967323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0504046065157633
"TCGA-BT-A20V-01"	0.124086147187425	0.123827613847616	0	0	0.323669144884881	0	0	0	0	0.0685398243865135	0	0	0.157539379583081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202337890110483
"TCGA-BT-A20W-01"	0	0	0.363335784709287	0	0	0.130795743678739	0.0985177718395943	0	0	0	0	0	0.232567428947097	0	0	0	0.0868820421236246	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0879012287016574
"TCGA-BT-A20X-01"	0	0	0	0	0	0	0	0	0	0	0	0	0.092362579385465	0.0829313505376501	0	0.533637004341228	0	0.156445938715382	0	0	0	0	0	0	0	0	0	0	0.0624776514461049	0	0.0721454755741704
"TCGA-BT-A2LA-01"	0.342697768958734	0.318178688423239	0	0	0	0	0	0	0	0	0	0	0.196394677909951	0	0	0.0639305081099067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0787983565981691
"TCGA-BT-A2LB-01"	0	0.439433808182232	0	0	0	0	0	0	0	0	0	0.191709414915296	0	0	0	0.259291625372234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109565151530237
"TCGA-BT-A2LD-01"	0.252597316451943	0.19500644042241	0	0	0	0	0	0	0	0	0.0670928516565288	0	0.10961694821475	0	0	0	0	0	0	0	0	0	0	0	0	0.159546758320486	0	0	0	0.120378686144283	0.0957609987895991
"TCGA-BT-A3PH-01"	0	0.312633479621908	0	0	0	0	0	0	0	0	0	0	0.603031291687588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0843352286905032
"TCGA-BT-A3PJ-01"	0	0.391937351587617	0	0	0	0	0	0	0	0	0	0.0706943997686988	0.22082323527282	0	0	0.116723679413119	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0989123409544824	0.100908993003263
"TCGA-BT-A3PK-01"	0	0.138383341967808	0	0	0	0	0	0	0	0	0	0.0656028181070477	0.191254558539518	0	0	0.462603033195174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142156248190452
"TCGA-BT-A42B-01"	0.302467974078557	0.102769238409991	0	0	0.289377140560953	0	0.102735277030795	0	0	0	0	0	0	0	0	0	0	0	0	0.067979483620513	0.0761017861648412	0	0	0	0	0	0	0	0	0	0.0585691001343491
"TCGA-BT-A42C-01"	0	0.183943714741975	0.331211236585525	0	0	0	0	0	0	0	0	0	0.219091239753898	0	0	0.129176496823472	0	0	0.0828821095566584	0	0	0	0	0	0	0	0	0	0	0	0.0536952025384714
"TCGA-BT-A42E-01"	0.087798741319159	0.299286538713329	0	0	0	0	0	0	0	0	0	0	0.451497846353859	0	0	0	0	0	0	0	0	0	0	0	0	0.0683937442431184	0	0	0	0	0.0930231293705351
"TCGA-BT-A42F-01"	0	0.381496780344674	0	0	0	0	0	0	0	0	0	0.0981244069418199	0.457161238422828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0632175742906783
"TCGA-C4-A0EZ-01"	0.136583520423346	0.222588978123728	0	0	0	0	0	0	0	0	0	0.109670940899668	0.190703933752935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271866531761054	0.0685860950392694
"TCGA-C4-A0F0-01"	0.113781914233781	0.0773639727486732	0	0	0.412996532280204	0	0	0	0	0	0	0.0908006882312194	0.125438406075434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179618486430688
"TCGA-C4-A0F6-01"	0.0628745820759126	0.12152806640673	0	0	0	0	0.0675777257283917	0	0	0	0	0	0.531654167446771	0	0	0.161212854882536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0551526034596582
"TCGA-CF-A1HR-01"	0	0.324449958372077	0	0	0	0	0	0	0	0	0	0	0.439601448814767	0	0	0.151153924390102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0847946684230538
"TCGA-CF-A1HS-01"	0	0.0743010025589101	0	0	0.291796015734432	0	0	0	0	0	0	0	0.528936880116664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104966101589994
"TCGA-CF-A27C-01"	0	0.366357282184283	0	0	0.0903438129644749	0	0	0	0	0	0	0	0.462139374546602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0811595303046404
"TCGA-CF-A3MF-01"	0.4296572006681	0.165687654662897	0	0	0	0	0	0	0	0	0	0.175554232840185	0	0	0	0	0	0	0.12441385200181	0	0	0	0	0.104687042250545	0	0	0	0	0	0	1.75764622856178e-08
"TCGA-CF-A3MG-01"	0	0.291693272058094	0	0	0	0	0	0	0	0	0	0	0.418931055341509	0	0	0.183971138086247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10540453451415
"TCGA-CF-A3MH-01"	0.282181407437047	0.115001044404866	0	0	0	0	0	0	0	0	0	0	0.220509216403843	0	0	0.287572000756067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0947363309981781
"TCGA-CF-A3MI-01"	0.169869166300887	0.206973144187428	0	0	0	0	0	0	0	0	0	0	0.20439603566145	0	0	0.305569058184504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113192595665731
"TCGA-CF-A47S-01"	0.191153494085911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519165497616734	0	0	0	0	0	0	0	0.200962643046602	0	0	0	0	0	0	0.0887183652507521
"TCGA-CF-A47T-01"	0.12607007100897	0	0	0	0	0	0	0.0885763072236889	0	0.0761586532906297	0	0	0	0	0	0	0	0	0	0	0.0871920485052025	0	0	0	0	0	0	0	0	0.575271429155953	0.0467314908155557
"TCGA-CF-A47V-01"	0	0.254728517896455	0.142320065886328	0	0	0	0.0797764086029384	0	0	0	0	0	0.306404535982171	0	0	0	0	0	0.0953275361173928	0	0	0	0	0	0	0	0	0	0	0	0.121442935514714
"TCGA-CF-A47W-01"	0	0	0	0	0	0.125256360308251	0	0.142923554252817	0	0	0	0	0	0	0	0.115745292920527	0	0	0	0.270520159099711	0	0	0	0	0	0	0.114159613304693	0	0	0.194998426543778	0.0363965935702228
"TCGA-CF-A47X-01"	0	0.336631580431972	0	0	0.164060932051886	0	0	0	0	0	0	0	0.390045016163569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109262471352572
"TCGA-CF-A47Y-01"	0	0	0	0	0	0	0.0761661539450826	0	0	0.081835076276041	0	0	0.351003537997667	0	0	0.425434500795211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0655607309859981
