x	y
gene1	8.14635653	0.399372904
gene2	2.691877705	0.418455631
gene3	1.846227814	0.394174873
gene4	7.691161905	0.436814442
gene5	1.617845863	0.738941469
gene6	3.379643593	0.271292493
gene7	1.372382949	0.287340312
gene8	1.888733318	0.54698037
gene9	2.269779429	0.70675663
gene10	1.989165566	0.267703326
gene11	1.749428007	0.276753729
gene12	1.399140615	0.482959704
gene13	2.699239473	0.471501013
gene14	8.26052755	0.378627159
gene15	2.219421967	0.390331491
gene16	1.610545695	0.328241032
gene17	1.521054465	0.367559642
gene18	1.227268043	0.396180543
gene19	2.507209771	0.639410285
gene20	2.974811668	0.391443856
gene21	1.881637804	0.434541427
gene22	1.687315854	0.446280545
gene23	1.977170872	0.37658589
gene24	2.259867127	0.392460328
gene25	4.906890596	0.397277935
gene26	2.535131345	0.516412172
gene27	1.437796175	0.291616206
gene28	1.81159729	0.361999136
gene29	2.05668429	0.313693186
gene30	5.824428435	-0.02620384
gene31	6.866248611	0.038674707
gene32	7.380821784	0.085669559
gene33	2.082327675	-0.033413786
gene34	2.580858102	-0.026149063
gene35	1.209992322	0.255089459
gene36	1.184968882	-0.077703875
gene37	1.142419896	-0.02621082
gene38	1.059015688	0.113471456
gene39	7.886712714	-0.008177495
gene40	2.014355293	0.02593349
gene41	8.79224803	-0.108395043
gene42	6.437405312	0.147447547
gene43	2.478047297	0.030618616
gene44	1.532358417	0.002328806
gene45	2.078975662	-0.093584927
gene46	1.238572348	0.244056167
gene47	1.554318225	0.141290419
gene48	1.169925001	0.03537618
gene49	1.290296486	0.066813352
gene50	1.053180955	0.075390238
gene51	2.183873117	0.1323916
gene52	2.393114712	-0.061186744
gene53	1.78350818	0.149579952
gene54	1.438483796	0
gene55	7.022367813	-0.002429462
gene56	1.494302569	0.21357411
gene57	2.028951374	0.037852899
gene58	4.050626073	0.012392975
gene59	2.976660874	0.040589409
gene60	1.552097867	0.01219377
gene61	9.094517599	0.09327041
gene62	4.115477217	0.031300734
gene63	8.409390936	0.058351366
gene64	1.004239782	0.15516678
gene65	1.207892852	-0.073693391
gene66	1.091010939	0.164797784
gene67	8.813781191	-0.08575268
gene68	9.891783703	0.085819368
gene69	7.926790153	-0.049717312
gene70	10.12066989	0.031283204
gene71	4.544320516	0.164181019
gene72	1.230140531	0.049970837
gene73	1.011920575	-0.094212739
gene74	1.744161096	0.063907096
gene75	1.189033824	-0.032968627
gene76	9.921840937	0.003136782
gene77	1.909802191	0.003447302
gene78	9.786814144	-0.097478374
gene79	1.306536044	-0.102797447
gene80	1.205318908	-0.142586585
gene81	9.351675438	-0.09546263
gene82	1.269932887	0.080281909
gene83	3.639410285	0.226391792
gene84	1.358231144	-0.064532707
gene85	6.437405312	-0.173099008
gene86	2.079727192	-0.076666838
gene87	11.89683693	0.200766422
gene88	1.140849932	-0.073696999
gene89	1.803602787	-0.06541724
gene90	1.796493504	0.187532571
gene91	1.336321076	0.089005006
gene92	7.094517599	-0.032016738
gene93	2.174094643	-0.146006375
gene94	1.728911016	-0.034128988
gene95	1.878693704	-0.153793139
gene96	2	0.016391777
gene97	1.635588574	-0.089585014
gene98	7.714245518	0.01938484
gene99	7.163230349	-0.040614077
gene100	1.72695	0.163314374
gene101	1.187504393	-0.069030051
gene102	4.544320516	-0.12631645
gene103	1.091922489	0.099922403
gene104	2.089586013	0.218216745
gene105	1.769387072	0.000459677
gene106	10.63178336	0.092118202
gene107	8.631783357	-0.11276379
gene108	2.857980995	-0.01021743
gene109	1.154717241	-0.162747035
gene110	6.196397213	-0.122211112
gene111	2.099535674	0.054687106
gene112	2.657112286	-0.073169561
gene113	5.984893108	-0.196256331
gene114	1.906890596	-0.040452044
gene115	1.149197835	-0.012560857
gene116	1.737370789	-0.049412194
gene117	1.852825439	0.017859332
gene118	1.004116108	0.043068722
gene119	1.163005588	-0.002653477
gene120	1.159743625	-0.062363712
gene121	6.544320516	0.05193464
gene122	8.244760234	0.117612736
gene123	1.017167283	0.192164099
gene124	10.87139191	-0.0929989
gene125	11.85070776	-0.089910267
gene126	2.01282404	-0.082853293
gene127	1.724959741	-0.032459872
gene128	8.423466121	0.051691235
gene129	1.023269779	-0.023174254
gene130	3.527247003	-0.189204627
gene131	1.286123747	-0.082179734
gene132	2.786744642	0.003057638
gene133	1.142236262	0.09674132
gene134	7.781359714	0.065841666
gene135	1.633698317	0.180985727
gene136	8.366322214	-0.073369173
gene137	3.321928095	-0.143412689
gene138	11.90187252	0.060417846
gene139	10.60115174	0.132128971
gene140	1.067114196	0.003470104
gene141	1.374542721	0.109056633
gene142	1.485426827	0.054132388
gene143	1.202102206	0.127049939
gene144	1.251763293	-0.006141004
gene145	3.087462841	0.042544341
gene146	1.222392421	-0.196955207
gene147	1.712001689	0.083588268
gene148	3.683264574	-0.003356407
gene149	4.143929793	-0.063126538
gene150	1.555221562	0.196509787
gene151	9.268347055	0.063297979
gene152	1.821723212	0.012159512
gene153	3.341718461	0.071340774
gene154	1.29366037	-0.072763713
gene155	2.647893756	0.057782371
gene156	1.371353312	-0.14315926
gene157	6.824428435	-0.096885529
gene158	1.009892805	-0.159548023
gene159	10.89683693	0.016704839
gene160	5.058893689	0.007678012
gene161	1.251517425	0.052619852
gene162	6.906890596	-0.091955822
gene163	1.422532036	0.177881725
gene164	3.03562391	0.111245457
gene165	2.922832139	0.232503737
gene166	1.002749927	-0.055495113
gene167	1.39866453	-0.065340754
gene168	10.55714456	-0.054356192
gene169	1.685518829	0.040392189
gene170	1.126358963	0.060019579
gene171	1.079071571	0.066622161
gene172	7.491853096	0.077297968
gene173	5.437405312	-0.052428896
gene174	1.111469223	0.050587478
gene175	7.845490051	0.070696518
gene176	8.855906667	0.167664138
gene177	1.828298936	-0.013738187
gene178	1.257797757	-0.117429848
gene179	2.503766418	0.106005847
gene180	2.423452322	-0.064692086
gene181	1.099535674	0.1820659
gene182	1.021250455	0.096366948
gene183	9.058893689	0.106190049
gene184	1.469766977	-0.223390136
gene185	1.366050648	-0.056732995
gene186	9.702749879	-0.07566427
gene187	7.094517599	-0.080378151
gene188	4.282035368	-0.180221161
gene189	8.725650281	0.057123702
gene190	1.035075351	0.044169278
gene191	8.906890596	-0.320654192
gene192	2.402028439	-0.319730539
gene193	7.196397213	-0.601105591
gene194	1.023123078	-0.286979587
gene195	0	-0.299696791
gene196	0.205063456	-0.277486092
gene197	0.932885804	-0.351501523
gene198	0	-0.30990273
gene199	0.969078762	-0.335017416
gene200	0.694192009	-0.315925702
gene201	-0.222775964	-0.371151508
gene202	-0.18819383	-0.702998445
gene203	-0.283619024	-0.363950715
gene204	-0.6159347	-0.279254758
gene205	-0.198937619	-0.371224871
gene206	-0.175549818	-0.304467125
gene207	-0.430014176	-0.367592036
gene208	0.142324644	-0.37418137
gene209	-0.684166042	-0.470517993
gene210	-0.049011413	-0.274966423
gene211	-0.079777293	-0.274966423
gene212	0.313445103	-0.290195184
gene213	0.299390931	-0.320654192
gene214	-0.101417541	-0.331780573
gene215	0	-0.489520227
gene216	0.31410859	-0.371968777
gene217	0.066199773	-0.326433186
gene218	-0.507453134	-1.091906834
gene219	-0.542212853	-0.298688826
gene220	0.237223226	-0.398069174
gene221	0.332575339	-0.313173538
gene222	0.167146074	-0.829900146
gene223	0.159088489	-0.309431622
gene224	0.101949102	-0.363549971
gene225	0.448835506	-0.308807173
gene226	0.307804276	-0.46370897
gene227	-0.618437205	-0.387917411
gene228	-0.406971801	-0.274384554
gene229	0	-0.29907033
gene230	-0.771567864	-0.766612476
gene231	-0.166907222	-0.405541725
gene232	0.102628728	-0.310979684
gene233	-0.039338027	-0.267643502
gene234	0.091754914	-0.548032282
gene235	0.019435605	-0.264615442
gene236	-0.119405919	-0.320956256
gene237	0.051085213	-0.313329522
gene238	0.763197136	-0.601105591
gene239	-0.054474487	-0.501813506
gene240	0	-0.422156525
gene241	0	-0.422156525
gene242	-0.235898929	-0.297950601
gene243	-0.296470552	-0.303258883
gene244	-0.024005101	-0.297950601
gene245	-0.105846573	-0.479107102
gene246	0.071701465	-0.479107102
gene247	-0.03914872	-0.399174055
gene248	0	-0.399174055
gene249	-0.087649845	-0.293594466
gene250	0.264037123	-0.791670919
gene251	-0.238994095	-0.524432519
gene252	-0.039264738	-0.353179029
gene253	0	-0.355480655
gene254	0.101191266	-0.313068118
gene255	0	-0.274129067
gene256	0	0.144460153
gene257	0	0.097780386
gene258	0	-0.020952854
gene259	0	0.160090209
gene260	0	-0.004661377
gene261	0	-0.098409008
gene262	0	-0.138809517
gene263	0.786429083	-0.037875122
gene264	0.519833689	-0.060606765
gene265	0.881558543	0.206729128
gene266	-0.04425792	0.053420589
gene267	0.898120386	0.125362961
gene268	0.557056504	0.044611772
gene269	0.896730729	0.06377591
gene270	-0.174833802	-0.031533001
gene271	-0.359220285	0.057094307
gene272	-0.202492864	-0.002041309
gene273	-0.456260162	0.017605988
gene274	0.520154205	-0.086980738
gene275	0.692296545	0.091376108
gene276	0.472194571	0.098843567
gene277	-0.393726993	0.11781692
gene278	0.963597016	0.018412037
gene279	0.290102649	0.000929572
gene280	-0.27977767	0.12260147
gene281	0.663411598	-0.167835971
gene282	-0.16705697	0.0541921
gene283	0.656314934	0.211137795
gene284	0.062509201	0.193112499
gene285	0.199699835	-0.008790992
gene286	0.79262015	0.116448664
gene287	-0.171227661	0.044789382
gene288	-0.474116732	-0.006703136
gene289	-0.931468618	0.011100993
gene290	-0.614415974	0.02634178
gene291	-0.687212559	0.111959245
gene292	0.117261511	-0.126652955
gene293	-0.910378048	0.062817484
gene294	-0.441862632	0.126106234
gene295	0.301314224	0.048812959
gene296	-0.063565129	0.025837094
gene297	0.049477377	-0.012338335
gene298	0.478269404	-0.003767533
gene299	-0.224944301	0.142163545
gene300	-0.188251823	-0.200883225
gene301	-0.071846412	-0.070883486
gene302	-0.144823868	0.002802257
gene303	0.108923713	0.053267665
gene304	-0.016338737	-0.084888898
gene305	0.062890355	-0.058461587
gene306	-0.404330993	-0.13578344
gene307	0.062220724	-0.021859434
gene308	-0.665565153	0.049908775
gene309	-0.357610747	0.095886811
gene310	-0.087163641	-0.194229738
gene311	-0.242063046	0.124564055
gene312	-0.342942724	-0.007948753
gene313	-0.638646139	-0.072783537
gene314	0.026018947	-0.056745083
gene315	0.061429279	0.077310125
gene316	0.286043237	-0.055514528
gene317	-0.178566867	0.114767604
gene318	-0.553385841	0.057034311
gene319	-0.094813628	-0.027471714
gene320	0.319128208	-0.04986142
gene321	0.122061398	0.060198705
gene322	-0.06737947	0.042428255
gene323	-0.14338608	0.030736435
gene324	0.283507877	-0.035656521
gene325	-0.562397585	0.059679685
gene326	0.675484111	-0.0162389
gene327	-0.161023644	-0.005115121
gene328	-0.128769815	0.032765755
gene329	-0.213667093	0.151327322
gene330	0.186856264	0.029375409
gene331	-0.457596984	0.032821018
gene332	-0.006019218	-0.040400121
gene333	-0.134474342	-0.049560544
gene334	-0.002031488	-0.057333175
gene335	-0.609789748	0.09619919
gene336	0.015437017	-0.02659875
gene337	-0.025665699	0.039765844
gene338	0.090343934	0.105961245
gene339	0.013231593	0.018147347
gene340	0.320300972	0.041974025
gene341	0.085571418	-0.061225343
gene342	0.299363823	-0.004249473
gene343	0.011400758	-0.073150854
gene344	0.123911566	-0.057168523
gene345	0.230995921	0.045709038
gene346	0.426759811	0.009334685
gene347	-0.387159599	0.04924049
gene348	0.705768365	0.143628258
gene349	0.048413857	-0.065772384
gene350	-0.001290079	0.073171208
gene351	-0.018036428	0.053090318
gene352	-0.025786591	-0.015581541
gene353	0.004973672	-0.023956741
gene354	0.033366112	0.056307441
gene355	0.180831164	-0.023121236
gene356	-0.101588836	0.039275925
gene357	-0.095085938	0.035915801
gene358	-0.082018415	0.106345591
gene359	-0.302102558	0.005186447
gene360	-0.23296401	-0.121050658
gene361	0.579510914	-0.105284628
gene362	-0.219871171	-0.136694951
gene363	-0.025131777	0.033185248
gene364	0.197131891	0.052240238
gene365	-0.590471605	0.031394283
gene366	0.008738337	0.068859428
gene367	0.055820004	0.060418946
gene368	0.10849548	0.005480803
gene369	0.137230197	-0.006646462
gene370	0.121619897	-0.013383627
gene371	0.309311105	0.031407449
gene372	0.679599375	0.070278696
gene373	-0.358015216	-0.029448263
gene374	-0.078783258	0.049614511
gene375	-0.041265314	-0.024601973
gene376	-0.245393559	-0.064044054
gene377	0.188582438	0.168527718
gene378	-0.347226054	0.149176736
gene379	0.32569418	0.104476047
gene380	-0.086204921	0.130562569
gene381	-0.008610711	0.114662617
gene382	0.12618095	0.00848023
gene383	0.27389127	-0.004464248
gene384	-0.336517131	0.014950341
gene385	0.065855705	0.173698165
gene386	0.054492843	0.023838358
gene387	0.37872219	0.007497133
gene388	-0.165700769	-0.202193567
gene389	-0.117060822	-0.11528879
gene390	0.031578209	-0.090943281
gene391	0.155948917	-0.072298406
gene392	0.241383855	-0.087993515
gene393	0.429548644	0.040001669
gene394	0.023246515	0.155211561
gene395	-0.437143442	0.013360674
gene396	0.117998757	0.062229581
gene397	0.182824602	0.13493826
gene398	0.102647714	0.142349961
gene399	0.036191386	-0.12056109
gene400	0.066904458	0.12020501
gene401	0.24534765	-0.116409492
gene402	0.012078386	0.104943635
gene403	0.065217659	-0.012860622
gene404	0.212850445	-0.030264133
gene405	0.066898466	-0.087188882
gene406	0.020545433	0.105893917
gene407	0.072437436	0.04254315
gene408	-0.057317886	-0.08759177
gene409	-0.014496142	0.006784605
gene410	-0.007040985	0.124041264
gene411	0.096016903	-0.027452213
gene412	-0.057030945	0.008490873
gene413	-0.18886958	-0.047133976
gene414	-0.147505047	-0.038966414
gene415	0.21171892	-0.005615427
gene416	0.065359733	0.051703452
gene417	-0.108683883	0.025242117
gene418	-0.21310337	0.027637752
gene419	-0.153761701	0.102061005
gene420	-0.043818958	0.068087224
gene421	-0.079386422	-0.042121679
gene422	-0.062028892	0.034616452
gene423	0.034962726	0.091214478
gene424	-0.07933054	-0.062906752
gene425	-0.072805703	-0.054429763
gene426	0.041946716	0.222564591
gene427	-0.130949323	-0.200954071
gene428	0.085162372	-0.022660597
gene429	-0.025293182	0.000624408
gene430	0.243984778	0.007634671
gene431	0.019914564	0.049601149
gene432	0.230761155	0.108015611
gene433	-0.053658538	-0.006872035
gene434	0.108007891	0.027704353
gene435	-0.072338419	-0.232845288
gene436	0.029752414	0
gene437	0.092113027	-0.057762472
gene438	-0.179150538	-0.018988782
gene439	0.132286331	-0.100992206
gene440	0.004230216	0.026275779
gene441	-0.077637189	0.141410204
gene442	-0.121728076	-0.003897861
gene443	0.237055147	0.10347946
gene444	0.260506072	0.098254375
gene445	-0.066518446	0.052310323
gene446	-0.259830768	0.167233599
gene447	-0.038285003	0.113250735
gene448	0.058314798	0.044452331
gene449	-0.135113277	-0.120400193
gene450	0.080378328	-0.08192756
gene451	0.145724189	0.200496318
gene452	0.18894101	0.145404487
gene453	-0.016666025	0.116673234
gene454	-0.045955858	0.019028628
gene455	0.013201712	-0.058893689
gene456	-0.436783004	0.170930161
gene457	-0.386263831	-0.009341047
gene458	-0.083592022	0.001365542
gene459	-0.139647588	0.038275292
gene460	0.418148967	0.104821307
gene461	0.147771218	-0.042568479
gene462	-0.080110114	0.066761208
gene463	-0.065081834	-0.035139009
gene464	-0.203700613	0.026098668
gene465	0.282135907	-0.166181386
gene466	-0.07658774	-0.073396233
gene467	0.19518578	-0.018548173
gene468	-0.019840912	0.049258141
gene469	0.164929607	0.030352697
gene470	-0.054904534	-0.111314321
gene471	0.090680788	-0.010613189
gene472	-0.279934006	-0.096646323
gene473	-0.070848628	0.024090543
gene474	-0.080293506	0.090408338
gene475	-0.156217335	0.093832223
gene476	0.57829877	-0.088446182
gene477	0.939438495	0.113252031
gene478	-0.120294234	0.018499384
gene479	0	0.134170893
gene480	-0.034996234	-0.14795975
gene481	-0.05809723	-0.019702526
gene482	-0.051601886	-0.029310136
gene483	0	-0.157186823
gene484	0.095586279	-0.157186823
gene485	0.046105461	0.004310129
gene486	0.13656533	-0.001972917
gene487	0.035566318	0
gene488	0.371720476	-0.040982283
gene489	0.158917885	-0.077628154
gene490	-0.0519161	0.204128631
gene491	0.171658663	-0.021967976
gene492	-0.154336351	-0.013485563
gene493	0.267107291	0.236695596
gene494	0.004834562	-0.056910213
gene495	0.250206942	0.191167729
gene496	0.014896449	-0.130301865
gene497	-0.26745624	-0.050559116
gene498	0.569329036	0.065915101
gene499	0.006517145	0.000914255
gene500	0.199615402	0.010711926
gene501	-0.253831092	-0.104684899
gene502	0.489608478	0.242583139
gene503	0.304536951	0.061822394
gene504	-0.285343593	0.121498819
gene505	0.308727495	0.188384693
gene506	0.800813638	0.213638586
gene507	0.895170474	-0.115437023
gene508	-0.300937819	-0.024277772
gene509	0.013519152	0.000450631
gene510	-0.858190422	-0.014955508
gene511	0.516048813	0.077949486
gene512	0.343301746	-0.010435453
gene513	-0.180015816	-0.114108475
gene514	0.274823935	0.178061117
gene515	-0.106789289	-0.034632367
gene516	-0.016682677	0.076143596
gene517	0.059531489	-0.184222499
gene518	0.019775174	0.002726844
gene519	-0.044554979	0.01617443
gene520	-0.003447119	-0.00533016
gene521	0.042288776	0.004811661
gene522	-0.002304484	-0.028982394
gene523	-0.260267347	0.04971804
gene524	-0.097001294	-0.197587772
gene525	0.00702959	-0.1637947
gene526	0	-0.00922508
gene527	0	0.173091287
gene528	-0.013055556	-0.005931477
gene529	-0.08907569	-0.026132549
gene530	-0.038378191	-0.041970697
gene531	0.493857196	0.251273541
gene532	-0.173163028	0.072938642
gene533	0.121463705	-0.014710783
