Chromosome Arm	TCGA-2F-A9KO-01A	TCGA-2F-A9KP-01A	TCGA-2F-A9KQ-01A	TCGA-2F-A9KR-01A	TCGA-2F-A9KT-01A	TCGA-2F-A9KW-01A	TCGA-4Z-AA7M-01A	TCGA-4Z-AA7N-01A	TCGA-4Z-AA7O-01A	TCGA-4Z-AA7Q-01A	TCGA-4Z-AA7R-01A	TCGA-4Z-AA7S-01A	TCGA-4Z-AA7W-01A	TCGA-4Z-AA7Y-01A	TCGA-4Z-AA80-01A	TCGA-4Z-AA81-01A	TCGA-4Z-AA82-01A	TCGA-4Z-AA83-01A	TCGA-4Z-AA84-01A	TCGA-4Z-AA86-01A	TCGA-4Z-AA87-01A	TCGA-4Z-AA89-01A	TCGA-5N-A9KI-01A	TCGA-5N-A9KM-01A	TCGA-BL-A0C8-01A	TCGA-BL-A13I-01A	TCGA-BL-A13J-01A	TCGA-BL-A3JM-01A	TCGA-BL-A5ZZ-01A	TCGA-BT-A0S7-01A	TCGA-BT-A0YX-01A	TCGA-BT-A20J-01A	TCGA-BT-A20N-01A	TCGA-BT-A20O-01A	TCGA-BT-A20P-01A	TCGA-BT-A20Q-01A	TCGA-BT-A20R-01A	TCGA-BT-A20T-01A	TCGA-BT-A20U-01A	TCGA-BT-A20V-01A	TCGA-BT-A20W-01A	TCGA-BT-A20X-01A	TCGA-BT-A2LA-01A	TCGA-BT-A2LB-01A	TCGA-BT-A2LD-01A	TCGA-BT-A3PH-01A	TCGA-BT-A3PJ-01A	TCGA-BT-A3PK-01A	TCGA-BT-A42C-01A	TCGA-BT-A42E-01A	TCGA-BT-A42F-01A	TCGA-C4-A0EZ-01A	TCGA-C4-A0F0-01A	TCGA-C4-A0F6-01A	TCGA-CF-A1HR-01A	TCGA-CF-A1HS-01A	TCGA-CF-A27C-01A	TCGA-CF-A3MF-01A	TCGA-CF-A3MG-01A	TCGA-CF-A3MH-01A	TCGA-CF-A3MI-01A	TCGA-CF-A47S-01A	TCGA-CF-A47T-01A	TCGA-CF-A47V-01A	TCGA-CF-A47W-01A	TCGA-CF-A47X-01A	TCGA-CF-A47Y-01A	TCGA-CF-A5U8-01A	TCGA-CF-A5UA-01A	TCGA-CF-A7I0-01A	TCGA-CF-A8HX-01A	TCGA-CF-A8HY-01A	TCGA-CF-A9FF-01A	TCGA-CF-A9FL-01A	TCGA-CF-A9FM-01A	TCGA-CU-A0YN-01A	TCGA-CU-A0YO-01A	TCGA-CU-A0YR-01A	TCGA-CU-A3KJ-01A	TCGA-CU-A3QU-01A	TCGA-CU-A3YL-01A	TCGA-CU-A5W6-01A	TCGA-CU-A72E-01A	TCGA-DK-A1A3-01A	TCGA-DK-A1A5-01A	TCGA-DK-A1A7-01A	TCGA-DK-A1AA-01A	TCGA-DK-A1AB-01A	TCGA-DK-A1AC-01A	TCGA-DK-A1AD-01A	TCGA-DK-A1AE-01A	TCGA-DK-A1AF-01A	TCGA-DK-A1AG-01A	TCGA-DK-A2HX-01A	TCGA-DK-A2I1-01A	TCGA-DK-A2I2-01A	TCGA-DK-A2I4-01A	TCGA-DK-A2I6-01A	TCGA-DK-A3IK-01A	TCGA-DK-A3IL-01A	TCGA-DK-A3IM-01A	TCGA-DK-A3IN-01A	TCGA-DK-A3IQ-01A	TCGA-DK-A3IS-01A	TCGA-DK-A3IT-01A	TCGA-DK-A3IU-01A	TCGA-DK-A3IV-01A	TCGA-DK-A3WW-01A	TCGA-DK-A3WX-01A	TCGA-DK-A3WY-01A	TCGA-DK-A3X1-01A	TCGA-DK-A3X2-01A	TCGA-DK-A6AV-01A	TCGA-DK-A6AW-01A	TCGA-DK-A6B0-01A	TCGA-DK-A6B1-01A	TCGA-DK-A6B2-01A	TCGA-DK-A6B5-01A	TCGA-DK-A6B6-01A	TCGA-DK-AA6L-01A	TCGA-DK-AA6M-01A	TCGA-DK-AA6P-01A	TCGA-DK-AA6Q-01A	TCGA-DK-AA6R-01A	TCGA-DK-AA6S-01A	TCGA-DK-AA6T-01A	TCGA-DK-AA6U-01A	TCGA-DK-AA6W-01A	TCGA-DK-AA6X-01A	TCGA-DK-AA71-01A	TCGA-DK-AA74-01A	TCGA-DK-AA75-01A	TCGA-DK-AA76-01A	TCGA-DK-AA77-01A	TCGA-E5-A2PC-01A	TCGA-E5-A4TZ-01A	TCGA-E5-A4U1-01A	TCGA-E7-A3X6-01A	TCGA-E7-A3Y1-01A	TCGA-E7-A4IJ-01A	TCGA-E7-A4XJ-01A	TCGA-E7-A519-01A	TCGA-E7-A541-01A	TCGA-E7-A5KE-01A	TCGA-E7-A5KF-01A	TCGA-E7-A677-01A	TCGA-E7-A678-01A	TCGA-E7-A6MD-01A	TCGA-E7-A6ME-01A	TCGA-E7-A6MF-01A	TCGA-E7-A7DU-01A	TCGA-E7-A7DV-01A	TCGA-E7-A7PW-01A	TCGA-E7-A7XN-01A	TCGA-E7-A85H-01A	TCGA-E7-A8O7-01A	TCGA-E7-A97P-01A	TCGA-E7-A97Q-01A	TCGA-FD-A3B3-01A	TCGA-FD-A3B4-01A	TCGA-FD-A3B5-01A	TCGA-FD-A3B6-01A	TCGA-FD-A3B7-01A	TCGA-FD-A3B8-01A	TCGA-FD-A3N5-01A	TCGA-FD-A3N6-01A	TCGA-FD-A3NA-01A	TCGA-FD-A3SJ-01A	TCGA-FD-A3SL-01A	TCGA-FD-A3SM-01A	TCGA-FD-A3SN-01A	TCGA-FD-A3SO-01A	TCGA-FD-A3SP-01A	TCGA-FD-A3SQ-01A	TCGA-FD-A3SR-01A	TCGA-FD-A3SS-01A	TCGA-FD-A43N-01A	TCGA-FD-A43P-01A	TCGA-FD-A43U-01A	TCGA-FD-A43X-01A	TCGA-FD-A43Y-01A	TCGA-FD-A5BR-01A	TCGA-FD-A5BS-01A	TCGA-FD-A5BT-01A	TCGA-FD-A5BU-01A	TCGA-FD-A5BV-01A	TCGA-FD-A5BX-01A	TCGA-FD-A5BY-01A	TCGA-FD-A5BZ-01A	TCGA-FD-A5C0-01A	TCGA-FD-A5C1-01A	TCGA-FD-A62N-01A	TCGA-FD-A62O-01A	TCGA-FD-A62P-01A	TCGA-FD-A62S-01A	TCGA-FD-A6TA-01A	TCGA-FD-A6TB-01A	TCGA-FD-A6TC-01A	TCGA-FD-A6TD-01A	TCGA-FD-A6TE-01A	TCGA-FD-A6TF-01A	TCGA-FD-A6TG-01A	TCGA-FD-A6TH-01A	TCGA-FD-A6TI-01A	TCGA-FD-A6TK-01A	TCGA-FJ-A3Z7-01A	TCGA-FJ-A3Z9-01A	TCGA-FJ-A3ZE-01A	TCGA-FJ-A3ZF-01A	TCGA-FJ-A871-01A	TCGA-FT-A3EE-01A	TCGA-FT-A61P-01A	TCGA-G2-A2EF-01A	TCGA-G2-A2EJ-01A	TCGA-G2-A2EK-01A	TCGA-G2-A2EL-01A	TCGA-G2-A2EO-01A	TCGA-G2-A2ES-01A	TCGA-G2-A3IB-01A	TCGA-G2-A3IE-01A	TCGA-G2-A3VY-01A	TCGA-G2-AA3B-01A	TCGA-G2-AA3C-01A	TCGA-G2-AA3D-01A	TCGA-G2-AA3F-01A	TCGA-GC-A3BM-01A	TCGA-GC-A3I6-01A	TCGA-GC-A3OO-01A	TCGA-GC-A3RB-01A	TCGA-GC-A3RC-01A	TCGA-GC-A3RD-01A	TCGA-GC-A3WC-01A	TCGA-GC-A3YS-01A	TCGA-GC-A4ZW-01A	TCGA-GC-A6I1-01A	TCGA-GC-A6I3-01A	TCGA-GD-A2C5-01A	TCGA-GD-A3OP-01A	TCGA-GD-A3OQ-01A	TCGA-GD-A3OS-01A	TCGA-GD-A6C6-01A	TCGA-GD-A76B-01A	TCGA-GU-A42P-01A	TCGA-GU-A42Q-01A	TCGA-GU-A42R-01A	TCGA-GU-A762-01A	TCGA-GU-A763-01A	TCGA-GU-A764-01A	TCGA-GU-A766-01A	TCGA-GU-A767-01A	TCGA-GU-AATO-01A	TCGA-GU-AATP-01A	TCGA-GU-AATQ-01A	TCGA-GV-A3JV-01A	TCGA-GV-A3JW-01A	TCGA-GV-A3JX-01A	TCGA-GV-A3JZ-01A	TCGA-GV-A3QF-01A	TCGA-GV-A3QH-01A	TCGA-GV-A3QI-01A	TCGA-GV-A40E-01A	TCGA-GV-A40G-01A	TCGA-GV-A6ZA-01A	TCGA-H4-A2HO-01A	TCGA-H4-A2HQ-01A	TCGA-HQ-A2OE-01A	TCGA-HQ-A2OF-01A	TCGA-HQ-A5ND-01A	TCGA-HQ-A5NE-01A	TCGA-K4-A3WS-01A	TCGA-K4-A3WV-01A	TCGA-K4-A4AC-01A	TCGA-K4-A54R-01A	TCGA-K4-A5RH-01A	TCGA-K4-A5RI-01A	TCGA-K4-A5RJ-01A	TCGA-K4-A6FZ-01A	TCGA-K4-A6MB-01A	TCGA-K4-A83P-01A	TCGA-K4-AAQO-01A	TCGA-KQ-A41N-01A	TCGA-KQ-A41O-01A	TCGA-KQ-A41P-01A	TCGA-KQ-A41Q-01A	TCGA-KQ-A41R-01A	TCGA-KQ-A41S-01A	TCGA-LC-A66R-01A	TCGA-LT-A5Z6-01A	TCGA-LT-A8JT-01A	TCGA-MV-A51V-01A	TCGA-PQ-A6FI-01A	TCGA-PQ-A6FN-01A	TCGA-R3-A69X-01A	TCGA-S5-A6DX-01A	TCGA-S5-AA26-01A	TCGA-SY-A9G0-01A	TCGA-SY-A9G5-01A	TCGA-UY-A78K-01A	TCGA-UY-A78L-01A	TCGA-UY-A78M-01A	TCGA-UY-A78N-01A	TCGA-UY-A78O-01A	TCGA-UY-A78P-01A	TCGA-UY-A8OB-01A	TCGA-UY-A8OC-01A	TCGA-UY-A8OD-01A	TCGA-UY-A9PA-01A	TCGA-UY-A9PB-01A	TCGA-UY-A9PD-01A	TCGA-UY-A9PE-01A	TCGA-UY-A9PF-01A	TCGA-UY-A9PH-01A	TCGA-XF-A8HB-01A	TCGA-XF-A8HC-01A	TCGA-XF-A8HD-01A	TCGA-XF-A8HE-01A	TCGA-XF-A8HF-01A	TCGA-XF-A8HG-01A	TCGA-XF-A8HH-01A	TCGA-XF-A8HI-01A	TCGA-XF-A9SH-01A	TCGA-XF-A9SI-01A	TCGA-XF-A9SJ-01A	TCGA-XF-A9SK-01A	TCGA-XF-A9SL-01A	TCGA-XF-A9SM-01A	TCGA-XF-A9SP-01A	TCGA-XF-A9ST-01A	TCGA-XF-A9SU-01A	TCGA-XF-A9SV-01A	TCGA-XF-A9SW-01A	TCGA-XF-A9SX-01A	TCGA-XF-A9SY-01A	TCGA-XF-A9SZ-01A	TCGA-XF-A9T0-01A	TCGA-XF-A9T2-01A	TCGA-XF-A9T3-01A	TCGA-XF-A9T4-01A	TCGA-XF-A9T5-01A	TCGA-XF-A9T6-01A	TCGA-XF-A9T8-01A	TCGA-XF-AAME-01A	TCGA-XF-AAMG-01A	TCGA-XF-AAMH-01A	TCGA-XF-AAMJ-01A	TCGA-XF-AAML-01A	TCGA-XF-AAMQ-01A	TCGA-XF-AAMR-01A	TCGA-XF-AAMT-01A	TCGA-XF-AAMW-01A	TCGA-XF-AAMX-01A	TCGA-XF-AAMY-01A	TCGA-XF-AAMZ-01A	TCGA-XF-AAN0-01A	TCGA-XF-AAN1-01A	TCGA-XF-AAN2-01A	TCGA-XF-AAN3-01A	TCGA-XF-AAN4-01A	TCGA-XF-AAN5-01A	TCGA-XF-AAN7-01A	TCGA-YC-A89H-01A	TCGA-YC-A8S6-01A	TCGA-YC-A9TC-01A	TCGA-YF-AA3L-01A	TCGA-YF-AA3M-01A	TCGA-ZF-A9R0-01A	TCGA-ZF-A9R1-01A	TCGA-ZF-A9R2-01A	TCGA-ZF-A9R3-01A	TCGA-ZF-A9R4-01A	TCGA-ZF-A9R5-01A	TCGA-ZF-A9R7-01A	TCGA-ZF-A9R9-01A	TCGA-ZF-A9RC-01A	TCGA-ZF-A9RD-01A	TCGA-ZF-A9RE-01A	TCGA-ZF-A9RF-01A	TCGA-ZF-A9RL-01A	TCGA-ZF-A9RM-01A	TCGA-ZF-A9RN-01A	TCGA-ZF-AA4N-01A	TCGA-ZF-AA4R-01A	TCGA-ZF-AA4T-01A	TCGA-ZF-AA4U-01A	TCGA-ZF-AA4V-01A	TCGA-ZF-AA4W-01A	TCGA-ZF-AA4X-01A	TCGA-ZF-AA51-01A	TCGA-ZF-AA52-01A	TCGA-ZF-AA53-01A	TCGA-ZF-AA54-01A	TCGA-ZF-AA56-01A	TCGA-ZF-AA58-01A	TCGA-ZF-AA5H-01A	TCGA-ZF-AA5N-01A	TCGA-ZF-AA5P-01A
1p	-0.256	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.254	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.231	0.553	0.000	0.000	0.000	0.000	0.478	0.000	0.000	0.000	0.363	0.000	0.000	0.000	0.000	0.944	0.000	0.000	-0.204	0.000	0.000	0.000	0.000	0.000	0.094	0.000	0.000	0.000	0.000	-0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.325	0.000	-0.345	0.000	0.000	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.432	0.449	0.262	0.241	0.000	0.000	0.156	0.254	0.000	0.000	-0.259	0.000	0.000	0.000	0.000	0.000	0.000	0.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.411	0.000	0.000	-0.565	0.000	-0.589	0.000	0.074	0.000	0.000	0.000	0.000	0.243	0.000	0.000	0.375	0.000	0.476	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.235	0.000	0.000	0.000	0.000	0.000	0.000	0.414	0.263	0.000	0.000	0.424	0.000	0.000	0.230	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.000	0.000	0.000	0.000	0.472	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.221	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.333	0.000	0.000	0.536	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.244	0.000	0.000	0.000	0.000	-0.202	0.000	0.000	0.000	0.000	0.000	0.497	0.000	0.351	0.515	0.000	0.000	0.000	0.000	0.000	0.530	0.000	0.000	0.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.423	0.000	-0.011	0.000	0.000	0.000	0.000	0.000	-0.062	0.000	0.424	0.000	0.000	0.000	0.000	-0.540	0.000	0.000	0.000	0.408	0.244	0.000	0.000	0.391	0.000	0.000	0.000	0.000	0.291	0.000	0.000	-0.275	0.000	0.000	0.000	0.000	0.005	0.000	-0.382	-0.474	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.239	0.000	0.467	0.407	-0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.313	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.359	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.402	0.000	0.000	0.000	-0.277	0.000	0.000	0.000	0.913	0.000	0.000	0.000	1.104	0.000	0.000	0.000	0.000	-0.275	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.399	0.000	0.442	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.566	0.337	0.000	0.000	0.000	0.232	0.000	0.000	0.000
1q	-0.256	0.000	0.000	0.000	0.000	0.000	1.164	0.000	0.713	0.000	0.000	0.000	0.000	0.000	0.000	0.417	0.581	0.000	0.000	0.254	0.000	0.000	0.000	0.000	0.000	0.000	3.657	0.628	0.000	0.000	0.000	0.000	0.604	0.000	0.000	0.000	0.000	0.553	0.000	0.237	0.000	0.000	0.478	0.317	0.274	0.000	0.000	0.000	0.000	0.000	0.000	0.944	0.000	0.000	0.000	-0.229	0.000	0.000	0.000	0.000	0.459	0.000	0.000	0.874	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.920	0.283	0.752	0.000	0.325	0.000	0.000	0.000	0.000	0.000	0.312	0.000	0.408	0.000	0.000	0.000	0.000	0.000	0.316	0.000	0.000	0.000	-0.279	0.432	0.449	0.000	0.241	0.000	0.000	0.711	0.254	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.411	0.000	0.000	0.000	0.349	0.000	0.633	0.282	0.000	0.000	0.359	0.000	0.000	0.000	0.000	0.638	0.000	0.476	0.458	0.652	0.000	0.000	0.000	0.000	0.507	0.928	0.000	0.000	0.000	0.739	0.000	0.000	0.480	1.228	0.000	0.000	0.000	0.000	0.879	0.000	0.598	0.235	0.000	0.000	0.000	0.000	0.000	0.000	0.414	0.263	0.570	0.000	0.424	0.000	0.000	0.230	0.000	0.000	0.000	0.000	0.454	0.000	0.000	0.000	0.000	0.379	0.000	0.000	0.000	0.000	0.067	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.221	0.000	0.000	0.359	0.000	0.000	0.000	0.000	0.328	0.000	0.000	0.536	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.244	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	-0.390	0.000	0.354	0.351	0.515	0.000	0.374	0.667	0.209	0.000	1.021	0.000	0.000	0.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.377	-0.050	0.000	0.612	0.000	0.516	0.000	0.000	-0.270	0.527	0.000	0.000	0.000	0.000	0.000	0.626	0.635	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.391	0.522	0.000	0.000	0.000	0.291	0.418	0.000	-0.275	0.000	0.441	0.371	0.242	-0.033	0.000	-0.382	-0.265	0.000	0.000	0.000	0.712	0.000	0.000	0.000	0.000	0.000	0.000	-0.239	0.000	0.000	0.407	-0.267	0.000	0.000	0.000	-0.313	0.000	0.000	0.000	-0.593	0.000	0.000	0.000	1.074	0.000	0.859	0.000	0.000	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.255	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.359	0.479	0.000	0.000	0.000	0.000	0.000	0.000	0.927	0.000	0.000	0.000	0.000	0.402	0.000	0.515	0.000	-0.277	0.000	0.000	0.000	0.913	0.000	0.000	0.659	0.699	0.000	0.000	0.000	0.000	-0.275	0.000	0.000	0.676	0.000	0.000	0.285	0.000	0.000	-0.399	0.000	0.751	0.000	0.000	0.000	0.000	0.430	0.000	0.000	0.299	0.337	0.000	0.000	0.000	0.232	0.467	0.000	0.000
2p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.397	0.000	0.000	0.200	0.417	0.267	0.000	0.343	0.000	0.000	0.000	-0.011	0.293	0.000	0.000	0.000	0.000	0.218	0.000	0.475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.076	0.389	0.000	0.000	0.306	0.502	0.000	0.381	0.000	0.202	0.000	0.000	0.511	0.000	0.340	0.000	0.000	0.000	-0.493	0.329	0.000	-0.337	0.000	0.000	0.000	0.000	0.098	0.000	0.000	0.000	-0.635	0.000	0.502	0.000	0.000	0.000	0.000	0.000	0.250	0.000	-0.236	0.000	0.000	0.000	0.294	0.000	0.488	0.000	0.000	0.445	0.000	0.000	0.000	0.000	-0.562	0.595	0.320	0.000	0.519	0.036	0.000	0.223	0.210	0.000	-0.336	0.000	0.000	-0.487	0.000	0.000	0.000	0.346	-0.045	0.430	0.000	0.000	0.039	0.278	0.000	0.244	0.705	0.000	0.232	0.000	0.000	0.205	1.215	0.000	0.282	0.000	0.000	0.000	0.644	0.000	-0.743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.344	0.000	0.000	0.000	0.000	0.000	0.678	0.000	-0.261	-0.209	0.000	0.000	0.000	0.000	0.000	0.355	0.000	0.000	0.247	0.000	0.000	0.000	0.000	0.000	0.293	-0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.057	0.000	0.000	0.555	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.191	0.000	0.000	0.000	0.219	0.000	0.000	0.000	0.000	0.323	0.000	0.240	0.232	0.552	0.469	0.000	0.000	0.000	0.000	-0.727	0.488	0.000	1.801	0.000	0.000	0.000	0.000	-0.787	0.000	0.000	0.000	0.000	1.508	-0.418	0.000	0.000	0.000	0.000	0.000	0.000	0.463	0.000	-0.032	0.000	0.000	-1.095	0.000	0.480	0.396	0.000	0.000	0.387	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.674	0.248	0.261	-0.423	-0.385	0.000	0.450	0.309	0.405	0.313	0.000	0.000	0.000	0.000	0.000	1.364	0.000	0.000	0.433	-0.267	0.911	0.000	0.000	0.000	0.354	0.000	0.279	0.482	0.000	-0.263	0.000	0.374	0.000	0.000	0.677	0.000	0.000	0.000	0.000	-0.103	0.000	0.000	0.000	0.000	-0.421	0.000	0.000	0.000	0.000	0.294	0.000	0.000	0.000	1.043	0.000	0.000	0.000	0.000	0.000	0.000	-0.202	0.000	0.000	0.000	0.262	0.000	0.000	0.597	-0.179	0.000	0.000	0.000	0.000	0.282	0.000	0.000	0.000	0.000	0.000	-0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.345	0.000	0.000	0.000	0.370	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.702	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.864	0.000	0.489	0.000	0.000	0.431	0.000	0.000	0.000	0.000	0.221	0.000	0.000	0.000	0.000	-0.328	0.600	0.000	1.015	0.487	0.000	0.534	0.000	-0.407	0.483	0.000	0.000	0.266	0.227	0.000	-0.316	0.000	0.000
2q	-0.257	0.000	-0.818	0.000	0.000	0.000	-0.402	0.000	0.000	0.000	0.000	-0.397	0.000	0.000	0.200	0.000	0.000	0.000	0.343	0.000	0.000	0.000	-0.229	0.293	0.000	0.000	0.000	0.000	0.218	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.402	0.389	0.000	-0.399	0.306	0.000	-0.776	0.000	0.000	0.202	0.000	0.000	-0.570	0.000	0.000	0.000	-0.286	0.000	-0.493	0.329	0.000	-0.337	0.000	0.000	0.000	0.000	-0.407	0.000	0.000	0.000	-0.635	0.000	0.502	0.000	0.000	0.000	-0.317	0.000	0.250	0.000	-0.236	0.000	0.000	0.000	0.000	0.000	0.274	0.000	0.000	-0.448	0.000	0.000	0.000	0.000	-0.562	0.290	0.320	0.000	0.000	-0.319	0.000	0.000	0.210	0.000	-0.336	0.000	0.000	-0.487	0.000	0.000	0.000	0.000	-0.528	-0.323	0.000	0.000	-0.521	0.278	0.000	-0.283	0.705	0.000	0.000	0.000	-0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.389	0.000	-0.743	0.000	-0.226	0.000	0.000	0.000	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.261	-0.209	0.000	0.000	0.000	0.000	0.000	-0.492	0.000	0.000	-0.305	0.000	0.000	0.000	0.000	0.000	0.293	-0.287	0.000	0.000	0.000	0.000	0.000	0.000	-0.361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.550	0.000	0.000	-0.214	0.000	0.000	-0.200	0.219	0.000	0.000	0.000	0.000	0.000	-0.261	-0.399	0.000	0.552	0.000	0.000	0.000	0.000	0.000	0.000	0.488	0.000	0.000	0.000	-0.378	0.000	0.000	-0.787	0.000	0.000	0.000	0.000	0.000	-0.418	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.369	0.000	0.000	-1.095	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.407	0.248	0.261	-0.423	-0.385	0.000	0.000	0.309	0.405	0.000	0.000	0.553	0.000	0.000	0.000	-0.663	0.555	0.000	0.000	-0.267	0.454	0.000	0.000	0.000	0.354	0.000	0.068	0.000	0.000	-0.263	0.000	-0.093	-0.305	0.000	-0.745	0.000	0.000	-0.838	0.000	-0.491	0.000	0.000	0.000	0.000	-0.421	0.000	0.000	0.000	0.000	0.294	-0.496	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.273	0.000	-0.220	0.000	0.000	0.000	0.262	0.000	0.000	-0.605	-0.506	0.000	0.000	0.000	0.000	0.282	0.000	0.000	0.000	0.000	0.000	-0.327	-0.305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.571	0.000	0.000	0.000	-0.864	0.000	0.489	0.000	-0.266	0.000	0.000	0.000	0.000	-0.412	0.221	0.000	0.000	-0.356	0.000	-0.328	-0.278	0.000	0.000	0.000	0.000	0.000	0.000	-0.407	0.483	0.000	0.000	0.000	0.227	0.000	-0.316	0.000	0.000
