,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_008332,6.378,3.548,6.093,10.319,5.498,4.333,4.969,8.035,113.778,86.355,112.496,62.442,2.301,1.849,7.016,16.648,1.772,1.429,1.468,1.523
NM_010395,83.411,87.989,64.354,83.987,6.067,3.704,4.401,4.394,76.856,93.212,65.175,67.821,11.697,16.808,7.392,15.968,28.293,22.24,23.241,19.29
NM_016844,4.905,8.906,5.972,0.669,4.127,5.506,6.348,3.981,74.982,57.403,70.854,67.794,5.712,6.021,5.928,2.003,6.268,4.543,6.316,5.14
NM_019467,2.325,0.708,1.136,0.877,5.266,4.047,3.959,2.903,61.237,64.879,46.139,65.062,4.304,1.234,2.735,1.168,2.011,1.739,1.484,1.439
NM_001201460,5.513,8.866,12.321,16.445,3.397,5.243,9.241,7.96,54.441,73.529,64.591,93.013,3.701,6.818,2.538,4.98,1.641,0.631,5.068,1.958
NM_001198561,5.496,8.837,12.281,16.392,3.386,5.226,9.211,7.934,54.265,73.291,64.381,92.711,3.689,6.796,2.53,4.964,1.636,0.629,5.051,1.951
NR_126529,3.488,3.455,3.175,3.406,4.96,3.562,4.071,3.194,29.486,31.464,28.752,32.589,1.455,6.218,1.177,4.805,0.04,0,0.022,0.052
NM_172145,3.192,5.058,3.143,4.959,4.028,3.783,7.094,6.217,29.276,29.616,34.097,41.838,12.451,16.266,10.981,13.816,9.055,12.639,11.783,10.756
NM_011909,4.178,3.736,3.982,2.909,4.105,3.512,3.389,2.883,48.399,44.848,49.57,42.795,1.251,3.983,0.991,2.613,17.794,18.81,13.908,16.766
NM_010766,0.088,0.213,0.025,0.064,1.018,5.003,1.131,4.379,120.233,87.122,143.122,98.741,0.102,0.335,0.099,0.271,0.06,0.53,0.101,0.639
NM_010501,3.614,1.518,2.435,5.195,3.179,2.419,3.842,6.186,176.538,158.465,176.812,113.67,0.191,0.523,1.108,1.521,0.084,0.228,0.235,0.11
NM_001083312,1.401,1.821,2.116,3.303,2.044,2.939,2.211,3.727,26.123,21.162,27.579,18.463,1.193,2.76,6.445,7.089,1.502,2.952,1.617,2.941
NM_009890,3.315,1.313,13.9,3.615,2.789,1.905,28.053,15.497,134.808,99.766,573.778,506.103,4.118,2.64,26.39,18.773,3.05,3.378,48.954,93.159
NM_001139519,3.224,2.167,3.292,1.883,2.652,1.861,2.467,1.906,100.075,126.484,100.036,99.807,0.268,1.421,0.233,1.693,0,0,0,0
NM_199016,4.055,6.538,5.492,5.965,1.785,2.371,2.593,2.449,51.758,42.099,54.494,42.217,11.422,18.198,14.888,20.181,1.591,3.101,1.673,2.973
NM_019568,67.092,40.088,56.32,36.313,2.668,1.424,2.952,1.324,76.191,84.273,67.277,73.533,2.33,1.443,1.961,1.357,48.173,37.301,38.737,24.196
NM_001289493,1.62,1.442,10.71,11.791,1.971,2.05,5.571,4.756,35.322,32.976,43.543,32.916,1.039,4.525,10.692,17.107,0.594,0.685,2.822,2.315
NM_001113527,1.502,1.056,1.97,1.585,2.477,0.836,2.284,1.322,22.671,26.981,24.226,21.003,1.806,1.273,2.125,1.504,0.855,1.01,0.832,0.878
NM_010478,2.657,1.263,6.82,5.564,1.006,1.489,9.906,7.039,44.849,42.118,72.847,73.934,1.609,1.016,3.872,2.778,1.386,2.363,2.92,3.315
NM_010846,0.546,0.149,0.371,0.062,0.784,0.689,0.574,0.55,30.204,30.673,23.06,18.222,0.46,0.435,0.292,0.369,0.231,0.418,0.388,0.435
NM_029821,0,0,0.23,0.395,0.305,0.911,0.388,0.235,30.467,38.167,24.833,29.728,0.422,0,0.326,0.395,0.093,0,0.622,0.729
NM_001005858,1.316,0,0.244,0.987,0.588,0.532,0.176,2.137,34.964,29.16,36.261,26.997,0.064,0.218,0.592,2.061,0.042,0.076,0.047,0
NM_011267,0.175,0.463,1.224,0.668,0.479,0.063,2.126,0.455,6.157,9.369,34.357,47.473,0.952,0.465,8.664,3.051,3.402,0.324,13.832,0.117
NM_133871,14.226,9.104,12.286,9.133,0.267,0.237,0.227,0.122,31.076,32.491,26.305,23.078,0.091,0.15,0.011,0.256,0,0,0,0
NM_008039,0.097,0.097,0.062,0,0.061,0.158,0.496,0.19,31.731,41.057,51.66,51.617,3.461,12.415,6.147,12.416,0.374,0.609,0.962,1.471
NM_013521,0.08,0,0.025,0.065,0.101,0.086,0.128,0.701,70.962,61.965,96.224,77.438,1.397,2.579,2.158,2.221,0.123,0.333,0.275,0.322
NM_009971,0,0,0.164,0,0,0,0.621,0.251,2.365,0,56.13,31.73,0.15,0.616,3.131,4.001,0,0,0,0
