,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_029979,132.604,149.064,109.629,123.73,136.118,166.05,109.769,127.871,110.032,98.91,86.605,91.865,104.222,121.347,87.922,98.266,96.175,98.597,86.629,85.029
NM_012000,132.605,147.425,114.389,144.701,141.599,159.84,109.693,132.255,121.117,115.191,98.884,95.976,132.641,140.169,111.434,120.945,86.899,85.662,55.185,60.335
NM_010194,122.412,132.885,92.72,107.425,158.057,142.402,118.6,119.988,84.947,78.055,60.019,62.252,111.397,73.418,82.17,56.587,117.569,115.324,87.285,88.48
NM_026436,177.006,206.35,122.543,140.632,152.554,146.174,84.016,84.787,98.663,99.936,57.623,73.388,147.876,167.913,78.653,97.642,55.463,76.134,37.001,44.882
NM_172767,138.787,135.919,131.816,124.68,140.681,155.762,131.047,142.09,108.319,105.558,100.111,88.26,105.009,92.773,101.587,84.613,37.369,44.104,34.286,39.541
NM_001301368,148.473,87.712,110.939,70.432,182.091,112.121,151.889,106.125,69.866,106.716,48.516,78.518,54.344,18.155,40.32,16.258,112.404,86.362,85.012,73.255
NM_001205081,137.802,114.202,103.914,93.102,157.066,136.952,123.9,121.24,83.963,90.824,58.775,67.321,100.242,33.768,61.754,32.842,84.632,80.385,65.901,64.295
NM_026767,162.33,155.041,140.575,144.616,132.309,159.315,116.441,146.802,124.085,135.704,72.065,80.135,147.409,115.801,85.396,93.128,72.978,87.271,68.856,77.768
NM_001007571,146.491,102.825,108.183,84.766,163.45,127.114,133.199,109.517,104.081,119.773,83.295,103.301,126.322,102.83,94.26,90.05,134.336,102.719,108.179,82.719
NM_011434,134.416,107.44,107.449,80.054,163.663,121.796,126.824,106.894,66.726,72.706,55.85,72.121,51.95,58.396,40.2,49.98,115.124,70.162,97.679,61.184
NM_025383,146.8,131.256,128.882,112.054,145.828,137.615,131.884,116.332,98.134,99.603,93.178,95.99,127.088,122.927,111.091,108.363,110.221,118.19,101.342,100.752
NM_019821,107.993,127.175,92.537,111.072,132.695,147.42,115.538,118.211,80.175,82.023,75.753,74.753,97.069,86.063,79.802,74.202,79.601,87.756,63.312,71.608
