TCGA-2V-A95S-01A-11R-A37K-07	TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-2Y-A9GT-01A-11R-A38B-07	TCGA-2Y-A9GU-01A-11R-A38B-07
ENSG00000006695.12	501	389	156	1149
ENSG00000006704.11	631	692	69	729
ENSG00000006712.15	2769	4638	2144	2657
ENSG00000006715.16	1119	1736	700	1733
ENSG00000006740.17	35	62	31	30
ENSG00000006744.19	3219	2528	832	2095
ENSG00000006747.15	22	33	21	4
ENSG00000006756.16	729	3086	2864	551
ENSG00000006757.12	482	695	803	816
ENSG00000006788.14	0	2	1	20
ENSG00000006831.10	2112	5508	5881	4526
ENSG00000006837.12	26	13	9	6
ENSG00000007001.13	25	57	371	68
ENSG00000007038.11	25	0	2	3
ENSG00000007047.15	1018	2280	1565	2050
ENSG00000007062.12	14	135	8	7
ENSG00000007080.11	2324	3193	1203	1684
ENSG00000007129.18	80	61	96	19
ENSG00000007168.14	2523	2829	1230	2098
ENSG00000007171.18	16	48	33	39
ENSG00000007174.18	1	3	0	2
ENSG00000007202.15	1994	4900	2203	2770
ENSG00000007216.15	2314	27	38	383
ENSG00000007237.19	405	507	230	49
ENSG00000007255.10	488	1561	574	1120
ENSG00000007264.15	416	134	148	21
ENSG00000007306.15	70	0	0	0
ENSG00000007312.13	168	41	55	19
ENSG00000007314.12	6	68	163	64
ENSG00000007341.19	294	477	239	129
ENSG00000007350.17	6	11	3	3
ENSG00000007372.24	7	1	0	50
ENSG00000007376.8	889	1643	417	486
ENSG00000007384.15	650	577	318	444
ENSG00000007392.17	1457	1164	808	567
ENSG00000007402.12	31	20	28	30
ENSG00000007516.14	195	837	396	840
ENSG00000007520.4	1418	2483	776	772
ENSG00000007541.17	1152	1407	905	661
ENSG00000007545.16	447	537	341	277
ENSG00000007866.22	801	1040	513	471
ENSG00000007908.16	70	126	74	22
ENSG00000007923.16	610	1749	650	1426
ENSG00000007933.13	1127	24048	12821	52
ENSG00000007944.15	863	371	348	257
ENSG00000007952.18	47	27	38	20
ENSG00000007968.7	220	437	76	55
ENSG00000008018.9	9160	9346	3558	4285
ENSG00000008056.14	222	32	19	2
ENSG00000008083.14	465	525	388	372
ENSG00000008086.13	146	577	222	238
ENSG00000008118.10	11	46	6	1
ENSG00000008128.23	49	84	36	26
ENSG00000008130.15	3731	6479	2937	5258
ENSG00000008196.13	0	0	0	2
ENSG00000008197.5	0	0	0	0
ENSG00000008226.20	14	19	88	15
ENSG00000008256.16	233	684	489	398
ENSG00000008277.14	41	25	15	127
ENSG00000008282.9	3336	6570	2267	2935
ENSG00000008283.16	4402	1047	920	5404
ENSG00000008294.21	1963	4709	2382	1448
ENSG00000008300.17	139	541	629	17
ENSG00000008311.15	84	984	3610	1781
ENSG00000008323.15	73	250	140	255
ENSG00000008324.12	719	717	358	395
ENSG00000008382.16	441	816	790	1050
ENSG00000008394.13	13179	26681	24964	15830
ENSG00000008405.12	461	774	751	416
ENSG00000008438.5	1	0	2	2
ENSG00000008441.18	1425	2640	3061	1732
ENSG00000008513.16	691	2726	9227	3468
ENSG00000008516.17	352	65	82	10
ENSG00000008517.18	51871	20913	34626	2969
ENSG00000008710.20	624	1475	1570	889
ENSG00000008735.14	504	1523	196	380
ENSG00000008838.20	2550	6869	1692	1690
ENSG00000008853.17	178	372	190	443
ENSG00000008869.12	676	1367	621	800
ENSG00000008952.17	3761	5342	5795	6405
ENSG00000008988.11	53538	29713	12344	10584
ENSG00000009307.16	12014	27526	12887	6315
ENSG00000009335.18	1961	5180	2190	3694
ENSG00000009413.16	341	969	537	444
ENSG00000009694.13	746	162	451	23
ENSG00000009709.12	2	0	0	0
ENSG00000009724.17	217	10366	11938	9839
ENSG00000009765.15	28	1507	896	695
ENSG00000009780.16	250	506	196	187
ENSG00000009790.15	419	117	361	79
ENSG00000009830.12	394	649	437	297
ENSG00000009844.16	1527	2374	949	803
ENSG00000009950.16	4763	14864	18467	14440
ENSG00000009954.11	2382	5444	1508	3974
ENSG00000010017.13	1088	1293	763	1415
ENSG00000010030.14	2186	249	265	37
ENSG00000010072.16	299	407	170	281
ENSG00000010165.20	1367	2446	726	1110
ENSG00000010219.13	279	268	142	116
ENSG00000010244.19	3654	4831	2051	2341
ENSG00000010256.11	8072	17942	5974	7389
ENSG00000010270.14	659	1063	169	668
ENSG00000010278.15	832	4548	1958	606
ENSG00000010282.15	5	1	1	1
ENSG00000010292.13	1150	2192	709	744
ENSG00000010295.20	893	931	914	495
ENSG00000010310.9	183	16	38	1
ENSG00000010318.21	135	283	167	76
ENSG00000010319.7	288	422	662	384
ENSG00000010322.16	2950	3446	2410	1389
ENSG00000010327.10	1870	2871	2446	530
ENSG00000010361.14	114	137	135	143
ENSG00000010379.16	47	146	1237	1238
ENSG00000010404.18	119	129	141	48
ENSG00000010438.17	36	72	129	1
ENSG00000010539.12	330	454	316	223
ENSG00000010610.10	2669	2469	2054	2050
ENSG00000010626.15	89	77	41	77
ENSG00000010671.16	323	253	115	49
ENSG00000010704.18	688	1824	665	413
ENSG00000010803.16	678	1044	472	590
ENSG00000010810.17	1396	1203	1929	388
ENSG00000010818.10	492	637	797	328
ENSG00000010932.17	14	54	6	69
ENSG00000011007.12	2170	4679	1607	1950
ENSG00000011009.11	3873	5395	2127	2551
ENSG00000011021.23	478	1169	641	366
ENSG00000011028.14	634	811	273	113
ENSG00000011052.21	0	0	0	0
ENSG00000011083.9	10	5	0	2
ENSG00000011105.14	869	2298	4098	3193
ENSG00000011114.15	551	1098	570	671
ENSG00000011132.12	975	905	532	442
ENSG00000011143.19	467	491	212	151
ENSG00000011198.10	775	1491	1104	628
ENSG00000011201.12	33	56	32	21
ENSG00000011243.18	1182	1736	808	1427
ENSG00000011258.16	649	820	607	814
ENSG00000011260.14	1320	2255	478	393
ENSG00000011275.19	1878	2276	996	1239
ENSG00000011295.16	918	1045	534	2131
ENSG00000011304.22	11514	9793	5509	5283
ENSG00000011332.19	16	7	5	4
ENSG00000011347.10	232	1358	5853	2471
ENSG00000011376.12	643	1441	558	656
ENSG00000011405.13	863	2031	1220	1585
ENSG00000011422.12	574	294	86	46
ENSG00000011426.11	437	1327	181	310
ENSG00000011451.21	1700	2525	1904	2471
ENSG00000011454.18	851	1066	583	438
ENSG00000011465.18	1309	3315	1272	125
ENSG00000011478.13	433	917	291	399
ENSG00000011485.15	1640	1734	841	2159
ENSG00000011523.14	315	840	361	433
ENSG00000011566.15	735	1753	783	1403
ENSG00000011590.14	100	22	28	6
ENSG00000011600.12	3715	2154	1083	360
ENSG00000011638.11	87	132	73	31
ENSG00000011677.13	77	67	0	0
ENSG00000012048.23	321	1020	231	136
ENSG00000012061.16	1579	1381	776	1883
ENSG00000012124.17	186	61	46	18
ENSG00000012171.20	98	182	46	109
ENSG00000012174.12	731	1214	663	1080
ENSG00000012211.13	280	229	158	154
ENSG00000012223.13	81	51	49	33
ENSG00000012232.9	706	1650	1090	778
ENSG00000012504.15	419	4050	3473	2832
ENSG00000012660.14	2620	6774	5912	1676
ENSG00000012779.11	201	275	168	34
ENSG00000012817.16	1466	2242	965	4
ENSG00000012822.16	2749	2505	2358	1192
ENSG00000012963.15	1092	1649	649	949
ENSG00000012983.11	773	1098	549	361
ENSG00000013016.16	81	295	120	201
ENSG00000013275.8	6505	6390	2503	3846
ENSG00000013288.9	1192	3290	4073	5527
ENSG00000013293.6	0	1	0	0
ENSG00000013297.12	93	66	16	8
ENSG00000013306.16	7518	12384	3077	5694
ENSG00000013364.19	12168	12211	4800	1205
ENSG00000013374.16	5431	4340	2215	1404
ENSG00000013375.16	1413	2836	2014	1736
ENSG00000013392.8	265	396	460	458
ENSG00000013441.16	2291	2521	3215	1438
ENSG00000013503.10	342	781	349	702
ENSG00000013523.11	911	1219	644	1185
ENSG00000013561.18	1568	2073	1362	2421
ENSG00000013563.14	426	200	363	177
ENSG00000013573.17	700	1049	450	154
ENSG00000013583.10	630	2027	2348	2353
ENSG00000013588.9	64	12	25	4
ENSG00000013619.14	1469	66	279	422
