TCGA-2V-A95S-01A-11R-A37K-07	TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-2Y-A9GT-01A-11R-A38B-07	TCGA-2Y-A9GU-01A-11R-A38B-07
ENSG00000138834.14	1955	1580	1405	1920
ENSG00000138835.22	1994	2112	1034	524
ENSG00000138867.17	7190	10294	5270	7736
ENSG00000138892.11	0	0	0	0
ENSG00000138942.16	1125	2148	2017	1972
ENSG00000138944.8	15	9	17	4
ENSG00000138964.17	1063	354	470	71
ENSG00000139044.12	120	75	3	23
ENSG00000139053.3	0	0	0	0
ENSG00000139055.7	29	21	38	89
ENSG00000139083.11	871	935	990	946
ENSG00000139112.11	1281	1405	6509	5047
ENSG00000139116.19	1571	2124	964	1307
ENSG00000139117.14	470	939	471	307
ENSG00000139131.13	683	272	171	234
ENSG00000139132.14	510	619	765	1371
ENSG00000139133.7	125	89	91	47
ENSG00000139144.11	221	1135	713	5
ENSG00000139146.14	678	201	100	113
ENSG00000139151.16	3	9	5	0
ENSG00000139154.16	387	488	369	309
ENSG00000139155.9	1	15	24	23
ENSG00000139160.13	251	223	254	179
ENSG00000139163.16	2635	1610	1132	2074
ENSG00000139168.9	2145	2038	735	932
ENSG00000139173.10	599	83	61	113
ENSG00000139174.12	14	54	17	15
ENSG00000139178.11	2797	4891	15006	5351
ENSG00000139180.11	403	379	248	779
ENSG00000139182.15	868	2239	5084	3335
ENSG00000139187.10	87	32	60	16
ENSG00000139190.17	198	430	446	144
ENSG00000139192.12	2889	1546	1904	1181
ENSG00000139193.4	279	17	160	20
ENSG00000139194.8	206	8876	7665	1276
ENSG00000139197.11	842	2623	2008	2349
ENSG00000139200.14	2	7	3	2
ENSG00000139209.16	1854	11069	30498	12366
ENSG00000139211.7	265	514	157	77
ENSG00000139218.18	3425	3702	2343	3009
ENSG00000139219.19	1	5	0	12894
ENSG00000139220.17	3	10	4	0
ENSG00000139223.4	1	0	0	1
ENSG00000139233.7	697	526	309	396
ENSG00000139239.7	140	135	19	32
ENSG00000139263.12	550	795	333	399
ENSG00000139266.6	638	603	1769	38
ENSG00000139269.3	434	2141	2569	4562
ENSG00000139278.10	742	380	228	67
ENSG00000139287.13	1	0	0	1
ENSG00000139289.13	5195	1281	503	983
ENSG00000139291.14	751	1282	855	230
ENSG00000139292.13	59	262	0	1
ENSG00000139304.16	1	8	0	3
ENSG00000139318.8	2722	5736	1148	1854
ENSG00000139323.14	357	539	285	161
ENSG00000139324.12	520	891	412	341
ENSG00000139329.5	1435	2629	798	14
ENSG00000139330.6	1	0	0	0
ENSG00000139343.10	3081	1293	763	639
ENSG00000139344.8	2448	1797	5809	2562
ENSG00000139350.12	526	636	259	207
ENSG00000139351.15	5	10	12	13
ENSG00000139352.4	3	0	0	402
ENSG00000139354.11	352	452	118	224
ENSG00000139364.10	1	18	4	13
ENSG00000139370.12	395	1507	763	751
ENSG00000139372.15	782	539	280	357
ENSG00000139405.16	2249	1646	641	646
ENSG00000139410.15	2077	3921	2547	2091
ENSG00000139428.12	2231	2004	1035	1009
ENSG00000139433.11	1431	1332	740	640
ENSG00000139436.21	432	521	311	363
ENSG00000139437.18	685	1068	354	290
ENSG00000139438.6	603	478	200	1313
ENSG00000139445.18	2	312	394	70
ENSG00000139496.16	1284	872	724	807
ENSG00000139505.11	923	853	519	754
ENSG00000139508.15	501	1246	4722	913
ENSG00000139514.13	558	430	78	192
ENSG00000139515.6	383	51	0	103
ENSG00000139517.9	712	1111	679	1472
ENSG00000139531.13	779	2588	1964	2889
ENSG00000139537.11	56	55	35	61
ENSG00000139540.12	477	2865	1663	277
ENSG00000139546.11	1004	864	616	1054
ENSG00000139547.7	169	8681	51176	1305
ENSG00000139549.4	18	14	28	8
ENSG00000139567.13	400	588	761	466
ENSG00000139572.4	35	26	5	1
ENSG00000139574.8	0	0	0	0
ENSG00000139579.13	1776	1932	556	434
ENSG00000139597.18	1481	891	2780	1500
ENSG00000139610.2	4	1	1	0
ENSG00000139613.12	1321	2951	1583	998
ENSG00000139618.16	254	232	111	147
ENSG00000139620.13	770	770	392	637
ENSG00000139624.14	1195	950	421	342
ENSG00000139625.13	134	170	185	88
ENSG00000139626.16	157	127	206	20
ENSG00000139629.16	186	121	101	28
ENSG00000139631.19	681	686	2610	1099
ENSG00000139636.15	1216	859	931	427
ENSG00000139637.14	4	0	0	2
ENSG00000139641.13	3267	8721	3801	2969
ENSG00000139644.13	47707	62330	76978	44157
ENSG00000139645.10	1746	1959	866	1046
ENSG00000139648.7	0	0	0	0
ENSG00000139651.11	1347	1579	926	899
ENSG00000139656.7	0	2	4	0
ENSG00000139668.9	609	321	446	179
ENSG00000139675.12	75	55	35	17
ENSG00000139679.15	749	874	762	237
ENSG00000139684.15	3209	5488	3878	4544
ENSG00000139687.16	1143	750	789	846
ENSG00000139697.14	1090	1655	944	1476
ENSG00000139714.12	13	8	12	4
ENSG00000139718.11	1497	2309	1014	1171
ENSG00000139719.11	1001	1168	257	476
ENSG00000139722.7	723	348	235	98
ENSG00000139725.8	54	62	8	50
ENSG00000139726.11	3823	2774	1203	1787
ENSG00000139734.19	141	278	36	96
ENSG00000139737.22	32	97	245	99
ENSG00000139746.16	1522	1212	1061	1401
ENSG00000139767.10	0	13	0	0
ENSG00000139780.7	0	0	0	0
ENSG00000139793.18	1394	2103	2385	487
ENSG00000139797.8	0	1	0	0
ENSG00000139800.8	255	79	15	85
ENSG00000139826.6	669	521	643	459
ENSG00000139832.5	1224	839	474	398
ENSG00000139835.14	1496	635	911	1263
ENSG00000139842.15	2555	2371	1850	2770
ENSG00000139865.16	98	223	119	92
ENSG00000139874.6	74	123	11	351
ENSG00000139880.19	80	214	124	97
ENSG00000139890.10	17	6	6	2
ENSG00000139899.11	69	513	197	108
ENSG00000139908.15	8	34	10	13
ENSG00000139910.20	22	28	5	419
ENSG00000139914.6	39	13	130	30
ENSG00000139915.21	5	54	0	0
ENSG00000139921.13	1682	2729	1443	923
ENSG00000139926.16	202	1279	505	215
ENSG00000139946.10	86	66	35	19
ENSG00000139970.17	163	542	58	55
ENSG00000139971.15	47	17	152	41
ENSG00000139973.16	0	1	1	0
ENSG00000139974.16	490	619	141	83
ENSG00000139977.14	974	1834	936	1189
ENSG00000139985.7	1	1	0	1
ENSG00000139988.10	781	154	110	115
ENSG00000139990.18	1695	2471	1960	1814
ENSG00000139998.16	1345	1947	684	306
ENSG00000140006.11	440	597	225	383
ENSG00000140009.18	30	46	19	4
ENSG00000140015.20	0	0	0	0
ENSG00000140022.13	441	640	214	82
ENSG00000140025.16	242	196	125	223
ENSG00000140030.6	238	139	112	26
ENSG00000140043.11	36	97	53	95
ENSG00000140044.13	272	788	300	557
ENSG00000140057.9	25	134	31	22
ENSG00000140067.6	0	0	0	1
ENSG00000140090.18	26	15	25	17
ENSG00000140092.14	503	1109	820	432
ENSG00000140093.10	7080	16349	17682	10793
ENSG00000140104.14	152	240	104	90
ENSG00000140105.18	54368	3057	2922	1414
ENSG00000140107.12	82	2252	8554	68
ENSG00000140153.18	560	645	369	675
ENSG00000140157.15	783	1366	455	1047
ENSG00000140199.13	269	653	324	273
ENSG00000140254.12	96	7	4	0
ENSG00000140259.7	1187	2168	681	676
ENSG00000140262.18	1152	2310	1126	1099
ENSG00000140263.15	1074	5238	5609	7413
ENSG00000140264.21	16224	9622	4569	4942
ENSG00000140265.12	653	1191	504	461
ENSG00000140274.14	13747	1	1	43
ENSG00000140279.13	21707	13	7	407
ENSG00000140280.14	997	814	569	196
ENSG00000140284.11	917	12043	8846	2112
ENSG00000140285.12	76	116	44	4
ENSG00000140287.11	6	57	49	3
ENSG00000140297.13	644	525	2	21
ENSG00000140299.13	1326	3240	1526	1104
ENSG00000140307.11	1504	1619	761	1450
ENSG00000140319.11	9365	11012	4097	5005
ENSG00000140320.12	1905	1892	888	689
ENSG00000140323.6	120	337	25	77
ENSG00000140326.13	363	845	391	576
ENSG00000140332.17	1297	1785	2038	1148
ENSG00000140350.15	4639	9061	2756	4077
ENSG00000140365.16	4229	5206	1347	1338
ENSG00000140367.12	1039	1389	317	156
ENSG00000140368.13	703	127	464	39
ENSG00000140374.16	6962	21786	5433	8134
ENSG00000140379.9	261	41	60	15
ENSG00000140382.15	315	1158	522	685
ENSG00000140386.13	373	877	293	420
ENSG00000140391.15	3449	2928	1760	2152
ENSG00000140395.9	1453	2526	761	762
ENSG00000140396.13	3683	5187	2267	2347
ENSG00000140398.14	618	686	681	135
ENSG00000140400.17	1470	4625	1999	1485
ENSG00000140403.12	104	119	82	706
ENSG00000140406.4	945	1105	490	329
ENSG00000140416.23	2444	7891	1902	1401
ENSG00000140443.15	76	687	123	87
ENSG00000140450.9	791	5251	2067	1746
ENSG00000140451.13	260	602	85	196
ENSG00000140455.17	530	1442	440	963
ENSG00000140459.18	17	29	200	241
ENSG00000140463.14	634	1283	425	468
ENSG00000140464.20	4363	4337	1521	818
ENSG00000140465.14	525	96	207	14
ENSG00000140470.15	17	329	262	1524
ENSG00000140471.17	284	419	256	167
ENSG00000140474.14	2196	3195	1486	2033
ENSG00000140478.15	0	2	0	0
ENSG00000140479.18	1383	4050	10157	11168
ENSG00000140481.15	3	6	0	0
ENSG00000140488.16	0	0	0	0
ENSG00000140497.16	3430	6945	3206	1819
ENSG00000140505.7	0	115	756	2
ENSG00000140506.17	0	1	0	0
ENSG00000140511.12	515	181	246	28
ENSG00000140519.14	1	139	27	568
ENSG00000140521.17	1220	2554	1233	993
ENSG00000140522.12	0	5	3	1
ENSG00000140525.19	489	1365	176	200
ENSG00000140526.18	5442	27983	14596	6193
ENSG00000140527.15	2	11	1	2
ENSG00000140534.14	131	427	26	46
ENSG00000140538.16	1	8	23	6
ENSG00000140543.15	20	42	19	36
ENSG00000140545.15	1162	1212	862	764
ENSG00000140548.10	399	1034	381	411
ENSG00000140553.18	2278	4894	1076	1120
ENSG00000140557.12	0	1	0	0
ENSG00000140563.15	172	29	369	14
ENSG00000140564.12	23199	45609	31231	24042
ENSG00000140575.13	1676	3712	1517	717
ENSG00000140577.16	960	1473	964	407
ENSG00000140598.15	795	1836	475	483
ENSG00000140600.17	0	0	1	1
ENSG00000140612.14	4111	6523	2000	2782
ENSG00000140623.14	0	0	0	0
ENSG00000140632.17	3032	5955	3163	2418
ENSG00000140650.12	259	538	157	316
ENSG00000140675.13	2	7	8	2
ENSG00000140678.17	1740	1093	785	256
ENSG00000140682.19	193	406	386	176
ENSG00000140688.17	687	3036	1906	1325
ENSG00000140691.18	470	926	1484	322
ENSG00000140694.17	1499	2296	809	860
ENSG00000140718.21	762	1747	784	638
ENSG00000140740.11	4530	11270	4026	11047
ENSG00000140743.8	887	3111	531	776
ENSG00000140749.9	980	641	342	193
ENSG00000140750.17	1699	2500	1358	1686
ENSG00000140795.13	19	16	1	2
ENSG00000140798.16	0	13	0	1
ENSG00000140807.7	207	908	59	177
ENSG00000140829.12	1504	3492	1278	1313
ENSG00000140830.9	443	815	288	685
ENSG00000140832.10	1023	1385	407	316
ENSG00000140835.10	8	179	6	0
ENSG00000140836.17	685	2113	769	909
ENSG00000140839.11	22	4	1	21
ENSG00000140848.17	478	1605	506	363
ENSG00000140853.16	3130	1076	2992	564
ENSG00000140854.13	875	1184	455	552
ENSG00000140859.16	5102	2914	3160	1861
ENSG00000140873.16	5	8	13	9
ENSG00000140876.11	279	491	434	183
ENSG00000140905.11	39	106	47	91
ENSG00000140931.20	717	769	435	194
ENSG00000140932.10	29	4	3	5
ENSG00000140937.14	1104	260	129	71
ENSG00000140939.14	1225	1820	890	721
ENSG00000140941.14	4001	2291	1686	1117
ENSG00000140943.17	3317	5642	3333	2429
ENSG00000140945.17	28	194	165	183
ENSG00000140948.13	1020	5466	1815	3606
ENSG00000140950.16	103	608	57	116
ENSG00000140955.11	0	0	0	1
ENSG00000140961.14	11301	50584	3214	8064
ENSG00000140968.11	1128	1880	1417	306
ENSG00000140983.14	4164	4122	2159	2099
ENSG00000140986.8	10	26	6	10
ENSG00000140987.20	470	570	202	337
ENSG00000140988.16	26291	28313	6656	10213
ENSG00000140990.15	3295	4046	1829	3209
ENSG00000140992.19	938	2075	890	1354
ENSG00000140993.11	6	70	29	36
ENSG00000140995.17	1689	1248	1387	878
ENSG00000141002.20	3815	4329	2489	3632
ENSG00000141012.13	618	1918	457	814
ENSG00000141013.17	237	1027	196	100
ENSG00000141026.6	923	803	323	1074
ENSG00000141027.21	2907	2531	1528	2383
ENSG00000141028.6	10	11	10	4
ENSG00000141030.13	1699	1331	427	1105
ENSG00000141034.10	268	525	212	258
ENSG00000141040.15	33	48	20	16
ENSG00000141052.18	8	54	28	19
ENSG00000141068.14	140	459	190	119
ENSG00000141076.18	1344	2559	420	626
ENSG00000141084.11	740	1941	2189	1320
ENSG00000141086.18	0	0	0	0
ENSG00000141096.6	4	3	6	1
ENSG00000141098.13	664	1253	1129	1004
ENSG00000141101.13	877	1534	346	732
ENSG00000141127.15	738	725	326	639
ENSG00000141161.12	3	2	3	0
ENSG00000141179.14	1700	7934	2145	2201
ENSG00000141194.6	0	0	3	0
ENSG00000141198.16	925	3164	1107	1291
ENSG00000141200.8	0	0	0	0
ENSG00000141219.15	658	978	320	385
ENSG00000141232.5	5244	4695	11737	3543
ENSG00000141252.20	1256	1409	605	1070
ENSG00000141255.13	0	0	0	1
ENSG00000141258.13	1200	949	676	1996
ENSG00000141279.17	1476	2318	997	1129
ENSG00000141293.16	521	881	673	21
ENSG00000141294.10	85	78	50	16
ENSG00000141295.14	3514	2881	1273	751
ENSG00000141298.19	801	785	480	409
ENSG00000141314.13	8	5	10	15
ENSG00000141316.13	0	0	0	0
ENSG00000141337.12	118	80	120	194
ENSG00000141338.14	17	1897	3038	2127
ENSG00000141349.8	1251	822	555	416
ENSG00000141367.12	15348	22484	8709	14459
ENSG00000141371.13	2	2	2	2
ENSG00000141376.23	750	1001	785	649
ENSG00000141378.15	1626	1310	497	518
ENSG00000141380.14	2941	3291	1821	1483
ENSG00000141384.13	24	16	29	9
ENSG00000141385.10	1065	2604	1107	2499
ENSG00000141391.14	10	18	11	5
ENSG00000141401.12	573	4570	682	1391
ENSG00000141404.17	80	245	30	44
ENSG00000141424.13	1630	1603	645	1128
ENSG00000141425.18	3767	2368	984	2123
ENSG00000141428.17	691	545	150	251
ENSG00000141429.13	3257	5608	2204	4074
ENSG00000141431.12	2	131	119	33
ENSG00000141433.13	0	1	6	2
ENSG00000141434.12	1	7	65	3
ENSG00000141437.10	0	1	11	0
ENSG00000141441.16	1070	651	190	226
ENSG00000141446.11	955	1195	389	826
ENSG00000141447.18	412	762	235	317
ENSG00000141448.11	480	407	288	217
ENSG00000141449.15	178	1291	681	915
ENSG00000141452.10	1127	931	575	416
ENSG00000141456.16	3756	3201	669	1448
ENSG00000141458.13	1039	2994	885	752
ENSG00000141469.18	26	40	99	58
ENSG00000141480.18	4181	2634	1155	2023
ENSG00000141485.17	499	12074	7604	13
ENSG00000141497.14	2247	189	152	539
ENSG00000141499.17	442	492	132	192
ENSG00000141503.17	2890	2932	1642	2109
ENSG00000141504.12	7634	3122	2042	6908
ENSG00000141505.12	22273	13628	12343	26508
ENSG00000141506.14	524	334	310	74
ENSG00000141510.18	1908	2479	618	724
ENSG00000141519.15	98	207	121	37
ENSG00000141522.12	6457	4363	2666	3091
ENSG00000141524.17	1839	592	1126	263
ENSG00000141526.17	531	364	210	91
ENSG00000141527.18	11	27	10	8
ENSG00000141540.11	108	135	61	434
ENSG00000141542.11	886	1372	407	607
ENSG00000141543.12	3451	3698	1183	1367
ENSG00000141551.14	5116	5686	2527	2419
ENSG00000141552.18	4981	3938	1567	2262
ENSG00000141556.21	1972	5890	1691	1533
ENSG00000141560.15	952	2105	1089	1272
ENSG00000141562.18	1641	2485	1318	4361
ENSG00000141564.15	1786	2002	740	969
ENSG00000141568.21	2288	1983	799	861
ENSG00000141569.12	920	968	240	261
ENSG00000141570.11	1653	634	317	418
ENSG00000141574.8	1944	494	747	455
ENSG00000141576.16	341	45	147	27
ENSG00000141577.14	717	1203	281	208
ENSG00000141579.7	1	3	3	1
ENSG00000141580.16	4422	4137	1682	1773
ENSG00000141582.15	1425	1945	633	1958
ENSG00000141622.14	8	165	132	10
ENSG00000141627.14	1315	1819	823	1001
ENSG00000141639.12	9	78	5	680
ENSG00000141642.9	293	238	136	254
ENSG00000141644.17	2691	3039	1292	1924
ENSG00000141646.14	2364	3972	1725	2060
ENSG00000141655.17	362	480	39	42
ENSG00000141664.10	1582	3303	1481	1146
ENSG00000141665.13	7	12	11	6
ENSG00000141668.10	0	3	0	0
ENSG00000141682.12	29	122	17	8
ENSG00000141696.13	267	412	142	113
ENSG00000141698.17	1937	2961	660	665
ENSG00000141699.11	3589	5532	3358	3935
ENSG00000141736.14	758	4259	9749	634
ENSG00000141738.14	647	606	352	460
ENSG00000141741.12	1679	1068	511	884
ENSG00000141744.4	0	0	16	3
ENSG00000141748.13	0	2	3	0
ENSG00000141750.7	1	0	1	0
ENSG00000141753.7	6255	46552	43515	19304
ENSG00000141756.19	272	678	388	181
ENSG00000141759.15	2240	2971	1135	1441
ENSG00000141837.21	54	11	63	16
ENSG00000141854.9	487	449	213	557
ENSG00000141858.12	2637	1620	741	931
ENSG00000141867.18	3267	5105	2951	3457
ENSG00000141873.11	609	575	477	433
ENSG00000141905.19	3183	6964	8864	8797
ENSG00000141933.9	114	132	77	47
ENSG00000141934.10	2838	349	24	206
ENSG00000141946.1	0	0	1	0
ENSG00000141956.14	337	426	212	669
ENSG00000141959.17	3669	11321	6119	7903
ENSG00000141965.5	53	16	39	13
ENSG00000141968.8	579	294	285	59
ENSG00000141971.13	1291	1648	719	502
ENSG00000141977.9	5	0	1	1
ENSG00000141979.4	0	0	0	0
ENSG00000141985.9	1787	1534	1697	970
ENSG00000141994.16	932	649	392	815
ENSG00000142002.17	3353	3196	3321	3730
ENSG00000142025.16	0	0	0	0
ENSG00000142039.4	1216	1635	570	667
ENSG00000142046.15	171	152	51	66
ENSG00000142065.14	154	230	92	300
ENSG00000142082.15	978	1377	875	1061
ENSG00000142089.16	83573	40878	29529	8283
ENSG00000142102.16	2951	1803	3232	18888
ENSG00000142149.9	12	80	36	221
ENSG00000142156.15	1433	7361	4088	1426
ENSG00000142163.8	0	0	0	0
ENSG00000142166.13	2148	7250	3508	3070
ENSG00000142168.15	9100	41954	19015	16768
ENSG00000142173.16	2542	7563	5567	1207
ENSG00000142178.9	14	8	273	71
ENSG00000142182.9	0	8	24	15
ENSG00000142185.16	367	216	111	244
ENSG00000142186.17	5657	5419	2823	2674
ENSG00000142188.17	799	1486	1251	977
ENSG00000142192.21	5576	29824	16837	8652
ENSG00000142197.12	545	2280	370	2552
ENSG00000142207.7	356	1866	701	569
ENSG00000142208.17	2754	4330	3930	2645
ENSG00000142224.17	1	1	1	1
ENSG00000142227.11	774	679	311	89
ENSG00000142230.13	3230	5889	1558	2080
ENSG00000142233.14	14	3	17	65
ENSG00000142235.12	19	79	9	8
ENSG00000142252.11	17	10	13	12
ENSG00000142273.13	147	1968	398	170
ENSG00000142279.13	111	122	98	72
ENSG00000142303.14	60	1245	751	649
ENSG00000142319.18	4	2	5	0
ENSG00000142327.13	4229	7782	3407	1875
ENSG00000142330.20	890	854	482	249
ENSG00000142347.19	2080	750	1119	190
ENSG00000142396.10	118	79	102	122
ENSG00000142405.22	6	9	2	1
ENSG00000142408.6	3	8	2	4
ENSG00000142409.6	3234	2383	1077	3206
ENSG00000142444.7	653	476	276	571
ENSG00000142449.13	913	11	66	10
ENSG00000142453.12	1031	1229	687	1259
ENSG00000142459.8	508	470	484	737
ENSG00000142484.7	30202	5355	1702	10570
ENSG00000142494.13	408	2276	1465	3959
ENSG00000142507.10	6553	3700	1502	2227
ENSG00000142511.4	0	0	0	0
ENSG00000142512.15	159	70	50	53
ENSG00000142513.6	5	2	0	22
ENSG00000142515.15	0	0	0	0
ENSG00000142528.16	258	418	110	368
ENSG00000142530.11	46	64	34	87
ENSG00000142534.7	35886	28182	12792	18040
ENSG00000142538.2	0	0	0	0
ENSG00000142539.9	0	0	0	0
ENSG00000142541.18	50673	42570	16000	23371
ENSG00000142544.7	246	173	50	66
ENSG00000142546.14	2823	1714	993	1156
ENSG00000142549.9	11	213	4	2
ENSG00000142552.8	506	630	639	144
ENSG00000142556.19	43	140	141	164
ENSG00000142583.18	140	65	35	841
ENSG00000142599.19	2148	3558	1852	1912
ENSG00000142606.16	4	12	8	6
ENSG00000142609.18	8	8	1	4
ENSG00000142611.17	9	25	28	412
ENSG00000142615.8	1	0	0	1
ENSG00000142619.4	0	14	16	35
ENSG00000142621.19	24	62	1	9
ENSG00000142623.11	0	75	15	6870
ENSG00000142627.13	360	1791	694	449
ENSG00000142632.17	50	127	80	42
ENSG00000142634.13	4916	4097	1071	2121
ENSG00000142655.13	793	1670	1071	974
ENSG00000142657.21	6388	20206	2315	5874
ENSG00000142661.19	13	12	11	9
ENSG00000142669.15	4197	3085	1648	935
ENSG00000142675.18	38	39	200	3
ENSG00000142676.14	24126	29136	9061	14305
ENSG00000142677.4	836	1374	365	481
ENSG00000142684.9	0	0	0	0
ENSG00000142686.8	710	580	274	148
ENSG00000142687.18	4650	5322	3222	7231
ENSG00000142694.6	0	0	0	0
ENSG00000142698.15	0	0	0	0
ENSG00000142700.12	1	0	0	5
ENSG00000142731.11	204	262	68	99
ENSG00000142733.17	489	475	355	157
ENSG00000142748.13	140	48	234	85
ENSG00000142751.15	1178	1608	512	790
ENSG00000142765.18	546	95	294	30
ENSG00000142784.16	2016	3629	2476	2203
ENSG00000142789.20	6	0	0	0
ENSG00000142794.19	15	60	27	42
ENSG00000142798.20	805	5318	4833	3298
ENSG00000142856.17	504	544	206	149
ENSG00000142864.15	6300	16451	4682	5614
ENSG00000142867.14	617	644	318	281
ENSG00000142871.18	1291	1043	544	124
ENSG00000142875.19	1179	1853	837	199
ENSG00000142892.15	816	1639	949	389
ENSG00000142910.16	408	619	1191	468
ENSG00000142920.17	65	98	41	134
ENSG00000142937.12	29095	33545	8214	8451
ENSG00000142945.13	672	1067	95	204
ENSG00000142949.17	6268	25329	24274	13866
ENSG00000142959.5	17	22	3	9
ENSG00000142961.15	852	738	474	339
ENSG00000142973.14	1	10	36	5
ENSG00000143001.5	12	2	0	0
ENSG00000143006.7	0	3	0	0
ENSG00000143013.13	808	1480	630	327
ENSG00000143028.9	93	187	401	104
ENSG00000143032.8	0	0	0	0
ENSG00000143033.18	572	924	370	219
ENSG00000143036.17	573	758	6	155
ENSG00000143061.18	750	1739	718	648
ENSG00000143067.5	279	605	426	207
ENSG00000143079.15	348	567	168	136
ENSG00000143093.15	754	953	647	245
ENSG00000143105.7	2	1	0	0
ENSG00000143106.13	7438	7998	2964	2112
ENSG00000143107.10	0	1	0	0
ENSG00000143110.12	555	594	388	92
ENSG00000143119.14	2236	1148	965	245
ENSG00000143125.6	1	3	1	1
ENSG00000143126.8	120	532	617	304
ENSG00000143127.13	48	117	73	15
ENSG00000143147.14	64	108	90	60
ENSG00000143149.12	2667	7469	4000	5966
ENSG00000143153.13	19285	5230	2732	13029
ENSG00000143155.13	2352	1988	824	2204
ENSG00000143156.14	168	324	116	60
ENSG00000143157.12	2230	3188	748	1614
ENSG00000143158.11	16323	8090	4657	12121
ENSG00000143162.9	10292	13112	9207	8560
ENSG00000143164.15	5867	7415	2794	4659
ENSG00000143167.12	31	2	2	1
ENSG00000143171.13	47	20	77	2
ENSG00000143178.13	181	196	55	57
ENSG00000143179.16	1031	1183	388	520
ENSG00000143183.18	9412	6806	3090	7804
ENSG00000143184.5	45	41	53	4
ENSG00000143185.4	76	27	65	2
ENSG00000143190.23	745	1358	494	620
ENSG00000143194.13	7	11	1	17
ENSG00000143195.13	140	380	8	17
ENSG00000143196.5	8	72	55	0
ENSG00000143198.13	1227	3779	1454	5054
ENSG00000143199.18	294	751	117	211
ENSG00000143207.21	3651	2666	1032	3204
ENSG00000143217.9	19	12	20	9
ENSG00000143222.12	5721	3533	1304	3243
ENSG00000143224.18	1202	876	358	740
ENSG00000143226.15	833	942	268	82
ENSG00000143228.13	678	533	52	220
ENSG00000143248.13	2586	5836	3427	7381
ENSG00000143252.16	4635	6140	2408	5594
ENSG00000143256.5	5525	1919	728	1440
ENSG00000143257.12	217	2737	3466	675
ENSG00000143258.16	1208	752	437	629
ENSG00000143278.5	579	8612	8249	13780
ENSG00000143294.15	3924	2830	1107	2649
ENSG00000143297.19	324	5	85	2
ENSG00000143303.12	1914	1476	946	816
ENSG00000143314.12	2440	5447	1070	3233
ENSG00000143315.8	1502	1898	669	1158
ENSG00000143318.13	17	4	14	42
ENSG00000143319.17	1688	1793	597	1461
ENSG00000143320.9	37	10	20	23
ENSG00000143321.19	21419	23921	8940	13321
ENSG00000143322.21	928	1050	326	553
ENSG00000143324.14	482	1135	770	734
ENSG00000143333.7	234	344	171	68
ENSG00000143337.19	1659	2031	856	1884
ENSG00000143340.6	3	2	5	5
ENSG00000143341.12	78	438	338	60
ENSG00000143344.16	440	985	483	211
ENSG00000143353.12	2954	1076	492	1672
ENSG00000143355.16	64	11	1	3
ENSG00000143363.17	951	1580	747	1313
ENSG00000143365.19	1573	8401	3950	9485
ENSG00000143367.16	1003	655	162	418
ENSG00000143368.10	6489	5415	1362	1581
ENSG00000143369.15	142	442	87	97
ENSG00000143373.18	2006	2467	704	1594
ENSG00000143374.17	1910	3532	885	2279
ENSG00000143375.15	1617	19958	5795	4173
ENSG00000143376.14	2040	2022	952	1976
ENSG00000143379.12	1076	1298	583	888
ENSG00000143382.15	153	1249	1429	577
ENSG00000143384.14	35437	13565	6897	9048
ENSG00000143387.14	617	551	298	550
ENSG00000143390.18	4388	3092	1486	940
ENSG00000143393.16	3928	2840	1607	2915
ENSG00000143398.20	2239	2219	705	1906
ENSG00000143401.15	3525	3829	1212	1635
ENSG00000143409.15	915	1318	1002	612
ENSG00000143412.10	776	1922	651	470
ENSG00000143416.21	3737	5991	23575	7673
ENSG00000143418.20	7688	11283	10025	18536
ENSG00000143420.19	11982	5906	3844	5011
ENSG00000143429.10	32	40	1	0
ENSG00000143434.16	173	1240	596	601
ENSG00000143436.11	1193	1045	344	620
ENSG00000143437.21	2059	2785	2481	5002
ENSG00000143442.22	2462	3506	1473	3500
ENSG00000143443.10	735	966	342	303
ENSG00000143450.18	78	26	14	15
ENSG00000143452.16	15	1	12	4
ENSG00000143457.11	894	1226	844	1835
ENSG00000143458.12	859	489	526	543
ENSG00000143469.20	0	0	3	0
ENSG00000143473.13	2	2	4	1
ENSG00000143476.18	539	1064	219	217
ENSG00000143479.17	333	509	117	151
ENSG00000143486.16	2385	3271	978	1670
ENSG00000143493.13	1369	2441	590	1488
ENSG00000143494.15	68	823	60	7
ENSG00000143498.18	145	173	43	97
ENSG00000143499.14	884	3220	782	847
ENSG00000143502.15	305	333	5	385
ENSG00000143507.18	863	1488	3961	1624
ENSG00000143512.13	9	3585	6	8
ENSG00000143514.17	2362	3888	1027	1095
ENSG00000143515.19	418	724	359	1261
ENSG00000143520.6	0	0	1	0
ENSG00000143536.7	0	0	0	0
ENSG00000143537.14	7300	7450	2582	821
ENSG00000143543.15	1142	550	287	507
ENSG00000143545.10	1365	834	340	311
ENSG00000143546.10	270	11	21	4
ENSG00000143549.21	14499	13078	4357	7886
ENSG00000143552.9	10	3	2	2
ENSG00000143553.11	1734	1251	519	919
ENSG00000143554.14	13141	4082	1675	1229
ENSG00000143556.9	2	0	0	0
ENSG00000143569.19	6377	6077	2022	4898
ENSG00000143570.19	33	26	15	60
ENSG00000143575.15	7424	3973	1833	3490
ENSG00000143578.16	745	863	357	378
ENSG00000143590.14	50	52	7	20
ENSG00000143595.13	0	0	0	41
