TCGA.2V.A95S.01A.11R.A37K.07 TCGA.2Y.A9GS.01A.12R.A38B.07 TCGA.2Y.A9GT.01A.11R.A38B.07 TCGA.2Y.A9GU.01A.11R.A38B.07
ENSG00000000003.15 73.7118797679163 113.936183254043 222.08919658895 127.230869819784
ENSG00000000005.6 0 0 0.0983674882466837 0
ENSG00000000419.13 24.7075103028949 32.8975021979219 18.1979853256365 31.6475816407965
ENSG00000000457.14 10.3119064237382 11.9477465715684 8.63174709364649 13.6886466317389
ENSG00000000460.17 3.58179050559049 10.4439784685951 1.72143104431696 3.53484982344729
ENSG00000000938.13 9.05713904916831 4.57310299808307 4.45112884316244 1.75556299956443
ENSG00000000971.16 1458.86099153178 1271.32263346709 2261.29641168683 2886.1218474596
ENSG00000001036.14 82.3355537240515 89.3609045301097 22.3294198319972 47.1392389207368
ENSG00000001084.13 98.6019016889306 146.195098997277 64.5536641618862 41.8013784490882
ENSG00000001167.14 13.8024411202691 21.8767359638028 10.1318512894084 14.6613234287948
ENSG00000001460.18 2.89737193764326 7.80723439762831 1.50010419576192 0.901505324100652
ENSG00000001461.17 11.5210458937783 13.3897159853784 8.31205275684478 11.316264199895
ENSG00000001497.18 31.5516959823672 72.0160724382811 42.8390411314308 21.2565465893207
ENSG00000001561.7 18.8671385230786 21.7325390224218 7.77103157148802 7.09342347121302
ENSG00000001617.12 12.2967202707852 16.788643889359 16.2060436886411 12.9057604292304
ENSG00000001626.16 0.707232520212134 9.39340075281929 0.688572417726786 0.0711714729553147
ENSG00000001629.10 16.1522782035546 32.6503074412687 19.5505382890284 20.4262127381753
ENSG00000001630.17 1.71104641986807 5.47948377247791 1.67224730019362 3.7246404179948
ENSG00000001631.16 4.99625554601475 4.88209644389949 3.14775962389387 3.10782098571541
ENSG00000002016.18 2.76048822405382 4.86149688084506 6.12337614335606 8.04237644395055
ENSG00000002079.14 0.114069761324538 0.164796504435426 0.27051059267838 0.0711714729553147
ENSG00000002330.14 12.2282784139905 9.08440730700284 5.58235495799931 7.75769055212929
ENSG00000002549.12 340.794818933189 111.114043115586 180.750259653281 120.113722524253
ENSG00000002586.20 119.61355172491 357.629014187928 119.983743788892 75.6078281028626
ENSG00000002586.20_PAR_Y 0 0 0 0
ENSG00000002587.10 1.18632551777519 1.33897159853783 0.737756161850128 0.759162378190023
ENSG00000002726.21 0.912558090596302 105.675758469217 22.8704410173539 0.0237238243184382
ENSG00000002745.13 0.365023236238521 0.185396067489854 0.0737756161850129 0
ENSG00000002746.15 0.045627904529815 2.34835018820482 0 0.0237238243184382
ENSG00000002822.15 0.501906949827967 0.123597378326569 0.393469952986735 0.948952972737528
ENSG00000002834.18 407.845024639753 345.619468927197 150.428481401241 369.142706394899
ENSG00000002919.15 26.2360451046437 24.3280839672797 14.6567557487559 10.9841306594369
ENSG00000002933.9 322.406773407674 875.914020637344 569.449389460052 426.720428015748
ENSG00000003056.8 7.2320228679757 41.3227234871831 27.7642235576265 18.1487256036053
ENSG00000003096.14 2.05325570384168 5.37648595720577 0.196734976493367 3.81953571526855
ENSG00000003137.8 9.23965066728757 0.700385143850561 5.01674190058087 3.34505922889979
ENSG00000003147.19 27.6733240973329 21.8149372746395 3.61500519306562 23.439138426617
ENSG00000003249.15 10.8138133735662 117.08791640137 24.9361582705343 5.66999401210674
ENSG00000003393.15 36.5935794329117 40.4163427127881 20.6817644038653 21.9919851431922
ENSG00000003400.15 16.3576037739387 18.1688146140057 19.3783951845967 9.72676797055967
ENSG00000003402.20 81.2176700630709 77.9693461610109 80.1940947931088 46.4986956641389
ENSG00000003436.16 471.062486365812 286.375125582661 235.860644943486 21.2090989406837
ENSG00000003509.16 11.6807435596327 15.058280592787 8.23827714065976 9.63187267328592
ENSG00000003756.17 43.9624860144769 46.7404085704976 39.4453627869202 22.7748713457007
ENSG00000003987.14 1.5285348017488 0.968179463558128 1.27877734720689 1.09129591864816
ENSG00000003989.18 73.0046472477043 62.1900808613189 448.924624485803 262.385496961927
ENSG00000004059.11 70.0616474055311 68.1433545840486 45.4211876979061 65.2167930513866
ENSG00000004139.14 2.6920463672591 5.5412824616412 5.70531431830765 1.37598181046942
ENSG00000004142.12 149.089178051171 331.467569108805 135.870093140732 193.776197033003
ENSG00000004399.13 55.6660435263745 103.965994735699 67.9719343784583 105.238884676592
ENSG00000004455.17 163.302270312208 182.573927351397 117.918026535712 86.022586978657
ENSG00000004468.13 19.5515570910258 1.97755805322511 6.24633550366441 1.16246739160347
ENSG00000004478.8 47.6583462813919 56.4016036430246 57.6679399846183 98.2403565026527
ENSG00000004487.17 36.4338817670574 64.1058402253807 24.0262590042525 31.1968289787463
ENSG00000004534.15 78.6168795048715 52.3228901582478 67.4555050651634 20.9718606974994
ENSG00000004660.15 1.73386037213297 1.7509628596264 1.67224730019362 0.8066100268269
ENSG00000004700.16 4.90499973695512 12.9159260351265 6.9349079213912 6.73756610643645
ENSG00000004766.17 18.8671385230786 18.7250028164753 8.8776658142632 11.3874356728503
ENSG00000004776.13 0.296581379443798 2.10115543155168 1.40173670751524 0.711714729553147
