	TCGA-3X-AAV9-01A-72D-A418-05	TCGA-3X-AAVA-01A-11D-A418-05	TCGA-3X-AAVB-01A-31D-A418-05	TCGA-3X-AAVC-01A-21D-A418-05	TCGA-3X-AAVE-01A-11D-A418-05	TCGA-4G-AAZO-01A-12D-A418-05	TCGA-4G-AAZT-01A-11D-A418-05	TCGA-W5-AA2G-01A-11D-A418-05	TCGA-W5-AA2H-01A-31D-A418-05	TCGA-W5-AA2I-11A-11D-A418-05	TCGA-W5-AA2I-01A-32D-A418-05	TCGA-W5-AA2O-01A-11D-A418-05	TCGA-W5-AA2Q-11A-11D-A418-05	TCGA-W5-AA2Q-01A-11D-A418-05	TCGA-W5-AA2R-11A-11D-A418-05	TCGA-W5-AA2R-01A-11D-A418-05	TCGA-W5-AA2T-01A-12D-A418-05	TCGA-W5-AA2U-11A-11D-A418-05	TCGA-W5-AA2U-01A-11D-A418-05	TCGA-W5-AA2W-01A-11D-A418-05	TCGA-W5-AA2X-11A-11D-A418-05	TCGA-W5-AA2X-01A-11D-A418-05	TCGA-W5-AA2Z-01A-11D-A418-05	TCGA-W5-AA30-11A-11D-A418-05	TCGA-W5-AA30-01A-31D-A418-05	TCGA-W5-AA31-11A-11D-A418-05	TCGA-W5-AA31-01A-11D-A418-05	TCGA-W5-AA33-01A-11D-A418-05	TCGA-W5-AA34-11A-11D-A418-05	TCGA-W5-AA34-01A-11D-A418-05	TCGA-W5-AA36-01A-11D-A418-05	TCGA-W5-AA38-01A-11D-A418-05	TCGA-W5-AA39-01A-11D-A418-05	TCGA-W6-AA0S-01A-11D-A418-05	TCGA-WD-A7RX-01A-12D-A418-05	TCGA-YR-A95A-01A-12D-A418-05	TCGA-ZD-A8I3-01A-11D-A418-05	TCGA-ZH-A8Y1-01A-11D-A418-05	TCGA-ZH-A8Y2-01A-11D-A418-05	TCGA-ZH-A8Y4-01A-11D-A418-05	TCGA-ZH-A8Y5-01A-11D-A418-05	TCGA-ZH-A8Y6-01A-11D-A418-05	TCGA-ZH-A8Y8-01A-51D-A418-05	TCGA-ZU-A8S4-11A-11D-A418-05	TCGA-ZU-A8S4-01A-11D-A418-05
GLS2	0.223709166067543	0.264181453554465	0.0855735484029934	0.0889363587731574	0.11438416730415	0.244479577746917	0.190069264465832	0.154866012851627	0.280483525369793	0.06337340154638	0.22264012246193	0.108140092565086	0.0996141169626508	0.0922345091659755	0.0755735902771822	0.376838354825391	0.239897011047757	0.0735287183290398	0.17260391187113	0.411046001284823	0.0843520428304217	0.0491981985259514	0.220852135473161	0.0882602714719633	0.376595841088158	0.063639375178427	0.0830825128132131	0.137659962360168	0.0547715756843336	0.066701882558641	0.186055311828321	0.250342472801931	0.0896218556881376	0.104874398798143	0.229074592212178	0.0489698966511137	0.267579559248557	0.206171794469389	0.110227379591493	0.295385268093429	0.376807236406847	0.0872150801325393	0.109621824579628	0.0540229832985483	0.256606636637521
GPX4	0.0358539444796822	0.0291736655277866	0.0444889074404601	0.0413971265043966	0.0327842071406049	0.0328073042823545	0.0293224025678634	0.0272532264341471	0.0381429278415797	0.036859820566256	0.041107668608613	0.0254375575041468	0.0409477284581693	0.0372146817539706	0.0324037251132133	0.0323117605443979	0.021253903959135	0.0374370641880675	0.0233814955370362	0.0310462854398767	0.0239411253598848	0.0271599463335873	0.0390733642135981	0.0259685048059381	0.0574428793958034	0.0345700534260035	0.0421196443162888	0.0435816021895866	0.0254878878611615	0.0310234220235686	0.0358850327902492	0.0467878855519138	0.0422832325988359	0.039391185953174	0.0392249628495666	0.0309654417110287	0.0466506785883536	0.0402937513457068	0.036998153989743	0.0379435403591494	0.0223696942653236	0.0346110858690463	0.046259295027642	0.034621958963354	0.0345085969551167
HSPA5	0.0600876783454097	0.055479920531451	0.0884705549028685	0.0686794653489118	0.0697632829511851	0.0593510055676593	0.0520006146210587	0.0540219455522159	0.0682224255232071	0.0974038936615443	0.0668973093856236	0.0421900985645388	0.051732996201036	0.107902690478021	0.0630473122964561	0.0698950068237159	0.0452072548265351	0.0737629702679723	0.0460820144692659	0.0801348521690536	0.0674726778063318	0.0453702960262515	0.0628286384057673	0.0555540602680799	0.0829336410489535	0.0784924203061397	0.0638452030624887	0.0855228336011235	0.0468935188793212	0.058693241086275	0.0688111115241128	0.0813414521289295	0.0830764846923859	0.121002244913825	0.0802080896160661	0.0445116411914143	0.0678553015727887	0.0531051761046009	0.0579804309374034	0.0849768084289579	0.0538532943939062	0.0779846442316725	0.0747993605916675	0.072106166687598	0.0893730546146558
HSPB1	0.0366223212194645	0.0311089060796944	0.0384658331378619	0.0347691790753519	0.0381764189038874	0.0236596322414287	0.0305693744565791	0.0289299256383654	0.0361788565686889	0.0415889316574951	0.0360689497967626	0.0249547763899074	0.0311357052755332	0.0436839437207573	0.0231552851792527	0.0331180883946373	0.0270174674849511	0.0407990873927455	0.0304298965626225	0.0209113263892186	0.0263277678414436	0.0351572401730738	0.0305559520191729	0.0260548294567776	0.0562448954501544	0.0310413052070865	0.0429464842356	0.0546411659145224	0.0278906723231297	0.0280332796569132	0.0354707768985091	0.0620986138411038	0.060740259145216	0.0325136223357608	0.0404979179680223	0.024376981850027	0.0571374481812868	0.0346476288682184	0.0313654781418236	0.0315887279505269	0.0232817424311576	0.0339183538056912	0.0573211376936516	0.0334691023129062	0.0277181535067884
LPCAT3	0.0389747631406405	0.0285112386637093	0.0386747840003973	0.0398590386899473	0.0376514091729102	0.0276787467867748	0.0328997147346433	0.0285051734722756	0.0329602207329842	0.0395921956082726	0.0373928199576903	0.021931565295974	0.034007348375637	0.0370427645083255	0.0288249016569159	0.0349443293600913	0.0224223772884861	0.0388367678463381	0.0263481138472783	0.0218218257143485	0.0260298288660957	0.0230532775796073	0.034534232427088	0.0236067861091385	0.0501426325075639	0.0299951560861918	0.0393100717258137	0.050893775266494	0.023823038841802	0.0347985815096809	0.0390447766098062	0.0496034984114996	0.0487433380820224	0.0310371304204645	0.0370920147446082	0.0252989720269165	0.0478339002981751	0.0318551983160504	0.0328390288107959	0.0312976060132787	0.0207853862307709	0.0361687827157973	0.0515851042932769	0.0317751104020476	0.0304240151853012
MT1G	0.373882557330399	0.647002650499193	0.185892181430588	0.123763474216997	0.215984618695945	0.136527596941192	0.187605546371687	0.400544837685751	0.226574624616551	0.192996244430178	0.647119163345653	0.528772859114185	0.207448109654174	0.192138594523591	0.185055667430939	0.258575457295137	0.0838755529033819	0.187223773667468	0.688980266146127	0.457097263614975	0.244064385008113	0.0986631357342624	0.233867498614871	0.168285117897192	0.49020904513943	0.174669541522099	0.25143506887021	0.245112089695806	0.183760003572646	0.48639128792472	0.697536416826323	0.322664451001271	0.180591914661258	0.524974887116513	0.346402104036322	0.656158808315691	0.384136586671691	0.30081718047739	0.23402109219134	0.195052009123916	0.101622325619241	0.119623507379499	0.236778107889421	0.288723932104473	0.176042043207781
NCOA4	0.106269625804903	0.0466790910020436	0.0877107623760177	0.0542369083249612	0.0860526342638973	0.0544703267151255	0.0916106550188682	0.0534105379291957	0.0643387856918429	0.0637915298072547	0.0795309550994741	0.0462101461725223	0.0588643400830381	0.0579040578194431	0.0454543843478011	0.0835367355726449	0.0476130917232447	0.0798961129134692	0.0468666732153064	0.0373687050463548	0.069297814756618	0.0508959061971428	0.045191695861701	0.0520532386566134	0.0801608835127919	0.0718794243180907	0.0683396851625636	0.0813827216632707	0.0437068121820306	0.0680436853864877	0.0732722872969244	0.0668861937417573	0.0781514991562976	0.0608350328087139	0.0926314321721128	0.0378592952974429	0.0731760231186227	0.0746899252156662	0.0504671538679322	0.0654087054310161	0.047912519344482	0.0606622178122688	0.0832255824207086	0.0735024057818022	0.0536725627678447
NFE2L2	0.0689918245016497	0.0369450937554035	0.0674238725427016	0.0549053814992168	0.0805831967279706	0.037899031569198	0.0627241100783499	0.0564830902207277	0.0727774802022109	0.065022364285468	0.0857115334588097	0.0350016628981532	0.0637183502701126	0.069864479566408	0.0486115476002013	0.0706528258998766	0.0322802284317573	0.0680332891919616	0.0356014786575859	0.0319953375745164	0.0500798753250218	0.0309271311348401	0.0629323086592691	0.0341449223404858	0.0596165027389488	0.0711274116255686	0.0735964664825769	0.0605861297348825	0.02699504389962	0.0552376583652576	0.0582828628117696	0.0687410268922569	0.0843153774446042	0.0586751728468465	0.070819542184743	0.0310740808932113	0.067987042462989	0.0861570465068966	0.0634944731099246	0.0738841776371515	0.0299661967044565	0.0802134025065452	0.062038153963524	0.0538442298442761	0.0546225544473242
RPL8	0.0753402982322788	0.0473711197974654	0.0691270943315507	0.076164502087777	0.0780763848166129	0.0690558287347374	0.0680542169295354	0.0583456183145951	0.0666523890233378	0.0801274318588899	0.0686308071768054	0.0458888710360148	0.0605351793568895	0.0835041150880042	0.0512588613445187	0.0934182433412897	0.0479984995305272	0.0774785101635077	0.0545120473520687	0.0557138674071317	0.0851185044838407	0.0433776604970745	0.0654437026747333	0.0423001098307136	0.0980828543318523	0.0735009110074216	0.0833522207782551	0.0693838016231021	0.0450117762323266	0.0469903851601998	0.0719761774608753	0.0968158065868842	0.0856226598481021	0.0728319285413269	0.0917564991211208	0.0525657848613496	0.0773994694017512	0.0800109093200822	0.073210419345023	0.0736593585492298	0.0620386411111671	0.0794392149577344	0.0702523393120958	0.0780828012030419	0.0634128493468855
SAT1	0.0316546707019791	0.344030334048858	0.477634366332423	0.459390091438767	0.0364644865811086	0.427315532470869	0.0247222362682353	0.427088411753215	0.380553567538418	0.0291704970754269	0.0375204083856817	0.0199835301662984	0.0282046721482765	0.0286564073858939	0.226181665349199	0.486818456001979	0.056530484614264	0.285357050359241	0.481015266583526	0.446028151819416	0.0255016511623702	0.0187861507060436	0.470507115190687	0.0214614773911919	0.0408431635584231	0.0283792746024125	0.031400391681263	0.0394362596618835	0.262752666609358	0.300237288825892	0.500653681930759	0.497302348004117	0.0369796126524915	0.527555504510403	0.458057085128486	0.0187476993319414	0.463014692028361	0.515774477873522	0.113104775665921	0.0249168688986929	0.0198605019422096	0.308254355554398	0.0407249510181502	0.0244743622817788	0.0248469299957258
SLC1A5	0.140829645874131	0.634855267614075	0.14804848346024	0.0885790535733452	0.196543453461301	0.396758832134393	0.270869280460809	0.255447984309263	0.143359716413594	0.327160020628212	0.336826546699925	0.259469236804932	0.271956276900326	0.160680073017636	0.280106662172646	0.274889309603973	0.0928848360027786	0.313915307511296	0.108715772609177	0.135412032417136	0.283838416878242	0.0768567426526013	0.13276348501008	0.253485223606668	0.167679488744532	0.317436895760075	0.125747374105558	0.111901101935718	0.232300471637047	0.406589717293255	0.562989765359907	0.26715488486354	0.148535928317541	0.36203801379201	0.227869184988416	0.145218236365877	0.200133874340317	0.120587555599158	0.124421625366456	0.174049794942938	0.0716707110935232	0.303248944121941	0.153725083500771	0.274799464549829	0.123670502974728
SLC7A11	0.427489492140229	0.472425358314019	0.386088482457864	0.397717585439855	0.431789413645832	0.452937665719646	0.471666335975888	0.482468082595109	0.405720847224078	0.462383670017069	0.465508978973109	0.432790093674686	0.463994353122388	0.447317568658455	0.483350759656665	0.458546733059434	0.454608870597165	0.484730900028363	0.456318574023078	0.458122118931117	0.41419296715409	0.225440623987757	0.461960770158965	0.476419006448507	0.406391935177952	0.43465771886248	0.432510868928659	0.443466487409759	0.478136094690903	0.462511347830454	0.460188154321141	0.369802469165687	0.359172394968578	0.439151423358106	0.442925080465598	0.470608369460684	0.455238495160441	0.428901188404206	0.403154072686741	0.460827857855675	0.463432155317	0.429945398437036	0.419582887059981	0.458956811399855	0.463179289218688
TFRC	0.0281814530122977	0.0225609720690588	0.04144466936308	0.0346659644032466	0.0446974642523611	0.0279623633831403	0.0287124834765306	0.0220504157318602	0.0228491563623614	0.0375983537655239	0.0351793597627905	0.0191418716144744	0.0363874968679048	0.0347059487655224	0.0277884541129626	0.0341906117299609	0.0205628986919061	0.0427118261787191	0.0264344971333934	0.0178705759877164	0.0343181484874167	0.019348622601436	0.0275157508249362	0.0203727189104383	0.0342772120250646	0.03153090152984	0.0343672811492135	0.0383891241541225	0.01928798118301	0.0296244885718108	0.02859804027658	0.0436201249272762	0.038408057896182	0.0351925251697026	0.0428191743516783	0.0227338740355949	0.0445065869228394	0.0384490285658889	0.0308286535367022	0.0371348806308646	0.0267591800482691	0.0372118208724523	0.0472632897947059	0.0338182370774871	0.0362238705387075
TTC35	0.0359656128679389	0.0407957267373071	0.0399418895950344	0.0303563866487034	0.0410101508524222	0.0317663082666567	0.0343540819772108	0.0305080228597901	0.0309058272311584	0.0394927573005156	0.0385066785708112	0.0311645991222638	0.0313663842607685	0.0432454590033224	0.0337009586369214	0.0447617697041228	0.0219622114561032	0.044271650928803	0.0273406095224019	0.0222690786753386	0.0358104048740884	0.0266155882576974	0.040361578568336	0.0186127343112052	0.0402836343896641	0.031047823292526	0.0507666892988548	0.0379006303677153	0.0230477116433806	0.0380036548978595	0.0415344677691861	0.0570829954161538	0.0600899416859228	0.0370310572116889	0.0396294776529312	0.0268701749560823	0.0400530624863865	0.0272488645657872	0.0310024182369229	0.0393936553619127	0.0246438917417871	0.0433538006767677	0.0441254738456112	0.0372258614955093	0.0329121177746794
