	TCGA-3X-AAV9-01A-72D-A418-05	TCGA-3X-AAVA-01A-11D-A418-05	TCGA-3X-AAVB-01A-31D-A418-05	TCGA-3X-AAVC-01A-21D-A418-05	TCGA-3X-AAVE-01A-11D-A418-05	TCGA-4G-AAZO-01A-12D-A418-05	TCGA-4G-AAZT-01A-11D-A418-05	TCGA-W5-AA2G-01A-11D-A418-05	TCGA-W5-AA2H-01A-31D-A418-05	TCGA-W5-AA2I-11A-11D-A418-05	TCGA-W5-AA2I-01A-32D-A418-05	TCGA-W5-AA2O-01A-11D-A418-05	TCGA-W5-AA2Q-11A-11D-A418-05	TCGA-W5-AA2Q-01A-11D-A418-05	TCGA-W5-AA2R-11A-11D-A418-05	TCGA-W5-AA2R-01A-11D-A418-05	TCGA-W5-AA2T-01A-12D-A418-05	TCGA-W5-AA2U-11A-11D-A418-05	TCGA-W5-AA2U-01A-11D-A418-05	TCGA-W5-AA2W-01A-11D-A418-05	TCGA-W5-AA2X-11A-11D-A418-05	TCGA-W5-AA2X-01A-11D-A418-05	TCGA-W5-AA2Z-01A-11D-A418-05	TCGA-W5-AA30-11A-11D-A418-05	TCGA-W5-AA30-01A-31D-A418-05	TCGA-W5-AA31-11A-11D-A418-05	TCGA-W5-AA31-01A-11D-A418-05	TCGA-W5-AA33-01A-11D-A418-05	TCGA-W5-AA34-11A-11D-A418-05	TCGA-W5-AA34-01A-11D-A418-05	TCGA-W5-AA36-01A-11D-A418-05	TCGA-W5-AA38-01A-11D-A418-05	TCGA-W5-AA39-01A-11D-A418-05	TCGA-W6-AA0S-01A-11D-A418-05	TCGA-WD-A7RX-01A-12D-A418-05	TCGA-YR-A95A-01A-12D-A418-05	TCGA-ZD-A8I3-01A-11D-A418-05	TCGA-ZH-A8Y1-01A-11D-A418-05	TCGA-ZH-A8Y2-01A-11D-A418-05	TCGA-ZH-A8Y4-01A-11D-A418-05	TCGA-ZH-A8Y5-01A-11D-A418-05	TCGA-ZH-A8Y6-01A-11D-A418-05	TCGA-ZH-A8Y8-01A-51D-A418-05	TCGA-ZU-A8S4-11A-11D-A418-05	TCGA-ZU-A8S4-01A-11D-A418-05
ACSL4	0.0474422998286543	0.419996502249977	0.512316469920328	0.520298697670775	0.0445664709881948	0.471017322756674	0.029310626463049	0.506153932108421	0.571129090560375	0.156399231073137	0.0544915156112971	0.0326443852716124	0.0911069285151671	0.0531973745844959	0.47902557855651	0.606748658484357	0.14076953894034	0.555057390147162	0.507353500415864	0.47840258268655	0.0647058092417386	0.0332659811798232	0.5287401126983	0.0757466694061165	0.0528472554817347	0.0544312578186031	0.0451114749910828	0.0735032646482842	0.498867286541468	0.52059765189797	0.594915495938799	0.586266500052896	0.0645676107140767	0.565727098580825	0.551373217897245	0.0704946675564519	0.44181859946311	0.604216877764474	0.314248557698178	0.0381807431526964	0.0327631922939354	0.570223158700034	0.0646410256406197	0.107151413054945	0.0283278628104432
ALOX15	0.265045418625403	0.679981721814949	0.160844170430467	0.705687080378476	0.504251822655285	0.493684827502805	0.518390464760278	0.511724031193591	0.292929392783361	0.310500595602321	0.77846603164123	0.655967218170165	0.235559424464155	0.638465860229516	0.213191711444528	0.231232606924825	0.736894208024041	0.259724140473119	0.772494749321189	0.523520523303117	0.266870844975022	0.0865968141273268	0.511892918967878	0.271245077935952	0.629521237222305	0.260231872735196	0.518964468819544	0.571162635410171	0.203669326793245	0.624345787959615	0.674247281368881	0.482221951304577	0.115454948696385	0.334513251964089	0.491377857273368	0.467419868490218	0.490079882789635	0.797753973368637	0.161422466473723	0.653652748815054	0.842918995817541	0.0961611985607215	0.584489857557425	0.196067905867687	0.323584872916834
ATP5G3	0.0923719995574343	0.0927195742787996	0.0934869994841481	0.105572600749896	0.0969063019943708	0.0756071582268689	0.0884590290184964	0.0598473883757334	0.0943765166727056	0.114899553264096	0.124132952405475	0.0653928763981585	0.0899721937910624	0.110520621100834	0.0746549227040759	0.0987116428988001	0.0672684032211188	0.145044952978208	0.101381674717803	0.0598367566630904	0.114446210602482	0.0686811103713309	0.0545234323115	0.0716792523152982	0.110781831947572	0.0871832208460582	0.0918261233731322	0.109536708997032	0.0669313527608986	0.09122783292563	0.100375792186993	0.0962920206234802	0.0915101473852854	0.127797290260282	0.157947939868244	0.068778240587756	0.0949592251244994	0.109710308710388	0.0923971605869988	0.0934662617816006	0.0736965352735255	0.0956449974220256	0.0951483036310575	0.0860502755073114	0.0833044726166427
CARS	0.0374742578975607	0.0195068919772592	0.0355914192670751	0.0300360870869361	0.0521898846179677	0.0210918821813303	0.025378023326986	0.0269496543974614	0.0256891083050269	0.035200685415906	0.0560143421843736	0.0230818668637331	0.0392216959676118	0.0429930724620022	0.0227611384603637	0.0447467872032446	0.0221691971689483	0.0347763760164305	0.0211305291326003	0.0236429599839039	0.0256791680807163	0.0200409675419526	0.0320922450841531	0.0178828115194056	0.0431145127610469	0.0383439197881721	0.050494273653392	0.0369640755808614	0.0199244095001074	0.0479799808234543	0.0278597826835606	0.045318785919238	0.0462887095613101	0.0309211471158546	0.0408197823132145	0.0194821295721824	0.0521680338935359	0.0373614027157904	0.0241800095841943	0.0340296051018012	0.0184455891490819	0.0300231643765405	0.0424529999439894	0.0251088801484905	0.0193787678394418
CDKN1A	0.240868001973957	0.196616432761132	0.156224188081124	0.104449249465871	0.203787435922937	0.153110108424257	0.234148694399859	0.208872953639595	0.278928510482239	0.107003233470855	0.41291657078347	0.139704575058461	0.118155181777096	0.185618416418861	0.109498848495673	0.183381016897957	0.0664933631647409	0.118709634908805	0.22940652294692	0.0674600485902432	0.133461070498689	0.0774633019922919	0.113048600516702	0.116391271489778	0.175406989133138	0.0956209504814378	0.0791263743159097	0.249860531230105	0.0857590613108522	0.31363481814132	0.0741071519932009	0.138829444658272	0.0851555463260564	0.193754495103247	0.295108713398925	0.0776422785612483	0.126386212443069	0.104873866020387	0.165073577892777	0.0722158292205087	0.0615414225907521	0.103375122828375	0.265346899137713	0.100152438397188	0.162960280350373
CISD1	0.054027777129864	0.0414035469645149	0.0664164818677983	0.0530515443695817	0.0629987044645652	0.0523348399905838	0.0329761029977881	0.0426923755182336	0.0572750385364709	0.0583441648448786	0.061995742257374	0.0404946205933814	0.0477858547167022	0.0660714286341122	0.0574344682251476	0.0712833485393765	0.0412995631448286	0.0699714265147755	0.0417647061714071	0.046156277315341	0.0485981914651275	0.0446974883260973	0.0550413433893587	0.0362422398580407	0.0693786357663235	0.0500441761255628	0.0541726901718588	0.0776040308999019	0.0458684692340302	0.0444751239247959	0.0614041978247227	0.0789593872215707	0.0583351626826227	0.0702062260052218	0.0541527958809554	0.0437498513611008	0.0678061947289357	0.0560538033546307	0.0507249689901975	0.0655809845281714	0.0373378377807433	0.0640583874071383	0.0604822804766761	0.0415875099846063	0.0472347869087532
CS	0.161458802314297	0.093711896683161	0.112919758701735	0.14231427326173	0.143966637991586	0.105815586851685	0.0954959190408087	0.149669063121649	0.133152338065668	0.17817447702141	0.164282091862114	0.150821809552719	0.143419024709812	0.127540832430742	0.10481787655073	0.16017762189331	0.0989231865570106	0.165945871032797	0.0804037776663857	0.107101529295611	0.0973292531954014	0.0787666838472396	0.173173606223326	0.106581372970153	0.160632411103914	0.102948646893997	0.123458148826677	0.152382379479077	0.0793336294592019	0.0947902062452417	0.1507455012763	0.180160781200178	0.111522185165921	0.165735918667659	0.157878992177659	0.0797491309807069	0.125955986107718	0.114448106838955	0.122812760079096	0.119236375018988	0.0441017864765563	0.142707721753301	0.180179636648899	0.112893915191339	0.0754611980320151
DPP4	0.773758486394692	0.885520579807754	0.550396707919441	0.495091595280036	0.755744047443426	0.82346206455222	0.633402673321859	0.853743963117775	0.862856480676264	0.715575671593202	0.709104308494626	0.872840055965207	0.580595126206227	0.637200291779395	0.731996933276066	0.858975555959916	0.642059328568487	0.643618635856222	0.87788593728771	0.622101945919462	0.716133951700192	0.437564865281897	0.802992445714434	0.735889694721065	0.552286487264681	0.720109211983558	0.631801424948567	0.673233464142157	0.698864024752341	0.837823010536388	0.861782315151934	0.793101462522384	0.691626623663677	0.900742671506223	0.82684388934932	0.907606772303409	0.759602363211209	0.664838785321625	0.637729870668715	0.791446265250144	0.491023639464877	0.735015533774951	0.788609113260181	0.657344734817947	0.795509501648965
FANCD2	0.0284284512179062	0.0263025734231579	0.0346361303635125	0.0336272476645673	0.0366011934671211	0.0264949083149137	0.028276427619767	0.0205018449447772	0.0267834549829814	0.0311365772753846	0.0461073175275524	0.0231140067541349	0.0273184864122803	0.0334308904956341	0.0295261517339775	0.038859989652002	0.0229265694405804	0.0379524012401721	0.0260380639617394	0.023829009363438	0.0331781868442697	0.0226420221776374	0.0318547518418303	0.0212994863834708	0.0379509338798898	0.025602761650766	0.035902058752474	0.0341494460427258	0.0227025330138098	0.0296188383304846	0.037072504611572	0.0436318902608861	0.0449564530039255	0.0302738799527616	0.0422363001531544	0.0239318357260982	0.040054234610115	0.042613718447214	0.0289601888136547	0.0297384482487238	0.0239018719551826	0.029488823160081	0.0382749760379106	0.0258320954272167	0.0257089995648037
FDFT1	0.0268306661082127	0.0230287122859714	0.0334132335348102	0.0284286559460335	0.0319842318537445	0.0226003904205203	0.0205653016483517	0.0665675109506489	0.0217179104467753	0.0553815212246973	0.0258562001796157	0.0237004845957297	0.0236933171265572	0.0286206902652563	0.0254622198179838	0.0510804907533626	0.0233557534131948	0.0305383067693371	0.0218019137828835	0.021593591551633	0.0381355855454154	0.021659325656111	0.0366124703051643	0.0271918838596281	0.0357887484801358	0.0234117333643825	0.0291757118290348	0.0330649051543904	0.021634661589341	0.0256128368279709	0.0325074681495099	0.0442543918039819	0.0394083843758238	0.0290492521161385	0.0304898451917031	0.0224526093669564	0.0351339133755457	0.0264286368931766	0.0252491641662388	0.0292842781786055	0.0195370895312558	0.0300203924639744	0.0334394993209586	0.0364590672572987	0.0233124971976625
