"Custom pathway"$"Custom pathway"$"Diff"$"Direction of change"$"Interactions"$"P-value"$"FDR corrected p-value"
"alanine and aspartate metabolism"$"alanine and aspartate metabolism"$0.192592592592593$"UP"$"organ + age"$0.0975874827746396$0.302644725060591
"arachidonic acid metabolism"$"arachidonic acid metabolism"$-0.0444444444444445$"DOWN"$"organ + age + organ:age"$0.69387540467065$0.913975667442523
"beta-alanine metabolism"$"beta-alanine metabolism"$-0.074074074074074$"DOWN"$"organ + age + organ:age"$0.499818598792408$0.764797067411216
"bile acid synthesis"$"bile acid synthesis"$-0.111111111111111$"DOWN"$"organ + age"$0.343708006428905$0.644386357233664
"butanoate metabolism"$"butanoate metabolism"$0.22962962962963$"UP"$"age"$0.0274496276613665$0.131865858373231
"cholesterol metabolism"$"cholesterol metabolism"$0.244444444444444$"UP"$"age"$0.0228426946673024$0.127192277124752
"eicosanoid metabolism"$"eicosanoid metabolism"$0$"DOWN"$"organ + age + organ:age"$1$1
"fructose and mannose metabolism"$"fructose and mannose metabolism"$-0.00740740740740736$"DOWN"$"organ + age + organ:age"$0.945547797131812$0.989996625202111
"galactose metabolism"$"galactose metabolism"$-0.133333333333333$"DOWN"$"organ + age + organ:age"$0.218123143789066$0.494816391002973
"glutamate metabolism"$"glutamate metabolism"$0.288888888888889$"UP"$"age"$0.00399251648640835$0.0489083269585023
"glutathione metabolism"$"glutathione metabolism"$0.148148148148148$"UP"$"organ + age"$0.210062287278998$0.485521324371269
"glycine, serine, alanine and threonine metabolism"$"glycine, serine, alanine and threonine metabolism"$0.074074074074074$"UP"$"organ + age + organ:age"$0.395907601422026$0.692838302488546
"glyoxylate and dicarboxylate metabolism"$"glyoxylate and dicarboxylate metabolism"$-0.0222222222222222$"DOWN"$"organ + age + organ:age"$0.830748919769766$0.964613674614184
"histidine metabolism"$"histidine metabolism"$-0.140740740740741$"DOWN"$"organ + age + organ:age"$0.18127639241267$0.464007206546094
"inositol phosphate metabolism"$"inositol phosphate metabolism"$-0.0222222222222222$"DOWN"$"organ + age"$0.85534595211966$0.967720292026697
"keratan sulfate synthesis"$"keratan sulfate synthesis"$-0.17037037037037$"DOWN"$"organ + age"$0.123610182226109$0.364569263765339
"lysine metabolism"$"lysine metabolism"$-0.155555555555556$"DOWN"$"organ + age + organ:age"$0.145126357170497$0.394725042877113
"methionine and cysteine metabolism"$"methionine and cysteine metabolism"$-0.0222222222222222$"DOWN"$"organ + age"$0.853640012790491$0.967720292026697
"miscellaneous"$"miscellaneous"$-0.0296296296296297$"DOWN"$"organ + age"$0.81080221655877$0.964613674614184
"nucleotide interconversion"$"nucleotide interconversion"$0.0444444444444445$"UP"$"organ + age + organ:age"$0.636570271013755$0.864880146980354
"purine catabolism"$"purine catabolism"$-0.0962962962962963$"DOWN"$"organ + age + organ:age"$0.390175720614646$0.690772971516394
"purine synthesis"$"purine synthesis"$-0.155555555555556$"DOWN"$"organ + age + organ:age"$0.133118562767173$0.37487411353974
"pyrimidine synthesis"$"pyrimidine synthesis"$-0.0148148148148148$"DOWN"$"organ + age"$0.900187330137383$0.967720292026697
"selenoamino acid metabolism"$"selenoamino acid metabolism"$-0.259259259259259$"DOWN"$"age"$0.0109605754592777$0.0866239028233238
"sphingolipid metabolism"$"sphingolipid metabolism"$0.0962962962962963$"UP"$"organ + age + organ:age"$0.380915374061274$0.690772971516394
"starch and sucrose metabolism"$"starch and sucrose metabolism"$-0.311111111111111$"DOWN"$"age"$0.00159448737778871$0.0244155879723896
"transport, endoplasmic reticular"$"transport, endoplasmic reticular"$0.0296296296296297$"UP"$"organ + age + organ:age"$0.793877432390981$0.964613674614184
"transport, golgi apparatus"$"transport, golgi apparatus"$0.333333333333333$"UP"$"age"$0.000673991541823656$0.0137606606455663
"transport, mitochondrial"$"transport, mitochondrial"$-0.125925925925926$"DOWN"$"organ + age + organ:age"$0.116421130337634$0.352137986823709
"triacylglycerol synthesis"$"triacylglycerol synthesis"$0.037037037037037$"UP"$"organ + age"$0.75949087898335$0.957346603666659
"tyrosine metabolism"$"tyrosine metabolism"$-0.074074074074074$"DOWN"$"organ + age"$0.522249395736573$0.780189646069881
"urea cycle"$"urea cycle"$0.0666666666666667$"UP"$"organ + age"$0.569777052054569$0.811601033449822
"vitamin a metabolism"$"vitamin a metabolism"$-0.0888888888888889$"DOWN"$"organ + age"$0.451550286783191$0.747498785553255
"vitamin b2 metabolism"$"vitamin b2 metabolism"$-0.155555555555556$"DOWN"$"organ + age"$0.188286012811212$0.47556776431698
"vitamin c metabolism"$"vitamin c metabolism"$0.133333333333333$"UP"$"organ + age"$0.260946915942164$0.546427302613933
