	TCGA-EK-A2RE-01	TCGA-HG-A2PA-01	TCGA-C5-A7UH-01	TCGA-Q1-A73Q-01	TCGA-C5-A1MF-01	TCGA-EA-A410-01	TCGA-EX-A3L1-01	TCGA-JW-A5VI-01	TCGA-EA-A1QT-01	TCGA-VS-AA62-01	TCGA-EA-A97N-01	TCGA-VS-A94X-01	TCGA-C5-A1ME-01	TCGA-C5-A8YR-01	TCGA-LP-A7HU-01	TCGA-FU-A40J-01	TCGA-VS-A9V5-01	TCGA-FU-A3EO-01	TCGA-VS-A8Q9-01	TCGA-DS-A0VL-01	TCGA-BI-A0VR-01	TCGA-VS-A9UU-01	TCGA-ZJ-AAXN-01	TCGA-VS-A9U6-01	TCGA-C5-A2LX-01	TCGA-C5-A1M8-01	TCGA-C5-A7CJ-01	TCGA-GH-A9DA-01	TCGA-Q1-A73P-01	TCGA-C5-A8XK-01	TCGA-EK-A3GN-01	TCGA-C5-A907-01	TCGA-C5-A2M2-01	TCGA-C5-A7CM-01	TCGA-VS-A9V2-01	TCGA-VS-A94Y-01	TCGA-JW-A852-01	TCGA-VS-A9UJ-01	TCGA-ZJ-AAXI-01	TCGA-ZJ-A8QQ-01	TCGA-Q1-A6DT-01	TCGA-VS-A9UQ-01	TCGA-VS-A8EG-01	TCGA-EX-A69L-01	TCGA-Q1-A73O-01	TCGA-VS-A8QC-01	TCGA-EA-A5ZE-01	TCGA-RA-A741-01	TCGA-JX-A5QV-01	TCGA-EK-A2R9-01	TCGA-IR-A3LL-01	TCGA-C5-A1M5-01	TCGA-C5-A7X8-01	TCGA-C5-A1M9-01	TCGA-DG-A2KJ-01	TCGA-Q1-A5R3-01	TCGA-EA-A50E-01	TCGA-IR-A3LC-01	TCGA-EA-A556-01	TCGA-VS-A9V3-01	TCGA-UC-A7PG-01	TCGA-VS-A9UH-01	TCGA-VS-A9UD-01	TCGA-JX-A3PZ-01	TCGA-C5-A1MP-01	TCGA-MU-A5YI-01	TCGA-VS-A8QA-01	TCGA-MU-A8JM-01	TCGA-FU-A5XV-01	TCGA-EX-A8YF-01	TCGA-ZJ-A8QR-01	TCGA-C5-A7UI-01	TCGA-EK-A2PI-01	TCGA-HM-A6W2-01	TCGA-IR-A3LF-01	TCGA-HM-A4S6-01	TCGA-VS-A8QF-01	TCGA-DS-A5RQ-01	TCGA-BI-A20A-01	TCGA-LP-A4AW-01	TCGA-EK-A2RM-01	TCGA-DG-A2KK-01	TCGA-C5-A1MI-01	TCGA-EK-A2RB-01	TCGA-MY-A5BE-01	TCGA-C5-A1BE-01	TCGA-ZJ-AAXT-01	TCGA-EA-A3QD-01	TCGA-EA-A6QX-01	TCGA-EA-A411-01	TCGA-C5-A1MN-01	TCGA-EK-A2PK-01	TCGA-VS-A952-01	TCGA-EK-A2IP-01	TCGA-EK-A2PG-01	TCGA-FU-A3YQ-01	TCGA-VS-A959-01	TCGA-EK-A2R7-01	TCGA-JW-A5VJ-01	TCGA-HM-A3JK-01	TCGA-C5-A1MH-01	TCGA-VS-A9UR-01	TCGA-VS-A9UV-01	TCGA-ZJ-AAXU-01	TCGA-VS-A9UY-01	TCGA-ZJ-AAXA-01	TCGA-EK-A2RO-01	TCGA-MY-A913-01	TCGA-DS-A0VM-01	TCGA-EX-A1H5-01	TCGA-EK-A2RK-01	TCGA-C5-A1BL-01	TCGA-Q1-A73S-01	TCGA-IR-A3L7-01	TCGA-PN-A8MA-01	TCGA-DS-A7WF-01	TCGA-ZJ-AAXJ-01	TCGA-Q1-A73R-01	TCGA-Q1-A5R1-01	TCGA-FU-A3HZ-01	TCGA-EA-A78R-01	TCGA-JW-A5VG-01	TCGA-C5-A1MJ-01	TCGA-C5-A8YT-01	TCGA-ZX-AA5X-01	TCGA-VS-A958-01	TCGA-VS-A8EL-01	TCGA-ZJ-AB0I-01	TCGA-C5-A2LZ-01	TCGA-VS-A950-01	TCGA-IR-A3LK-01	TCGA-C5-A3HE-01	TCGA-MA-AA3W-01	TCGA-C5-A7UE-01	TCGA-VS-A9UA-01	TCGA-VS-A9UL-01	TCGA-VS-A9UO-01	TCGA-C5-A8XJ-01	TCGA-C5-A7CL-01	TCGA-FU-A3NI-01	TCGA-EA-A439-01	TCGA-EK-A2PM-01	TCGA-C5-A7X3-01	TCGA-C5-A1BI-01	TCGA-HM-A3JJ-01	TCGA-EK-A2R8-01	TCGA-VS-A9UP-01	TCGA-C5-A1BF-01	TCGA-EA-A5ZD-01	TCGA-EA-A3QE-01	TCGA-JX-A3Q0-01	TCGA-VS-A8EJ-01	TCGA-DR-A0ZL-01	TCGA-MA-AA41-01	TCGA-LP-A5U2-01	TCGA-EA-A43B-01	TCGA-C5-A3HD-01	TCGA-IR-A3LI-01	TCGA-VS-A8EI-01	TCGA-EA-A5O9-01	TCGA-EA-A4BA-01	TCGA-C5-A3HL-01	TCGA-EA-A3Y4-01	TCGA-UC-A7PF-01	TCGA-VS-A9UB-01	TCGA-UC-A7PI-01	TCGA-DG-A2KL-01	TCGA-HG-A9SC-01	TCGA-JW-AAVH-01	TCGA-MY-A5BF-01	TCGA-FU-A57G-01	TCGA-C5-A1BQ-01	TCGA-EK-A2PL-01	TCGA-Q1-A6DW-01	TCGA-C5-A2M1-01	TCGA-R2-A69V-01	TCGA-EA-A5ZF-01	TCGA-FU-A23L-01	TCGA-C5-A8ZZ-01	TCGA-EK-A2H1-01	TCGA-LP-A4AU-01	TCGA-VS-A9U7-01	TCGA-EK-A2RC-01	TCGA-EK-A2RA-01	TCGA-C5-A2LS-01	TCGA-DG-A2KM-01	TCGA-C5-A3HF-01	TCGA-C5-A2LT-01	TCGA-C5-A1BK-01	TCGA-UC-A7PD-01	TCGA-MY-A5BD-01	TCGA-VS-A9UZ-01	TCGA-EK-A2RD-01	TCGA-C5-A8XH-01	TCGA-JX-A3Q8-01	TCGA-JW-A5VL-01	TCGA-DS-A7WI-01	TCGA-VS-A953-01	TCGA-EA-A44S-01	TCGA-VS-A957-01	TCGA-JW-A5VH-01	TCGA-EA-A3HR-01	TCGA-C5-A7X5-01	TCGA-WL-A834-01	TCGA-JW-A69B-01	TCGA-FU-A3HY-01	TCGA-C5-A1M6-01	TCGA-DS-A3LQ-01	TCGA-VS-A9V4-01	TCGA-VS-A8Q8-01	TCGA-DS-A0VN-01	TCGA-MA-AA3Y-01	TCGA-C5-A2LY-01	TCGA-FU-A23K-01	TCGA-C5-A7CH-01	TCGA-EK-A2RN-01	TCGA-EK-A2RJ-01	TCGA-VS-A9V0-01	TCGA-C5-A1BM-01	TCGA-VS-A9V1-01	TCGA-DS-A7WH-01	TCGA-ZJ-AAX4-01	TCGA-C5-A7CK-01	TCGA-EA-A1QS-01	TCGA-2W-A8YY-01	TCGA-FU-A3WB-01	TCGA-FU-A3TQ-01	TCGA-C5-A8XI-01	TCGA-C5-A1BN-01	TCGA-ZJ-A8QO-01	TCGA-IR-A3LA-01	TCGA-EK-A3GK-01	TCGA-EK-A2GZ-01	TCGA-C5-A7CG-01	TCGA-MA-AA42-01	TCGA-C5-A8YQ-01	TCGA-IR-A3LB-01	TCGA-ZJ-AB0H-01	TCGA-VS-A9U5-01	TCGA-C5-A1M7-01	TCGA-Q1-A5R2-01	TCGA-MU-A51Y-01	TCGA-DG-A2KH-01	TCGA-VS-A8EB-01	TCGA-LP-A4AX-01	TCGA-ZJ-AAXD-01	TCGA-VS-A9UM-01	TCGA-VS-A94Z-01	TCGA-EX-A1H6-01	TCGA-ZJ-AAXF-01	TCGA-MA-AA3X-01	TCGA-VS-A8EH-01	TCGA-EA-A5FO-01	TCGA-DR-A0ZM-01	TCGA-MA-AA43-01	TCGA-C5-A7UC-01	TCGA-C5-A7XC-01	TCGA-VS-A8QH-01	TCGA-LP-A5U3-01	TCGA-EA-A3HT-01	TCGA-EX-A69M-01	TCGA-FU-A770-01	TCGA-VS-A8EC-01	TCGA-IR-A3LH-01	TCGA-4J-AA1J-01	TCGA-LP-A4AV-01	TCGA-EK-A2RL-01	TCGA-VS-A9UC-01	TCGA-FU-A2QG-01	TCGA-BI-A0VS-01	TCGA-EX-A449-01	TCGA-DS-A0VK-01	TCGA-VS-A94W-01	TCGA-C5-A1MK-01	TCGA-VS-A9UI-01	TCGA-FU-A3TX-01	TCGA-Q1-A6DV-01	TCGA-C5-A1ML-01	TCGA-VS-A8QM-01	TCGA-C5-A2LV-01	TCGA-ZJ-AAXB-01	TCGA-EK-A3GJ-01	TCGA-VS-A954-01	TCGA-XS-A8TJ-01	TCGA-JW-A5VK-01	TCGA-EK-A2H0-01	TCGA-EA-A3HS-01	TCGA-C5-A7CO-01	TCGA-C5-A0TN-01	TCGA-EA-A3HQ-01	TCGA-EK-A3GM-01	TCGA-MA-AA3Z-01	TCGA-VS-A9UT-01	TCGA-ZJ-AAX8-01	TCGA-C5-A1BJ-01
DPP4	0	0.015	0.445	0.001	-0.031	0.003	0.008	0.014	0.09	-0.012	-0.303	-0.021	-0.015	-0.498	-0.24	0.128	-0.702	-0.009	-0.051	0.042	-0.038	-0.106	0.4	-0.074	-0.074	-0.83	0.011	0.017	0.011	0.017	0.012	0.007	-0.885	0.008	0.027	0.02	-0.014	0.003	-0.01	0.025	0.049	0.004	0.018	-0.481	0.007	-0.581	0	0	-0.532	0.015	0	0.03	0.257	0.003	0.22	-0.019	0.069	-0.072	-0.015	-0.181	-0.246	-0.072	0.247	0.016	-0.015	-0.005	0.009	0	0.017	-0.004	0.046	0.02	0.152	-0.002	-0.004	0.004	0.244	-0.001	0.306	-0.002	0.225	-0.007	0.139	0.029	-0.007	0.004	0.029	0.081	0.027	-0.245	0.068	-0.004	-0.034	0	-0.259	0	0.18	0.021	-0.003	0.005	-0.104	-0.007	-0.03	0.021	0.035	-0.065	0.006	0.281	-0.05	0.006	0	-0.031	0.681	0.017	-0.017	-0.002	0.022	0.018	-0.688	0.002	0.01	0.065	0.102	0.002	0.057	0.035	-0.188	0.026	0	0.023	0	-0.178	0.002	0.01	0.008	-0.099	0.003	0.017	0.02	0.451	0.352	0.373	-0.096	-0.31	-0.234	-0.26	0.071	0.007	0	0.024	0.044	0.651	0.059	-0.052	0.05	0.252	0.099	-0.017	0.215	-0.008	0.004	-0.003	0.001	0.298	-0.017	0	-0.412	0.04	0.017	-0.769	0.004	-0.012	0	0.004	-0.016	0.034	0.525	-0.047	0.001	0.24	0.02	0.022	0.017	-0.045	-0.007	0.032	0	-0.18	0.015	0.007	-0.023	0.006	0.031	0.02	-0.129	0.822	0.591	-0.507	-0.693	0.038	0.007	-0.672	-0.015	0.733	-0.746	0.033	0.273	-0.002	0.009	0.004	-0.256	0.009	0.546	0.008	0	-0.432	-0.317	-0.014	0	0.001	-0.193	-0.708	0.038	-0.093	0.015	0.031	-0.002	-0.015	0.074	0.002	-0.021	0.09	0.226	-0.112	-0.007	-0.142	-0.033	-0.116	-0.001	0.004	-0.261	0.006	-0.431	0.052	0.848	0	-0.289	0.003	-0.009	-0.011	-0.017	1.075	0.004	-0.002	-0.403	0.001	0.093	0.006	0.021	0.003	-0.002	0.003	0.049	-0.034	0.056	0.016	0.002	0	0.018	0.224	-0.003	-0.041	0.008	-0.014	-0.12	-0.018	-0.003	-0.03	-0.061	0.017	0.072	-0.021	0.021	-0.131	0.046	0.009	0.011	0.075	0.114	0.032	0.757	-0.016	0.026	0.008	0
ATP5G3	0	0.015	0.443	0.001	-0.031	0.003	0	0.014	0.09	-0.012	-0.303	-0.021	-0.015	-0.498	-0.24	0.128	-0.702	-0.009	-0.051	0.042	-0.038	-0.1	1.476	-0.074	-0.074	-0.824	0.011	0.017	-0.003	-0.705	0.012	0.007	0.77	0.008	0.027	0.02	-0.014	0.003	-0.01	0.025	0.049	0.004	0.018	-0.481	0.007	-0.566	0	0	-0.532	0.015	0	0.03	0.257	0.003	0.22	-0.019	0.069	-0.072	-0.015	-0.181	-0.246	-0.072	0.247	0.016	-0.015	-0.004	0.009	0	0.017	-0.004	0.028	0.02	0.161	-0.002	-0.004	0.004	0.277	-0.001	0.306	-0.002	0.225	-0.007	0.139	0.029	-0.007	0.004	0.022	0.081	0.739	-0.245	0.068	-0.004	-0.034	0	-0.259	0	0.18	0.021	-0.003	0.005	-0.104	-0.007	-0.03	0.021	0.035	-0.02	0.006	0.281	-0.05	0.006	0	-0.031	0.681	0.028	-0.017	-0.002	0.022	0.018	-0.686	0.002	0.01	0.047	0.102	0.002	0.065	0.035	-0.188	0.026	0	0.023	0	-0.178	0.002	0.01	0.008	-0.099	0.687	0.017	0.02	0.451	0.419	0.373	-0.096	-0.31	-0.234	-0.26	0.071	0.017	0	0.024	0.044	0.007	0.059	-0.052	1.057	0.252	0.099	-0.017	0.223	-0.008	0.004	-0.003	0.001	0.298	-0.017	0.009	-0.412	0.65	0.017	-0.769	0.004	-0.012	0	0.004	-0.016	0.034	0.525	-0.047	0.001	0.24	0.02	0.022	0.017	-0.045	-0.007	0.032	0	-0.18	0.015	2.976	-0.023	0.006	0.031	0.544	-0.104	0.822	0.591	-0.5	-0.693	0.038	0.007	-0.672	-0.015	0.753	0.022	0.033	0.273	-0.002	0.009	0.004	-0.256	0.013	0.546	0.008	0.007	-0.432	-0.317	-0.028	0	0.001	-0.193	-0.708	0.038	-0.093	0.015	-0.828	-0.002	-0.015	0.038	0.002	-0.021	0.09	1.367	-0.112	-0.007	-0.142	-0.033	-0.116	-0.037	0.004	-0.261	0.006	-0.431	0.052	0.848	0	-0.356	0.003	-0.009	-0.011	-0.017	1.075	0.004	-0.002	-0.403	0.001	0.093	0.007	0.021	0.003	-0.002	0.003	0.048	-0.026	0.056	0.016	0.002	0	0.018	0.224	-0.003	-0.041	0.008	-0.014	-0.12	-0.018	-0.003	-0.03	-0.061	0.017	0.072	0.009	0.021	-0.131	0.046	0.021	0.011	0.089	0.114	0.032	0.757	-0.016	0.026	0.008	0
NFE2L2	0	0.015	0.443	0.001	-0.031	0.003	0	0.014	0.09	-0.012	-0.303	-0.021	-0.015	-0.498	-0.24	0.128	-0.702	-0.009	-0.051	0.042	-0.038	-0.1	1.476	-0.074	-0.074	-0.824	0.011	0.017	-0.003	-0.705	0.012	0.007	0.77	0.008	0.027	0.02	-0.014	0.003	-0.01	0.025	0.049	0.004	0.018	-0.481	0.007	-0.566	0	0	-0.532	0.015	0	0.009	0.257	0.003	0.22	-0.019	0.069	-0.072	-0.015	-0.181	-0.246	-0.072	0.247	0.016	-0.015	-0.004	0.009	0	0.017	-0.004	0.028	0.02	0.161	-0.002	-0.004	0.004	1.742	-0.001	0.306	-0.002	0.239	-0.007	0.139	0.029	-0.007	0.004	0.022	0.081	0.739	-0.245	0.068	-0.004	-0.034	0	-0.259	0	0.18	0.021	-0.003	0.005	-0.104	-0.007	-0.03	0.021	0.035	-0.02	0.006	0.281	-0.05	0.006	0	-0.031	0.681	0.028	-0.017	-0.002	0.022	0.018	-0.686	0.002	0.01	0.047	0.102	0.002	0.065	0.035	-0.188	0.026	0	0.023	-0.011	-0.178	0.002	0.01	0.008	-0.099	0.687	0.017	0.02	0.846	0.419	0.373	-0.096	-0.31	-0.234	-0.26	0.071	0.017	0	0.024	0.044	0	0.059	-0.052	1.057	0.252	0.099	-0.017	0.223	-0.008	0.004	-0.003	0.001	0.298	-0.017	0.009	-0.412	0.65	0.017	-0.769	0.004	-0.012	0	0.004	-0.016	0.034	0.525	-0.047	0.001	0.24	0.02	0.022	0.017	-0.045	-0.007	0.032	0	-0.18	0.015	2.976	-0.023	0.006	0.031	0.544	-0.104	0.822	0.591	-0.5	-0.693	0.021	0.007	-0.672	-0.015	0.753	0.004	0.033	0.273	-0.002	0	0.004	-0.256	0.013	0.546	0.008	0.007	-0.432	-0.317	-0.028	0	0.001	-0.193	-0.708	0.038	-0.093	0.015	-0.828	-0.002	-0.015	0.038	0.002	-0.021	0.09	2.13	-0.112	-0.007	-0.142	-0.033	-0.116	-0.037	0.004	-0.261	0.006	-0.431	0.052	0.848	0	-0.356	0.003	-0.009	-0.011	-0.017	1.075	0.004	-0.002	-0.403	0.001	0.093	0.007	0.021	0.003	-0.002	0.003	0.055	-0.026	0.056	0.016	0.002	0	0.018	0.224	-0.003	-0.041	0.008	-0.014	-0.12	-0.018	-0.003	-0.03	-0.061	0.017	0.072	0.009	0.021	-0.131	0.046	0.021	0.011	0.089	0.114	0.032	0.757	-0.016	0.026	0.008	0
FANCD2	-0.824	-0.482	0.049	-0.814	-0.006	-0.018	-0.076	-0.652	0.042	0.332	-0.357	-0.015	0.004	0.017	0.331	-0.102	-0.004	0.031	-0.725	-0.009	-0.228	-0.021	-0.19	-0.014	-0.431	-0.926	-0.434	0.707	-0.007	0.006	-0.021	0.003	-0.008	0.01	-0.014	-0.71	-0.028	0.001	-0.02	0	-0.386	-0.009	-0.015	-0.005	-0.02	-0.636	-0.729	-0.149	-0.036	-0.024	-0.029	-0.011	-0.582	0.214	-0.208	-0.005	-0.458	-0.071	0.024	0.02	-0.282	-0.287	-0.532	-0.185	-0.006	-0.713	-0.946	-0.023	-0.73	-0.006	-0.764	-0.599	-0.699	-0.009	0.001	-0.015	0.242	-0.783	-0.59	0.004	0.245	-0.027	-0.372	-0.768	0.054	-0.005	-0.569	-0.472	-0.742	-0.572	-0.686	-0.007	0	-0.779	-0.239	-0.319	0.166	-0.649	-0.726	0.318	0.151	0.745	-0.55	-0.591	-0.008	0.585	-0.026	-0.172	-0.046	-0.692	0.026	-0.627	-0.89	-0.734	0.129	0	-0.709	-0.003	-0.071	-0.002	-0.005	0.016	0.253	-0.004	0.05	-0.005	0.229	-0.004	-0.049	-0.32	0.02	0.174	0.099	-0.608	0.002	-0.38	0.013	-0.718	-0.632	-0.472	-0.216	1.462	0.096	-0.338	-0.216	-0.055	-0.458	-0.677	-0.016	-0.398	0.723	0.587	-0.493	0.22	-0.016	0.072	-0.027	0.001	-0.198	-0.029	-0.005	0.014	0.003	-0.544	-0.017	0.002	-0.001	-0.018	-0.784	-0.006	0.003	0.014	-0.552	-0.012	0.008	-0.04	-0.202	-0.395	-0.695	0.007	0.194	-0.013	-0.57	0.866	-0.013	-0.175	0.114	0.139	-0.005	-0.006	0	0.001	-0.003	-0.351	-0.562	-0.031	-0.045	-0.043	-0.749	-0.164	0.002	-0.034	-0.593	-0.029	0.002	-0.724	-0.245	-0.029	0.011	-0.74	-0.637	-0.004	-0.024	0.042	-0.232	-0.02	0.06	0.018	-0.665	-0.005	0.443	-0.778	-0.099	0.11	0.012	0	-0.003	0.442	-0.781	-0.633	0.273	0.1	-0.277	0.049	-0.657	-0.545	0.007	0.129	-0.453	0.387	-0.315	-0.011	0.532	0.443	-0.436	-0.414	-0.694	-0.49	0.002	-0.011	-0.01	0.488	0.002	0.003	0	0.006	-0.028	-0.22	-0.02	-0.014	-0.003	0	-0.678	-0.008	0.003	-0.006	-0.02	-0.005	0.02	0.077	0.003	-0.618	-0.07	0.01	0.32	0.434	0.003	-0.852	-0.214	-0.433	-0.5	-0.003	-0.049	-0.21	-0.029	-0.001	-0.861	-0.54	-0.765	-0.023	0.179	0.001	0.037	-0.005	-0.009
TFRC	0.031	0.509	0.101	0.989	3.045	-0.006	0.249	0.037	0.996	0.322	0.807	1.335	0.346	0.045	0.372	0.64	0.003	0.717	0.752	2.325	1.076	0.479	-0.192	2.164	0.966	0.9	0.399	0.781	0.009	0.03	1.287	0.013	3.048	0.704	0.465	0.675	3.657	0.001	1.437	0.031	1.029	2.118	1.6	0.937	0.951	0.906	1.609	0.504	2.167	0.671	0.825	1.645	1.082	0.234	0.873	1.819	0.502	1.353	1.496	0.072	0.714	0.513	0.874	0.03	0.96	0.677	2.654	2.219	0.438	-0.006	0.809	0.587	0.916	0	0	1.039	0.707	0.86	1.052	1.178	1.503	1.006	0.283	0.76	0.463	2.506	0.036	0.491	0.066	0.322	0.699	0.017	0.003	0.054	0.764	0.327	0.775	0.724	0.799	0.975	0.629	-0.006	1.3	1.094	0.739	2.187	1.172	0.267	0.779	0.774	0.045	1.674	1.666	0.06	0.15	0	1.366	0.388	2.294	0	0.979	0.054	0.219	-0.004	0.05	0.022	0.251	1.711	1.08	1.483	0.036	0.381	1.099	1.841	0.592	1.599	1.477	0.026	0.626	1.13	1.004	0.965	0.109	0.714	-0.209	0.556	1.36	0.052	1.706	0.018	0.758	1.349	1.093	0.956	0.59	0.072	0.058	2.172	0.749	3.657	-0.002	2.063	0.014	1.086	1	0.014	0.848	0.638	1.183	0.752	0.003	0.011	0.139	1.476	0.005	0.248	2.583	1.206	0.701	0.686	0.197	0.844	0.615	0.866	1.3	0.256	0.364	1.296	0.829	0.238	3.657	0.674	1.149	0.622	0.626	1.947	0.927	1.43	0.884	1.602	0.002	1.513	2.001	1.411	0	0.061	1.255	2.215	0.005	0.749	0.446	-0.007	1.993	0.083	1.372	0.485	-0.197	0.666	0.681	0.651	0.6	0.258	1.527	0.737	0.012	0.812	-0.003	1.157	-0.086	0.622	0.695	0.1	1.988	0.049	1.373	2.096	-0.021	0.827	0.798	0.432	1.559	0.557	0.532	1.537	0.026	1.161	0.757	0.488	0.004	-0.011	0.977	2.014	0.969	0.003	0	0.024	0.669	-0.244	0.981	1.425	0.623	0.013	2.183	0.501	0.055	1.305	1.536	0.011	0.023	1.271	0.003	0.823	2.188	-0.04	0.448	0.434	0.005	3.657	0.305	0.478	1.148	0.065	1.25	0.806	2.192	0.041	1.434	0.65	0.135	1.426	0.738	2.123	0.046	1.169	0.442
SLC7A11	0.005	-0.002	-0.288	-0.027	-0.004	-0.005	-0.26	0.009	-0.141	-0.018	-0.337	-0.008	-0.031	-0.506	0.021	-0.043	-0.046	-0.015	0.012	0.002	-0.139	0.005	0.036	-0.168	-0.418	0.058	0.009	-0.734	0.018	-0.715	-0.018	-0.004	-0.003	-0.688	-0.502	-0.695	-0.027	0.004	-0.028	-0.71	-0.021	-0.016	0.016	0	-0.008	0.504	-0.103	-0.007	-0.411	0.005	-0.038	-0.006	-0.483	0.214	-0.426	0.033	-0.001	0.005	-0.419	0.017	-0.251	-0.153	-0.082	-0.006	0.476	0.004	0.025	-0.02	-0.705	-0.541	-0.047	0.024	0.102	-0.017	0.086	-0.004	-0.1	-0.748	-0.573	0.017	-0.545	-0.015	-0.268	0.008	-0.01	0.002	0.049	-0.016	0.03	-0.476	-0.659	-0.318	-0.012	-0.078	-0.601	0.015	-0.25	-0.599	0.047	-0.002	-0.001	-0.012	-0.05	0.024	-0.015	-0.85	-0.011	-0.409	0.605	-0.698	-0.692	-0.01	-0.84	0.027	-0.106	0	-0.676	-0.004	0	-0.005	-0.409	-0.006	-0.006	-0.006	-0.003	0.046	0.027	0.013	0.02	-0.304	-0.046	-0.186	-0.482	-0.014	-0.01	-0.664	-0.72	0.032	-0.596	-0.452	-0.168	-0.473	-0.104	0.016	-0.228	-0.269	-0.039	0.004	-0.01	0.013	0.024	0.577	-0.455	0.577	0.045	-0.192	-0.817	-0.011	-0.221	-0.04	-0.007	-0.008	-0.021	0.004	-0.006	0.02	0.021	-0.643	-0.013	0.273	0.014	-0.011	0.005	-0.005	-0.006	0.129	-0.092	0.008	-0.651	-0.151	-0.212	-0.005	0.034	-0.007	-0.012	-0.173	-0.008	-0.468	0.001	-0.309	-0.025	0.005	0.009	0.092	0.509	-0.04	-0.067	-0.181	-0.128	-0.107	-0.008	-0.024	-0.547	-0.701	-0.007	0.062	-0.211	0.049	-0.257	-0.709	0.065	-0.025	-0.019	0.162	-0.065	-0.47	-0.142	-0.019	0.02	0.009	-0.019	0.32	-0.089	-0.132	-0.617	-0.003	0.003	0.387	-0.69	0.606	0.9	0.746	-0.241	0.002	-0.011	-0.062	-0.032	-0.097	-0.389	-0.006	-0.368	0	0	-0.395	0.03	-0.381	-0.674	-0.01	0.003	0.02	-0.491	-0.508	-0.004	0	-0.359	-0.149	0.592	-0.014	0.912	-0.534	-0.008	-0.003	-0.68	0.069	-0.907	0.011	-0.023	-0.728	0.011	-0.328	0.002	0.013	-0.566	0.015	-0.061	-0.018	0.006	-0.404	-0.114	-0.429	-0.399	-0.001	0	0.011	-0.806	-0.718	-0.806	-0.458	-0.778	0.103	-0.387	-0.008	-0.389	-0.004	0.014
CDKN1A	0.004	0.481	0.444	-0.009	-0.02	0.007	-0.006	0.005	0.058	0.315	0.402	-0.018	0	-0.519	0.014	-0.082	0.012	-0.004	-0.014	0	0.223	-0.365	-0.137	0.546	0.019	-0.878	0.002	-0.031	0.001	0.012	0.031	0.001	-0.01	-0.012	0.515	-0.726	-0.027	0.004	-0.013	-0.013	0.031	-0.612	-0.035	-0.007	0	-0.444	-0.002	-0.034	-0.544	0	-0.026	0.006	0.311	0.225	-0.445	0.013	-0.006	-0.003	0.018	-0.694	-0.101	0.117	0.698	0.591	-0.011	0.67	0.006	-0.018	0.029	-0.007	0.009	0.57	-0.227	-0.007	0.201	0.001	0.088	0.004	0.033	-0.002	0.22	0.027	0.565	-0.007	-0.015	0	0.021	0.004	-0.733	0.055	0.025	0.921	0.867	0.003	-0.284	0.003	0.123	-0.036	-0.717	-0.001	0.156	0.02	0.024	0.023	-0.001	0.6	-0.008	0.832	0.739	0.06	0.033	0.015	0.015	-0.233	0.648	-0.001	-0.029	0.002	0.052	0.001	-0.001	0.015	0.023	0.001	-0.003	-0.005	-0.444	0.83	-0.045	0.016	-0.016	0.1	0.086	0.369	-0.01	0.641	-0.077	0.011	0.022	0.007	0.395	0.6	-0.178	0.005	0.081	0.014	-0.003	0.027	-0.007	-0.404	0.008	2.317	0.019	-0.04	-0.009	1.109	0.757	-0.019	-0.045	0.817	0	-0.006	0	0.495	0.526	-0.003	-0.06	-0.007	-0.016	0.036	0.628	-0.686	-0.695	-0.011	-0.01	-0.003	1.176	1.159	0.003	-0.031	0.518	-0.001	-0.565	0.276	-0.009	-0.11	0.364	-0.157	0	0.365	-0.023	-0.011	0.006	-0.023	0.572	-0.006	0.306	0.315	-0.755	-0.12	0.001	0.035	-0.044	0	0.093	-0.727	0.296	-0.057	0.012	0.002	0.04	0.542	0.59	0.57	0.747	-0.473	-0.067	0.026	-0.012	0.006	0.445	0.017	-0.011	0.184	0.011	0	0.004	-0.081	0.63	-0.635	-0.045	0.01	-0.141	-0.221	-0.664	-0.565	0.008	-0.061	0.331	0.399	0.239	-0.004	-0.35	0.034	0.472	-0.01	0.005	0	-0.57	-0.206	0.016	0	0	0.002	0.648	0	0.002	0.293	0.006	-0.004	-0.006	0	-0.023	0.475	0.189	0	-0.005	0.694	0.017	0.402	-0.001	-0.623	-0.007	0	0.322	0.017	-0.017	0.414	0.005	0.021	0.088	0.346	-0.009	0.032	-0.035	-0.013	0.01	-0.548	0.764	0	0.01	0.001	0.011	-0.01	0
