	TCGA-HZ-7922-01	TCGA-IB-7891-01	TCGA-Q3-A5QY-01	TCGA-FB-A545-01	TCGA-2J-AABI-01	TCGA-FB-AAQ6-01	TCGA-FZ-5922-01	TCGA-XD-AAUL-01	TCGA-RL-AAAS-01	TCGA-F2-7276-01	TCGA-FB-A7DR-01	TCGA-YB-A89D-01	TCGA-IB-7889-01	TCGA-FZ-5919-01	TCGA-OE-A75W-01	TCGA-FB-AAQ3-01	TCGA-HZ-7919-01	TCGA-HV-A5A4-01	TCGA-FB-AAQ0-01	TCGA-3A-A9IX-01	TCGA-3A-A9IO-01	TCGA-IB-7647-01	TCGA-US-A776-01	TCGA-XD-AAUH-01	TCGA-XN-A8T5-01	TCGA-IB-8126-01	TCGA-HZ-7920-01	TCGA-FZ-5920-01	TCGA-S4-A8RM-01	TCGA-IB-7890-01	TCGA-HZ-8002-01	TCGA-FZ-5924-01	TCGA-F2-A44H-01	TCGA-HZ-A4BK-01	TCGA-FB-AAQ1-01	TCGA-US-A77J-01	TCGA-3A-A9I9-01	TCGA-F2-6879-01	TCGA-3A-A9IB-01	TCGA-HZ-7918-01	TCGA-FB-AAPZ-01	TCGA-FB-AAPU-01	TCGA-IB-AAUN-01	TCGA-HZ-A9TJ-01	TCGA-HZ-7289-01	TCGA-3A-A9J0-01	TCGA-HZ-A77P-01	TCGA-IB-7654-01	TCGA-HZ-A49H-01	TCGA-Z5-AAPL-01	TCGA-XN-A8T3-01	TCGA-3A-A9IL-01	TCGA-IB-8127-01	TCGA-IB-7886-01	TCGA-IB-A6UF-01	TCGA-FB-AAPY-01	TCGA-2J-AAB6-01	TCGA-H6-8124-01	TCGA-HZ-A8P0-01	TCGA-IB-A7LX-01	TCGA-HV-A5A3-01	TCGA-2J-AAB1-01	TCGA-2J-AABU-01	TCGA-HZ-8317-01	TCGA-3E-AAAZ-01	TCGA-F2-A8YN-01	TCGA-IB-AAUW-01	TCGA-H6-A45N-01	TCGA-IB-7893-01	TCGA-HZ-A8P1-01	TCGA-HZ-8638-01	TCGA-FB-A5VM-01	TCGA-IB-7888-01	TCGA-IB-7652-01	TCGA-H8-A6C1-01	TCGA-F2-A7TX-01	TCGA-HZ-8637-01	TCGA-HZ-7923-01	TCGA-F2-A44G-01	TCGA-M8-A5N4-01	TCGA-RB-A7B8-01	TCGA-3A-A9IZ-01	TCGA-FB-AAQ2-01	TCGA-3A-A9IV-01	TCGA-S4-A8RP-01	TCGA-IB-AAUU-01	TCGA-2L-AAQJ-01	TCGA-2L-AAQA-01	TCGA-3A-A9IJ-01	TCGA-FZ-5921-01	TCGA-IB-AAUV-01	TCGA-2J-AAB8-01	TCGA-IB-AAUQ-01	TCGA-2L-AAQL-01	TCGA-3A-A9IH-01	TCGA-IB-A5ST-01	TCGA-FB-A78T-01	TCGA-FB-AAPP-01	TCGA-2J-AABE-01	TCGA-3A-A9IS-01	TCGA-2J-AABF-01	TCGA-2J-AABT-01	TCGA-2J-AAB9-01	TCGA-HZ-A77Q-01	TCGA-FB-AAPS-01	TCGA-IB-7651-01	TCGA-YY-A8LH-01	TCGA-3E-AAAY-01	TCGA-YH-A8SY-01	TCGA-L1-A7W4-01	TCGA-2J-AAB4-01	TCGA-IB-A6UG-01	TCGA-IB-7887-01	TCGA-F2-7273-01	TCGA-IB-A5SS-01	TCGA-2J-AABH-01	TCGA-FZ-5923-01	TCGA-2J-AABP-01	TCGA-IB-7897-01	TCGA-HZ-8315-01	TCGA-HV-A5A5-01	TCGA-IB-AAUO-01	TCGA-PZ-A5RE-01	TCGA-HZ-7925-01	TCGA-HV-A5A6-01	TCGA-2J-AABK-01	TCGA-HZ-8519-01	TCGA-3A-A9IN-01	TCGA-IB-7645-01	TCGA-HZ-7926-01	TCGA-XD-AAUI-01	TCGA-2L-AAQM-01	TCGA-2J-AABR-01	TCGA-2J-AABV-01	TCGA-US-A774-01	TCGA-LB-A7SX-01	TCGA-IB-AAUM-01	TCGA-FB-A4P5-01	TCGA-IB-A5SP-01	TCGA-HV-A7OL-01	TCGA-FZ-5926-01	TCGA-S4-A8RO-01	TCGA-US-A77G-01	TCGA-HZ-8636-01	TCGA-IB-A7M4-01	TCGA-IB-AAUR-01	TCGA-HV-A7OP-01	TCGA-2J-AABO-01	TCGA-LB-A8F3-01	TCGA-IB-7644-01	TCGA-3A-A9I7-01	TCGA-2L-AAQE-01	TCGA-3A-A9IC-01	TCGA-2J-AABA-01	TCGA-HZ-A49I-01	TCGA-XD-AAUG-01	TCGA-HZ-8001-01	TCGA-HZ-A4BH-01	TCGA-IB-A5SQ-01	TCGA-IB-AAUP-01	TCGA-HV-AA8V-01	TCGA-HZ-8005-01	TCGA-3A-A9IR-01	TCGA-US-A779-01	TCGA-RB-AA9M-01	TCGA-F2-6880-01	TCGA-Q3-AA2A-01	TCGA-3A-A9IU-01	TCGA-HZ-A49G-01	TCGA-US-A77E-01	TCGA-3A-A9I5-01	TCGA-IB-7649-01	TCGA-HZ-7924-01	TCGA-IB-AAUS-01	TCGA-IB-7646-01	TCGA-HZ-8003-01	TCGA-FB-AAPQ-01	TCGA-LB-A9Q5-01	TCGA-IB-A5SO-01	TCGA-HV-AA8X-01	TCGA-HZ-A77O-01	TCGA-2L-AAQI-01	TCGA-IB-AAUT-01	TCGA-IB-7885-01
RPL8	0.822	0.082	-0.011	0.402	0	0.478	0.01	-0.032	-0.011	0.013	-0.13	0.162	0.229	0.029	0.643	0.233	0.008	0.002	0.409	0.125	0.577	0.361	0.278	0.006	0.027	0.012	0.002	0.007	0.123	0.651	0.037	0.012	0.009	-0.082	0.146	0.001	0.018	0.627	0.402	0.195	-0.699	0.178	0.494	-0.061	0.629	-0.381	-0.037	-0.01	-0.005	0.006	0.177	-0.57	0.43	0.59	0.66	0.017	-0.019	0.02	0.005	0.842	0.575	0.002	0.009	0.036	0.037	0.031	-0.001	0.071	0.329	0.333	-0.002	-0.012	0	0.308	0.034	0.512	0.203	0.004	-0.003	0.142	-0.001	0.391	0.716	-0.043	0.457	-0.108	0.006	0.017	-0.02	0.152	-0.016	0.019	0.012	-0.093	0.406	0.027	0.135	0.123	0.003	0.42	0.127	0	0.032	-0.006	-0.016	-0.024	0.086	0.031	0.119	1.742	0.184	0.569	0.004	0.01	0.445	2.235	0.046	0.234	0	0.108	0.041	0.034	0.009	0.225	1.027	0.05	0.068	0.036	0.039	-0.063	-0.067	0	0.006	0.063	0.048	-0.075	0	-0.013	0.208	0.01	0.192	1.451	-0.011	0.409	0.946	0.046	0.003	0	-0.247	-0.002	0.012	0.457	0.004	-0.013	-0.038	0.008	0.022	0.078	0.081	-0.01	0.103	0.232	0.003	0.326	-0.014	0	-0.004	-0.036	0.048	0.002	0.344	0.134	0.001	0.005	0.39	0.02	-0.005	-0.008	0.035	0.005	0.179	0.101	0	0
HSPA5	-0.284	0	-0.003	0.087	0.041	-0.601	-0.373	-0.301	-0.002	0.002	0.07	-0.051	-0.027	-0.21	-0.114	-0.055	-0.012	0.003	-0.578	0.001	-0.013	0.014	0.045	0	0.042	0.008	-0.001	-0.042	0.011	0.059	-0.036	-0.476	-0.276	-0.145	-0.258	-0.001	-0.015	0.007	-0.383	-0.118	0.413	0.001	0.01	-0.102	0.031	-0.416	-0.076	-0.005	-0.002	-0.043	0.187	0.021	0.091	-0.061	-0.017	-0.272	-0.039	-0.702	0.001	-0.436	-0.009	-0.001	0.001	-0.054	-0.131	0.017	-0.001	-0.045	0.154	0.003	-0.001	0.01	-0.003	0.317	-0.44	-0.014	-0.132	-0.011	-0.332	-0.282	0	-0.006	0.008	1.445	-0.011	-0.439	-0.107	-0.006	0.018	-0.149	-0.002	-0.013	-0.004	0.128	-0.011	-0.027	0.008	0.213	-0.1	0.046	-0.181	0.009	0.004	0	-0.111	-0.06	-0.423	-0.102	-0.293	0.028	-0.005	-0.007	0.001	-0.009	-0.001	0.019	-0.033	-0.024	-0.044	-0.001	0.058	-0.01	-0.01	-0.019	0.057	0.016	-0.01	0.943	-0.104	0.002	-0.057	1.37	-0.009	-0.037	-0.003	-0.455	-0.002	-0.021	0.126	-0.009	-0.139	0.012	-0.005	-0.049	0.009	-0.012	0.022	-0.217	-0.154	0.006	-0.094	-0.222	-0.035	0.008	-0.083	-0.097	-0.066	-0.164	-0.02	0.034	-0.002	-0.408	0.003	-0.292	-0.132	0	-0.587	-0.016	-0.146	-0.008	0.002	-0.102	-0.002	-0.023	-0.22	0.001	0.005	-0.05	0.067	-0.018	-0.347	-0.277	0.003	0.011
NCOA4	0.005	-0.018	0.002	-0.467	0.014	0.008	-0.028	-0.002	0.007	0.003	0.066	-0.009	0.056	0.027	0.026	0	-0.003	0.008	-0.007	-0.044	0.592	0.011	-0.34	0	0.052	0.007	0.002	0.199	-0.013	-0.169	-0.005	0.008	0.003	0.002	-0.05	0.005	0	0.007	0.011	-0.171	0	-0.001	0.011	-0.357	-0.338	-0.031	0.002	-0.015	-0.001	0.001	-0.127	-0.568	0.053	0.192	0.021	-0.061	-0.008	-0.633	-0.046	0.175	0.017	0	0.012	0.007	0.034	0.014	0	-0.007	-0.212	0.005	0	-0.043	-0.069	-0.023	-0.037	0.157	0.026	-0.005	0	0.031	0.001	0.011	-0.256	-0.037	0.005	0.182	0.001	0.008	0	0.003	-0.002	0.06	0.025	0.125	0.067	0	0.012	-0.89	-0.001	-0.611	-0.047	-0.034	0.07	-0.11	-0.005	0	-0.001	-0.011	0.071	0.007	0	0.14	0.002	0.027	-0.015	0.018	0.195	-0.136	-0.006	0.002	0.023	0.003	0	0.011	-0.287	0.034	0	-0.034	-0.036	-0.08	-0.087	-0.105	-0.014	0.029	-0.065	0.175	-0.001	0	0.189	0	-0.066	0.129	0.006	0.031	0.004	0.003	0.713	-0.153	0.129	-0.034	-0.026	0.016	0.042	-0.295	0.005	-0.125	-0.068	-0.096	-0.107	-0.009	-0.019	-0.173	-0.013	-0.045	0.003	0.008	0.006	-0.556	-0.064	-0.006	0	-0.064	0	-0.005	-0.215	0.001	0.005	-0.049	0.073	-0.633	-0.34	-0.126	0	-0.118
CISD1	0.008	-0.018	0.002	-0.467	0.014	0.008	-0.028	-0.002	0.007	0.003	0.066	-0.009	0.056	0.027	0.026	0	-0.003	0.008	-0.007	-0.044	0.592	0.011	-0.34	0	0.052	0.007	0.002	0.199	-0.013	-0.169	-0.005	0.008	0.003	0.002	-0.05	0.005	0	0.007	0.011	-0.171	0	-0.001	0.011	-0.357	-0.338	-0.031	0.002	-0.015	-0.001	0.001	-0.127	-0.568	0.053	0.192	0.021	-0.061	-0.008	-0.633	-0.046	0.175	0.017	0	0.012	0.001	0.034	0.024	0	-0.007	-0.212	0.005	0	-0.043	-0.069	-0.023	-0.037	0.157	0.026	-0.005	0	0.031	0.001	0.011	-0.256	-0.037	0.005	0.182	0.001	0.008	0	0.003	-0.002	0.06	0.559	0.125	0.067	0	0.012	-0.89	-0.004	-0.611	-0.047	-0.034	0.07	-0.11	-0.005	0	-0.001	-0.011	0.076	0.007	0	0.14	-0.313	0.027	-0.015	0.02	0.195	-0.136	-0.006	0.002	0.023	0.003	0	0.011	-0.287	0.034	0	-0.034	-0.036	0.016	-0.087	-0.105	-0.081	0.029	-0.065	0.088	-0.001	0	0.189	0	-0.066	0.129	0.006	0.031	0.004	0.003	0.713	-0.153	0.129	-0.034	-0.026	0.016	0.042	-0.295	0.005	-0.125	-0.068	-0.096	0.007	-0.009	-0.019	-0.173	-0.013	-0.045	0.003	0.008	0.006	-0.563	-0.064	-0.006	0	-0.064	0	-0.005	-0.215	0.001	0.005	-0.049	0.073	0.005	-0.34	-0.126	0	-0.118
CARS	0	-0.054	0.004	-0.48	0.008	-0.021	-0.003	0.002	-0.022	-0.001	-0.046	-0.01	-0.102	0.034	0.016	0.003	0.011	0.005	0.172	-0.001	-0.027	0.22	0.563	0.004	0.005	-0.014	0.002	-0.148	0.001	0.062	0.019	-0.486	-0.257	-0.047	0.151	0	-0.007	0.034	-0.06	-0.265	-0.529	0	0.005	-0.063	0.031	-0.479	0	-0.013	0.001	0.006	-0.135	-0.57	-0.367	-0.256	0.01	-0.002	-0.011	0.016	0.004	-0.276	0	0.05	-0.554	0.002	-0.001	0.011	0	-0.01	0.159	-0.002	0.002	0.007	0.004	-0.133	0.006	0.151	-0.099	-0.003	-0.004	0.148	0.001	-0.594	-0.399	-0.044	-0.506	0.001	-0.001	0	-0.01	-0.056	0.006	0	0	-0.101	0.061	-0.004	0.012	-0.299	0.001	-0.598	-0.016	0.001	-0.042	0.002	0	-0.004	-0.018	0	-0.093	-0.018	0.089	0.244	-0.31	0.001	0	0.012	-0.08	-0.082	-0.014	-0.001	-0.017	-0.002	0.002	0	0	-0.06	-0.015	-0.033	-0.111	-0.043	0.007	-0.117	0.001	0.003	0.009	-0.342	-0.001	0.002	0.195	0	0.019	-0.695	0.004	0	0.045	-0.003	-0.367	0.056	0.08	0.003	0.009	0.028	0.013	0.002	-0.017	-0.001	0.012	-0.283	-0.05	-0.028	-0.001	0.05	0	0.009	0.004	0	-0.001	0	0.03	-0.002	-0.001	0.099	-0.001	0	0.062	0.001	0.007	0.003	-0.006	0	0.044	-0.006	-0.002	-0.153
LPCAT3	0.183	-0.036	0.002	0.01	1.905	0.005	-0.003	0	-0.015	-0.008	0.082	-0.001	-0.048	-0.216	0.038	-0.018	-0.359	-0.586	0.118	0.004	0.588	0.037	3.179	-0.002	-0.003	0.007	0.002	-0.181	0	0.136	0.041	0.49	0.004	-0.097	0.561	-0.002	0.218	-0.632	0.185	0.039	0.548	-0.028	0.023	0.695	2.912	-0.38	-0.004	0.332	0.019	0.006	0.031	0.533	0.132	-0.235	-0.557	0.023	-0.579	-0.022	-0.003	0.897	0.475	-0.017	-0.53	0.001	0.023	-0.595	0.001	-0.015	-0.2	0.001	-0.001	0.017	-0.003	0.012	-0.006	0.331	-0.007	-0.004	0.013	-0.06	-0.002	0.058	0.821	0.747	0.02	-0.109	-0.467	0.011	-0.012	-0.046	0.001	0.162	-0.002	0.115	-0.278	-0.029	0	0.178	-0.095	0.605	0.477	0.001	-0.012	-0.05	-0.038	0.009	0.045	-0.041	0.648	0.015	-0.291	0.135	0.006	0.003	0.013	0.023	0.002	-0.388	-0.015	-0.001	0.068	0.024	-0.011	0.004	-0.03	0.026	-0.009	0.933	-0.034	-0.01	0	1.294	-0.015	0.046	-0.07	-0.452	-0.002	0.006	-0.605	0.004	-0.037	-0.003	0.005	-0.1	0.018	-0.002	-0.764	0.032	0.09	0.009	0.042	-0.237	-0.395	-0.001	-0.371	0.005	-0.033	0.095	-0.001	-0.003	-0.105	0.223	0.005	0.003	-0.011	-0.002	0.437	0.006	0.03	0.012	0.125	0.016	0	0.001	0.264	0.027	-0.472	-0.035	0.054	-0.618	0.143	0.024	0.02	-0.069
CS	0.184	-0.036	0.002	-0.013	-0.699	0.005	-0.003	0	-0.015	-0.002	-0.116	-0.001	-0.048	-0.09	0.03	-0.018	0.021	-0.005	0.11	0	0.589	0.037	0.058	-0.003	-0.003	0.007	-0.001	0.243	0	-0.198	0.041	-0.469	0.004	0.142	0.153	-0.002	0.002	0.015	0.185	0.039	0.221	-0.028	-0.524	-0.107	0.178	-0.376	-0.004	0	0.019	0.006	0.031	0.533	0.42	-0.222	0.024	-0.068	0.443	0.64	-0.003	-0.08	0.421	-0.017	-0.525	0.001	0.023	-0.573	0.001	0.005	-0.2	0.001	-0.001	0.017	-0.003	-0.321	0.003	0.331	-0.007	-0.004	0.004	-0.06	-0.002	0.021	-0.461	1.424	0.005	-0.109	-0.002	0.011	-0.012	-0.056	0.001	0.162	-0.002	0.115	0.239	-0.029	0	0.178	-0.008	0.605	0.098	0.001	-0.012	-0.05	-0.038	0.009	0.046	-0.041	-0.188	0.011	0.036	0.135	-0.309	0	0.013	-0.5	0.002	0.054	-0.015	-0.001	0.069	0	-0.005	0.004	-0.03	0.026	-0.009	0.933	-0.034	-0.01	0	1.294	0.392	0.046	-0.07	-0.452	-0.002	0.006	0.068	0.004	-0.037	-0.003	0.005	-0.298	0.011	0	-0.764	0.019	0.09	-0.002	0.042	-0.249	-0.392	-0.001	0.238	0.005	-0.033	0	-0.072	-0.003	-0.105	0.223	0.001	0.003	-0.011	-0.002	0.404	0.006	0.03	0.012	0.125	0.008	0	0.001	0.252	-0.01	-0.004	-0.035	0.054	-0.618	-0.331	0.038	0.02	-0.069
GLS2	0.184	-0.036	0.002	-0.013	-0.699	0.005	-0.003	0	-0.015	-0.002	-0.116	-0.001	-0.048	-0.09	0.03	-0.018	0.021	-0.005	0.11	0	0.589	0.037	0.058	-0.003	-0.003	0.007	-0.001	0.243	0	-0.198	0.041	-0.469	0.004	0.142	0.153	-0.002	0.002	0.015	0.185	0.039	0.221	-0.028	-0.524	-0.107	0.178	-0.376	-0.004	0	0.019	0.006	0.031	0.533	0.406	-0.222	0.024	-0.068	0.443	0.64	-0.003	-0.08	0.421	-0.017	-0.525	0.001	0.028	-0.573	0.001	0.005	-0.2	0.001	-0.001	0.017	-0.003	-0.321	0.003	0.331	-0.007	-0.004	0.004	-0.06	-0.002	0.021	-0.461	1.424	0.005	-0.109	-0.002	0.011	-0.012	-0.056	0.001	0.162	-0.002	0.115	0.239	-0.029	0	0.178	-0.008	0.605	0.098	0.001	-0.012	-0.05	-0.038	0.009	0.046	-0.041	-0.188	0.011	0.036	0.135	-0.309	0	0.013	-0.5	0.002	0.054	-0.015	-0.001	0.069	0	-0.005	0.004	-0.03	0.026	-0.009	0.933	-0.034	-0.01	0	1.294	0.392	0.046	-0.07	-0.452	-0.002	0.006	0.068	0.004	-0.037	-0.003	0.005	-0.298	0.011	0	-0.764	0.019	0.09	-0.002	0.042	-0.249	-0.392	-0.001	0.238	0.005	-0.033	0	-0.072	-0.003	-0.105	0.223	0.001	0.003	-0.011	-0.002	0.404	0.006	0.03	0.012	0.125	0.008	0	0.001	0.252	-0.01	-0.004	-0.035	0.054	-0.618	-0.331	0.038	0.02	-0.069
MT1G	-0.013	0	0.002	0.374	0.051	0.015	0.002	0.011	0	0	-0.046	0.175	-0.005	0.038	0.005	0.013	-0.003	-0.577	0.212	0.007	-0.028	0.001	-0.059	-0.002	0.042	0.008	0.003	0.013	0.006	0.336	-0.003	0.019	0.003	0.216	0.161	0.001	-0.007	0.033	0.209	-0.003	0.372	-0.005	0.028	1.09	-0.308	0.301	0.007	-0.003	-0.002	-0.007	-0.131	-0.559	0.19	0.163	0.016	0.011	-0.019	-0.007	0.02	0.121	0.019	-0.001	-0.004	-0.005	0.022	0.026	0.78	-0.073	0.092	0.014	0.003	-0.079	0.002	0.013	0.014	0.043	-0.01	0.005	0	0.14	0.01	-0.014	0.02	-0.055	-0.016	0.158	0.009	0.004	-0.009	-0.007	0.003	0.139	-0.069	-0.287	0.059	0.016	0.026	0.188	0.038	-0.579	0.152	0.016	0	0	-0.023	0.073	0.028	-0.009	-0.077	0.025	0.002	0	0.076	0.015	-0.018	0.026	-0.061	-0.221	-0.001	-0.002	0.056	0.008	-0.012	0.046	0.048	0.017	-0.017	-0.05	0.085	0.015	-0.025	-0.103	0.001	0	0.009	0.228	-0.006	-0.004	0.148	-0.014	0.027	0.015	0.003	0.182	0.107	0.002	-0.372	-0.042	0.033	0.015	0.011	-0.526	-0.368	-0.118	-0.001	0.005	0.021	0.024	0.004	0.06	-0.003	0.042	0	-0.033	0.005	0.004	0.022	0.014	0.024	-0.005	0.03	-0.056	0.001	0.019	0.055	0.003	0.02	0.006	0.013	0.001	0.134	0.024	-0.015	0.007
ALOX15	-0.294	-0.137	-0.009	-0.563	-0.668	-0.598	-0.001	-0.352	-0.006	0.001	0.01	-0.043	-0.115	-0.135	-0.566	-0.391	-0.41	0.008	-0.477	-0.049	0.572	-0.047	-0.08	-0.015	-0.034	-0.033	-0.002	-0.208	-0.633	-0.012	-0.021	-0.459	-0.011	-0.193	-0.254	-0.002	-0.347	-0.607	-0.39	0.008	-0.329	-0.021	-0.51	-0.492	-0.328	-0.411	-0.054	-0.372	0.002	-0.01	-0.173	0.537	-0.363	-0.25	-0.535	-0.23	-0.049	-0.018	0	0.062	-0.544	-0.049	-0.551	-0.005	-0.006	-0.57	-0.002	-0.035	-0.233	0.008	-0.001	-0.063	-0.119	-0.314	-0.45	-0.201	-0.073	-0.004	-0.35	-0.274	0.03	-0.597	-0.466	1.423	-0.009	-0.742	-0.39	-0.655	0.017	-0.039	-0.003	-0.002	-0.074	-0.31	-0.433	-0.03	-0.513	-0.18	-0.419	0.072	-0.06	-0.251	0.034	-0.127	-0.123	0.009	-0.633	-0.015	-0.294	-0.64	-0.286	-0.15	-0.313	-0.008	-0.459	-0.483	0.014	0.665	-0.027	-0.247	-0.11	-0.393	-0.5	-0.077	-0.635	-0.173	-0.064	0.896	0.008	-0.011	-0.19	1.345	-0.019	-0.004	-0.022	-0.548	-0.001	-0.048	-0.62	-0.386	-0.072	-0.623	-0.426	-0.161	-0.341	-0.002	0.042	-0.428	0.182	-0.561	-0.056	-0.524	-0.406	0.009	-0.378	-0.043	-0.152	-0.274	0	-0.03	-0.05	-0.401	-0.01	-0.386	-0.062	0.001	0.013	-0.573	-0.037	-0.081	0.107	-0.087	-0.004	-0.011	-0.212	-0.019	-0.476	0.002	0.019	-0.639	-0.343	-0.292	-0.003	-0.039
GPX4	-0.294	-0.022	0.004	0.279	-0.635	-0.059	-0.002	-0.006	0.001	-0.005	0.014	0.172	0	0.045	-0.045	0.011	0.001	0.006	0.062	0.004	-0.018	0.04	-0.399	-0.023	-0.005	-0.001	-0.004	0.043	0.014	0.06	-0.003	0.014	-0.014	0.047	-0.079	0.002	-0.027	-0.57	-0.009	-0.052	0.394	-0.04	0.048	-0.227	-0.022	-0.385	-0.004	-0.008	-0.002	-0.017	-0.27	0.05	0.107	0.118	-0.5	-0.277	-0.063	-0.68	0.001	-0.195	-0.025	0.049	-0.529	-0.021	-0.018	-0.547	-0.002	0.042	-0.042	0.005	-0.005	0	-0.003	0.035	-0.023	-0.174	0.038	0.01	0.017	-0.029	0.015	-0.596	-0.041	1.528	-0.025	-0.415	-0.048	-0.012	0.008	0.08	0.002	0.134	-0.256	0.116	-0.433	0.016	0.024	-0.174	-0.004	0.159	-0.079	-0.035	-0.006	-0.005	0.002	0.014	0.039	0.024	-0.302	-0.62	0.032	-0.15	-0.009	0.016	-0.437	0.043	0.007	-0.162	0.008	-0.046	0.1	0.011	0.002	-0.012	-0.296	0.024	-0.03	0.855	0.046	0.008	-0.04	1.289	-0.013	-0.002	-0.015	-0.517	-0.004	0.001	0.092	-0.043	-0.033	0.058	-0.411	-0.265	-0.039	0.003	0.026	-0.225	-0.045	0.019	-0.028	-0.075	-0.363	0.001	0.004	-0.047	-0.019	-0.299	0.001	-0.015	0.005	-0.101	-0.016	0.021	-0.015	0.002	0.015	-0.556	0.022	0.009	-0.027	0.028	0.007	0.002	-0.178	0.001	0.011	-0.011	0.073	-0.032	0.175	0.008	0.003	-0.126
SLC1A5	0.223	0.212	0.004	0.279	-0.611	-0.059	-0.001	-0.347	0.001	0.002	-0.133	0.162	0	0.045	-0.045	0.011	0.001	0.006	0.062	0	-0.018	0.04	-0.363	-0.023	-0.005	-0.001	0	-0.207	0.014	0.06	-0.003	0.027	-0.014	0.047	-0.079	0.002	-0.027	0.1	0.341	0.334	0.37	-0.04	0.048	0.364	-0.022	-0.047	-0.004	-0.029	-0.002	0.002	0.189	0.05	0.107	0.521	0.036	0.132	0.922	0.591	-0.339	-0.136	0.539	-0.006	-0.053	-0.008	-0.018	0.055	-0.002	0.042	-0.034	0.005	-0.005	0	-0.003	-0.292	-0.014	0.348	0.038	0.01	0.013	-0.023	0.015	-0.021	0.011	0.672	-0.025	0.495	-0.012	-0.012	0.004	0.08	0.002	0.134	-0.028	0.116	-0.034	0.016	0.024	-0.215	0.007	0.159	0.368	-0.035	-0.006	-0.005	0.005	0.014	0.063	0.024	0.099	-0.631	-0.266	0.252	-0.009	0.016	-0.433	0.453	0.007	0.075	0	0	-0.04	-0.01	0.427	-0.012	0.345	0.02	0.015	0.856	0.046	0.008	-0.158	1.289	-0.013	-0.002	-0.015	0.222	-0.008	-0.001	0.109	0.329	-0.033	0.058	-0.371	0.098	-0.029	0.007	0.023	-0.209	-0.045	0.019	-0.028	-0.075	-0.026	0.006	-0.381	-0.023	0.132	-0.286	0.001	0.017	0.003	-0.101	-0.016	0.021	0.047	0.002	0.015	0.525	0.022	0.009	-0.027	0.028	0.007	0.002	-0.193	0.014	-0.466	-0.011	0.073	-0.032	0.061	0.004	-0.007	-0.126
SAT1	-0.012	0.001	0.005	-0.038	-0.208	-0.084	-0.034	-0.039	0	0.002	-0.036	0.053	0.006	-0.016	-0.131	-0.051	-0.062	-0.008	-0.249	0.009	0.161	-0.009	0.337	-0.003	0.005	-0.004	0.012	-0.055	-0.042	0	0.009	-0.142	-0.037	0.092	0	0.004	-0.111	-0.068	-0.043	-0.176	-0.102	-0.019	-0.12	-0.443	-0.095	0.065	-0.006	0.048	0	-0.004	-0.059	-0.137	-0.042	0	-0.085	-0.041	-0.07	-0.197	-0.013	-0.582	-0.023	-0.025	-0.126	0.001	-0.069	-0.132	0.001	0.008	0.037	-0.102	0.004	0.029	-0.007	-0.099	-0.037	0.073	-0.277	0.004	-0.018	0.029	0.068	-0.046	-0.078	0.484	0.014	-0.064	-0.05	-0.098	0.005	0.014	-0.001	0.254	-0.013	0	0.164	0.003	-0.402	-0.012	-0.024	-0.127	0.033	-0.005	-0.001	-0.018	-0.009	0.001	-0.159	-0.047	-0.028	-0.081	-0.235	-0.333	-0.075	-0.036	-0.075	-0.068	-0.009	0.022	-0.005	-0.014	0.019	-0.036	-0.076	0.108	-0.078	-0.015	0.001	0.311	0.004	-0.002	-0.015	0.45	-0.014	0.009	-0.109	0.377	0.003	0.011	-0.097	-0.044	-0.078	-0.676	-0.058	-0.022	0.01	0.006	-0.179	-0.05	0.024	-0.06	-0.018	-0.172	-0.083	-0.06	-0.047	-0.02	-0.248	-0.002	-0.009	0	-0.018	0.041	-0.048	-0.062	-0.056	-0.013	-0.422	-0.082	-0.012	0.025	-0.017	-0.022	0.003	-0.002	0.035	-0.015	-0.072	-0.009	0.003	-0.069	-0.074	-0.086	0.005	-0.038
