gene	Amp	Del	tumor
DPP4	0.179924242424242	-0.136363636363636	KIRC
ATP5G3	0.181818181818182	-0.132575757575758	KIRC
NFE2L2	0.181818181818182	-0.134469696969697	KIRC
FANCD2	0.0170454545454545	-0.378787878787879	KIRC
TFRC	0.193181818181818	-0.126893939393939	KIRC
SLC7A11	0.0340909090909091	-0.268939393939394	KIRC
CDKN1A	0.0284090909090909	-0.227272727272727	KIRC
HSPB1	0.365530303030303	-0.119318181818182	KIRC
FDFT1	0.0416666666666667	-0.303030303030303	KIRC
EMC2	0.145833333333333	-0.253787878787879	KIRC
RPL8	0.15719696969697	-0.232954545454545	KIRC
HSPA5	0.0303030303030303	-0.214015151515152	KIRC
NCOA4	0.0246212121212121	-0.388257575757576	KIRC
CISD1	0.0265151515151515	-0.392045454545455	KIRC
CARS	0.0814393939393939	-0.276515151515151	KIRC
LPCAT3	0.253787878787879	-0.164772727272727	KIRC
CS	0.25	-0.168560606060606	KIRC
GLS2	0.25	-0.168560606060606	KIRC
MT1G	0.208333333333333	-0.147727272727273	KIRC
ALOX15	0.071969696969697	-0.195075757575758	KIRC
GPX4	0.123106060606061	-0.208333333333333	KIRC
SLC1A5	0.145833333333333	-0.206439393939394	KIRC
SAT1	0.104166666666667	-0.259469696969697	KIRC
ACSL4	0.0984848484848485	-0.265151515151515	KIRC
