	TCGA-ZH-A8Y5-01	TCGA-4G-AAZT-01	TCGA-W5-AA34-01	TCGA-3X-AAVB-01	TCGA-W5-AA2X-01	TCGA-W5-AA2H-01	TCGA-3X-AAVA-01	TCGA-W5-AA2R-01	TCGA-W5-AA2U-01	TCGA-W5-AA2Q-01	TCGA-W5-AA38-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA30-01	TCGA-WD-A7RX-01	TCGA-3X-AAVE-01	TCGA-W5-AA2G-01	TCGA-4G-AAZO-01	TCGA-W6-AA0S-01	TCGA-W5-AA2W-01	TCGA-YR-A95A-01	TCGA-W5-AA39-01	TCGA-W5-AA33-01	TCGA-ZD-A8I3-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA31-01	TCGA-ZH-A8Y4-01	TCGA-W5-AA36-01	TCGA-ZU-A8S4-01	TCGA-W5-AA2Z-01	TCGA-3X-AAVC-01	TCGA-ZH-A8Y1-01	TCGA-3X-AAV9-01	TCGA-W5-AA2T-01	TCGA-ZH-A8Y8-01
RPL8	2.158	0.311	-0.009	-0.009	0.945	0.001	0.014	0.295	0.708	0.006	-0.296	0.406	0.003	0.469	0.034	0.231	-0.016	0.028	0.019	0.027	0.005	-0.013	0.009	0.009	-0.055	0.036	0.379	0.077	0.005	0.009	0.594	1.062	0.706	0.117	0.819	0.881
HSPA5	0.005	0.012	0.816	-0.009	-0.05	-0.002	-0.047	0.006	-0.785	0.072	-0.643	-0.601	0	-0.5	-0.507	-0.149	-0.526	-0.394	0.018	-0.017	-0.739	-0.001	-0.396	-0.546	-0.758	0.003	0	-0.739	-0.006	-0.044	0	-0.456	-0.764	-0.137	-0.85	-0.475
NCOA4	0.634	-0.026	0.013	-0.302	0.051	-0.001	-0.019	0.006	0.01	1.373	0.046	0.016	-0.006	-0.013	0.016	-0.08	0.002	-0.028	0	-0.003	0	-0.001	0.003	-0.013	0.047	0.69	0.375	-0.317	0.017	0.017	0.608	0.03	0.021	0.126	0.035	0.008
CISD1	0.634	-0.026	0.013	-0.308	0.051	-0.001	-0.019	0.006	0.01	-0.003	0.046	0.058	-0.006	-0.228	0.016	-0.08	0.002	-0.028	0	0.056	0	-0.001	0.003	-0.013	0.047	0.69	0.375	-0.317	0.017	0.017	0.608	0.03	0.021	0.126	0.035	0.008
CARS	-0.015	-0.036	-0.131	0.28	-0.02	-0.003	-0.014	-0.009	-0.035	-0.014	0.007	0.42	-0.001	0.513	-0.506	-0.104	-0.007	0.018	0.001	-0.008	-0.748	-0.011	0.002	0.025	-0.761	-0.102	-0.373	-0.325	-0.004	-0.064	-0.042	0.013	0.009	0.103	-0.854	0.003
LPCAT3	2.032	0.308	0.322	0.295	0.489	0.001	0.515	-0.009	0.012	-0.01	-0.003	-0.078	0.005	0.001	0.088	0.144	-0.256	0.018	-0.008	0.016	-0.004	-0.003	-0.004	0.322	0.037	0.033	0.369	0.379	-0.82	0.013	0.598	-0.014	0	0.114	0.04	0.016
CS	-0.008	0.319	0.324	-0.298	-0.468	0.001	-0.005	-0.009	0.012	-0.01	0.021	-0.039	0.001	0	0.089	0.144	-0.256	0.035	0.028	0.003	0	-0.009	0.001	0.322	0.037	0.033	0.369	0.399	-0.011	0.013	0.598	-0.014	0	0.114	0.04	0.016
GLS2	-0.008	0.319	0.324	-0.298	-0.468	0.001	-0.005	-0.009	0.012	-0.01	0.021	-0.039	0.001	0	0.089	0.144	-0.256	0.035	0.028	0.003	0	-0.009	0.001	0.322	0.037	0.033	0.369	0.399	-0.011	0.013	0.598	-0.014	0	0.114	0.04	0.016
MT1G	0.003	0.305	-0.889	0.235	-0.026	-0.001	-0.05	0.027	0.004	-0.025	-0.296	0.035	0.003	-0.23	0.012	-0.153	0.245	0.009	-0.019	-0.041	0.004	0.01	-0.013	0.31	0.013	-0.022	-0.016	-0.391	-0.011	0.003	-0.011	0.805	-0.753	0.076	0.041	-0.022
ALOX15	0.017	-0.027	-0.001	-0.305	0.388	0.003	0.022	-0.483	0.02	0.016	-0.686	0.337	0.002	0.013	-0.023	-0.368	-0.523	-0.393	-0.75	-0.083	-0.003	-0.001	-0.025	0.316	-0.01	-0.791	0.358	-0.223	-0.016	-0.021	0.001	-0.456	0.043	-0.149	0.031	-0.022
GPX4	0.032	0.314	-0.052	0.249	-0.556	0.003	-0.059	0.043	-0.023	0.029	-0.043	0.287	0.006	-0.01	-0.064	0.053	-0.238	0	-0.033	-0.148	-0.031	-0.002	0.296	-0.021	0.577	-0.109	0.248	-0.041	-0.036	-0.009	0.005	-0.244	0.045	-0.038	-0.004	-0.507
SLC1A5	0.032	0.314	-0.022	0.266	-0.059	0.003	-0.059	-0.46	-0.018	0.029	-0.043	0.287	0.006	-0.01	0.002	0.053	0.009	0	-0.717	0.579	-0.014	-0.002	0.305	-0.022	-0.053	-0.109	0.625	0	-0.036	-0.182	0.005	-0.216	0.045	-0.038	-0.004	-0.501
SAT1	0.021	0.032	-0.126	0.014	0	0	-0.123	-0.103	-0.143	0.163	-0.203	0	0.871	-0.122	-0.14	-0.013	-0.116	-0.179	-0.219	-0.093	-0.137	0.072	-0.058	-0.029	-0.166	-0.231	-0.012	-0.193	-0.136	-0.017	0.015	0.019	-0.076	0.014	-0.204	-0.098
ACSL4	0.021	0.042	-0.113	0.014	0	0	-0.123	-0.103	-0.208	2.251	-0.203	-0.003	-0.007	-0.122	-0.14	-0.013	-0.116	-0.182	-0.219	-0.093	-0.132	0.07	-0.046	-0.021	-0.166	-0.216	-0.012	-0.172	-0.15	-0.029	0.015	0.019	0.019	0.004	-0.23	-0.093
