	TCGA-CC-A3MA-01	TCGA-DD-AAW0-01	TCGA-DD-AACA-01	TCGA-K7-AAU7-01	TCGA-RC-A7SB-01	TCGA-DD-AAVZ-01	TCGA-ED-A627-01	TCGA-MR-A8JO-01	TCGA-BC-4073-01	TCGA-QA-A7B7-01	TCGA-HP-A5N0-01	TCGA-DD-AAEI-01	TCGA-DD-AACT-01	TCGA-DD-AAEE-01	TCGA-ZP-A9CY-01	TCGA-ZP-A9D2-01	TCGA-DD-A73B-01	TCGA-FV-A4ZP-01	TCGA-DD-AACS-01	TCGA-DD-A4NK-01	TCGA-DD-AACX-01	TCGA-DD-AAE0-01	TCGA-DD-AADA-01	TCGA-DD-A1EI-01	TCGA-BC-A5W4-01	TCGA-DD-A4NI-01	TCGA-BC-A10T-01	TCGA-2Y-A9H6-01	TCGA-CC-A7IH-01	TCGA-WJ-A86L-01	TCGA-DD-A4ND-01	TCGA-2Y-A9H2-01	TCGA-DD-AAVW-01	TCGA-CC-A7IL-01	TCGA-DD-A4NS-01	TCGA-DD-AADI-01	TCGA-CC-A7IG-01	TCGA-DD-AAD6-01	TCGA-BC-A10W-01	TCGA-DD-AAVV-01	TCGA-FV-A3R2-01	TCGA-5R-AA1C-01	TCGA-BC-A10X-01	TCGA-MI-A75I-01	TCGA-CC-A9FU-01	TCGA-ZS-A9CF-01	TCGA-BD-A3EP-01	TCGA-RC-A7S9-01	TCGA-DD-AA3A-01	TCGA-WX-AA46-01	TCGA-K7-A5RG-01	TCGA-G3-A7M6-01	TCGA-MR-A520-01	TCGA-ZS-A9CE-01	TCGA-ED-A7PZ-01	TCGA-DD-AAC9-01	TCGA-G3-AAV0-01	TCGA-DD-AAD8-01	TCGA-G3-AAV3-01	TCGA-CC-A8HV-01	TCGA-DD-AADO-01	TCGA-G3-A3CJ-01	TCGA-G3-A25X-01	TCGA-BD-A2L6-01	TCGA-DD-A11D-01	TCGA-DD-AACK-01	TCGA-DD-A118-01	TCGA-G3-AAV7-01	TCGA-DD-AADL-01	TCGA-CC-A5UD-01	TCGA-DD-AAE6-01	TCGA-DD-AAD3-01	TCGA-DD-A39V-01	TCGA-ED-A97K-01	TCGA-BC-A69H-01	TCGA-EP-A2KA-01	TCGA-DD-AAE2-01	TCGA-CC-A5UC-01	TCGA-KR-A7K8-01	TCGA-G3-A7M5-01	TCGA-CC-A7IE-01	TCGA-4R-AA8I-01	TCGA-MI-A75C-01	TCGA-DD-A3A1-01	TCGA-DD-A73E-01	TCGA-UB-A7MB-01	TCGA-ZS-A9CD-01	TCGA-UB-A7MA-01	TCGA-G3-A3CK-01	TCGA-G3-A25Z-01	TCGA-BC-A217-01	TCGA-DD-A3A9-01	TCGA-CC-5260-01	TCGA-DD-A119-01	TCGA-G3-A25V-01	TCGA-DD-AACI-01	TCGA-UB-A7ME-01	TCGA-DD-A4NH-01	TCGA-DD-AACM-01	TCGA-EP-A26S-01	TCGA-2Y-A9H4-01	TCGA-DD-AAVR-01	TCGA-HP-A5MZ-01	TCGA-2Y-A9GX-01	TCGA-DD-AADQ-01	TCGA-BC-A69I-01	TCGA-DD-AAE8-01	TCGA-2Y-A9GW-01	TCGA-DD-A4NQ-01	TCGA-DD-AACN-01	TCGA-RC-A6M3-01	TCGA-FV-A23B-01	TCGA-DD-A4NL-01	TCGA-ED-A4XI-01	TCGA-BD-A3ER-01	TCGA-DD-AAVY-01	TCGA-FV-A2QR-01	TCGA-ED-A5KG-01	TCGA-ED-A66X-01	TCGA-G3-A25W-01	TCGA-2V-A95S-01	TCGA-DD-AACD-01	TCGA-DD-A1EE-01	TCGA-RC-A7SH-01	TCGA-DD-AACW-01	TCGA-DD-AACC-01	TCGA-DD-A1EF-01	TCGA-DD-A73A-01	TCGA-DD-A1E9-01	TCGA-BC-A10S-01	TCGA-2Y-A9H7-01	TCGA-DD-A114-01	TCGA-DD-AACO-01	TCGA-G3-A3CI-01	TCGA-DD-A1EB-01	TCGA-DD-AADB-01	TCGA-2Y-A9H1-01	TCGA-DD-AAVP-01	TCGA-CC-5262-01	TCGA-WQ-AB4B-01	TCGA-ES-A2HS-01	TCGA-G3-A7M9-01	TCGA-BC-A8YO-01	TCGA-FV-A496-01	TCGA-DD-AAEH-01	TCGA-DD-A3A3-01	TCGA-ZP-A9D4-01	TCGA-ED-A7XO-01	TCGA-ZP-A9D0-01	TCGA-DD-A73G-01	TCGA-CC-A9FV-01	TCGA-FV-A495-01	TCGA-DD-AACY-01	TCGA-DD-AADW-01	TCGA-ED-A7PY-01	TCGA-FV-A3I1-01	TCGA-CC-A3M9-01	TCGA-DD-A1EH-01	TCGA-CC-A8HU-01	TCGA-2Y-A9H0-01	TCGA-DD-AADD-01	TCGA-DD-A4NF-01	TCGA-DD-A1EL-01	TCGA-KR-A7K0-01	TCGA-G3-A5SM-01	TCGA-DD-A11C-01	TCGA-BC-A10Q-01	TCGA-DD-A73D-01	TCGA-DD-A4NB-01	TCGA-BC-A10Z-01	TCGA-WQ-A9G7-01	TCGA-FV-A3R3-01	TCGA-G3-A25S-01	TCGA-MI-A75H-01	TCGA-NI-A8LF-01	TCGA-DD-AADG-01	TCGA-CC-A9FS-01	TCGA-DD-AADR-01	TCGA-CC-A9FW-01	TCGA-DD-AAE1-01	TCGA-MI-A75G-01	TCGA-CC-A7IF-01	TCGA-DD-A3A5-01	TCGA-GJ-A3OU-01	TCGA-WX-AA47-01	TCGA-CC-A7IJ-01	TCGA-G3-AAV2-01	TCGA-BC-A3KF-01	TCGA-DD-AAC8-01	TCGA-DD-AADV-01	TCGA-CC-5261-01	TCGA-ZS-A9CG-01	TCGA-FV-A3I0-01	TCGA-G3-A3CH-01	TCGA-LG-A6GG-01	TCGA-G3-AAV1-01	TCGA-DD-AADM-01	TCGA-CC-5258-01	TCGA-DD-A3A6-01	TCGA-UB-AA0U-01	TCGA-G3-A25Y-01	TCGA-5C-AAPD-01	TCGA-DD-A116-01	TCGA-DD-AACJ-01	TCGA-G3-AAV5-01	TCGA-DD-A11B-01	TCGA-DD-AAD5-01	TCGA-DD-AADJ-01	TCGA-UB-AA0V-01	TCGA-BW-A5NP-01	TCGA-EP-A3JL-01	TCGA-DD-AAD1-01	TCGA-DD-AADF-01	TCGA-DD-AAE3-01	TCGA-RC-A6M4-01	TCGA-G3-A7M7-01	TCGA-CC-A3MB-01	TCGA-XR-A8TG-01	TCGA-EP-A2KC-01	TCGA-T1-A6J8-01	TCGA-DD-AAEB-01	TCGA-CC-5263-01	TCGA-K7-A6G5-01	TCGA-UB-A7MC-01	TCGA-ED-A8O6-01	TCGA-MI-A75E-01	TCGA-XR-A8TD-01	TCGA-DD-A3A7-01	TCGA-DD-AACP-01	TCGA-G3-A25T-01	TCGA-2Y-A9GY-01	TCGA-DD-A1EJ-01	TCGA-2Y-A9H5-01	TCGA-5C-A9VH-01	TCGA-EP-A3RK-01	TCGA-DD-A39Y-01	TCGA-ES-A2HT-01	TCGA-BC-A216-01	TCGA-DD-AADP-01	TCGA-2Y-A9GU-01	TCGA-2Y-A9HA-01	TCGA-DD-AACL-01	TCGA-DD-A4NP-01	TCGA-G3-A5SI-01	TCGA-DD-A113-01	TCGA-BW-A5NQ-01	TCGA-DD-A1EA-01	TCGA-DD-AAW2-01	TCGA-ZP-A9CZ-01	TCGA-DD-AACG-01	TCGA-BC-4072-01	TCGA-CC-A3MC-01	TCGA-DD-AAW1-01	TCGA-3K-AAZ8-01	TCGA-XR-A8TE-01	TCGA-O8-A75V-01	TCGA-RC-A7SF-01	TCGA-DD-AACV-01	TCGA-DD-AAEK-01	TCGA-DD-AACB-01	TCGA-FV-A4ZQ-01	TCGA-G3-A6UC-01	TCGA-DD-AAW3-01	TCGA-DD-AACU-01	TCGA-DD-A4NJ-01	TCGA-GJ-A9DB-01	TCGA-YA-A8S7-01	TCGA-DD-A1EC-01	TCGA-BC-A10U-01	TCGA-DD-AACZ-01	TCGA-CC-A7II-01	TCGA-DD-AADC-01	TCGA-2Y-A9HB-01	TCGA-G3-AAUZ-01	TCGA-2Y-A9H3-01	TCGA-NI-A4U2-01	TCGA-DD-AAVQ-01	TCGA-DD-AAVU-01	TCGA-DD-A4NA-01	TCGA-G3-A7M8-01	TCGA-KR-A7K7-01	TCGA-DD-A4NV-01	TCGA-ZP-A9CV-01	TCGA-BC-A10Y-01	TCGA-DD-A3A0-01	TCGA-DD-A3A2-01	TCGA-ED-A82E-01	TCGA-K7-A5RF-01	TCGA-ED-A8O5-01	TCGA-DD-AACQ-01	TCGA-ZP-A9D1-01	TCGA-DD-AADU-01	TCGA-DD-AADY-01	TCGA-2Y-A9GS-01	TCGA-DD-AADN-01	TCGA-2Y-A9H9-01	TCGA-RC-A7SK-01	TCGA-CC-A8HT-01	TCGA-ED-A459-01	TCGA-ED-A7PX-01	TCGA-CC-A1HT-01	TCGA-G3-A5SL-01	TCGA-G3-AAV6-01	TCGA-DD-A73F-01	TCGA-DD-A4NO-01	TCGA-5R-AA1D-01	TCGA-KR-A7K2-01	TCGA-LG-A9QC-01	TCGA-DD-AAD2-01	TCGA-DD-A39W-01	TCGA-DD-AADE-01	TCGA-GJ-A6C0-01	TCGA-DD-A39X-01	TCGA-CC-A5UE-01	TCGA-BC-A110-01	TCGA-LG-A9QD-01	TCGA-CC-A7IK-01	TCGA-CC-5264-01	TCGA-5R-AAAM-01	TCGA-BC-A3KG-01	TCGA-DD-AAEA-01	TCGA-PD-A5DF-01	TCGA-DD-A3A4-01	TCGA-ED-A7XP-01	TCGA-DD-A3A8-01	TCGA-DD-AACH-01	TCGA-UB-A7MD-01	TCGA-G3-AAV4-01	TCGA-2Y-A9GZ-01	TCGA-DD-A39Z-01	TCGA-RC-A6M5-01	TCGA-5C-A9VG-01	TCGA-EP-A2KB-01	TCGA-DD-AADK-01	TCGA-DD-A4NN-01	TCGA-DD-A11A-01	TCGA-DD-AAD0-01	TCGA-DD-AAVS-01	TCGA-RC-A6M6-01	TCGA-FV-A2QQ-01	TCGA-DD-AAE9-01	TCGA-2Y-A9GV-01	TCGA-DD-AADS-01	TCGA-G3-A5SJ-01	TCGA-DD-AAVX-01	TCGA-RG-A7D4-01	TCGA-DD-AAEG-01	TCGA-XR-A8TF-01	TCGA-ED-A66Y-01	TCGA-BC-A112-01	TCGA-BW-A5NO-01	TCGA-UB-A7MF-01	TCGA-WX-AA44-01	TCGA-DD-AAE7-01	TCGA-G3-A25U-01	TCGA-DD-AACF-01	TCGA-DD-A1EK-01	TCGA-EP-A12J-01	TCGA-DD-AAE4-01	TCGA-DD-AAED-01	TCGA-DD-AACE-01	TCGA-DD-A1EG-01	TCGA-BC-A10R-01	TCGA-G3-A3CG-01	TCGA-DD-A1ED-01	TCGA-2Y-A9H8-01	TCGA-2Y-A9GT-01	TCGA-DD-A73C-01	TCGA-DD-A4NR-01	TCGA-DD-A115-01
DPP4	-0.001	-0.011	-0.016	-0.002	-0.013	-0.012	-0.002	0.072	-0.003	-0.031	-0.622	-0.023	0.009	-0.714	-0.005	0.016	-0.857	0.036	-0.005	-0.04	-0.011	0.017	0.037	0	-0.038	0	-0.02	-0.621	0	-0.009	0.001	-0.01	-0.03	-0.138	0.005	-0.189	-0.036	0.106	-0.014	-0.059	-0.037	0.739	-0.002	-0.032	0.346	-0.025	-0.137	0.001	0.621	0	0	0.034	0.002	-0.79	-0.265	-0.009	-0.002	0.48	-0.001	0.902	1.26	-0.004	0.012	-0.008	-0.013	-0.001	0.019	-0.506	-0.269	0	-0.447	-0.003	-0.013	0.012	-0.019	-0.005	-0.732	0	-0.03	0.01	0.219	-0.796	-0.004	-0.011	0.314	0.007	0	0.308	0.002	0.452	0.025	0.333	0.001	0	-0.001	0.314	0	-0.01	-0.016	-0.008	-0.041	-0.012	0.017	0	-0.005	0.002	0	-0.011	-0.01	-0.004	0.295	-0.022	-0.001	0	-0.017	0.007	0.01	0.036	0	0.358	0.02	-0.005	0.004	-0.281	-0.014	-0.008	0.007	-0.016	0.133	-0.011	-0.023	-0.043	-0.098	0	0.003	0	-0.014	-0.006	-0.005	-0.23	0.332	0.054	-0.014	0.023	-0.003	-0.02	-0.022	-0.411	-0.003	-0.056	0.004	-0.019	0.007	-0.419	0.384	-0.096	-0.076	0.024	-0.052	0.023	-0.029	0.008	0.909	0.002	0.102	0.372	0.32	0.835	0.005	0	-0.045	-0.001	0.13	-0.001	-0.046	-0.017	-0.006	-0.015	0.018	-0.015	0.015	0	0.001	-0.003	-0.009	0.149	-0.002	-0.681	-0.002	-0.818	-0.026	-0.002	0.028	0	0.577	-0.005	-0.032	-0.034	-0.001	-0.773	-0.025	-0.029	0	-0.024	-0.019	-0.017	0.158	0.142	0.001	0.948	-0.062	0.038	0.099	-0.001	-0.004	0	0.001	0.013	0	-0.34	-0.008	0.009	-0.002	-0.009	0.114	0.002	-0.018	1.194	0.031	0.318	0.316	0.121	-0.433	-0.011	0.014	-0.291	0.002	-0.026	-0.03	-0.409	-0.022	0.018	0.003	-0.004	0.249	-0.271	-0.003	-0.018	-0.044	-0.011	0.459	-0.018	0.006	-0.198	0.652	-0.017	0.007	0.021	0.014	0.227	0.011	0.002	0	0.179	-0.443	-0.309	0.134	0	-0.008	0.128	-0.439	0.042	-0.007	-0.041	-0.082	-0.01	0	-0.016	0.035	0.002	0	0	-0.001	-0.192	0.012	0	0.411	-0.003	0.01	-0.04	0.014	0.658	0	-0.007	-0.239	-0.012	0.386	-0.02	-0.32	-0.245	0.037	0	0.82	0.033	0	-0.005	-0.276	0	-0.016	-0.047	-0.004	-0.003	0.149	0.093	-0.01	-0.02	0.494	-0.563	0.002	-0.035	0	-0.067	-0.001	0	0	-0.021	-0.012	0.023	-0.061	-0.005	-0.149	-0.19	-0.002	-0.005	-0.094	0.064	-0.003	0.686	0.023	0	0.013	-0.686	0.001	-0.004	-0.01	0.021	-0.014	0.009	-0.162	0.03	-0.107	-0.325	-0.001	-0.002	-0.004	-0.006	-0.002	0.004	-0.727	-0.108	-0.443	0.011	0.41	-0.027	0.004	-0.417	0	0	0.001	-1.099
ATP5G3	-0.001	-0.011	-0.029	-0.002	-0.013	-0.026	-0.002	0.072	0.007	-0.031	0.017	-0.023	0.009	-0.714	-0.005	0.016	-0.857	0.036	-0.005	-0.04	-0.011	0.017	0.037	0	-0.038	0	-0.032	-0.582	0	-0.016	0.001	-0.01	-0.03	-0.138	0.005	-0.189	-0.036	0.106	-0.025	-0.059	-0.037	0.739	-0.002	-0.032	0.346	-0.023	-0.137	0.001	0.621	0	0	0.034	0.002	-0.79	-0.265	-0.009	-0.002	0.48	-0.001	0.406	0.308	-0.004	-0.01	-0.008	-0.013	-0.001	0.019	-0.527	-0.271	0	-0.447	-0.003	-0.013	0.012	-0.019	0.494	-0.732	0	-0.078	0.007	0.219	-0.796	-0.004	-0.017	0.314	0.007	0	0.308	0.002	0.452	0.023	0.333	0.001	0	-0.001	0.314	0	-0.01	-0.016	-0.008	0.006	-0.037	0.017	0	-0.007	0.002	0	-0.011	-0.01	-0.004	0.068	-0.022	-0.001	0	-0.017	0.007	0.01	0.036	0	0.358	0.02	-0.001	0.004	-0.281	-0.014	-0.005	0.003	-0.016	0.114	-0.026	-0.023	-0.043	-0.098	0	0.009	0	-0.014	-0.006	-0.005	-0.23	0.332	0.054	-0.012	0.006	-0.003	-0.02	-0.022	-0.411	-0.003	-0.056	0.004	-0.016	-0.014	0.302	0.384	-0.096	-0.076	0.024	-0.052	0.035	-0.029	0.008	0.909	0.002	0.102	0.367	0.32	0.825	0.005	0.004	-0.045	-0.001	0.113	-0.001	-0.046	-0.017	-0.006	-0.015	0.018	-0.015	0.015	0	0.001	-0.003	-0.009	0.148	-0.002	-0.681	-0.002	0.189	-0.026	-0.002	0.026	0	0.576	-0.005	-0.029	-0.034	-0.001	-0.773	-0.025	-0.029	0.015	-0.024	-0.019	-0.017	0.158	0.162	0.001	0.955	-0.062	0.038	0.099	0.008	-0.004	0	0.001	0.037	0	1.19	-0.008	0.009	-0.002	-0.009	0.115	0.002	-0.018	1.362	0.031	0.318	0.316	0.121	-0.433	-0.011	0.014	-0.291	-0.003	-0.026	-0.019	-0.395	-0.022	0.018	0.003	-0.004	0.249	-0.271	-0.003	-0.002	-0.044	-0.011	0.459	-0.018	0.006	-0.198	0.652	-0.017	0.007	0.021	0.019	0.227	0.011	0.002	0	0.179	-0.443	-0.297	0.134	0	-0.008	0.126	-0.439	0.042	-0.007	-0.043	-0.082	-0.01	0	-0.016	0.035	0.002	0	0	-0.001	-0.192	-0.007	0	0.411	-0.001	0.01	-0.04	0.008	0.658	0	-0.007	-0.239	-0.012	0.897	-0.015	-0.32	-0.24	0.037	0	0.82	0.031	0	-0.005	-0.276	0	-0.016	0.773	-0.004	-0.011	0.149	0.093	-0.01	-0.02	0.494	-0.563	0.002	-0.015	0.009	-0.067	-0.001	0	0	-0.021	-0.012	0.023	-0.094	-0.005	-0.149	-0.19	-0.008	-0.005	-0.094	0.064	-0.003	0.686	0.045	0	0.013	-0.686	0.001	-0.004	-0.01	0.021	-0.014	0.009	-0.162	0.03	-0.083	-0.325	-0.001	-0.002	-0.004	-0.006	-0.006	0.004	-0.727	-0.108	-0.443	0.011	0.41	-0.027	0.004	0.065	0.001	0	0.001	-0.306
NFE2L2	-0.001	-0.011	-0.029	-0.002	-0.013	-0.026	-0.002	0.072	-0.534	-0.031	0.017	-0.023	0.009	-0.714	-0.005	0.016	-0.857	0.036	-0.005	-0.04	-0.011	0.017	0.037	0	-0.038	0	0.647	-0.582	0	-0.016	0.001	-0.01	-0.035	-0.138	-0.001	-0.189	-0.036	0.106	-0.025	-0.059	-0.037	0.739	-0.002	-0.032	0.346	-0.023	-0.137	0.001	0.621	0	0	0.034	0.001	-0.79	-0.265	-0.009	-0.002	0.48	-0.001	0.406	0.308	-0.004	-0.01	-0.008	-0.013	-0.001	0.019	-0.527	-0.271	0	-0.447	-0.003	-0.013	0.012	-0.019	1.226	-0.732	0	0.499	0.007	0.219	-0.796	-0.004	-0.017	0.314	0.007	0	0.308	0.002	0.452	0.023	0.333	0.001	0	-0.001	0.314	0	-0.01	-0.016	-0.008	0.007	0.457	0.017	0	-0.007	0.002	0	-0.011	0.391	-0.004	0.068	-0.022	-0.001	0	-0.017	0.007	0.01	0.036	0	0.358	0.02	-0.001	0.004	-0.281	-0.014	-0.005	0.003	-0.016	0.114	-0.026	-0.023	-0.043	-0.098	0	0.009	0	-0.014	-0.006	-0.005	-0.23	0.332	0.054	0.745	1.078	-0.003	-0.02	-0.022	-0.411	-0.003	-0.056	0.004	0.486	-0.014	0.302	0.384	0.7	-0.076	0.024	-0.052	0.969	-0.029	0.008	0.909	0.002	0.102	0.367	0.32	0.825	0.005	0.004	-0.045	-0.001	0.113	-0.001	-0.046	-0.017	-0.006	-0.015	0.018	-0.015	0.015	0	0.001	-0.003	-0.009	0.148	-0.002	-0.681	-0.002	0.189	-0.026	-0.002	0.026	0	0.576	-0.005	-0.029	-0.034	-0.001	0.007	-0.025	-0.029	0.015	-0.024	-0.019	-0.017	0.158	0.138	0.001	0.955	-0.062	0.038	0.099	0.008	-0.004	0	0.001	0.034	0	1.864	-0.008	0.709	-0.002	-0.009	0.115	0.002	-0.018	1.362	0.031	0.318	0.316	0.121	-0.433	-0.011	0.014	-0.291	-0.003	-0.026	-0.019	-0.395	-0.022	0.018	0.003	-0.004	0.249	-0.271	-0.003	-0.002	-0.044	-0.011	0.459	-0.018	0.006	-0.198	0.652	-0.017	0.007	0.021	0.019	0.227	0.011	0.002	0	0.179	-0.443	-0.297	0.134	0	-0.008	0.126	-0.439	0.042	-0.007	-0.043	-0.082	-0.01	0	-0.016	0.035	0.002	0	0	-0.001	-0.192	0.51	0	0.411	-0.001	0.01	1.567	0.008	0.658	0	-0.007	-0.239	-0.012	0.897	-0.015	-0.32	-0.24	0.037	0	0.82	0.031	0	-0.005	-0.276	0	-0.016	0.773	-0.004	-0.011	0.149	0.093	-0.01	-0.02	0.494	-0.563	0.002	0.835	0.009	-0.067	-0.001	0	0	-0.021	-0.012	0.023	-0.047	-0.005	-0.149	-0.19	-0.008	-0.005	-0.094	0.064	-0.003	0.686	0.026	0	0.013	-0.686	0.001	-0.004	-0.01	0.021	-0.014	0.009	-0.162	0.03	-0.083	-0.325	0.628	-0.002	-0.004	-0.006	-0.006	0.004	-0.727	-0.108	-0.443	0.011	0.41	-0.027	0.004	0.065	0.001	0	0.001	-0.306
FANCD2	-0.766	-0.027	0.002	-0.014	0.013	0.023	0.003	-0.052	0.002	0.753	0.007	0.027	-0.009	0.33	0	0.021	0.003	0.049	-0.017	-0.013	0.001	-0.001	-0.013	0.079	0.036	-0.171	-0.004	0.386	-0.032	-0.009	0	-0.717	-0.001	0.058	-0.002	0.008	0.521	1.501	0.015	-0.016	0.691	0.797	-0.007	0	-0.147	0.014	-0.029	-0.005	0.008	-0.004	0.017	0	-0.002	-0.375	-0.43	0.002	0.002	0.054	0	0.663	-0.328	0.007	-0.156	0.005	-0.01	0.002	0.417	0.049	0.111	0.036	0.437	0.01	-0.007	-0.18	0.443	-0.024	0.004	0.094	0.413	-0.375	0.593	0.009	0.051	0.004	0.337	0.024	-0.011	0	-0.002	0.029	0.134	-0.358	0.056	0.052	-0.001	-0.009	0.286	0	0.006	-0.008	0.004	-0.017	-0.025	-0.006	0.005	0	-0.031	0	0.008	0.011	0.008	0.006	0	0.066	-0.009	-0.002	0.002	-0.071	-0.006	-0.012	-0.002	-0.01	-0.002	0.099	-0.006	0.005	0.44	0.056	-0.179	0.015	-0.004	0.107	-0.17	0	0.012	0.057	-0.023	-0.01	0	-0.251	0.345	0.063	0.001	-0.387	0.004	-0.01	-0.009	-0.001	0.017	0.324	-0.002	0.003	-0.007	0.079	0	-0.12	0.48	-0.092	-0.022	0.004	0.12	-0.004	0.043	-0.007	0	0.425	0.399	-0.019	0.003	-0.018	0.715	0.007	0.039	0.018	0.538	0	0.007	-0.557	0.929	0	0.699	0	0.735	0.014	-0.005	0.679	0.794	0.025	0.016	0.026	0.067	-0.003	-0.64	0.014	-0.081	0.675	0.002	0.009	-0.002	0	-0.009	-0.562	0.019	-0.042	-0.015	0.01	0.005	0.006	0.003	0.798	-0.079	-0.002	0.02	0.003	0.013	0.012	-0.496	0.028	-0.001	0.006	-0.005	-0.77	-0.005	-0.585	-0.341	0	0.007	-0.042	-0.019	0.001	-0.153	0.796	-0.251	0.027	0.387	0.264	-0.004	0.002	0.006	0.012	0.016	0.028	0.005	-0.013	-0.347	0.164	-0.005	-0.011	0	0.805	0.003	0.022	0	-0.215	-0.011	0.001	-0.003	0.016	-0.081	-0.036	-0.018	-0.007	-0.009	0.062	0.021	0.016	0.001	-0.011	0.017	0.286	-0.164	0.022	-0.007	0.013	-0.27	0.006	-0.254	-0.433	-0.76	0.003	-0.441	0.484	-0.008	0.018	0.001	0.005	-0.605	0	-0.005	0.007	-0.419	0.686	-0.961	0.101	1.171	-0.007	0.008	0.022	0.027	-0.666	0.059	0.023	-0.104	0.01	-0.456	0.023	-0.291	-0.784	-0.005	-0.002	-0.004	0.005	0.037	-0.313	0.003	-0.015	0.204	-0.006	-0.005	0.012	-0.013	0	0.005	0.038	0.003	0	-0.219	-0.018	-0.042	0	-0.139	-0.19	0	0.004	0.031	0	0.015	-0.015	0.059	0.006	0.677	0.003	0	-0.007	0	0.011	0.01	0	-0.18	-0.323	0.352	-0.321	0.016	-0.001	0.087	0	0.002	0.005	0.001	0.03	0.062	0	-0.161	-0.021	0.003	-0.056	0.001	-0.004	-0.004	0.019
TFRC	0.035	0.467	-0.027	-0.014	-0.002	-0.018	-0.002	-0.092	0.007	-0.015	0.007	-0.011	-0.026	-0.122	0	0.029	-0.882	0.003	-0.112	0.008	0.001	-0.012	-0.013	0.068	0.522	0.473	0.574	-0.039	-0.022	1.827	0	0.03	-0.001	0.057	-0.005	-0.038	0.54	-0.007	-0.023	0.013	0.691	0.794	-0.007	-0.025	-0.143	1.795	-0.28	-0.005	0.764	-0.004	0.017	0	-0.002	-0.359	0.375	0.001	0.002	0.044	0.003	0.032	-0.317	-0.01	0.418	0.634	-0.025	-0.004	-0.448	0.059	0.112	0.036	0.46	0.641	-0.022	-0.184	0.306	0.345	-0.05	0.094	0.175	-0.375	0.883	0.009	0.051	-0.012	0.337	0.011	-0.025	-0.015	-0.002	0.031	0.053	0.013	0.036	0.052	-0.001	-0.022	0.076	0.006	-0.008	-0.008	-0.001	-0.021	-0.025	-0.006	-0.01	0.002	0.063	-0.023	-0.001	0.011	-0.001	0.003	0	0.002	-0.013	-0.002	0.05	-0.01	-0.006	-0.011	0.004	-0.01	-0.001	0.098	0.844	-0.347	0.432	-0.016	-0.189	-0.006	-0.013	0.102	-0.188	0	-0.003	0.012	-0.023	-0.01	0	-0.251	0.327	0.277	0.012	-0.428	0	-0.029	-0.009	0.075	0.002	-0.042	-0.003	0.018	0.01	-0.416	0	-0.064	0.008	-0.092	-0.009	0.049	0.13	-0.004	0.102	-0.005	0	0.623	-0.019	-0.019	0	0.828	0	-0.004	0.033	0.018	-0.139	-0.012	0.007	0.145	-0.46	0.747	0.21	0.008	1.549	0.014	-0.021	0.82	-0.015	0.057	0.002	0.048	0.025	-0.016	0.019	0.014	-0.091	-0.33	-0.014	-0.658	-0.002	0	0.01	1.087	0.019	-0.042	-0.029	-0.007	0.761	-0.008	0.003	-0.221	-0.093	-0.013	-0.011	0.01	-0.415	0	0.007	0.102	-0.026	0.006	-0.02	0.013	-0.014	0.572	-0.32	-0.005	0.411	-0.036	0	-0.004	-0.165	0.439	-0.251	-0.049	-0.011	0.191	-0.026	-0.028	0.004	-0.001	-0.009	0.382	-0.009	-0.012	-0.351	0.164	-0.009	-0.013	0	0.82	0	0.062	0	0.656	0.005	-0.026	-0.017	-0.066	0.266	-0.02	-0.017	0.006	-0.012	0.062	0.001	0.014	0.001	-0.004	-0.006	0.147	-0.16	1.472	0.003	-0.016	-0.275	-0.02	-0.254	-0.44	-0.279	0.003	-0.441	0.484	-0.008	-0.005	0.008	-0.003	0.446	0	0.014	-0.018	-0.428	0.686	0.037	0.11	0.182	-0.01	0.008	-0.02	0.027	0.037	0.044	0.009	-0.518	-0.002	-0.456	0.005	-0.297	-0.78	-0.029	-0.002	-0.004	-0.798	0.037	-0.313	0	0.534	0.198	0.015	-0.012	0.009	-0.017	-0.017	0.005	0.027	-0.008	-0.008	0.317	-0.018	0.507	0	-0.139	-0.194	-0.043	-0.004	0.031	-0.307	-0.004	0.725	-0.709	0.006	0.68	0.003	-0.002	-0.007	-0.016	0.079	0.027	-0.004	-0.176	-0.329	0.259	0.043	0.613	-0.007	0.057	0	-0.125	-0.001	0	0.009	0.062	0	0.267	-0.015	0.003	0.384	0.002	-0.004	-0.004	0.014
