	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KL-8342-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8427-01	TCGA-KO-8410-01	TCGA-KL-8325-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KO-8411-01	TCGA-KM-8443-01	TCGA-KL-8335-01	TCGA-KO-8415-01	TCGA-KL-8331-01	TCGA-KM-8439-01	TCGA-KO-8409-01	TCGA-KO-8405-01	TCGA-KN-8432-01	TCGA-KO-8417-01	TCGA-KO-8413-01	TCGA-KN-8423-01	TCGA-KL-8340-01	TCGA-KN-8437-01	TCGA-KN-8430-01	TCGA-KN-8426-01	TCGA-KM-8476-01	TCGA-KN-8429-01	TCGA-KO-8403-01	TCGA-KL-8324-01	TCGA-KL-8339-01	TCGA-KL-8328-01	TCGA-KM-8477-01	TCGA-KN-8419-01	TCGA-KL-8326-01	TCGA-KO-8406-01	TCGA-KN-8428-01	TCGA-KL-8334-01	TCGA-KO-8414-01	TCGA-KN-8424-01	TCGA-KM-8438-01	TCGA-KL-8344-01	TCGA-KN-8418-01	TCGA-KO-8404-01	TCGA-KN-8434-01	TCGA-KN-8422-01	TCGA-KN-8421-01	TCGA-KL-8341-01	TCGA-KL-8336-01	TCGA-KN-8431-01	TCGA-KM-8639-01	TCGA-KM-8442-01	TCGA-KL-8330-01	TCGA-KL-8329-01	TCGA-KM-8441-01	TCGA-KL-8333-01	TCGA-KL-8332-01	TCGA-KM-8440-01	TCGA-KO-8408-01	TCGA-KL-8343-01	TCGA-KL-8327-01	TCGA-KO-8407-01	TCGA-KN-8433-01	TCGA-KO-8416-01	TCGA-KL-8323-01	TCGA-KN-8425-01
DPP4	-0.78	-0.044	-0.786	-0.857	-0.49	0.531	1.139	-0.819	-0.811	-0.729	-0.847	-0.521	-0.705	-0.734	-0.747	-0.001	-0.43	-0.305	-0.76	-0.831	0.019	0	-0.723	0	-0.385	-0.026	-0.768	-0.799	-0.71	-0.419	-0.704	-0.802	0	-0.041	-0.002	-0.872	-0.991	-0.716	-0.12	-0.78	-0.437	-0.003	-0.813	0.059	-0.735	0	-0.008	-0.617	-0.758	-0.744	0.003	-0.783	-0.783	-0.685	0.002	0	-0.637	-0.827	-0.757	-0.002	-0.502	-0.79	0	-0.85	-0.819	-0.434
ATP5G3	-0.78	-0.044	-0.786	-0.857	-0.49	0.542	1.139	-0.819	-0.803	-0.729	-0.847	-0.521	-0.705	-0.734	-0.747	-0.001	-0.43	-0.305	-0.76	-0.831	0.019	0	-0.716	0	-0.385	-0.026	-0.768	-0.799	-0.71	-0.419	-0.704	-0.802	0	-0.041	-0.002	-0.872	-0.991	-0.716	-0.12	-0.78	-0.437	-0.007	-0.813	0.059	-0.735	0	-0.008	-0.617	-0.758	-0.744	0.003	-0.783	-0.783	-0.685	0.002	0	-0.637	-0.813	-0.753	-0.002	-0.502	-0.79	0	-0.85	-0.819	-0.434
NFE2L2	-0.78	-0.044	-0.786	-0.857	-0.478	0.542	1.139	-0.819	-0.803	-0.729	-0.847	-0.521	-0.705	-0.734	-0.747	-0.001	-0.43	-0.305	-0.76	-0.831	0.019	0	-0.716	0	-0.385	-0.026	-0.768	-0.799	-0.71	-0.419	-0.704	-0.802	0	-0.041	-0.002	-0.872	-0.991	-0.716	-0.12	-0.78	-0.437	-0.007	-0.813	0.059	-0.735	0	-0.008	-0.617	-0.758	-0.744	0.003	-0.783	-0.783	-0.685	0.002	0	-0.637	-0.813	-0.753	-0.002	-0.502	-0.79	0	-0.85	-0.819	-0.434
FANCD2	0.018	1.571	0.013	0.008	0.791	-0.328	-0.019	0.014	0	0.021	0.013	0.516	-0.147	-0.766	0.114	-0.005	-0.482	0.011	-0.8	0.024	-0.014	-0.035	0.008	-0.001	0.643	-0.079	0.013	0.017	0.014	-0.461	0.207	0.037	0	-0.053	0.005	0.009	0.833	0.036	-0.163	0.022	0	0.012	0.039	0	0.058	0.007	-0.951	0.552	-0.028	0.045	-0.012	0.05	0.042	0.018	-0.005	-0.388	0.031	0.003	0.084	0.012	0.009	0.021	-0.003	0.024	0.017	-0.472
TFRC	0.013	1.564	0.014	0.021	-0.533	0.577	-0.008	0.014	0.031	0.021	0.018	0.516	0.055	-0.765	0.114	0	-0.467	0.011	-0.786	0.024	0.042	-0.035	0.002	-0.001	0.634	-0.091	0.023	0.017	0.014	-0.46	0.187	0.037	0	-0.055	-0.001	0.012	-0.449	0.032	-0.163	0.013	0	-0.004	0.042	0.054	0.062	0.007	-0.944	0.042	0	0.065	-0.012	0.065	0.059	0.027	-0.001	0.015	0.026	0.018	0.061	0	0.009	0.021	-0.012	0.026	0.017	-0.459
SLC7A11	-0.006	1.611	0	0.028	0.758	-0.321	1.235	0	0.014	0.033	0.002	0.52	0.071	0.117	0.108	-0.004	0.735	0.343	0.116	0.046	1.327	1.434	0.002	0	0.643	1.216	0.031	0.012	0.009	0.718	0.177	0.038	0.001	1.166	-0.007	0.007	-0.009	0.012	1.266	0.005	0.444	-0.006	0.035	0.096	0.059	0.766	0.039	0.488	0.007	0.075	-0.011	0.078	0.054	0.02	-0.001	0.008	0.034	0.019	0.067	-0.006	0.551	0.018	0.97	0.032	0.018	0.516
CDKN1A	-0.821	-0.115	-0.828	-0.899	-0.537	0.109	-0.021	-0.843	-0.852	-0.75	-0.883	-0.569	-0.737	-0.735	-0.782	0.001	-0.47	-0.33	-0.792	-0.868	-0.023	-0.035	-0.754	0.002	-0.428	-0.083	-0.802	-0.833	-0.744	-0.474	-0.737	-0.844	-0.001	-0.06	-0.01	-0.911	-0.55	-0.761	-0.167	-0.819	-0.484	0.007	-0.852	-0.653	-0.763	-0.819	-0.957	-0.66	-0.787	-0.803	0.601	-0.818	-0.813	-0.724	0	-0.387	-0.667	-0.865	-0.795	0.004	-0.544	-0.825	-0.026	-0.885	-1.293	-0.466
HSPB1	0.006	1.561	0.01	0.014	0.749	0.103	-0.036	0.013	0.021	0	0.004	0.512	0.085	0.134	0.118	-0.003	0.693	0.332	0.071	0.03	1.271	1.38	0.006	-0.007	0.624	2.404	0.024	0.007	0.007	0.628	0.192	0.037	0.058	1.178	0.001	0.006	0.591	0.022	1.22	-0.003	0.425	-0.004	0.023	0.167	0.061	-0.002	0.025	0.693	0.038	0.029	-0.003	0.051	0.036	0.018	-0.003	0	-0.669	0.001	0.082	0.64	0.538	0.019	0.936	0.025	0.011	0.379
FDFT1	0.009	1.569	-0.002	-0.919	-0.544	0.543	1.186	0.007	-0.88	0.006	-0.903	0.519	0.07	0.076	0.131	0.003	0.679	0.324	-0.819	-0.873	1.142	1.377	-0.001	0.003	0.632	0.007	-0.81	0.008	-0.001	0.625	0.168	0.045	0.001	0.575	0.007	0	0.65	0.016	-0.176	-0.434	0.411	-0.001	-0.009	-0.077	0.066	0.003	0.03	-0.053	0.065	0.009	0.003	0.047	0.042	0.012	0	0	0.035	0.005	0.059	0.011	-0.565	0.014	0.209	-0.914	0.007	0
EMC2	0.009	1.594	0.006	0	-0.544	0.537	1.209	0.007	-0.851	0.065	-0.882	0.519	0.07	0.118	0.116	0	0.679	0.324	-0.8	-0.873	1.142	1.377	-0.001	0.003	0.645	3.293	-0.81	0.008	0.015	0.625	0.359	0.044	-0.003	0.575	0.007	0.011	0.65	0.013	-0.176	0.008	0.437	-0.001	-0.009	-0.048	0.066	0.003	0.03	3.572	0.041	0.04	-0.002	0.047	0.042	0.012	0	0.004	0.035	0.005	0.08	0.011	-0.565	0.014	0.234	-0.889	0.007	0
