gene	Amp	Del	tumor
DPP4	0.172881355932203	-0.193220338983051	CESC
ATP5G3	0.186440677966102	-0.193220338983051	CESC
NFE2L2	0.189830508474576	-0.196610169491525	CESC
FANCD2	0.142372881355932	-0.271186440677966	CESC
TFRC	0.796610169491525	-0.023728813559322	CESC
SLC7A11	0.0847457627118644	-0.271186440677966	CESC
CDKN1A	0.264406779661017	-0.24406779661017	CESC
HSPB1	0.183050847457627	-0.250847457627119	CESC
FDFT1	0.145762711864407	-0.152542372881356	CESC
EMC2	0.43728813559322	-0.128813559322034	CESC
RPL8	0.444067796610169	-0.145762711864407	CESC
HSPA5	0.23728813559322	-0.257627118644068	CESC
NCOA4	0.088135593220339	-0.376271186440678	CESC
CISD1	0.0949152542372881	-0.355932203389831	CESC
CARS	0.0610169491525424	-0.288135593220339	CESC
LPCAT3	0.227118644067797	-0.210169491525424	CESC
CS	0.210169491525424	-0.227118644067797	CESC
GLS2	0.210169491525424	-0.223728813559322	CESC
MT1G	0.169491525423729	-0.349152542372881	CESC
ALOX15	0.0847457627118644	-0.264406779661017	CESC
GPX4	0.145762711864407	-0.23728813559322	CESC
SLC1A5	0.315254237288136	-0.257627118644068	CESC
SAT1	0.257627118644068	-0.172881355932203	CESC
ACSL4	0.247457627118644	-0.210169491525424	CESC
